Id,RequiredId,AchievementGroupId,Type,GroupType,Param1,TaskType,TaskCondition,CompleteNotifyType,TaskCount,RewardPoint,RewardGem,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
10617,10616,106,3,0,17,80,Hero,0,135360,5010,,38500,,,,,Icon_HeroicAchievement_01
10618,10617,106,3,0,18,80,Hero,0,148650,5740,,,480014,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10619,10618,106,3,0,19,80,Hero,0,161950,6520,,,480013,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10620,10619,106,3,0,20,80,Hero,0,175200,7360,,,480015,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10701,,107,3,0,1,11,,0,410,30,,,410002,1,,Icon_EnchantScroll_02,Icon_HeroicAchievement_01
10702,10701,107,3,0,2,11,,0,1440,30,,1000,,,,,Icon_HeroicAchievement_01
10703,10702,107,3,0,3,11,,0,2710,50,,,410003,1,,Icon_EnchantScroll_03,Icon_HeroicAchievement_01
10704,10703,107,3,0,4,11,,0,3430,100,,1500,,,,,Icon_HeroicAchievement_01
10705,10704,107,3,0,5,11,,0,5240,180,,,410001,1,,Icon_EnchantScroll_01,Icon_HeroicAchievement_01
10706,10705,107,3,0,6,11,,0,8160,300,,3000,,,,,Icon_HeroicAchievement_01
10707,10706,107,3,0,7,11,,0,13630,470,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10708,10707,107,3,0,8,11,,0,19620,690,,6000,,,,,Icon_HeroicAchievement_01
10709,10708,107,3,0,9,11,,0,27270,970,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10710,10709,107,3,0,10,11,,0,49790,1320,,10500,,,,,Icon_HeroicAchievement_01
10711,10710,107,3,0,11,11,,0,63780,1760,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10712,10711,107,3,0,12,11,,0,79740,2170,,17000,,,,,Icon_HeroicAchievement_01
10713,10712,107,3,0,13,11,,0,99300,2630,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10714,10713,107,3,0,14,11,,0,122400,3150,,24500,,,,,Icon_HeroicAchievement_01
10715,10714,107,3,0,15,11,,0,149240,3710,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10716,10715,107,3,0,16,11,,0,178570,4330,,33500,,,,,Icon_HeroicAchievement_01
10717,10716,107,3,0,17,11,,0,212540,5010,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10718,10717,107,3,0,18,11,,0,251940,5740,,44000,,,,,Icon_HeroicAchievement_01
10719,10718,107,3,0,19,11,,0,278410,6520,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10720,10719,107,3,0,20,11,,0,296180,7360,,56000,,,,,Icon_HeroicAchievement_01
10801,,108,3,0,5,91,,0,5,30,,1000,,,,,Icon_HeroicAchievement_01
10802,10801,108,3,0,10,91,,0,10,30,,1000,,,,,Icon_HeroicAchievement_01
10803,10802,108,3,0,15,91,,0,15,30,,1000,,,,,Icon_HeroicAchievement_01
10804,10803,108,3,0,20,91,,0,20,30,,1000,,,,,Icon_HeroicAchievement_01
10805,10804,108,3,0,25,91,,0,25,30,,1000,,,,,Icon_HeroicAchievement_01
10806,10805,108,3,0,30,91,,0,30,40,,1000,,,,,Icon_HeroicAchievement_01
10807,10806,108,3,0,35,91,,0,35,50,,1000,,,,,Icon_HeroicAchievement_01
10808,10807,108,3,0,40,91,,0,40,70,,1500,,,,,Icon_HeroicAchievement_01
10809,10808,108,3,0,45,91,,0,45,100,,1500,,,,,Icon_HeroicAchievement_01
10810,10809,108,3,0,50,91,,0,50,140,,2000,,,,,Icon_HeroicAchievement_01
10811,10810,108,3,0,55,91,,0,55,190,,2500,,,,,Icon_HeroicAchievement_01
10812,10811,108,3,0,60,91,,0,60,270,,3000,,,,,Icon_HeroicAchievement_01
10813,10812,108,3,0,65,91,,0,65,370,,3500,,,,,Icon_HeroicAchievement_01
10814,10813,108,3,0,70,91,,0,70,500,,4500,,,,,Icon_HeroicAchievement_01
10901,,109,3,0,1,93,,0,1,30,,1000,,,,,Icon_HeroicAchievement_01
10902,10901,109,3,0,2,93,,0,7,40,,1000,,,,,Icon_HeroicAchievement_01
10903,10902,109,3,0,3,93,,0,10,50,,1000,,,,,Icon_HeroicAchievement_01
10904,10903,109,3,0,4,93,,0,20,70,,,490011,1,,Icon_Box_Adena_02,Icon_HeroicAchievement_01
10905,10904,109,3,0,5,93,,0,30,90,,1500,,,,,Icon_HeroicAchievement_01
10906,10905,109,3,0,6,93,,0,50,130,,2000,,,,,Icon_HeroicAchievement_01
10907,10906,109,3,0,7,93,,0,70,170,,,910121,1,,Icon_GachaItem_EquipmentB,Icon_HeroicAchievement_01
10908,10907,109,3,0,8,93,,0,100,230,,2500,,,,,Icon_HeroicAchievement_01
10909,10908,109,3,0,9,93,,0,150,330,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10910,10909,109,3,0,10,93,,0,220,470,,4500,,,,,Icon_HeroicAchievement_01
10911,10910,109,3,0,11,93,,0,340,710,,,910131,1,,Icon_GachaItem_EquipmentA,Icon_HeroicAchievement_01
10912,10911,109,3,0,12,93,,0,400,830,,7000,,,,,Icon_HeroicAchievement_01
10913,10912,109,3,0,13,93,,0,520,1070,,9000,,,,,Icon_HeroicAchievement_01
10914,10913,109,3,0,14,93,,0,700,1420,,,910131,1,,Icon_GachaItem_EquipmentS,Icon_HeroicAchievement_01
10915,10914,109,3,0,15,93,,0,900,1830,,14500,,,,,Icon_HeroicAchievement_01
10916,10915,109,3,0,16,93,,0,1100,2250,,17500,,,,,Icon_HeroicAchievement_01
10917,10916,109,3,0,17,93,,0,1600,3310,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10918,10917,109,3,0,18,93,,0,2200,4440,,34000,,,,,Icon_HeroicAchievement_01
10919,10918,109,3,0,19,93,,0,3000,6040,,,910131,1,,Icon_GachaItem_EquipmentS,Icon_HeroicAchievement_01
10920,10919,109,3,0,20,93,,0,3700,7330,,56000,,,,,Icon_HeroicAchievement_01
11001,,110,3,0,1,95,Easy,0,2,30,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11002,11001,110,3,0,2,95,Easy,0,10,50,,1000,,,,,Icon_HeroicAchievement_01
11003,11002,110,3,0,3,95,Easy,0,20,70,,1500,,,,,Icon_HeroicAchievement_01
11004,11003,110,3,0,4,95,Easy,0,30,110,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11005,11004,110,3,0,5,95,Easy,0,60,150,,2000,,,,,Icon_HeroicAchievement_01
11006,11005,110,3,0,6,95,Easy,0,120,190,,2000,,,,,Icon_HeroicAchievement_01
11007,11006,110,3,0,7,95,Easy,0,270,230,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11008,11007,110,3,0,8,95,Easy,0,590,270,,3000,,,,,Icon_HeroicAchievement_01
11009,11008,110,3,0,9,95,Easy,0,990,310,,3000,,,,,Icon_HeroicAchievement_01
11010,11009,110,3,0,10,95,Easy,0,1400,350,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11011,11010,110,3,0,11,95,Easy,0,1810,390,,3500,,,,,Icon_HeroicAchievement_01
11012,11011,110,3,0,12,95,Easy,0,2220,430,,4000,,,,,Icon_HeroicAchievement_01
11013,11012,110,3,0,13,95,Easy,0,2630,470,,4500,,,,,Icon_HeroicAchievement_01
11014,11013,110,3,0,14,95,Easy,0,3030,510,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11015,11014,110,3,0,15,95,Easy,0,3440,550,,5000,,,,,Icon_HeroicAchievement_01
11016,11015,110,3,0,16,95,Easy,0,3850,590,,5000,,,,,Icon_HeroicAchievement_01
11017,11016,110,3,0,17,95,Easy,0,4260,630,,5500,,,,,Icon_HeroicAchievement_01
11018,11017,110,3,0,18,95,Easy,0,4670,710,,,420003,1,,Icon_Asset_Upgrade_03,Icon_HeroicAchievement_01
11019,11018,110,3,0,19,95,Easy,0,5070,770,,6500,,,,,Icon_HeroicAchievement_01
11020,11019,110,3,0,20,95,Easy,0,5480,830,,7000,,,,,Icon_HeroicAchievement_01
11101,,111,3,0,1,95,Normal,0,4,830,,7000,,,,,Icon_HeroicAchievement_01
11102,11101,111,3,0,2,95,Normal,0,10,870,,7500,,,,,Icon_HeroicAchievement_01
11103,11102,111,3,0,3,95,Normal,0,20,910,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11104,11103,111,3,0,4,95,Normal,0,30,990,,8000,,,,,Icon_HeroicAchievement_01
11105,11104,111,3,0,5,95,Normal,0,60,1070,,9000,,,,,Icon_HeroicAchievement_01
11106,11105,111,3,0,6,95,Normal,0,120,1150,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11107,11106,111,3,0,7,95,Normal,0,270,1230,,10000,,,,,Icon_HeroicAchievement_01
11108,11107,111,3,0,8,95,Normal,0,590,1310,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11109,11108,111,3,0,9,95,Normal,0,990,1390,,11000,,,,,Icon_HeroicAchievement_01
11110,11109,111,3,0,10,95,Normal,0,1400,1470,,12000,,,,,Icon_HeroicAchievement_01
11111,11110,111,3,0,11,95,Normal,0,1810,1550,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11112,11111,111,3,0,12,95,Normal,0,2220,1630,,13000,,,,,Icon_HeroicAchievement_01
11113,11112,111,3,0,13,95,Normal,0,2630,1710,,13500,,,,,Icon_HeroicAchievement_01
11114,11113,111,3,0,14,95,Normal,0,3030,1790,,14000,,,,,Icon_HeroicAchievement_01
11115,11114,111,3,0,15,95,Normal,0,3440,1870,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11116,11115,111,3,0,16,95,Normal,0,3850,1950,,15500,,,,,Icon_HeroicAchievement_01
11117,11116,111,3,0,17,95,Normal,0,4260,2030,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11118,11117,111,3,0,18,95,Normal,0,4670,2190,,17000,,,,,Icon_HeroicAchievement_01
11119,11118,111,3,0,19,95,Normal,0,5070,2310,,18000,,,,,Icon_HeroicAchievement_01
11120,11119,111,3,0,20,95,Normal,0,5480,2430,,19000,,,,,Icon_HeroicAchievement_01
11201,,112,3,0,1,95,Hard,0,4,2430,,19000,,,,,Icon_HeroicAchievement_01
11202,11201,112,3,0,2,95,Hard,0,10,2470,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11203,11202,112,3,0,3,95,Hard,0,20,2510,,19500,,,,,Icon_HeroicAchievement_01
11204,11203,112,3,0,4,95,Hard,0,30,2590,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11205,11204,112,3,0,5,95,Hard,0,60,2670,,21000,,,,,Icon_HeroicAchievement_01
11206,11205,112,3,0,6,95,Hard,0,120,2750,,21500,,,,,Icon_HeroicAchievement_01
11207,11206,112,3,0,7,95,Hard,0,270,2830,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11208,11207,112,3,0,8,95,Hard,0,590,2910,,22500,,,,,Icon_HeroicAchievement_01
11209,11208,112,3,0,9,95,Hard,0,990,2990,,23000,,,,,Icon_HeroicAchievement_01
11210,11209,112,3,0,10,95,Hard,0,1400,3070,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11211,11210,112,3,0,11,95,Hard,0,1810,3150,,24500,,,,,Icon_HeroicAchievement_01
11212,11211,112,3,0,12,95,Hard,0,2220,3230,,25000,,,,,Icon_HeroicAchievement_01
11213,11212,112,3,0,13,95,Hard,0,2630,3310,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11214,11213,112,3,0,14,95,Hard,0,3030,3390,,26000,,,,,Icon_HeroicAchievement_01
11215,11214,112,3,0,15,95,Hard,0,3440,3470,,27000,,,,,Icon_HeroicAchievement_01
11216,11215,112,3,0,16,95,Hard,0,3850,3550,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11217,11216,112,3,0,17,95,Hard,0,4260,3630,,28000,,,,,Icon_HeroicAchievement_01
11218,11217,112,3,0,18,95,Hard,0,4670,3790,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11219,11218,112,3,0,19,95,Hard,0,5070,3910,,30000,,,,,Icon_HeroicAchievement_01
11220,11219,112,3,0,20,95,Hard,0,5480,4030,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11301,,113,3,0,1,95,Hell,0,4,2430,,19000,,,,,Icon_HeroicAchievement_01
11302,11301,113,3,0,2,95,Hell,0,10,2470,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11303,11302,113,3,0,3,95,Hell,0,20,2510,,19500,,,,,Icon_HeroicAchievement_01
11304,11303,113,3,0,4,95,Hell,0,30,2590,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11305,11304,113,3,0,5,95,Hell,0,60,2670,,21000,,,,,Icon_HeroicAchievement_01
11306,11305,113,3,0,6,95,Hell,0,120,2750,,21500,,,,,Icon_HeroicAchievement_01
11307,11306,113,3,0,7,95,Hell,0,270,2830,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11308,11307,113,3,0,8,95,Hell,0,590,2910,,22500,,,,,Icon_HeroicAchievement_01
11309,11308,113,3,0,9,95,Hell,0,990,2990,,23000,,,,,Icon_HeroicAchievement_01
11310,11309,113,3,0,10,95,Hell,0,1400,3070,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11311,11310,113,3,0,11,95,Hell,0,1810,3150,,24500,,,,,Icon_HeroicAchievement_01
11312,11311,113,3,0,12,95,Hell,0,2220,3230,,25000,,,,,Icon_HeroicAchievement_01
11313,11312,113,3,0,13,95,Hell,0,2630,3310,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11314,11313,113,3,0,14,95,Hell,0,3030,3390,,26000,,,,,Icon_HeroicAchievement_01
11315,11314,113,3,0,15,95,Hell,0,3440,3470,,27000,,,,,Icon_HeroicAchievement_01
11316,11315,113,3,0,16,95,Hell,0,3850,3550,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11317,11316,113,3,0,17,95,Hell,0,4260,3630,,28000,,,,,Icon_HeroicAchievement_01
11318,11317,113,3,0,18,95,Hell,0,4670,3790,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11319,11318,113,3,0,19,95,Hell,0,5070,3910,,30000,,,,,Icon_HeroicAchievement_01
11320,11319,113,3,0,20,95,Hell,0,5480,4030,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11401,,114,3,0,1,141,,1,10,30,,1000,,,,,Icon_HeroicAchievement_01
11402,11401,114,3,0,2,141,,1,30,30,,,449999,1,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11403,11402,114,3,0,3,141,,1,70,50,,,449999,1,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11404,11403,114,3,0,4,141,,1,160,100,,1500,,,,,Icon_HeroicAchievement_01
11405,11404,114,3,0,5,141,,1,360,170,,,449999,3,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11406,11405,114,3,0,6,141,,1,800,230,,,449999,3,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11407,11406,114,3,0,7,141,,1,1760,330,,3500,,,,,Icon_HeroicAchievement_01
11408,11407,114,3,0,8,141,,1,3880,430,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11409,11408,114,3,0,9,141,,1,6600,630,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11410,11409,114,3,0,10,141,,1,9320,830,,7000,,,,,Icon_HeroicAchievement_01
11411,11410,114,3,0,11,141,,1,12040,1060,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11412,11411,114,3,0,12,141,,1,14760,1260,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11413,11412,114,3,0,13,141,,1,17480,1440,,11500,,,,,Icon_HeroicAchievement_01
11414,11413,114,3,0,14,141,,1,20200,1640,,13000,,,,,Icon_HeroicAchievement_01
11415,11414,114,3,0,15,141,,1,22920,2430,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11416,11415,114,3,0,16,141,,1,25640,3240,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11417,11416,114,3,0,17,141,,1,28360,4030,,31000,,,,,Icon_HeroicAchievement_01
11418,11417,114,3,0,18,141,,1,31080,5250,,40000,,,,,Icon_HeroicAchievement_01
11419,11418,114,3,0,19,141,,1,33800,6050,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11420,11419,114,3,0,20,141,,1,36500,7030,,,449999,5,,UI_Icon_TeleportScroll,Icon_HeroicAchievement_01
11501,,115,3,0,1,142,,0,10,40,,1000,,,,,Icon_HeroicAchievement_01
11502,11501,115,3,0,2,142,,0,30,40,,,900006,1,,Icon_Shop_Gacha_Material_03,Icon_HeroicAchievement_01
11503,11502,115,3,0,3,142,,0,50,60,,1500,,,,,Icon_HeroicAchievement_01
11504,11503,115,3,0,4,142,,0,120,110,,,900006,1,,Icon_Shop_Gacha_Material_03,Icon_HeroicAchievement_01
11505,11504,115,3,0,5,142,,0,260,180,,2000,,,,,Icon_HeroicAchievement_01
11506,11505,115,3,0,6,142,,0,560,240,,2500,,,,,Icon_HeroicAchievement_01
11507,11506,115,3,0,7,142,,0,1240,340,,,900007,1,,Icon_Shop_Gacha_Material_2,Icon_HeroicAchievement_01
11508,11507,115,3,0,8,142,,0,2720,440,,4000,,,,,Icon_HeroicAchievement_01
11509,11508,115,3,0,9,142,,0,4620,640,,5500,,,,,Icon_HeroicAchievement_01
11510,11509,115,3,0,10,142,,0,6530,840,,,900007,1,,Icon_Shop_Gacha_Material_2,Icon_HeroicAchievement_01
11511,11510,115,3,0,11,142,,0,8430,1040,,8500,,,,,Icon_HeroicAchievement_01
11512,11511,115,3,0,12,142,,0,10340,1240,,10000,,,,,Icon_HeroicAchievement_01
11513,11512,115,3,0,13,142,,0,12240,1440,,,900007,1,,Icon_Shop_Gacha_Material_2,Icon_HeroicAchievement_01
11514,11513,115,3,0,14,142,,0,14140,1640,,13000,,,,,Icon_HeroicAchievement_01
11515,11514,115,3,0,15,142,,0,16050,2440,,19000,,,,,Icon_HeroicAchievement_01
11516,11515,115,3,0,16,142,,0,17950,3240,,,900007,1,,Icon_Shop_Gacha_Material_2,Icon_HeroicAchievement_01
11517,11516,115,3,0,17,142,,0,19860,4040,,31000,,,,,Icon_HeroicAchievement_01
11518,11517,115,3,0,18,142,,0,21760,5240,,40000,,,,,Icon_HeroicAchievement_01
11519,11518,115,3,0,19,142,,0,23660,6040,,46000,,,,,Icon_HeroicAchievement_01
11520,11519,115,3,0,20,142,,0,25550,7040,,,900007,1,,Icon_Shop_Gacha_Material_2,Icon_HeroicAchievement_01
11601,,116,3,0,1,143,,0,10,30,,1000,,,,,Icon_HeroicAchievement_01
11602,11601,116,3,0,2,143,,0,30,40,,,480001,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
11603,11602,116,3,0,3,143,,0,60,50,,1000,,,,,Icon_HeroicAchievement_01
11604,11603,116,3,0,4,143,,0,150,100,,1500,,,,,Icon_HeroicAchievement_01
11605,11604,116,3,0,5,143,,0,310,180,,2000,,,,,Icon_HeroicAchievement_01
11606,11605,116,3,0,6,143,,0,410,230,,,480004,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
11607,11606,116,3,0,7,143,,0,610,330,,3500,,,,,Icon_HeroicAchievement_01
11608,11607,116,3,0,8,143,,0,810,430,,4000,,,,,Icon_HeroicAchievement_01
11609,11608,116,3,0,9,143,,0,1200,630,,5500,,,,,Icon_HeroicAchievement_01
11610,11609,116,3,0,10,143,,0,1600,830,,,480007,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
11611,11610,116,3,0,11,143,,0,2000,1030,,8500,,,,,Icon_HeroicAchievement_01
11612,11611,116,3,0,12,143,,0,2400,1230,,,480010,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
11613,11612,116,3,0,13,143,,0,2800,1430,,11500,,,,,Icon_HeroicAchievement_01
11614,11613,116,3,0,14,143,,0,3200,1630,,13000,,,,,Icon_HeroicAchievement_01
11615,11614,116,3,0,15,143,,0,4800,2430,,19000,,,,,Icon_HeroicAchievement_01
11616,11615,116,3,0,16,143,,0,6400,3230,,,480013,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
