ItemType,EquipmentType,ItemGrade,MaxLevel,MaxEnchantLevel,LimitBreakBonusLevel,LimitBreakAdenaCost,MaxLimitBreakCount,LimitBreakRate,OptionCount,OptionChangeCashCost,SocketCount,CompositionAdenaCost,UpgradeMaterialCount,UpgradeAdenaCost,AbilityUpgradeAdenaCost,AbilityUpgradeRate,AbilityBonusLevel,SocketExtractionAdenaCost,RequiredSoulshotCount,GachaCardTexture
10,4,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,4,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,4,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,4,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,7,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,7,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,7,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,7,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,7,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,7,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,7,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
10,9,1,30,5,0,0,0,0,0,0,1,3000,3,1200,100000,0,,,,gacha_card_dn
10,9,2,30,10,0,0,0,0,0,0,2,8000,5,4000,100000,0,,,,gacha_card_dn
10,9,3,30,15,0,0,0,0,1,30,3,35000,10,12000,100000,0,,,,gacha_card_dn
10,9,4,30,20,0,0,0,0,1,30,4,100000,20,28000,100000,1000,1,,,gacha_card_dn
10,9,5,30,25,0,0,0,0,2,50,5,250000,30,48000,100000,3000,1,,,gacha_card_gold_dn
10,9,6,30,30,2,40000,5,50,3,100,6,0,0,0,100000,10000,1,,,gacha_card_gold_dn
10,9,7,30,30,2,40000,5,100,3,100,6,0,0,0,100000,10000,2,,,gacha_card_gold_dn
23,11,1,1,0,,,,,,,,,12,10000,,,,5000,,gacha_card_dn
23,11,2,1,0,,,,,,,,,10,25000,,,,12500,,gacha_card_dn
23,11,3,1,0,,,,,,,,,8,50000,,,,25000,,gacha_card_dn
23,11,4,1,0,,,,,,,,,6,100000,,,,50000,,gacha_card_dn
23,11,5,1,0,,,,,,,,,5,250000,,,,125000,,gacha_card_gold_dn
23,11,6,1,0,,,,,,,,,4,500000,,,,250000,,gacha_card_gold_dn
33,11,4,,,,,,,,,,,,,150000,800,1,,,gacha_card_dn
33,11,5,,,,,,,,,,,,,150000,2500,1,,,gacha_card_gold_dn
33,11,6,,,,,,,,,,,,,150000,10000,1,,,gacha_card_gold_dn
33,11,7,,,,,,,,,,,,,150000,10000,2,,,gacha_card_gold_dn
32,11,6,,,,,,50,,,,,,,,,,,,gacha_card_gold_dn
32,11,7,,,,,,100,,,,,,,,,,,,gacha_card_gold_dn
97,11,4,,,,,,,,,,,,,150000,800,1,,,gacha_card_dn
97,11,5,,,,,,,,,,,,,150000,2500,1,,,gacha_card_gold_dn
97,11,6,,,,,,,,,,,,,150000,10000,1,,,gacha_card_gold_dn
97,11,7,,,,,,,,,,,,,150000,10000,2,,,gacha_card_gold_dn
60,11,1,20,5,,,,,1,150,,,0,8000,,,,,,gacha_card_dn
60,11,2,20,10,,,,,1,150,,,0,25000,,,,,,gacha_card_dn
60,11,3,20,15,,,,,1,150,,,0,50000,,,,,,gacha_card_dn
60,11,4,20,20,,,,,1,150,,,0,100000,,,,,,gacha_card_dn
60,11,5,20,25,,,,,1,150,,,0,200000,,,,,,gacha_card_gold_dn
60,11,6,20,30,,,,,1,150,,,0,500000,,,,,,gacha_card_gold_dn
