Id,Param1,ItemList,Set2OptionInfoId,Set3OptionInfoId,Set4OptionInfoId,Set5OptionInfoId
601,C,"210060,220060,230060,240060",2100602,2100603,2100604,
602,B,"210061,220061,230061,240061",2100612,2100613,2100614,
603,A,"210062,220062,230062,240062",2100622,2100623,2100624,
604,S,"210063,220063,230063,240063",2100632,2100633,2100634,
605,R,"210064,220064,230064,240064",2100642,2100643,2100644,
606,SR,"210065,220065,230065,240065",2100652,2100653,2100654,
607,UR,"210066,220066,230066,240066",2100662,2100663,2100664,
704,S,"210073,220073,230073,240073",2100732,2100733,2100734,
705,R,"210074,220074,230074,240074",2100742,2100743,2100744,
706,SR,"210075,220075,230075,240075",2100752,2100753,2100754,
707,UR,"210076,220076,230076,240076",2100762,2100763,2100764,
804,S,"210083,220083,230083,240083",2100832,2100833,2100834,
805,R,"210084,220084,230084,240084",2100842,2100843,2100844,
806,SR,"210085,220085,230085,240085",2100852,2100853,2100854,
807,UR,"210086,220086,230086,240086",2100862,2100863,2100864,
904,S,"210093,220093,230093,240093",2100932,2100933,2100934,
905,R,"210094,220094,230094,240094",2100942,2100943,2100944,
906,SR,"210095,220095,230095,240095",2100952,2100953,2100954,
907,UR,"210096,220096,230096,240096",2100962,2100963,2100964,
1001,C,"310001,320001,330001",3100010,3100011,3100012,3100013
1002,B,"310002,320002,330002",3100020,3100021,3100022,3100023
1003,A,"310003,320003,330003",3100030,3100031,3100032,3100033
1004,S,"310004,320004,330004",3100040,3100041,3100042,3100043
1005,R,"310005,320005,330005",3100050,3100051,3100052,3100053
1006,SR,"310006,320006,330006",3100060,3100061,3100062,3100063
1101,C,"310011,320011,330011",3100110,3100111,3100112,3100113
1102,B,"310012,320012,330012",3100120,3100121,3100122,3100123
1103,A,"310013,320013,330013",3100130,3100131,3100132,3100133
1104,S,"310014,320014,330014",3100140,3100141,3100142,3100143
1105,R,"310015,320015,330015",3100150,3100151,3100152,3100153
1106,SR,"310016,320016,330016",3100160,3100161,3100162,3100163
1201,C,"310021,320021,330021",3100210,3100211,3100212,3100213
1202,B,"310022,320022,330022",3100220,3100221,3100222,3100223
1203,A,"310023,320023,330023",3100230,3100231,3100232,3100233
1204,S,"310024,320024,330024",3100240,3100241,3100242,3100243
1205,R,"310025,320025,330025",3100250,3100251,3100252,3100253
1206,SR,"310026,320026,330026",3100260,3100261,3100262,3100263
1301,C,"310031,320031,330031",3100310,3100311,3100312,3100313
1302,B,"310032,320032,330032",3100320,3100321,3100322,3100323
1303,A,"310033,320033,330033",3100330,3100331,3100332,3100333
1304,S,"310034,320034,330034",3100340,3100341,3100342,3100343
1305,R,"310035,320035,330035",3100350,3100351,3100352,3100353
1306,SR,"310036,320036,330036",3100360,3100361,3100362,3100363
1401,C,"310041,320041,330041",3100410,3100411,3100412,3100413
1402,B,"310042,320042,330042",3100420,3100421,3100422,3100423
1403,A,"310043,320043,330043",3100430,3100431,3100432,3100433
1404,S,"310044,320044,330044",3100440,3100441,3100442,3100443
1405,R,"310045,320045,330045",3100450,3100451,3100452,3100453
1406,SR,"310046,320046,330046",3100460,3100461,3100462,3100463
1501,C,"310051,320051,330051",3100510,3100511,3100512,3100513
1502,B,"310052,320052,330052",3100520,3100521,3100522,3100523
1503,A,"310053,320053,330053",3100530,3100531,3100532,3100533
1504,S,"310054,320054,330054",3100540,3100541,3100542,3100543
1505,R,"310055,320055,330055",3100550,3100551,3100552,3100553
1506,SR,"310056,320056,330056",3100560,3100561,3100562,3100563
1901,C,"310061,320061,330061",3100610,3100611,3100612,3100613
1902,B,"310062,320062,330062",3100620,3100621,3100622,3100623
1903,A,"310063,320063,330063",3100630,3100631,3100632,3100633
1904,S,"310064,320064,330064",3100640,3100641,3100642,3100643
1905,R,"310065,320065,330065",3100650,3100651,3100652,3100653
1906,SR,"310066,320066,330066",3100660,3100661,3100662,3100663
