Id,ReplaceString1,Name,ReplaceString2,QuestDesc1,QuestDesc2
1107,绿光,{ReplaceString1}采集副本,绿色拉泰尔洛柏斯特,@1101,请在采集副本消灭{TaskCount}次绿色拉泰尔洛柏斯特。
1108,银光,@1107,银色拉泰尔洛柏斯特,@1101,请在采集副本消灭{TaskCount}次银色拉泰尔洛柏斯特。
1109,金光,@1107,金色拉泰尔洛柏斯特,@1101,请在采集副本消灭{TaskCount}次金色拉泰尔洛柏斯特。
1151,消灭巴尔卡伦,{ReplaceString1}事前作业,血盟副本（巴尔卡伦）中的怪物,@1101,在血盟副本（巴尔卡伦）中消灭{TaskCount}只怪物。
1152,消灭巨蚁女王,@1151,血盟副本（巨蚁女王）中的怪物,@1101,在血盟副本（巨蚁女王）中消灭{TaskCount}只怪物。
1153,消灭克鲁玛核心,@1151,血盟副本（克鲁玛核心）中的怪物,@1101,在血盟副本（克鲁玛核心）中消灭{TaskCount}只怪物。
1201,竞技场,{ReplaceString1}观摩,,参加竞技场,请参加竞技场{TaskCount}次。
1202,@1201,@209,,在竞技场中获胜,请在竞技场战胜{TaskCount}次。
1203,@1201,{ReplaceString1}连胜,,在竞技场中连胜,在角斗场中连胜{TaskCondition}次。
1301,每日副本,@209,困难以上,每日副本({ReplaceString2})过关,通关{TaskCount}次困难以上精灵圣殿。
1303,,向天空,,扫荡傲慢之塔,请扫荡傲慢之塔{TaskCount}次。
1304,,药草王,,采集副本采集药草,请在采集副本采集{TaskCount}株药草。
1306,@207,{ReplaceString1}大师,@1301,金币副本({ReplaceString2})SS以上过关,请以SS级以上完成{TaskCount}次难度困难以上的金币副本。
1307,@207,@1106,,达成金币副本连击,在黄金巢穴中达成{TaskCondition}连击吧。
1308,@209,@209,@1301,经验值副本({ReplaceString2})SSS过关,请以SSS级通关{TaskCount}次困难以上深渊炼狱。
1401,黑暗的君主,@401,巴尔卡伦（简单）,@1101,在巴尔卡伦之痕（简单）中消灭{TaskCount}次巴尔卡伦。
1402,@1401,@401,巴尔卡伦（普通）,@1101,在巴尔卡伦之痕（普通）中消灭{TaskCount}次巴尔卡伦。
1403,@1401,@401,巴尔卡伦（困难）,@1101,在巴尔卡伦之痕（困难）中消灭{TaskCount}次巴尔卡伦。
1411,群落的教母,@401,巨蚁女王（简单）,@1101,在巨蚁女王洞窟（简单）中消灭{TaskCount}次巨蚁女王。
1412,@1411,@401,巨蚁女王（普通）,@1101,在巨蚁女王洞窟（普通）中消灭{TaskCount}次巨蚁女王。
1413,@1411,@401,巨蚁女王（困难）,@1101,在巨蚁女王洞窟（困难）中消灭{TaskCount}次巨蚁女王。
1421,精神支配者,@401,克鲁玛核心（简单）,@1101,在克鲁玛核心之房（简单）中消灭{TaskCount}次克鲁玛核心。
1422,@1421,@401,克鲁玛核心（普通）,@1101,在克鲁玛核心之房（普通）中消灭{TaskCount}次克鲁玛核心。
1423,@1421,@401,克鲁玛核心（困难）,@1101,在克鲁玛核心之房（困难）中消灭{TaskCount}次克鲁玛核心。
1501,,喜欢符文刻印,,尝试刻印符文,尝试符文刻印{TaskCount}次。
1502,,符文刻印最棒,,符文刻印成功,符文刻印成功{TaskCount}次。
1511,,灵药最棒,,制作灵药,请制作{TaskCount}瓶灵药。
1521,,积少成多,金币,获得{ReplaceString2},请取得{TaskCount}金币。
1522,血盟,为了{ReplaceString1},血之证,@1521,请取得{TaskCount}个血之证。
1523,血盟副本,@1522,红色星石,@1521,请取得{TaskCount}个红色星石。
1524,怪物核心,@1106,怪物核心,@1521,请取得{TaskCount}个怪物核心。
1525,搜魂石,@1106,搜魂石,@1521,请取得{TaskCount}个搜魂石。
1527,C,{ReplaceString1}级道具发烧友,@1011,获得{ReplaceString2}级道具,获得{TaskCount}个凡品道具。
1528,B,@1527,@1012,@1527,请取得{TaskCount}个B级道具。
1529,A,@1527,@1013,@1527,请取得{TaskCount}个A级道具。
1530,顶级,{ReplaceString1}道具发烧友,@1014,获得{ReplaceString2}级以上道具,获得{TaskCount}个完美以上道具。
1551,装备,@1106,装备,获得{ReplaceString2}道具,请取得{TaskCount}个装备道具。
1552,宠物装备,@1106,宠物装备,@1551,获得{TaskCount}个宠物装备道具。
1601,,装备成长的基本,@1551,尝试升级{ReplaceString2},尝试升级装备{TaskCount}次以上。
1602,,坐骑的装备也很重要,@1552,@1601,尝试升级宠物装备{TaskCount}次以上。
1603,,装备成长的基石,进阶,尝试{ReplaceString2}装备,尝试{TaskCount}次装备进阶。
1604,,为了想要的装备,合成,@1603,请尝试合成装备{TaskCount}次以上。
1605,,沉着地强化,强化,@1603,请尝试强化装备{TaskCount}次以上。
1606,,冷静地强化,装备强化成功,{ReplaceString2},请强化装备成功{TaskCount}次以上 。
1607,,特性强化是终结者,特性强化,@1603,尝试{TaskCount}次装备特性强化。
1608,,装备的细节是设定,变更属性,@1603,尝试变更装备属性{TaskCount}次。
1609,,不知极限为何,超越,@1603,尝试{TaskCount}次装备突破。
1801,,你变强了，快突击,灵魂弹,使用{ReplaceString2},请使用{TaskCount}个灵魂弹。
1802,健康,@1522,HP药水,@1801,请使用{TaskCount}瓶HP药水。
1803,@1802,@1522,MP药水,@1801,请使用{TaskCount}瓶MP药水。
1804,亚丁世界,{ReplaceString1}的成长,@1521,@1801,使用{TaskCount}金币。
1805,@1804,{ReplaceString1}之发展,红钻,@1801,请使用{TaskCount}个红钻。
1806,@1804,{ReplaceString1}之荣光,蓝钻,@1801,请使用{TaskCount}个蓝钻。
1807,,大胆地强化,@1605,@1603,请尝试强化{TaskCount}次。
1901,@1522,@1522,,获得血盟贡献度,请获得{TaskCount}血盟贡献度。
1902,,有礼貌的血盟成员,,问候血盟成员,请问候血盟成员{TaskCount}次以上。
1903,,捐赠天使,,血盟捐赠,请捐赠血盟{TaskCount}次。
1904,@1522,@1804,@1521,捐赠{ReplaceString2}给血盟,请捐赠{TaskCount}金币给血盟。
1905,@1522,@1805,@1522,@1904,请向血盟捐赠{TaskCount}个血之证。
1906,@1522,@1806,@1523,@1904,请捐赠{TaskCount}个红色星石给血盟。
9015,,虽然没有备齐,小型宴会,在据点订购{ReplaceString2},在血盟据点订购{TaskCount}个小型晚宴。
9016,,备齐一些了,中型宴会,@9015,在血盟据点订购{TaskCount}个中型晚宴。
9017,,今天要大吃大喝,大型宴会,@9015,在血盟据点订购{TaskCount}个大型晚宴。
9018,,涌现猛虎之力,,于血盟据点内制造药水,在血盟据点制作{TaskCount}瓶个人药水。
9019,,遗物王,,于血盟据点内鉴定遗物,在血盟据点鉴定{TaskCount}个遗物。
