ItemGrade,EquipmentType,WeaponType,Level,EnchantEfficiency,SuccessRate,SuccessRateBless,FailurePenalty,RequiredAdena,RequiredProtectionJewel,RequiredEnchantScroll
1,0,6,1,5,10000,10000,0,900,0,1
1,0,6,2,10,10000,10000,0,900,0,1
1,0,6,3,15,9000,9000,1,900,1,1
1,0,6,4,20,8000,8000,1,900,1,1
1,0,6,5,28,,,,,,
1,9,6,0,0,10000,10000,0,900,0,1
1,9,6,1,5,10000,10000,0,900,0,1
1,9,6,2,10,10000,10000,0,900,0,1
1,9,6,3,15,9000,9000,1,900,1,1
1,9,6,4,20,8000,8000,1,900,1,1
1,9,6,5,28,,,,,,
1,4,6,0,0,10000,10000,0,900,0,1
1,4,6,1,5,10000,10000,0,900,0,1
1,4,6,2,10,10000,10000,0,900,0,1
1,4,6,3,15,9000,9000,1,900,1,1
1,4,6,4,20,8000,8000,1,900,1,1
1,4,6,5,28,,,,,,
1,7,6,0,0,10000,10000,0,900,0,1
1,7,6,1,5,10000,10000,0,900,0,1
1,7,6,2,10,10000,10000,0,900,0,1
1,7,6,3,15,9000,9000,1,900,1,1
1,7,6,4,20,8000,8000,1,900,1,1
1,7,6,5,28,,,,,,
2,1,0,0,0,10000,10000,0,3400,0,1
2,1,0,1,5,10000,10000,0,3400,0,1
2,1,0,2,10,10000,10000,0,3400,0,1
2,1,0,3,15,9000,9000,1,3400,1,1
2,1,0,4,20,8000,8000,1,3400,1,1
2,1,0,5,28,7000,7000,1,16700,2,2
2,1,0,6,36,6000,6000,1,16700,2,2
2,1,0,7,44,5000,5000,1,16700,3,2
2,1,0,8,52,4500,4500,1,16700,3,2
2,1,0,9,60,4500,4500,1,16700,4,2
2,1,0,10,70,,,,,,
2,1,1,0,0,10000,10000,0,3400,0,1
2,1,1,1,5,10000,10000,0,3400,0,1
2,1,1,2,10,10000,10000,0,3400,0,1
2,1,1,3,15,9000,9000,1,3400,1,1
2,1,1,4,20,8000,8000,1,3400,1,1
2,1,1,5,28,7000,7000,1,16700,2,2
2,1,1,6,36,6000,6000,1,16700,2,2
2,1,1,7,44,5000,5000,1,16700,3,2
2,1,1,8,52,4500,4500,1,16700,3,2
2,1,1,9,60,4500,4500,1,16700,4,2
2,1,1,10,70,,,,,,
2,1,2,0,0,10000,10000,0,3400,0,1
2,1,2,1,5,10000,10000,0,3400,0,1
2,1,2,2,10,10000,10000,0,3400,0,1
2,1,2,3,15,9000,9000,1,3400,1,1
2,1,2,4,20,8000,8000,1,3400,1,1
2,1,2,5,28,7000,7000,1,16700,2,2
2,1,2,6,36,6000,6000,1,16700,2,2
2,1,2,7,44,5000,5000,1,16700,3,2
2,1,2,8,52,4500,4500,1,16700,3,2
2,1,2,9,60,4500,4500,1,16700,4,2
2,1,2,10,70,,,,,,
2,1,3,0,0,10000,10000,0,3400,0,1
2,1,3,1,5,10000,10000,0,3400,0,1
2,1,3,2,10,10000,10000,0,3400,0,1
2,1,3,3,15,9000,9000,1,3400,1,1
2,1,3,4,20,8000,8000,1,3400,1,1
2,1,3,5,28,7000,7000,1,16700,2,2
2,1,3,6,36,6000,6000,1,16700,2,2
2,1,3,7,44,5000,5000,1,16700,3,2
2,1,3,8,52,4500,4500,1,16700,3,2
2,1,3,9,60,4500,4500,1,16700,4,2
2,1,3,10,70,,,,,,
2,1,4,0,0,10000,10000,0,3400,0,1
2,1,4,1,5,10000,10000,0,3400,0,1
2,1,4,2,10,10000,10000,0,3400,0,1
2,1,4,3,15,9000,9000,1,3400,1,1
2,1,4,4,20,8000,8000,1,3400,1,1
2,1,4,5,28,7000,7000,1,16700,2,2
2,1,4,6,36,6000,6000,1,16700,2,2
2,1,4,7,44,5000,5000,1,16700,3,2
2,1,4,8,52,4500,4500,1,16700,3,2
2,1,4,9,60,4500,4500,1,16700,4,2
2,1,4,10,70,,,,,,
2,1,5,0,0,10000,10000,0,3400,0,1
2,1,5,1,5,10000,10000,0,3400,0,1
2,1,5,2,10,10000,10000,0,3400,0,1
2,1,5,3,15,9000,9000,1,3400,1,1
2,1,5,4,20,8000,8000,1,3400,1,1
2,1,5,5,28,7000,7000,1,16700,2,2
2,1,5,6,36,6000,6000,1,16700,2,2
2,1,5,7,44,5000,5000,1,16700,3,2
2,1,5,8,52,4500,4500,1,16700,3,2
2,1,5,9,60,4500,4500,1,16700,4,2
2,1,5,10,70,,,,,,
2,2,6,0,0,10000,10000,0,900,0,1
2,2,6,1,5,10000,10000,0,900,0,1
2,2,6,2,10,10000,10000,0,900,0,1
2,2,6,3,15,9000,9000,1,900,1,1
2,2,6,4,20,8000,8000,1,900,1,1
2,2,6,5,28,7000,7000,1,4200,2,2
2,2,6,6,36,6000,6000,1,4200,2,2
2,2,6,7,44,5000,5000,1,4200,3,2
2,2,6,8,52,4500,4500,1,4200,3,2
2,2,6,9,60,4500,4500,1,4200,4,2
2,2,6,10,70,,,,,,
2,6,6,0,0,10000,10000,0,900,0,1
2,6,6,1,5,10000,10000,0,900,0,1
2,6,6,2,10,10000,10000,0,900,0,1
2,6,6,3,15,9000,9000,1,900,1,1
2,6,6,4,20,8000,8000,1,900,1,1
2,6,6,5,28,7000,7000,1,4200,2,2
2,6,6,6,36,6000,6000,1,4200,2,2
2,6,6,7,44,5000,5000,1,4200,3,2
2,6,6,8,52,4500,4500,1,4200,3,2
2,6,6,9,60,4500,4500,1,4200,4,2
2,6,6,10,70,,,,,,
2,8,6,0,0,10000,10000,0,900,0,1
2,8,6,1,5,10000,10000,0,900,0,1
2,8,6,2,10,10000,10000,0,900,0,1
2,8,6,3,15,9000,9000,1,900,1,1
2,8,6,4,20,8000,8000,1,900,1,1
2,8,6,5,28,7000,7000,1,4200,2,2
2,8,6,6,36,6000,6000,1,4200,2,2
2,8,6,7,44,5000,5000,1,4200,3,2
2,8,6,8,52,4500,4500,1,4200,3,2
2,8,6,9,60,4500,4500,1,4200,4,2
2,8,6,10,70,,,,,,
2,0,6,0,0,10000,10000,0,900,0,1
2,0,6,1,5,10000,10000,0,900,0,1
2,0,6,2,10,10000,10000,0,900,0,1
2,0,6,3,15,9000,9000,1,900,1,1
2,0,6,4,20,8000,8000,1,900,1,1
2,0,6,5,28,7000,7000,1,4200,2,2
2,0,6,6,36,6000,6000,1,4200,2,2
2,0,6,7,44,5000,5000,1,4200,3,2
2,0,6,8,52,4500,4500,1,4200,3,2
2,0,6,9,60,4500,4500,1,4200,4,2
2,0,6,10,70,,,,,,
2,9,6,0,0,10000,10000,0,900,0,1
2,9,6,1,5,10000,10000,0,900,0,1
2,9,6,2,10,10000,10000,0,900,0,1
2,9,6,3,15,9000,9000,1,900,1,1
2,9,6,4,20,8000,8000,1,900,1,1
2,9,6,5,28,7000,7000,1,4200,2,2
2,9,6,6,36,6000,6000,1,4200,2,2
2,9,6,7,44,5000,5000,1,4200,3,2
2,9,6,8,52,4500,4500,1,4200,3,2
2,9,6,9,60,4500,4500,1,4200,4,2
2,9,6,10,70,,,,,,
2,4,6,0,0,10000,10000,0,900,0,1
2,4,6,1,5,10000,10000,0,900,0,1
2,4,6,2,10,10000,10000,0,900,0,1
2,4,6,3,15,9000,9000,1,900,1,1
2,4,6,4,20,8000,8000,1,900,1,1
2,4,6,5,28,7000,7000,1,4200,2,2
2,4,6,6,36,6000,6000,1,4200,2,2
2,4,6,7,44,5000,5000,1,4200,3,2
2,4,6,8,52,4500,4500,1,4200,3,2
2,4,6,9,60,4500,4500,1,4200,4,2
2,4,6,10,70,,,,,,
2,7,6,0,0,10000,10000,0,900,0,1
2,7,6,1,5,10000,10000,0,900,0,1
2,7,6,2,10,10000,10000,0,900,0,1
2,7,6,3,15,9000,9000,1,900,1,1
2,7,6,4,20,8000,8000,1,900,1,1
2,7,6,5,28,7000,7000,1,4200,2,2
2,7,6,6,36,6000,6000,1,4200,2,2
2,7,6,7,44,5000,5000,1,4200,3,2
2,7,6,8,52,4500,4500,1,4200,3,2
2,7,6,9,60,4500,4500,1,4200,4,2
2,7,6,10,70,,,,,,
3,1,0,0,0,10000,10000,0,3400,0,1
3,1,0,1,5,10000,10000,0,3400,0,1
3,1,0,2,10,10000,10000,0,3400,0,1
3,1,0,3,15,9000,9000,1,3400,1,1
3,1,0,4,20,8000,8000,1,3400,1,1
3,1,0,5,28,7000,7000,1,16700,2,2
3,1,0,6,36,6000,6000,1,16700,2,2
3,1,0,7,44,5000,5000,1,16700,3,2
3,1,0,8,52,4500,4500,1,16700,3,2
3,1,0,9,60,4500,4500,1,16700,4,2
3,1,0,10,70,4500,4500,0,33400,4,3
3,1,0,11,80,4500,4500,1,33400,5,3
3,1,0,12,90,4500,4500,1,33400,5,3
3,1,0,13,100,4000,4000,1,33400,6,3
3,1,0,14,110,4000,4000,1,33400,6,3
3,1,0,15,122,,,,,,
3,1,1,0,0,10000,10000,0,3400,0,1
3,1,1,1,5,10000,10000,0,3400,0,1
3,1,1,2,10,10000,10000,0,3400,0,1
3,1,1,3,15,9000,9000,1,3400,1,1
3,1,1,4,20,8000,8000,1,3400,1,1
3,1,1,5,28,7000,7000,1,16700,2,2
3,1,1,6,36,6000,6000,1,16700,2,2
3,1,1,7,44,5000,5000,1,16700,3,2
3,1,1,8,52,4500,4500,1,16700,3,2
3,1,1,9,60,4500,4500,1,16700,4,2
3,1,1,10,70,4500,4500,0,33400,4,3
3,1,1,11,80,4500,4500,1,33400,5,3
3,1,1,12,90,4500,4500,1,33400,5,3
3,1,1,13,100,4000,4000,1,33400,6,3
3,1,1,14,110,4000,4000,1,33400,6,3
3,1,1,15,122,,,,,,
3,1,2,0,0,10000,10000,0,3400,0,1
3,1,2,1,5,10000,10000,0,3400,0,1
3,1,2,2,10,10000,10000,0,3400,0,1
3,1,2,3,15,9000,9000,1,3400,1,1
3,1,2,4,20,8000,8000,1,3400,1,1
3,1,2,5,28,7000,7000,1,16700,2,2
3,1,2,6,36,6000,6000,1,16700,2,2
3,1,2,7,44,5000,5000,1,16700,3,2
3,1,2,8,52,4500,4500,1,16700,3,2
3,1,2,9,60,4500,4500,1,16700,4,2
3,1,2,10,70,4500,4500,0,33400,4,3
3,1,2,11,80,4500,4500,1,33400,5,3
3,1,2,12,90,4500,4500,1,33400,5,3
3,1,2,13,100,4000,4000,1,33400,6,3
3,1,2,14,110,4000,4000,1,33400,6,3
3,1,2,15,122,,,,,,
3,1,3,0,0,10000,10000,0,3400,0,1
3,1,3,1,5,10000,10000,0,3400,0,1
3,1,3,2,10,10000,10000,0,3400,0,1
3,1,3,3,15,9000,9000,1,3400,1,1
3,1,3,4,20,8000,8000,1,3400,1,1
3,1,3,5,28,7000,7000,1,16700,2,2
3,1,3,6,36,6000,6000,1,16700,2,2
3,1,3,7,44,5000,5000,1,16700,3,2
3,1,3,8,52,4500,4500,1,16700,3,2
3,1,3,9,60,4500,4500,1,16700,4,2
3,1,3,10,70,4500,4500,0,33400,4,3
3,1,3,11,80,4500,4500,1,33400,5,3
3,1,3,12,90,4500,4500,1,33400,5,3
3,1,3,13,100,4000,4000,1,33400,6,3
3,1,3,14,110,4000,4000,1,33400,6,3
3,1,3,15,122,,,,,,
3,1,4,0,0,10000,10000,0,3400,0,1
3,1,4,1,5,10000,10000,0,3400,0,1
3,1,4,2,10,10000,10000,0,3400,0,1
3,1,4,3,15,9000,9000,1,3400,1,1
3,1,4,4,20,8000,8000,1,3400,1,1
3,1,4,5,28,7000,7000,1,16700,2,2
3,1,4,6,36,6000,6000,1,16700,2,2
3,1,4,7,44,5000,5000,1,16700,3,2
3,1,4,8,52,4500,4500,1,16700,3,2
3,1,4,9,60,4500,4500,1,16700,4,2
3,1,4,10,70,4500,4500,0,33400,4,3
3,1,4,11,80,4500,4500,1,33400,5,3
3,1,4,12,90,4500,4500,1,33400,5,3
3,1,4,13,100,4000,4000,1,33400,6,3
3,1,4,14,110,4000,4000,1,33400,6,3
3,1,4,15,122,,,,,,
3,1,5,0,0,10000,10000,0,3400,0,1
3,1,5,1,5,10000,10000,0,3400,0,1
3,1,5,2,10,10000,10000,0,3400,0,1
3,1,5,3,15,9000,9000,1,3400,1,1
3,1,5,4,20,8000,8000,1,3400,1,1
3,1,5,5,28,7000,7000,1,16700,2,2
3,1,5,6,36,6000,6000,1,16700,2,2
3,1,5,7,44,5000,5000,1,16700,3,2
3,1,5,8,52,4500,4500,1,16700,3,2
3,1,5,9,60,4500,4500,1,16700,4,2
3,1,5,10,70,4500,4500,0,33400,4,3
3,1,5,11,80,4500,4500,1,33400,5,3
3,1,5,12,90,4500,4500,1,33400,5,3
3,1,5,13,100,4000,4000,1,33400,6,3
3,1,5,14,110,4000,4000,1,33400,6,3
3,1,5,15,122,,,,,,
3,2,6,0,0,10000,10000,0,900,0,1
3,2,6,1,5,10000,10000,0,900,0,1
3,2,6,2,10,10000,10000,0,900,0,1
3,2,6,3,15,9000,9000,1,900,1,1
3,2,6,4,20,8000,8000,1,900,1,1
3,2,6,5,28,7000,7000,1,4200,2,2
3,2,6,6,36,6000,6000,1,4200,2,2
3,2,6,7,44,5000,5000,1,4200,3,2
3,2,6,8,52,4500,4500,1,4200,3,2
3,2,6,9,60,4500,4500,1,4200,4,2
3,2,6,10,70,4500,4500,0,8400,4,3
3,2,6,11,80,4500,4500,1,8400,5,3
3,2,6,12,90,4500,4500,1,8400,5,3
3,2,6,13,100,4000,4000,1,8400,6,3
3,2,6,14,110,4000,4000,1,8400,6,3
3,2,6,15,122,,,,,,
3,6,6,0,0,10000,10000,0,900,0,1
3,6,6,1,5,10000,10000,0,900,0,1
3,6,6,2,10,10000,10000,0,900,0,1
3,6,6,3,15,9000,9000,1,900,1,1
3,6,6,4,20,8000,8000,1,900,1,1
3,6,6,5,28,7000,7000,1,4200,2,2
3,6,6,6,36,6000,6000,1,4200,2,2
3,6,6,7,44,5000,5000,1,4200,3,2
3,6,6,8,52,4500,4500,1,4200,3,2
3,6,6,9,60,4500,4500,1,4200,4,2
3,6,6,10,70,4500,4500,0,8400,4,3
3,6,6,11,80,4500,4500,1,8400,5,3
3,6,6,12,90,4500,4500,1,8400,5,3
3,6,6,13,100,4000,4000,1,8400,6,3
3,6,6,14,110,4000,4000,1,8400,6,3
3,6,6,15,122,,,,,,
3,8,6,0,0,10000,10000,0,900,0,1
3,8,6,1,5,10000,10000,0,900,0,1
3,8,6,2,10,10000,10000,0,900,0,1
3,8,6,3,15,9000,9000,1,900,1,1
3,8,6,4,20,8000,8000,1,900,1,1
3,8,6,5,28,7000,7000,1,4200,2,2
3,8,6,6,36,6000,6000,1,4200,2,2
3,8,6,7,44,5000,5000,1,4200,3,2
3,8,6,8,52,4500,4500,1,4200,3,2
3,8,6,9,60,4500,4500,1,4200,4,2
3,8,6,10,70,4500,4500,0,8400,4,3
3,8,6,11,80,4500,4500,1,8400,5,3
3,8,6,12,90,4500,4500,1,8400,5,3
3,8,6,13,100,4000,4000,1,8400,6,3
3,8,6,14,110,4000,4000,1,8400,6,3
3,8,6,15,122,,,,,,
3,0,6,0,0,10000,10000,0,900,0,1
3,0,6,1,5,10000,10000,0,900,0,1
3,0,6,2,10,10000,10000,0,900,0,1
3,0,6,3,15,9000,9000,1,900,1,1
3,0,6,4,20,8000,8000,1,900,1,1
3,0,6,5,28,7000,7000,1,4200,2,2
3,0,6,6,36,6000,6000,1,4200,2,2
3,0,6,7,44,5000,5000,1,4200,3,2
3,0,6,8,52,4500,4500,1,4200,3,2
3,0,6,9,60,4500,4500,1,4200,4,2
3,0,6,10,70,4500,4500,0,8400,4,3
3,0,6,11,80,4500,4500,1,8400,5,3
3,0,6,12,90,4500,4500,1,8400,5,3
3,0,6,13,100,4000,4000,1,8400,6,3
3,0,6,14,110,4000,4000,1,8400,6,3
3,0,6,15,122,,,,,,
3,9,6,0,0,10000,10000,0,900,0,1
3,9,6,1,5,10000,10000,0,900,0,1
3,9,6,2,10,10000,10000,0,900,0,1
3,9,6,3,15,9000,9000,1,900,1,1
3,9,6,4,20,8000,8000,1,900,1,1
3,9,6,5,28,7000,7000,1,4200,2,2
3,9,6,6,36,6000,6000,1,4200,2,2
3,9,6,7,44,5000,5000,1,4200,3,2
3,9,6,8,52,4500,4500,1,4200,3,2
3,9,6,9,60,4500,4500,1,4200,4,2
3,9,6,10,70,4500,4500,0,8400,4,3
3,9,6,11,80,4500,4500,1,8400,5,3
3,9,6,12,90,4500,4500,1,8400,5,3
3,9,6,13,100,4000,4000,1,8400,6,3
3,9,6,14,110,4000,4000,1,8400,6,3
3,9,6,15,122,,,,,,
3,4,6,0,0,10000,10000,0,900,0,1
3,4,6,1,5,10000,10000,0,900,0,1
3,4,6,2,10,10000,10000,0,900,0,1
3,4,6,3,15,9000,9000,1,900,1,1
3,4,6,4,20,8000,8000,1,900,1,1
3,4,6,5,28,7000,7000,1,4200,2,2
3,4,6,6,36,6000,6000,1,4200,2,2
3,4,6,7,44,5000,5000,1,4200,3,2
3,4,6,8,52,4500,4500,1,4200,3,2
3,4,6,9,60,4500,4500,1,4200,4,2
3,4,6,10,70,4500,4500,0,8400,4,3
3,4,6,11,80,4500,4500,1,8400,5,3
3,4,6,12,90,4500,4500,1,8400,5,3
3,4,6,13,100,4000,4000,1,8400,6,3
3,4,6,14,110,4000,4000,1,8400,6,3
3,4,6,15,122,,,,,,
3,7,6,0,0,10000,10000,0,900,0,1
3,7,6,1,5,10000,10000,0,900,0,1
3,7,6,2,10,10000,10000,0,900,0,1
3,7,6,3,15,9000,9000,1,900,1,1
3,7,6,4,20,8000,8000,1,900,1,1
3,7,6,5,28,7000,7000,1,4200,2,2
3,7,6,6,36,6000,6000,1,4200,2,2
3,7,6,7,44,5000,5000,1,4200,3,2
3,7,6,8,52,4500,4500,1,4200,3,2
3,7,6,9,60,4500,4500,1,4200,4,2
3,7,6,10,70,4500,4500,0,8400,4,3
3,7,6,11,80,4500,4500,1,8400,5,3
3,7,6,12,90,4500,4500,1,8400,5,3
3,7,6,13,100,4000,4000,1,8400,6,3
3,7,6,14,110,4000,4000,1,8400,6,3
3,7,6,15,122,,,,,,
4,1,0,0,0,10000,10000,0,3400,0,1
4,1,0,1,5,10000,10000,0,3400,0,1
4,1,0,2,10,10000,10000,0,3400,0,1
4,1,0,3,15,9000,9000,1,3400,1,1
4,1,0,4,20,8000,8000,1,3400,1,1
4,1,0,5,28,7000,7000,1,16700,2,2
4,1,0,6,36,6000,6000,1,16700,2,2
4,1,0,7,44,5000,5000,1,16700,3,2
4,1,0,8,52,4500,4500,1,16700,3,2
4,1,0,9,60,4500,4500,1,16700,4,2
4,1,0,10,70,4500,4500,0,33400,4,3
4,1,0,11,80,4500,4500,1,33400,5,3
4,1,0,12,90,4500,4500,1,33400,5,3
4,1,0,13,100,4000,4000,1,33400,6,3
4,1,0,14,110,4000,4000,1,33400,6,3
4,1,0,15,122,4000,4000,1,33400,7,4
4,1,0,16,134,4000,4000,1,66700,7,4
4,1,0,17,146,4000,4000,1,66700,8,4
4,1,0,18,158,3500,3500,1,66700,8,4
4,1,0,19,170,3500,3500,1,66700,9,4
4,1,0,20,185,,,,,,
4,1,1,0,0,10000,10000,0,3400,0,1
4,1,1,1,5,10000,10000,0,3400,0,1
4,1,1,2,10,10000,10000,0,3400,0,1
4,1,1,3,15,9000,9000,1,3400,1,1
4,1,1,4,20,8000,8000,1,3400,1,1
4,1,1,5,28,7000,7000,1,16700,2,2
4,1,1,6,36,6000,6000,1,16700,2,2
4,1,1,7,44,5000,5000,1,16700,3,2
4,1,1,8,52,4500,4500,1,16700,3,2
4,1,1,9,60,4500,4500,1,16700,4,2
4,1,1,10,70,4500,4500,0,33400,4,3
4,1,1,11,80,4500,4500,1,33400,5,3
4,1,1,12,90,4500,4500,1,33400,5,3
4,1,1,13,100,4000,4000,1,33400,6,3
4,1,1,14,110,4000,4000,1,33400,6,3
4,1,1,15,122,4000,4000,1,33400,7,4
4,1,1,16,134,4000,4000,1,66700,7,4
4,1,1,17,146,4000,4000,1,66700,8,4
4,1,1,18,158,3500,3500,1,66700,8,4
4,1,1,19,170,3500,3500,1,66700,9,4
4,1,1,20,185,,,,,,
4,1,2,0,0,10000,10000,0,3400,0,1
4,1,2,1,5,10000,10000,0,3400,0,1
4,1,2,2,10,10000,10000,0,3400,0,1
4,1,2,3,15,9000,9000,1,3400,1,1
4,1,2,4,20,8000,8000,1,3400,1,1
4,1,2,5,28,7000,7000,1,16700,2,2
4,1,2,6,36,6000,6000,1,16700,2,2
4,1,2,7,44,5000,5000,1,16700,3,2
4,1,2,8,52,4500,4500,1,16700,3,2
4,1,2,9,60,4500,4500,1,16700,4,2
4,1,2,10,70,4500,4500,0,33400,4,3
4,1,2,11,80,4500,4500,1,33400,5,3
4,1,2,12,90,4500,4500,1,33400,5,3
4,1,2,13,100,4000,4000,1,33400,6,3
4,1,2,14,110,4000,4000,1,33400,6,3
4,1,2,15,122,4000,4000,1,33400,7,4
4,1,2,16,134,4000,4000,1,66700,7,4
4,1,2,17,146,4000,4000,1,66700,8,4
4,1,2,18,158,3500,3500,1,66700,8,4
4,1,2,19,170,3500,3500,1,66700,9,4
4,1,2,20,185,,,,,,
4,1,3,0,0,10000,10000,0,3400,0,1
4,1,3,1,5,10000,10000,0,3400,0,1
4,1,3,2,10,10000,10000,0,3400,0,1
4,1,3,3,15,9000,9000,1,3400,1,1
4,1,3,4,20,8000,8000,1,3400,1,1
4,1,3,5,28,7000,7000,1,16700,2,2
4,1,3,6,36,6000,6000,1,16700,2,2
4,1,3,7,44,5000,5000,1,16700,3,2
4,1,3,8,52,4500,4500,1,16700,3,2
4,1,3,9,60,4500,4500,1,16700,4,2
4,1,3,10,70,4500,4500,0,33400,4,3
4,1,3,11,80,4500,4500,1,33400,5,3
4,1,3,12,90,4500,4500,1,33400,5,3
4,1,3,13,100,4000,4000,1,33400,6,3
4,1,3,14,110,4000,4000,1,33400,6,3
4,1,3,15,122,4000,4000,1,33400,7,4
4,1,3,16,134,4000,4000,1,66700,7,4
4,1,3,17,146,4000,4000,1,66700,8,4
4,1,3,18,158,3500,3500,1,66700,8,4
4,1,3,19,170,3500,3500,1,66700,9,4
4,1,3,20,185,,,,,,
4,1,4,0,0,10000,10000,0,3400,0,1
4,1,4,1,5,10000,10000,0,3400,0,1
4,1,4,2,10,10000,10000,0,3400,0,1
4,1,4,3,15,9000,9000,1,3400,1,1
4,1,4,4,20,8000,8000,1,3400,1,1
4,1,4,5,28,7000,7000,1,16700,2,2
4,1,4,6,36,6000,6000,1,16700,2,2
4,1,4,7,44,5000,5000,1,16700,3,2
4,1,4,8,52,4500,4500,1,16700,3,2
4,1,4,9,60,4500,4500,1,16700,4,2
4,1,4,10,70,4500,4500,0,33400,4,3
4,1,4,11,80,4500,4500,1,33400,5,3
4,1,4,12,90,4500,4500,1,33400,5,3
4,1,4,13,100,4000,4000,1,33400,6,3
4,1,4,14,110,4000,4000,1,33400,6,3
4,1,4,15,122,4000,4000,1,33400,7,4
4,1,4,16,134,4000,4000,1,66700,7,4
4,1,4,17,146,4000,4000,1,66700,8,4
4,1,4,18,158,3500,3500,1,66700,8,4
4,1,4,19,170,3500,3500,1,66700,9,4
4,1,4,20,185,,,,,,
4,1,5,0,0,10000,10000,0,3400,0,1
4,1,5,1,5,10000,10000,0,3400,0,1
4,1,5,2,10,10000,10000,0,3400,0,1
4,1,5,3,15,9000,9000,1,3400,1,1
4,1,5,4,20,8000,8000,1,3400,1,1
4,1,5,5,28,7000,7000,1,16700,2,2
4,1,5,6,36,6000,6000,1,16700,2,2
4,1,5,7,44,5000,5000,1,16700,3,2
4,1,5,8,52,4500,4500,1,16700,3,2
4,1,5,9,60,4500,4500,1,16700,4,2
4,1,5,10,70,4500,4500,0,33400,4,3
4,1,5,11,80,4500,4500,1,33400,5,3
4,1,5,12,90,4500,4500,1,33400,5,3
4,1,5,13,100,4000,4000,1,33400,6,3
4,1,5,14,110,4000,4000,1,33400,6,3
4,1,5,15,122,4000,4000,1,33400,7,4
4,1,5,16,134,4000,4000,1,66700,7,4
4,1,5,17,146,4000,4000,1,66700,8,4
4,1,5,18,158,3500,3500,1,66700,8,4
4,1,5,19,170,3500,3500,1,66700,9,4
4,1,5,20,185,,,,,,
4,2,6,0,0,10000,10000,0,900,0,1
4,2,6,1,5,10000,10000,0,900,0,1
4,2,6,2,10,10000,10000,0,900,0,1
4,2,6,3,15,9000,9000,1,900,1,1
4,2,6,4,20,8000,8000,1,900,1,1
4,2,6,5,28,7000,7000,1,4200,2,2
4,2,6,6,36,6000,6000,1,4200,2,2
4,2,6,7,44,5000,5000,1,4200,3,2
4,2,6,8,52,4500,4500,1,4200,3,2
4,2,6,9,60,4500,4500,1,4200,4,2
4,2,6,10,70,4500,4500,0,8400,4,3
4,2,6,11,80,4500,4500,1,8400,5,3
4,2,6,12,90,4500,4500,1,8400,5,3
4,2,6,13,100,4000,4000,1,8400,6,3
4,2,6,14,110,4000,4000,1,8400,6,3
4,2,6,15,122,4000,4000,1,8400,7,4
4,2,6,16,134,4000,4000,1,16700,7,4
4,2,6,17,146,4000,4000,1,16700,8,4
