Id,GroupId,ConditionType,ConditionValue,ContentsLockId,TaskType,Repeat,ShowRateGroup,ShowRate,RequireQuest,CharLevel,PortraitTexture,Duration,Delay,Sound,LimitPeriod,LimitCount,AllowWorld,PvPLimit
200002,200001,3,,,127,0,,,,1,Erika_03,500,500,Announce_101_2,1,1,World;RegularDungeonWorld,1
200003,200001,3,,,127,0,,,,1,Erika_03,500,500,Announce_101_3,1,1,World;RegularDungeonWorld,1
200004,200001,3,,,127,0,,,,1,Erika_01,500,500,Announce_101_4,1,1,World;RegularDungeonWorld,1
200005,200001,3,,,127,0,,,,1,Erika_03,500,500,Announce_101_5,1,1,World;RegularDungeonWorld,1
300001,300001,12,1001,,127,0,,100,,1,Erika_01,500,500,Announce_201_1,0,0,World,0
300002,300001,12,1001,,127,0,,100,,1,Erika_01,500,500,Announce_201_2,0,0,World,0
300003,300001,12,1001,,127,0,,100,,1,Erika_01,500,500,Announce_201_3,0,0,World,0
300004,300001,12,1001,,127,0,,100,,1,Erika_03,500,500,Announce_201_4,0,0,World,0
300101,300101,13,2002,,127,0,,100,,1,Erika_01,500,500,Announce_202_1,0,0,World,0
300102,300101,13,2002,,127,0,,100,,1,Erika_02,500,500,Announce_202_2,0,0,World,0
300103,300101,13,2002,,127,0,,100,,1,Erika_01,500,500,Announce_202_3,0,0,World,0
300104,300101,13,2002,,127,0,,100,,1,Erika_03,500,500,Announce_202_4,0,0,World,0
300201,300201,12,3002,,127,0,,100,,1,Erika_02,500,500,Announce_203_1,0,0,World;QuestWorld,0
300202,300201,12,3002,,127,0,,100,,1,Erika_02,500,500,Announce_203_2,0,0,World;QuestWorld,0
300203,300201,12,3002,,127,0,,100,,1,Erika_02,500,500,Announce_203_3,0,0,World;QuestWorld,0
300204,300201,12,3002,,127,0,,100,,1,Erika_01,500,500,Announce_203_4,0,0,World;QuestWorld,0
300205,300201,12,3002,,127,0,,100,,1,Erika_03,500,500,Announce_203_5,0,0,World;QuestWorld,0
300301,300301,13,4004,,127,0,,100,,1,Erika_02,500,500,Announce_204_1,0,0,World,0
300302,300301,13,4004,,127,0,,100,,1,Erika_02,500,500,Announce_204_2,0,0,World,0
300303,300301,13,4004,,127,0,,100,,1,Erika_02,500,500,Announce_204_3,0,0,World,0
300304,300301,13,4004,,127,0,,100,,1,Erika_01,500,500,Announce_204_4,0,0,World,0
300401,300401,12,5001,,127,0,,100,,1,Erika_01,500,500,Announce_205_1,0,0,World,0
300402,300401,12,5001,,127,0,,100,,1,Erika_02,500,500,Announce_205_2,0,0,World,0
300403,300401,12,5001,,127,0,,100,,1,Erika_01,500,500,Announce_205_3,0,0,World,0
300404,300401,12,5001,,127,0,,100,,1,Erika_03,500,500,Announce_205_4,0,0,World,0
300501,300501,12,6003,,127,0,,100,,1,Erika_02,500,500,Announce_206_1,0,0,World,0
300503,300501,12,6003,,127,0,,100,,1,Erika_03,500,500,Announce_206_3,0,0,World,0
300504,300501,12,6003,,127,0,,100,,1,Erika_03,500,500,Announce_206_4,0,0,World,0
300601,300601,2,7,,127,0,,100,,1,Erika_01,500,500,Announce_207_1,0,0,World,0
300602,300601,2,7,,127,0,,100,,1,Erika_04,500,500,Announce_207_2,0,0,World,0
300603,300601,2,7,,127,0,,100,,1,Erika_01,500,500,Announce_207_3,0,0,World,0
300604,300601,2,7,,127,0,,100,,1,Erika_03,500,500,Announce_207_4,0,0,World,0
300701,300701,12,8001,,127,0,,100,,1,Erika_01,500,500,Announce_208_1,0,0,World,0
300702,300701,12,8001,,127,0,,100,,1,Erika_01,500,500,Announce_208_2,0,0,World,0
300703,300701,12,8001,,127,0,,100,,1,Erika_01,500,500,Announce_208_3,0,0,World,0
300704,300701,12,8001,,127,0,,100,,1,Erika_01,500,500,Announce_208_4,0,0,World,0
300705,300701,12,8001,,127,0,,100,,1,Erika_03,500,500,Announce_208_5,0,0,World,0
300801,300801,12,9001,,127,0,,100,,1,Erika_03,500,500,Announce_209_1,0,0,World,0
300802,300801,12,9001,,127,0,,100,,1,Erika_02,500,500,Announce_209_2,0,0,World,0
300803,300801,12,9001,,127,0,,100,,1,Erika_02,500,500,Announce_209_3,0,0,World,0
300804,300801,12,9001,,127,0,,100,,1,Erika_01,500,500,Announce_209_4,0,0,World,0
300805,300801,12,9001,,127,0,,100,,1,Erika_03,500,500,Announce_209_5,0,0,World,0
300901,300901,12,10003,,127,0,,100,,1,Erika_02,500,500,Announce_210_1,0,0,World,0
300902,300901,12,10003,,127,0,,100,,1,Erika_02,500,500,Announce_210_2,0,0,World,0
300903,300901,12,10003,,127,0,,100,,1,Erika_02,500,500,Announce_210_3,0,0,World,0
300904,300901,12,10003,,127,0,,100,,1,Erika_01,500,500,Announce_210_4,0,0,World,0
300905,300901,12,10003,,127,0,,100,,1,Erika_03,500,500,Announce_210_5,0,0,World,0
301001,301001,12,11001,,127,0,,100,,1,Erika_03,500,500,Announce_211_1,0,0,World,0
301002,301001,12,11001,,127,0,,100,,1,Erika_01,500,500,Announce_211_2,0,0,World,0
301003,301001,12,11001,,127,0,,100,,1,Erika_01,500,500,Announce_211_3,0,0,World,0
301004,301001,12,11001,,127,0,,100,,1,Erika_03,500,500,Announce_211_4,0,0,World,0
301005,301001,12,11001,,127,0,,100,,1,Erika_03,500,500,Announce_211_5,0,0,World,0
301101,301101,2,12,,127,0,,100,,1,Erika_02,2500,500,Announce_203_5,0,0,World,0
301102,301101,2,12,,127,0,,100,,1,Erika_02,2500,500,,0,0,World,0
301103,301101,2,12,,127,0,,100,,1,Erika_01,2500,500,,0,0,World,0
301104,301101,2,12,,127,0,,100,,1,Erika_03,2500,500,,0,0,World,0
301201,301201,2,13,,127,0,,100,,1,Erika_03,2500,500,Announce_101_5,0,0,World,0
301202,301201,2,13,,127,0,,100,,1,Erika_01,2500,500,,0,0,World,0
301203,301201,2,13,,127,0,,100,,1,Erika_01,2500,500,,0,0,World,0
301204,301201,2,13,,127,0,,100,,1,Erika_03,2500,500,,0,0,World,0
301301,301301,2,14,,127,0,,100,,1,Erika_02,2500,500,Announce_203_5,0,0,World,0
301302,301301,2,14,,127,0,,100,,1,Erika_02,2500,500,,0,0,World,0
301303,301301,2,14,,127,0,,100,,1,Erika_02,2500,500,,0,0,World,0
301304,301301,2,14,,127,0,,100,,1,Erika_01,2500,500,,0,0,World,0
301305,301301,2,14,,127,0,,100,,1,Erika_03,2500,500,,0,0,World,0
400000,400000,14,93,,9,0,,100,,1,Erika_02,2500,500,Announce_101_5,1,1,World;RegularDungeonWorld,0
400001,400000,14,93,,9,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400002,400000,14,93,,9,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400100,400100,14,95,,7,0,,100,,1,Erika_02,2500,500,Announce_202_4,1,1,World;RegularDungeonWorld,0
400101,400100,14,95,,7,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400102,400100,14,95,,7,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400200,400200,14,141,,1,0,,100,,1,Erika_02,2500,500,Announce_203_5,1,1,World;RegularDungeonWorld,0
400201,400200,14,141,,1,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400202,400200,14,141,,1,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400300,400300,14,130,,47,0,,100,,1,Erika_02,2500,500,Announce_206_4_1,1,1,World;RegularDungeonWorld,0
400301,400300,14,130,,47,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400302,400300,14,130,,47,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400400,400400,14,131,,48,0,,100,,1,Erika_02,2500,500,Announce_209_5,1,1,World;RegularDungeonWorld,0
400401,400400,14,131,,48,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400402,400400,14,131,,48,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400500,400500,14,100,,6,0,,100,,1,Erika_02,2500,500,Announce_210_3_1,1,1,World;RegularDungeonWorld,0
400501,400500,14,100,,6,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400502,400500,14,100,,6,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400600,400600,14,97,,5,0,,100,,1,Erika_02,2500,500,Announce_101_5,1,1,World;RegularDungeonWorld,0
400601,400600,14,97,,5,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400602,400600,14,97,,5,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
400700,400700,14,103,,8,0,,100,,1,Erika_02,2500,500,Announce_202_4,1,1,World;RegularDungeonWorld,0
400701,400700,14,103,,8,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
400702,400700,14,103,,8,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
410000,410000,15,,,70,0,,100,,1,Erika_02,2500,500,Announce_203_5,1,1,World;RegularDungeonWorld,0
410001,410000,15,,,70,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
410002,410000,15,,,70,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
420000,420000,16,,,127,0,,100,,1,Erika_02,2500,500,Announce_206_4_1,1,1,World;RegularDungeonWorld,0
420001,420000,16,,,127,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
420002,420000,16,,,127,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
420003,420003,16,,,127,0,,100,,1,Erika_02,2500,500,Announce_209_5,1,1,World;RegularDungeonWorld,0
420004,420003,16,,,127,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
420005,420003,16,,,127,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
420006,420006,16,,,127,0,,100,,1,Erika_02,2500,500,Announce_210_3_1,1,1,World;RegularDungeonWorld,0
420007,420006,16,,,127,0,,100,,1,Erika_01,2500,500,,1,1,World;RegularDungeonWorld,0
420008,420006,16,,,127,0,,100,,1,Erika_03,2500,500,,1,1,World;RegularDungeonWorld,0
