笲M@9_aquiredId,AchievementGroupId,Type,GroupType,TaskType,ItemAbilityId,CompleteNotifyType,TaskCount,AchievementIcon,EffectType,EffectParam,EffectType2,EffectParam2,ItemReward,ItemParam,ItemReward2,ItemParam2
220403,220402,815022040,10,5,255,6,0,6,Icon_ItemAchievement_ Ability_07,58,432,246,,,,,
220404,220403,815022040,10,5,255,6,0,8,Icon_ItemAchievement_ Ability_07,58,432,246,,,,,
220405,220404,815022040,10,5,255,6,0,10,Icon_ItemAchievement_ Ability_07,58,432,246,,,,,
230201,,815023020,11,5,255,6,0,8,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
230202,230201,815023020,11,5,255,6,0,16,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
230203,230202,815023020,11,5,255,6,0,24,Icon_ItemAchievement_Gloves,102,264,246,,,,,
230204,230203,815023020,11,5,255,6,0,32,Icon_ItemAchievement_Gloves,102,264,246,,,,,
230205,230204,815023020,11,5,255,6,0,40,Icon_ItemAchievement_Gloves,102,264,246,,,,,
230301,,815023030,11,5,56,6,0,10,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
230302,230301,815023030,11,5,56,6,0,15,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
230303,230302,815023030,11,5,56,6,0,20,Icon_ItemAchievement_01,102,264,246,,,,,
230304,230303,815023030,11,5,56,6,0,25,Icon_ItemAchievement_01,102,264,246,,,,,
230305,230304,815023030,11,5,56,6,0,30,Icon_ItemAchievement_01,102,264,246,,,,,
230401,,815023040,11,5,255,6,0,2,Icon_ItemAchievement_ Ability_07,102,154,246,,81000126,1,,
230402,230401,815023040,11,5,255,6,0,4,Icon_ItemAchievement_ Ability_07,102,154,246,,81000126,1,,
230403,230402,815023040,11,5,255,6,0,6,Icon_ItemAchievement_ Ability_07,102,264,246,,,,,
230404,230403,815023040,11,5,255,6,0,8,Icon_ItemAchievement_ Ability_07,102,264,246,,,,,
230405,230404,815023040,11,5,255,6,0,10,Icon_ItemAchievement_ Ability_07,102,264,246,,,,,
240201,,815024020,12,5,255,6,0,8,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
240202,240201,815024020,12,5,255,6,0,16,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
240203,240202,815024020,12,5,255,6,0,24,Icon_ItemAchievement_Boots,11,216,246,,,,,
240204,240203,815024020,12,5,255,6,0,32,Icon_ItemAchievement_Boots,11,216,246,,,,,
240205,240204,815024020,12,5,255,6,0,40,Icon_ItemAchievement_Boots,11,216,246,,,,,
240301,,815024030,12,5,56,6,0,10,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
240302,240301,815024030,12,5,56,6,0,15,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
240303,240302,815024030,12,5,56,6,0,20,Icon_ItemAchievement_01,11,216,246,,,,,
240304,240303,815024030,12,5,56,6,0,25,Icon_ItemAchievement_01,11,216,246,,,,,
240305,240304,815024030,12,5,56,6,0,30,Icon_ItemAchievement_01,11,216,246,,,,,
240401,,815024040,12,5,255,6,0,2,Icon_ItemAchievement_ Ability_07,11,126,246,,81000126,1,,
240402,240401,815024040,12,5,255,6,0,4,Icon_ItemAchievement_ Ability_07,11,126,246,,81000126,1,,
240403,240402,815024040,12,5,255,6,0,6,Icon_ItemAchievement_ Ability_07,11,216,246,,,,,
240404,240403,815024040,12,5,255,6,0,8,Icon_ItemAchievement_ Ability_07,11,216,246,,,,,
240405,240404,815024040,12,5,255,6,0,10,Icon_ItemAchievement_ Ability_07,11,216,246,,,,,
310201,,815031020,9,5,255,7,0,8,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
310202,310201,815031020,9,5,255,7,0,16,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
310203,310202,815031020,9,5,255,7,0,24,Icon_ItemAchievement_Helmet,26,216,246,,,,,
310204,310203,815031020,9,5,255,7,0,32,Icon_ItemAchievement_Helmet,26,216,246,,,,,
310205,310204,815031020,9,5,255,7,0,40,Icon_ItemAchievement_Helmet,26,216,246,,,,,
310301,,815031030,9,5,56,7,0,10,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
310302,310301,815031030,9,5,56,7,0,15,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
310303,310302,815031030,9,5,56,7,0,20,Icon_ItemAchievement_01,26,216,246,,,,,
310304,310303,815031030,9,5,56,7,0,25,Icon_ItemAchievement_01,26,216,246,,,,,
310305,310304,815031030,9,5,56,7,0,30,Icon_ItemAchievement_01,26,216,246,,,,,
310401,,815031040,9,5,255,7,0,2,Icon_ItemAchievement_ Ability_08,26,126,246,,81000126,1,,
310402,310401,815031040,9,5,255,7,0,4,Icon_ItemAchievement_ Ability_08,26,126,246,,81000126,1,,
310403,310402,815031040,9,5,255,7,0,6,Icon_ItemAchievement_ Ability_08,26,216,246,,,,,
310404,310403,815031040,9,5,255,7,0,8,Icon_ItemAchievement_ Ability_08,26,216,246,,,,,
310405,310404,815031040,9,5,255,7,0,10,Icon_ItemAchievement_ Ability_08,26,216,246,,,,,
320201,,815032020,10,5,255,7,0,8,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
320202,320201,815032020,10,5,255,7,0,16,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
320203,320202,815032020,10,5,255,7,0,24,Icon_ItemAchievement_Armor,58,432,246,,,,,
320204,320203,815032020,10,5,255,7,0,32,Icon_ItemAchievement_Armor,58,432,246,,,,,
320205,320204,815032020,10,5,255,7,0,40,Icon_ItemAchievement_Armor,58,432,246,,,,,
320301,,815032030,10,5,56,7,0,10,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
320302,320301,815032030,10,5,56,7,0,15,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
320303,320302,815032030,10,5,56,7,0,20,Icon_ItemAchievement_01,58,432,246,,,,,
320304,320303,815032030,10,5,56,7,0,25,Icon_ItemAchievement_01,58,432,246,,,,,
320305,320304,815032030,10,5,56,7,0,30,Icon_ItemAchievement_01,58,432,246,,,,,
320401,,815032040,10,5,255,7,0,2,Icon_ItemAchievement_ Ability_08,58,252,246,,81000126,1,,
320402,320401,815032040,10,5,255,7,0,4,Icon_ItemAchievement_ Ability_08,58,252,246,,81000126,1,,
320403,320402,815032040,10,5,255,7,0,6,Icon_ItemAchievement_ Ability_08,58,432,246,,,,,
320404,320403,815032040,10,5,255,7,0,8,Icon_ItemAchievement_ Ability_08,58,432,246,,,,,
320405,320404,815032040,10,5,255,7,0,10,Icon_ItemAchievement_ Ability_08,58,432,246,,,,,
330201,,815033020,11,5,255,7,0,8,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
330202,330201,815033020,11,5,255,7,0,16,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
330203,330202,815033020,11,5,255,7,0,24,Icon_ItemAchievement_Gloves,102,264,246,,,,,
330204,330203,815033020,11,5,255,7,0,32,Icon_ItemAchievement_Gloves,102,264,246,,,,,
330205,330204,815033020,11,5,255,7,0,40,Icon_ItemAchievement_Gloves,102,264,246,,,,,
330301,,815033030,11,5,56,7,0,10,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
330302,330301,815033030,11,5,56,7,0,15,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
330303,330302,815033030,11,5,56,7,0,20,Icon_ItemAchievement_01,102,264,246,,,,,
330304,330303,815033030,11,5,56,7,0,25,Icon_ItemAchievement_01,102,264,246,,,,,
330305,330304,815033030,11,5,56,7,0,30,Icon_ItemAchievement_01,102,264,246,,,,,
330401,,815033040,11,5,255,7,0,2,Icon_ItemAchievement_ Ability_08,102,154,246,,81000126,1,,
330402,330401,815033040,11,5,255,7,0,4,Icon_ItemAchievement_ Ability_08,102,154,246,,81000126,1,,
330403,330402,815033040,11,5,255,7,0,6,Icon_ItemAchievement_ Ability_08,102,264,246,,,,,
330404,330403,815033040,11,5,255,7,0,8,Icon_ItemAchievement_ Ability_08,102,264,246,,,,,
330405,330404,815033040,11,5,255,7,0,10,Icon_ItemAchievement_ Ability_08,102,264,246,,,,,
340201,,815034020,12,5,255,7,0,8,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
340202,340201,815034020,12,5,255,7,0,16,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
340203,340202,815034020,12,5,255,7,0,24,Icon_ItemAchievement_Boots,11,216,246,,,,,
340204,340203,815034020,12,5,255,7,0,32,Icon_ItemAchievement_Boots,11,216,246,,,,,
340205,340204,815034020,12,5,255,7,0,40,Icon_ItemAchievement_Boots,11,216,246,,,,,
340301,,815034030,12,5,56,7,0,10,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
340302,340301,815034030,12,5,56,7,0,15,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
340303,340302,815034030,12,5,56,7,0,20,Icon_ItemAchievement_01,11,216,246,,,,,
340304,340303,815034030,12,5,56,7,0,25,Icon_ItemAchievement_01,11,216,246,,,,,
340305,340304,815034030,12,5,56,7,0,30,Icon_ItemAchievement_01,11,216,246,,,,,
340401,,815034040,12,5,255,7,0,2,Icon_ItemAchievement_ Ability_08,11,126,246,,81000126,1,,
340402,340401,815034040,12,5,255,7,0,4,Icon_ItemAchievement_ Ability_08,11,126,246,,81000126,1,,
340403,340402,815034040,12,5,255,7,0,6,Icon_ItemAchievement_ Ability_08,11,216,246,,,,,
340404,340403,815034040,12,5,255,7,0,8,Icon_ItemAchievement_ Ability_08,11,216,246,,,,,
340405,340404,815034040,12,5,255,7,0,10,Icon_ItemAchievement_ Ability_08,11,216,246,,,,,
410201,,815041020,9,5,255,8,0,8,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
410202,410201,815041020,9,5,255,8,0,16,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
410203,410202,815041020,9,5,255,8,0,24,Icon_ItemAchievement_Helmet,26,216,246,,,,,
410204,410203,815041020,9,5,255,8,0,32,Icon_ItemAchievement_Helmet,26,216,246,,,,,
410205,410204,815041020,9,5,255,8,0,40,Icon_ItemAchievement_Helmet,26,216,246,,,,,
410301,,815041030,9,5,56,8,0,10,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
410302,410301,815041030,9,5,56,8,0,15,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
410303,410302,815041030,9,5,56,8,0,20,Icon_ItemAchievement_01,26,216,246,,,,,
410304,410303,815041030,9,5,56,8,0,25,Icon_ItemAchievement_01,26,216,246,,,,,
410305,410304,815041030,9,5,56,8,0,30,Icon_ItemAchievement_01,26,216,246,,,,,
410401,,815041040,9,5,255,8,0,2,Icon_ItemAchievement_ Ability_09,26,248,246,,81000126,1,,
410402,410401,815041040,9,5,255,8,0,4,Icon_ItemAchievement_ Ability_09,26,248,246,,81000126,1,,
410403,410402,815041040,9,5,255,8,0,6,Icon_ItemAchievement_ Ability_09,26,425,246,,,,,
410404,410403,815041040,9,5,255,8,0,8,Icon_ItemAchievement_ Ability_09,26,425,246,,,,,
410405,410404,815041040,9,5,255,8,0,10,Icon_ItemAchievement_ Ability_09,26,425,246,,,,,
420201,,815042020,10,5,255,8,0,8,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
420202,420201,815042020,10,5,255,8,0,16,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
420203,420202,815042020,10,5,255,8,0,24,Icon_ItemAchievement_Armor,58,432,246,,,,,
420204,420203,815042020,10,5,255,8,0,32,Icon_ItemAchievement_Armor,58,432,246,,,,,
420205,420204,815042020,10,5,255,8,0,40,Icon_ItemAchievement_Armor,58,432,246,,,,,
420301,,815042030,10,5,56,8,0,10,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
420302,420301,815042030,10,5,56,8,0,15,Icon_ItemAchievement_01,58,252,246,,81000126,1,,
420303,420302,815042030,10,5,56,8,0,20,Icon_ItemAchievement_01,58,432,246,,,,,
420304,420303,815042030,10,5,56,8,0,25,Icon_ItemAchievement_01,58,432,246,,,,,
420305,420304,815042030,10,5,56,8,0,30,Icon_ItemAchievement_01,58,432,246,,,,,
420401,,815042040,10,5,255,8,0,2,Icon_ItemAchievement_ Ability_09,58,252,246,,81000126,1,,
420402,420401,815042040,10,5,255,8,0,4,Icon_ItemAchievement_ Ability_09,58,252,246,,81000126,1,,
420403,420402,815042040,10,5,255,8,0,6,Icon_ItemAchievement_ Ability_09,58,432,246,,,,,
420404,420403,815042040,10,5,255,8,0,8,Icon_ItemAchievement_ Ability_09,58,432,246,,,,,
420405,420404,815042040,10,5,255,8,0,10,Icon_ItemAchievement_ Ability_09,58,432,246,,,,,
430201,,815043020,11,5,255,8,0,8,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
430202,430201,815043020,11,5,255,8,0,16,Icon_ItemAchievement_Gloves,102,154,246,,81000126,1,,
430203,430202,815043020,11,5,255,8,0,24,Icon_ItemAchievement_Gloves,102,264,246,,,,,
430204,430203,815043020,11,5,255,8,0,32,Icon_ItemAchievement_Gloves,102,264,246,,,,,
430205,430204,815043020,11,5,255,8,0,40,Icon_ItemAchievement_Gloves,102,264,246,,,,,
430301,,815043030,11,5,56,8,0,10,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
430302,430301,815043030,11,5,56,8,0,15,Icon_ItemAchievement_01,102,154,246,,81000126,1,,
430303,430302,815043030,11,5,56,8,0,20,Icon_ItemAchievement_01,102,264,246,,,,,
430304,430303,815043030,11,5,56,8,0,25,Icon_ItemAchievement_01,102,264,246,,,,,
430305,430304,815043030,11,5,56,8,0,30,Icon_ItemAchievement_01,102,264,246,,,,,
430401,,815043040,11,5,255,8,0,2,Icon_ItemAchievement_ Ability_09,102,154,246,,81000126,1,,
430402,430401,815043040,11,5,255,8,0,4,Icon_ItemAchievement_ Ability_09,102,154,246,,81000126,1,,
430403,430402,815043040,11,5,255,8,0,6,Icon_ItemAchievement_ Ability_09,102,264,246,,,,,
430404,430403,815043040,11,5,255,8,0,8,Icon_ItemAchievement_ Ability_09,102,264,246,,,,,
430405,430404,815043040,11,5,255,8,0,10,Icon_ItemAchievement_ Ability_09,102,264,246,,,,,
440201,,815044020,12,5,255,8,0,8,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
440202,440201,815044020,12,5,255,8,0,16,Icon_ItemAchievement_Boots,11,126,246,,81000126,1,,
440203,440202,815044020,12,5,255,8,0,24,Icon_ItemAchievement_Boots,11,216,246,,,,,
440204,440203,815044020,12,5,255,8,0,32,Icon_ItemAchievement_Boots,11,216,246,,,,,
440205,440204,815044020,12,5,255,8,0,40,Icon_ItemAchievement_Gloves,11,216,246,,,,,
440301,,815044030,12,5,56,8,0,10,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
440302,440301,815044030,12,5,56,8,0,15,Icon_ItemAchievement_01,11,126,246,,81000126,1,,
440303,440302,815044030,12,5,56,8,0,20,Icon_ItemAchievement_01,11,216,246,,,,,
440304,440303,815044030,12,5,56,8,0,25,Icon_ItemAchievement_01,11,216,246,,,,,
440305,440304,815044030,12,5,56,8,0,30,Icon_ItemAchievement_01,11,216,246,,,,,
440401,,815044040,12,5,255,8,0,2,Icon_ItemAchievement_ Ability_09,11,126,246,,81000126,1,,
440402,440401,815044040,12,5,255,8,0,4,Icon_ItemAchievement_ Ability_09,11,126,246,,81000126,1,,
440403,440402,815044040,12,5,255,8,0,6,Icon_ItemAchievement_ Ability_09,11,216,246,,,,,
440404,440403,815044040,12,5,255,8,0,8,Icon_ItemAchievement_ Ability_09,11,216,246,,,,,
440405,440404,815044040,12,5,255,8,0,10,Icon_ItemAchievement_ Ability_09,11,216,246,,,,,
510201,,815051020,9,5,255,17,0,8,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
510202,510201,815051020,9,5,255,17,0,16,Icon_ItemAchievement_Helmet,26,126,246,,81000126,1,,
510203,510202,815051020,9,5,255,17,0,24,Icon_ItemAchievement_Helmet,26,216,246,,,,,
510204,510203,815051020,9,5,255,17,0,32,Icon_ItemAchievement_Helmet,26,216,246,,,,,
510205,510204,815051020,9,5,255,17,0,40,Icon_ItemAchievement_Helmet,26,216,246,,,,,
510301,,815051030,9,5,56,17,0,10,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
510302,510301,815051030,9,5,56,17,0,15,Icon_ItemAchievement_01,26,126,246,,81000126,1,,
510303,510302,815051030,9,5,56,17,0,20,Icon_ItemAchievement_01,26,216,246,,,,,
510304,510303,815051030,9,5,56,17,0,25,Icon_ItemAchievement_01,26,216,246,,,,,
510305,510304,815051030,9,5,56,17,0,30,Icon_ItemAchievement_01,26,216,246,,,,,
510401,,815051040,9,5,255,17,0,2,Icon_ItemAchievement_ Ability_10,26,126,246,,81000126,1,,
510402,510401,815051040,9,5,255,17,0,4,Icon_ItemAchievement_ Ability_10,26,126,246,,81000126,1,,
510403,510402,815051040,9,5,255,17,0,6,Icon_ItemAchievement_ Ability_10,26,216,246,,,,,
510404,510403,815051040,9,5,255,17,0,8,Icon_ItemAchievement_ Ability_10,26,216,246,,,,,
510405,510404,815051040,9,5,255,17,0,10,Icon_ItemAchievement_ Ability_10,26,216,246,,,,,
520201,,815052020,10,5,255,17,0,8,Icon_ItemAchievement_Armor,58,252,246,,81000126,1,,
