Id,Type,RequiredValue,RewardGem,RewardItemInfoId,RewardCount,RewardItemInfoId2,RewardCount2
271,2,254,1,,,,
272,2,255,1,,,,
273,2,256,1,,,,
274,2,257,1,,,,
275,2,258,1,,,,
276,2,259,1,,,,
277,2,260,20,,,,
278,2,261,1,,,,
279,2,262,1,,,,
280,2,263,1,,,,
281,2,264,1,,,,
282,2,265,1,,,,
283,2,266,1,,,,
284,2,267,1,,,,
285,2,268,1,,,,
286,2,269,1,,,,
287,2,270,20,,,,
288,2,271,1,,,,
289,2,272,1,,,,
290,2,273,1,,,,
291,2,274,1,,,,
292,2,275,1,,,,
293,2,276,1,,,,
294,2,277,1,,,,
295,2,278,1,,,,
296,2,279,1,,,,
297,2,280,20,,,,
298,2,281,1,,,,
299,2,282,1,,,,
300,2,283,1,,,,
301,2,284,1,,,,
302,2,285,1,,,,
303,2,286,1,,,,
304,2,287,1,,,,
305,2,288,1,,,,
306,2,289,1,,,,
307,2,290,20,,,,
308,2,291,1,,,,
309,2,292,1,,,,
310,2,293,1,,,,
311,2,294,1,,,,
312,2,295,1,,,,
313,2,296,1,,,,
314,2,297,1,,,,
315,2,298,1,,,,
316,2,299,1,,,,
317,2,300,20,,,,
318,2,301,1,,,,
319,2,302,1,,,,
320,2,303,1,,,,
321,2,304,1,,,,
322,2,305,1,,,,
323,2,306,1,,,,
324,2,307,1,,,,
325,2,308,1,,,,
326,2,309,1,,,,
327,2,310,15,,,,
328,2,311,1,,,,
329,2,312,1,,,,
330,2,313,1,,,,
331,2,314,1,,,,
332,2,315,1,,,,
333,2,316,1,,,,
334,2,317,1,,,,
335,2,318,1,,,,
336,2,319,1,,,,
337,2,320,15,,,,
338,2,321,1,,,,
339,2,322,1,,,,
340,2,323,1,,,,
341,2,324,1,,,,
342,2,325,1,,,,
343,2,326,1,,,,
344,2,327,1,,,,
345,2,328,1,,,,
346,2,329,1,,,,
347,2,330,15,,,,
348,2,331,1,,,,
349,2,332,1,,,,
350,2,333,1,,,,
351,2,334,1,,,,
352,2,335,1,,,,
353,2,336,1,,,,
354,2,337,1,,,,
355,2,338,1,,,,
356,2,339,1,,,,
357,2,340,15,,,,
358,2,341,1,,,,
359,2,342,1,,,,
360,2,343,1,,,,
361,2,344,1,,,,
362,2,345,1,,,,
363,2,346,1,,,,
364,2,347,1,,,,
365,2,348,1,,,,
366,2,349,1,,,,
367,2,350,15,,,,
368,2,351,1,,,,
369,2,352,1,,,,
370,2,353,1,,,,
371,2,354,1,,,,
372,2,355,1,,,,
373,2,356,1,,,,
374,2,357,1,,,,
375,2,358,1,,,,
376,2,359,1,,,,
377,2,360,15,,,,
378,2,361,1,,,,
379,2,362,1,,,,
380,2,363,1,,,,
381,2,364,1,,,,
382,2,365,1,,,,
383,2,366,1,,,,
384,2,367,1,,,,
385,2,368,1,,,,
386,2,369,1,,,,
387,2,370,15,,,,
388,2,371,1,,,,
389,2,372,1,,,,
390,2,373,1,,,,
391,2,374,1,,,,
392,2,375,1,,,,
393,2,376,1,,,,
394,2,377,1,,,,
395,2,378,1,,,,
396,2,379,1,,,,
397,2,380,15,,,,
398,2,381,1,,,,
399,2,382,1,,,,
400,2,383,1,,,,
401,2,384,1,,,,
402,2,385,1,,,,
403,2,386,1,,,,
404,2,387,1,,,,
405,2,388,1,,,,
406,2,389,1,,,,
407,2,390,15,,,,
408,2,391,1,,,,
409,2,392,1,,,,
410,2,393,1,,,,
411,2,394,1,,,,
412,2,395,1,,,,
413,2,396,1,,,,
414,2,397,1,,,,
415,2,398,1,,,,
416,2,399,1,,,,
417,2,400,10,,,,
418,2,401,1,,,,
419,2,402,1,,,,
420,2,403,1,,,,
421,2,404,1,,,,
422,2,405,1,,,,
423,2,406,1,,,,
424,2,407,1,,,,
425,2,408,1,,,,
426,2,409,1,,,,
427,2,410,10,,,,
428,2,411,1,,,,
429,2,412,1,,,,
430,2,413,1,,,,
431,2,414,1,,,,
432,2,415,1,,,,
433,2,416,1,,,,
434,2,417,1,,,,
435,2,418,1,,,,
436,2,419,1,,,,
437,2,420,10,,,,
438,2,421,1,,,,
439,2,422,1,,,,
440,2,423,1,,,,
441,2,424,1,,,,
442,2,425,1,,,,
443,2,426,1,,,,
444,2,427,1,,,,
445,2,428,1,,,,
446,2,429,1,,,,
447,2,430,10,,,,
448,2,431,1,,,,
449,2,432,1,,,,
450,2,433,1,,,,
451,2,434,1,,,,
452,2,435,1,,,,
453,2,436,1,,,,
454,2,437,1,,,,
455,2,438,1,,,,
456,2,439,1,,,,
457,2,440,10,,,,
458,2,441,1,,,,
459,2,442,1,,,,
460,2,443,1,,,,
461,2,444,1,,,,
462,2,445,1,,,,
463,2,446,1,,,,
464,2,447,1,,,,
465,2,448,1,,,,
466,2,449,1,,,,
467,2,450,10,,,,
468,2,451,1,,,,
469,2,452,1,,,,
470,2,453,1,,,,
471,2,454,1,,,,
472,2,455,1,,,,
473,2,456,1,,,,
474,2,457,1,,,,
475,2,458,1,,,,
476,2,459,1,,,,
477,2,460,10,,,,
478,2,461,1,,,,
479,2,462,1,,,,
480,2,463,1,,,,
481,2,464,1,,,,
482,2,465,1,,,,
483,2,466,1,,,,
484,2,467,1,,,,
485,2,468,1,,,,
486,2,469,1,,,,
487,2,470,10,,,,
488,2,471,1,,,,
489,2,472,1,,,,
490,2,473,1,,,,
491,2,474,1,,,,
492,2,475,1,,,,
493,2,476,1,,,,
494,2,477,1,,,,
495,2,478,1,,,,
496,2,479,1,,,,
497,2,480,10,,,,
498,2,481,1,,,,
499,2,482,1,,,,
500,2,483,1,,,,
501,2,484,1,,,,
502,2,485,1,,,,
503,2,486,1,,,,
504,2,487,1,,,,
505,2,488,1,,,,
506,2,489,1,,,,
507,2,490,10,,,,
508,2,491,1,,,,
509,2,492,1,,,,
510,2,493,1,,,,
511,2,494,1,,,,
512,2,495,1,,,,
513,2,496,1,,,,
514,2,497,1,,,,
515,2,498,1,,,,
516,2,499,1,,,,
517,2,500,5,,,,
518,2,501,1,,,,
519,2,502,1,,,,
520,2,503,1,,,,
521,2,504,1,,,,
522,2,505,1,,,,
523,2,506,1,,,,
524,2,507,1,,,,
525,2,508,1,,,,
526,2,509,1,,,,
527,2,510,5,,,,
528,2,511,1,,,,
529,2,512,1,,,,
530,2,513,1,,,,
531,2,514,1,,,,
532,2,515,1,,,,
533,2,516,1,,,,
534,2,517,1,,,,
535,2,518,1,,,,
536,2,519,1,,,,
537,2,520,5,,,,
538,2,521,1,,,,
539,2,522,1,,,,
540,2,523,1,,,,
541,2,524,1,,,,
542,2,525,1,,,,
543,2,526,1,,,,
544,2,527,1,,,,
545,2,528,1,,,,
546,2,529,1,,,,
547,2,530,5,,,,
548,2,531,1,,,,
549,2,532,1,,,,
550,2,533,1,,,,
551,2,534,1,,,,
552,2,535,1,,,,
553,2,536,1,,,,
554,2,537,1,,,,
555,2,538,1,,,,
556,2,539,1,,,,
557,2,540,5,,,,
558,2,541,1,,,,
559,2,542,1,,,,
560,2,543,1,,,,
561,2,544,1,,,,
562,2,545,1,,,,
563,2,546,1,,,,
564,2,547,1,,,,
565,2,548,1,,,,
566,2,549,1,,,,
567,2,550,5,,,,
568,2,551,1,,,,
569,2,552,1,,,,
570,2,553,1,,,,
571,2,554,1,,,,
572,2,555,1,,,,
573,2,556,1,,,,
574,2,557,1,,,,
575,2,558,1,,,,
576,2,559,1,,,,
577,2,560,5,,,,
578,2,561,1,,,,
579,2,562,1,,,,
580,2,563,1,,,,
581,2,564,1,,,,
582,2,565,1,,,,
583,2,566,1,,,,
584,2,567,1,,,,
585,2,568,1,,,,
586,2,569,1,,,,
587,2,570,5,,,,
588,2,571,1,,,,
589,2,572,1,,,,
590,2,573,1,,,,
591,2,574,1,,,,
592,2,575,1,,,,
593,2,576,1,,,,
594,2,577,1,,,,
595,2,578,1,,,,
596,2,579,1,,,,
597,2,580,5,,,,
598,2,581,1,,,,
599,2,582,1,,,,
600,2,583,1,,,,
601,2,584,1,,,,
602,2,585,1,,,,
603,2,586,1,,,,
604,2,587,1,,,,
605,2,588,1,,,,
606,2,589,1,,,,
607,2,590,5,,,,
608,2,591,1,,,,
609,2,592,1,,,,
610,2,593,1,,,,
611,2,594,1,,,,
612,2,595,1,,,,
613,2,596,1,,,,
614,2,597,1,,,,
615,2,598,1,,,,
616,2,599,1,,,,
617,2,600,5,,,,
618,2,601,1,,,,
619,2,602,1,,,,
620,2,603,1,,,,
621,2,604,1,,,,
622,2,605,1,,,,
623,2,606,1,,,,
624,2,607,1,,,,
625,2,608,1,,,,
626,2,609,1,,,,
627,2,610,5,,,,
628,2,611,1,,,,
629,2,612,1,,,,
630,2,613,1,,,,
631,2,614,1,,,,
632,2,615,1,,,,
633,2,616,1,,,,
634,2,617,1,,,,
635,2,618,1,,,,
636,2,619,1,,,,
637,2,620,5,,,,
638,2,621,1,,,,
639,2,622,1,,,,
640,2,623,1,,,,
641,2,624,1,,,,
642,2,625,1,,,,
643,2,626,1,,,,
644,2,627,1,,,,
645,2,628,1,,,,
646,2,629,1,,,,
647,2,630,5,,,,
648,2,631,1,,,,
649,2,632,1,,,,
650,2,633,1,,,,
651,2,634,1,,,,
652,2,635,1,,,,
653,2,636,1,,,,
654,2,637,1,,,,
655,2,638,1,,,,
656,2,639,1,,,,
657,2,640,5,,,,
658,2,641,1,,,,
659,2,642,1,,,,
660,2,643,1,,,,
661,2,644,1,,,,
662,2,645,1,,,,
663,2,646,1,,,,
664,2,647,1,,,,
665,2,648,1,,,,
666,2,649,1,,,,
667,2,650,5,,,,
668,2,651,1,,,,
669,2,652,1,,,,
670,2,653,1,,,,
671,2,654,1,,,,
672,2,655,1,,,,
673,2,656,1,,,,
674,2,657,1,,,,
675,2,658,1,,,,
676,2,659,1,,,,
677,2,660,5,,,,
678,2,661,1,,,,
679,2,662,1,,,,
680,2,663,1,,,,
681,2,664,1,,,,
682,2,665,1,,,,
683,2,666,1,,,,
684,2,667,1,,,,
685,2,668,1,,,,
686,2,669,1,,,,
687,2,670,5,,,,
688,2,671,1,,,,
689,2,672,1,,,,
690,2,673,1,,,,
691,2,674,1,,,,
692,2,675,1,,,,
693,2,676,1,,,,
694,2,677,1,,,,
695,2,678,1,,,,
696,2,679,1,,,,
697,2,680,5,,,,
698,2,681,1,,,,
699,2,682,1,,,,
700,2,683,1,,,,
701,2,684,1,,,,
702,2,685,1,,,,
703,2,686,1,,,,
704,2,687,1,,,,
705,2,688,1,,,,
706,2,689,1,,,,
707,2,690,5,,,,
708,2,691,1,,,,
709,2,692,1,,,,
710,2,693,1,,,,
711,2,694,1,,,,
712,2,695,1,,,,
713,2,696,1,,,,
714,2,697,1,,,,
715,2,698,1,,,,
716,2,699,1,,,,
717,2,700,1,,,,
