Key,ValueType,Value
Chat.EmoticonStandardTime,UxInt64,1496602800
Combat.ComboExpirationTime,UxUInt32,3000
Combat.ComboMinCount,UxUInt32,3
Combat.EvadeCanstant,UxSingle,0.8
Combat.AttackConstant,UxSingle,1
Combat.DefenseConstant,UxSingle,1
Combat.CompressExponent,UxSingle,1
Combat.PvpAttackConstant,UxSingle,1
Combat.PvpDefenseConstant,UxSingle,1
Combat.PvpCompressExponent,UxSingle,0.45
Combat.PvPExponent,UxSingle,0.9
Combat.KeepCombatTime,UxUInt32,5000
Combat.CriticalValueConstant,UxSingle,1.5
Combat.MinimumCriticalRate,UxInt32,100
Combat.MaximumCriticalRate,UxInt32,3500
Combat.CriticalMinValueConstant,UxSingle,90
Combat.PenetrationConst,UxSingle,1
Combat.ResilienceConst,UxSingle,1
Combat.SkillMissAdjustValue,UxSingle,1
Combat.CharacterCombatPowerMax,UxUInt32,9999999
Combat.ReviveBuffInfoId,UxUInt32,1005
Combat.RareSkillDecreaseDamageAdjustMinValue,UxUInt32,0
Combat.RareSkillDecreaseDamageAdjustMaxValue,UxUInt32,60000
HPWarning.On1Step,UxSingle,35
HPWarning.On2Step,UxSingle,15
HPWarning.On3Step,UxSingle,5
HPWarning.Off,UxSingle,36
Dialog.TypeDurationTime,UxSingle,0.02
Aggro.MaxSight,UxSingle,2
Aggro.MinSight,UxSingle,0.1
Friend.MaxFriendCount,UxUInt32,30
Friend.MaxFriendInviteCount,UxUInt32,30
Friend.MaxFriendGreetingCount,UxUInt32,50
Friend.MaxRecommendationCount,UxUInt32,10
Friend.MinMaxRecommendationLevel,UxUInt32,5
Friend.MinRecommendationLastConnectedDay,UxUInt32,2
Friend.AutoManagerLastConnectedTime,UxUInt32,2592000
Friend.MaxSendableRequestCount,UxUInt32,50
Guild.MinimumNameLength,UxUInt32,4
Guild.MaximumNameLength,UxUInt32,16
Guild.CreationPrice,UxUInt32,50000
Guild.CreationConditionPlayerLevel,UxUInt32,10
Guild.MaxMemberCount,UxUInt32,50
Guild.MaxRecommendationCount,UxUInt32,200
Guild.ApplicationCount,UxUInt32,50
Guild.DonateAdenaLimitCount,UxUInt32,30
Guild.DonateBloodCrystalLimitCount,UxUInt32,30
Guild.DonateRedStarStoneLimitCount,UxUInt32,30
Guild.DonateCostAdena,UxUInt32,2500
Guild.DonateCostBloodCrystal,UxUInt32,40
Guild.DonateCostRedStarStone,UxUInt32,20
Guild.DonateAdenaContribution,UxUInt32,5
Guild.DonateBloodCrystalContribution,UxUInt32,10
Guild.DonateRedStarStoneContribution,UxUInt32,10
Guild.DonateAdenaGuildCoin,UxUInt32,2
Guild.DonateBloodCrystalGuildCoin,UxUInt32,2
Guild.DonateRedStarStoneGuildCoin,UxUInt32,2
Guild.DungeonHelpMaxCount,UxUInt32,20
Guild.AdenaDonationExp,UxUInt32,40
Guild.BloodCrystalDonationExp,UxUInt32,400
Guild.RedStarStoneDonationExp,UxUInt32,240
Guild.AdenaDonationAddCost,UxString,"200, 400, 800, 1600, 3200"
Guild.BloodCrystalDonationAddCost,UxString,"200, 400, 800, 1600, 3200"
Guild.RedStarStoneDonationAddCost,UxString,"200, 400, 800, 1600, 3200"
Guild.MaxLevel,UxUInt32,30
Guild.DonateAdenaItemGivecount,UxUInt32,30
Guild.DonateBloodCrystalItemGivecount,UxUInt32,30
Guild.DonateRedStarStoneItemGivecount,UxUInt32,30
Guild.DonateAdenaItemCount,UxUInt32,1
Guild.DonateBloodCrystalItemCount,UxUInt32,1
Guild.DonateRedStarStoneItemCount,UxUInt32,1
Guild.DonateAdenaGiveItemID,UxUInt32,490090
Guild.DonateBloodCrystalGiveItemID,UxUInt32,490090
Guild.DonateRedStarStoneGiveItemID,UxUInt32,490090
Guild.FortressSiegesAbleLevel,UxUInt32,4
Guild.CastleSiegesAbleLevel,UxUInt32,5
Guild.GuildMasterAbsentDate,UxUInt32,10080
Guild.GuildMasterMandateJoinPeriod,UxUInt32,10020
Guild.GuildMasterMandateLatelyAccess,UxUInt32,10080
Guild.ImpeachmentUnableContribution,UxUInt32,100
Guild.ImpeachmentCallTime,UxUInt32,2880000
Guild.ImpeachmentCallRate,UxUInt32,1000
Guild.MaxGreetingCount,UxUInt32,10
Guild.GreetingSenderReward,UxUInt32,1
Guild.GreetingRecieverReward,UxUInt32,500
Guild.RenameCost,UxUInt32,100
Guild.CastleMaxUpgrade,UxUInt32,5
Guild.MaxAllianceCount,UxUInt32,2
Guild.AvailableWarLevel,UxUInt32,5
Guild.MaxEnemyGuildCount,UxUInt32,5
Guild.MaxHostileRegistedCount,UxUInt16,5
Guild.EnemyRegistrationCost,UxUInt32,10
Guild.WarDeclarationTerm,UxUInt32,86400
Guild.WarBattleTerm,UxUInt32,604800
Guild.WarDeclarationCost,UxUInt32,500
Guild.WarVictoryRequiredKillCount,UxUInt32,25
Guild.WarLogCount,UxUInt32,50
Guild.WarRankingCount,UxUInt32,3
Guild.NoticeMaxCharacter,UxUInt32,100
Guild.IntroductionMaxCharacterShort,UxUInt32,30
Guild.IntroductionMaxCharacterMiddle,UxUInt32,60
Guild.IntroductionMaxCharacter,UxUInt32,100
Guild.QuestNotifyTime,UxUInt32,3
Guild.EmblemChangeConst,UxUInt32,100
Guild.AttendanceResetTime,UxUInt32,4
Guild.GuildActivityResetTime,UxUInt32,4
Guild.RecordPagingSize,UxUInt32,30
Guild.HostileWarBoriadcastRanking,UxUInt32,100
Guild.RecommendPagingSize,UxUInt32,20
Guild.RecommendMaxSize,UxUInt32,200
Guild.RankingListMaxSize,UxUInt32,100
Guild.JoinLimitCount,UxInt8,20
Guild.AgitWorldInfoId,UxUInt32,19001
Guild.AgitBuyLevel,UxUInt32,5
Guild.AgitBuyCost,UxUInt32,500000
Guild.AgitWeeklyMissionHelpCount,UxUInt32,1
Guild.AgitPlayerWeeklyMissionCost,UxUInt32,1800
Guild.AgitPartyWeeklyMissionCost,UxUInt32,3500
Guild.AgitDoorCooltime,UxUInt32,2
Guild.AgitDeporationTime,UxUInt32,10
Guild.AgitRelicImmediatelyDiaCost,UxUInt32,10
Guild.AgitFireplaceActivationCount,UxUInt32,200
Guild.AgitFireplaceActivationTime,UxUInt32,600
Guild.AgitFireplaceContinueTime,UxUInt32,60
Guild.AgitAttendRewardAnimationLoop,UxUInt32,1
Guild.AgitAttendRewardAnimationLoopTimeRate,UxSingle,1
Guild.AgitAttendRewardAnimationTimeStatic,UxSingle,8
Guild.AgitAttendRewardAnimationTimeRandom,UxSingle,1
Guild.AgitAttendRewardHotGrade,UxUInt32,14
Guild.AgitAttendRewardAnimationMinOffsetIndex,UxUInt32,10
Guild.PromoListMaxCount,UxUInt32,100
Guild.PromoPagingSize,UxUInt32,20
Guild.GiftShopAttendCount,UxUInt32,3
Guild.EndOfWarNotiToastId,UxUInt32,810000002
Guild.GuildHelpCooldown,UxUInt32,10
Guild.MaxInviteCount,UxUInt32,20
Guild.UserListRefreshDelay ,UxUInt32,3
Guild.JoinRequestDelay,UxUInt32,30
Guild.MaxVoiceChatEmpowerment,UxUInt8,3
Introduce.MinimumHangeulLength,UxUInt32,2
Introduce.MinimumNumberLength,UxUInt32,2
Introduce.MinimumEnglishLength,UxUInt32,2
Introduce.MinimumMixedLength,UxUInt32,2
Introduce.MaximumHangeulLength,UxUInt32,15
Introduce.MaximumNumberLength,UxUInt32,15
Introduce.MaximumEnglishLength,UxUInt32,15
Introduce.MaximumMixedLength,UxUInt32,15
Item.MaxSellCount,UxUInt32,40
Item.EquipmentLevelUpMaxMaterialCount,UxUInt32,40
Item.MinLevel,UxInt32,1
Item.MaxBasicOptionCount,UxInt32,3
Item.MaxSocketCount,UxInt32,6
Item.EffectIncreaseRatePerOneUpgrading,UxUInt32,500
Item.MaxAbilityLevel,UxUInt32,10
Item.SynchroEnchantEquipmentType,UxString,"Helmet, Weapon, Armor, Gloves, Boots, Ring1, Ring2, Necklace, Earring1, Earring2"
Item.SynchroEnchantEquipmentCount,UxUInt32,7
Item.SynchroEnchantLevel,UxUInt32,8
Item.BlessEnchantRandomLevelMin,UxUInt32,1
Item.BlessEnchantRandomLevelMax,UxUInt32,3
Item.BlessEnchant1UpRate,UxUInt32,3334
Item.BlessEnchant2UpRate,UxUInt32,3333
Item.BlessEnchant3UpRate,UxUInt32,3333
Item.UsedResaleLimit,UxUInt32,1
Item.ResaleLimitTime,UxUInt32,3600
Item.TeleportScrollCount,UxUInt32,1
Item.TeleportDiamondCount,UxUInt32,20
Item.TeleportAdenaCost,UxUInt32,1000
Item.RepresentSwordIndex,UxUInt32,1
Item.RepresentDualSwordIndex,UxUInt32,2
Item.RepresentSpearIndex,UxUInt32,3
Item.RepresentBowIndex,UxUInt32,4
Item.RepresentDaggerIndex,UxUInt32,5
Item.RepresentStaffIndex,UxUInt32,6
Item.RepresentHeavyArmorIndex,UxUInt32,7
Item.RepresentLightArmorIndex,UxUInt32,8
Item.RepresentRobeIndex,UxUInt32,9
Item.HpPotionGroupId,UxUInt32,440000
Item.MpPotionGroupId,UxUInt32,440010
Item.SaleLimitGrade,UxUInt32,4
Item.EnchatAlret,UxUInt32,1
Item.GradeAlret,UxUInt32,1
Item.RecommendEquipmentColor,EColorType,RecommendEquipment
Item.AcquisitionDisplayTime,UxSingle,10
Item.SoulShotItemInfoId,UxUInt32,400001
Item.EquipmentCraftRequiredLevel,UxInt8,30
Item.EquipmentCraftRequiredGrade,ItemGrade,SR
Item.UpgradeMaxMaterialGrade,ItemGrade,R
Item.ComposeMaxMaterialGrade,ItemGrade,R
Item.EquipmentCraftAddEffectIncreaseBaseItemLevel,UxInt8,40
DefaultBagSlotCount,UxUInt32,80
MaxBagSlotCount,UxUInt32,500
InventoryExtension,UxUInt32,1
InitialInventoryExtensionCost,UxUInt32,16
AdditionalInventoryExtensionCost,UxUInt32,0
DefaultWeaponWarehouseSlotCount,UxUInt32,30
DefaultArmorWarehouseSlotCount,UxUInt32,50
DefaultAccessoryWarehouseSlotCount,UxUInt32,30
DefaultSoulCrystalWarehouseSlotCount,UxUInt32,30
DefaultEtcWarehouseSlotCount,UxUInt32,30
MaxWeaponWarehouseSlotCount,UxUInt32,60
MaxArmorWarehouseSlotCount,UxUInt32,100
MaxAccessoryWarehouseSlotCount,UxUInt32,60
MaxSoulCrystalWarehouseSlotCount,UxUInt32,60
MaxEtcWarehouseSlotCount,UxUInt32,60
WarehouseNotEnoughCount,UxUInt32 ,3
WarehouseExtension,UxUInt32,2
WarehouseExtensionCost,UxUInt32,2
SetItem.MinItemCount,UxUInt32,2
SetItem.MaxItemCount,UxUInt32,5
AbilityUpgradeWeaponCostAdena,UxUInt32,150000
AbilityUpgradeArmorCostAdena,UxUInt32,100000
AbilityUpgradeAccessoryCostAdena,UxUInt32,100000
SoulCrystal.TextureSlot0,UxString,UI_Icon_rankC_re
SoulCrystal.TextureSlot1,UxString,UI_Icon_rankB_re
SoulCrystal.TextureSlot2,UxString,UI_Icon_rankA_re
SoulCrystal.TextureSlot3,UxString,UI_Icon_rankS_re
SoulCrystal.TextureSlot4,UxString,UI_Icon_rankR_re
SoulCrystal.TextureSlot5,UxString,UI_Icon_rankSR_re
ActivityPointItemInfoId,UxUInt32,490064
AccountStorage.DefaultSlotCount,UxUInt32,5
AccountStorage.MaxSlotCount,UxUInt32,50
AccountStorage.ExtensionSlotCount,UxUInt32,1
AccountStorage.InitialExtensionCost,UxUInt32,100
AccountStorage.AdditionalExtensionCost,UxUInt32,0
PlayerStorage.DefaultSlotCount,UxUInt32,5
PlayerStorage.MaxSlotCount,UxUInt32,50
PlayerStorage.ExtensionSlotCount,UxUInt32,1
PlayerStorage.InitialExtensionCost,UxUInt32,100
PlayerStorage.AdditionalExtensionCost,UxUInt32,0
GuildWarehouseNotEnoughCount,UxUInt32,3
Crafting.SkillBookMaxCount,UxUInt32,1
Crafting.ElixirLimitGrade,UxUInt32,6
Crafting.EquipmentCraftOpen,UxBool,0
Mail.MaxCount,UxUInt16,1000
Mail.WarningCount,UxUInt16,950
Mail.InfinityTime,UxString,2030-01-01 00:00:00
MonsterBook.CompletedFrame,UxString,UI_Frame_MonsterCore_Card4
MonsterBook.CompletedSlot,UxString,UI_Frame_MonsterCore_Slot4
MonsterBook.CompletedBead,UxString,UI_Icon_MonsterCore_Bead11
MonsterBook.CoreShopResetCost,UxUInt32,100
MonsterBook.SoulPowderInfoId,UxUInt32,1111111
Npc.NPCTalkDistance,UxUInt32,3
Npc.NPCTalkUITime,UxUInt32,3
Npc.NPCTalkDelayTime,UxUInt32,4
Party.MaxMemberCount,UxUInt32,5
Party.ExpMul_PartySize_2,UxDouble,1.05
Party.ExpMul_PartySize_3,UxDouble,1.1
Party.ExpMul_PartySize_4,UxDouble,1.15
Party.ExpMul_PartySize_5,UxDouble,1.2
Party.Adena_PartySize_2,UxDouble,1.05
Party.Adena_PartySize_3,UxDouble,1.1
Party.Adena_PartySize_4,UxDouble,1.15
Party.Adena_PartySize_5,UxDouble,1.2
Party.AcceptanceWaitingTime,UxUInt32,10
Party.RefusalPanaltyTime,UxUInt32,10
Party.SearchingTimeLimit,UxUInt32,120
Party.MaxListCount,UxUInt32,30
Party.RefreshRequestTimeLimit,UxUInt32,10
Party.NameTagColor,EColorType,PartyNameTag
Party.MovetoMasterCooltime,UxUInt32,3
Party.CallCooltime,UxUInt32,10
Party.CallDistance,UxUInt32,1000
Party.MinimumJPLength,UxUInt8,2
Party.MinimumJPLengthOnlyNarrow,UxUInt8,4
Party.MaximumJPLength,UxUInt8,16
Party.MaximumJPLengthOnlyNarrow,UxUInt8,18
Party.MinimumHangeulLength,UxUInt32,2
Party.MinimumNumberLength,UxUInt32,2
Party.MinimumEnglishLength,UxUInt32,2
Party.MinimumMixedLength,UxUInt32,2
Party.MaximumHangeulLength,UxUInt32,8
Party.MaximumNumberLength,UxUInt32,12
Party.MaximumEnglishLength,UxUInt32,12
Party.MaximumMixedLength,UxUInt32,8
Party.AutoEnterReadyTime,UxUInt32,10
Party.FriendInvitePartyCoolTime,UxUInt32,60
Quest.MaxStarCount,UxUInt8,3
Quest.RequiredTicketCount,UxUInt8,1
Quest.MaxCheckDistance,UxSingle,330
Quest.ClientMaxCheckDistance,UxSingle,280
Quest.TicketUpdateDuration,UxUInt32,3600
Quest.TicketUpdateValue,UxUInt32,1
Quest.MaxTicketCount,UxUInt32,10
Quest.TicketPricePerCharge,UxUInt32,2
Quest.MaxTicketPricePerCharge,UxUInt32,30
Quest.TicketMaxChargePerDaily,UxUInt32,5
Quest.RequiredCashToRevive,UxUInt32,10
Quest.IndicatorUpdateAngle,UxSingle,0.8
Quest.IndicatorUpdateDistance,UxSingle,500
Quest.ShowIndicatorArrowDistance,UxSingle,200
Quest.DestinationMarkerPath,UxString,Common/DestinationMarker
Quest.NpcSoundInterval,UxInt32,15
Quest.BGMFadeOut,UxInt32,1.5
Quest.NpcTalkInterval,UxInt32,10
Quest.PanelGuideMaxLevel,UxInt32,30
Quest.DisplayIndicatorDelayTime,UxSingle,5
Quest.EndCBTQuestId,UxInt32,4401
Quest.EndQuestId,UxUInt32,14305
Quest.QuestScrollCountPerDaily,UxInt32,5
Quest.QuestScrollCountResetCount,UxInt32,3
Quest.QuestScrollCountResetCostString,UxString,100
Quest.QuestPanelTitleTextMax,UxInt32,16
Quest.TutorialCompleteQuestId,UxUInt32,1024
SoulStoneCraft.RequiredCrystalCount,UxUInt32,1
SoulShotBuffId,UxUInt32,11
SoulShotHitFxName,UxString,Common/SoulShotStrike
SoulShotHitSoundName,UxString,PC/Common/PC_Hit_SoulShot
FreeReviveLevel,UxUInt32,10
ReviveNowCost,UxUInt32,40
MissionReward.RequiredQuestClearCount,UxUInt32,3
CommonSiege.ReviveNowCost,UxUInt32,30
CommonSiege.ReviveNowCostAdd,UxUInt32,30
CommonSiege.ReviveNowCostMax,UxUInt32,150
CommonSiege.ReviveCoolTimeBase,UxUInt32,10
CommonSiege.ReviveCoolTimeTickTime,UxUInt32,40
CommonSiege.ReviveCoolTimeAddPerTick,UxUInt32,1
CommonSiege.PreviouslyEnterTime,UxUInt32,600
CastleSiege.DefenderTeamId,UxUInt32,1
CastleSiege.MaxAttackerGuildCount,UxUInt32,3
CastleSiege.KillMasterScore,UxInt32,10
CastleSiege.KillScore,UxInt32,5
CastleSiege.KillWeakScore,UxInt32,3
CastleSiege.GuardTowerDestructionScore,UxInt32,20
CastleSiege.AltarImprintScore,UxInt32,15
CastleSiege.HolyArtifactImprintScore,UxInt32,50
CastleSiege.OffenseTowerDestructionScore,UxInt32,50
CastleSiege.RevivalCoolTime,UxInt32,10
CastleSiege.MvpExpBonusRate,UxInt32,5000
CastleSiege.MvpRewardBonusRate,UxInt32,5000
CastleSiege.MvpItemRewardCountMultifly,UxInt32,2
CastleSiege.FinishStateDuration,UxInt32,60
CastleSiege.EntryBidListCount,UxUInt32,5
CastleSiege.BidCancelFee,UxUInt32,500
CastleSiege.LotteryBuyCost,UxUInt32,10
CastleSiege.LotteryChangeCost,UxUInt32,10
CastleSiege.MaxLotteryCount,UxUInt32,3
CastleSiege.MailCouponCount,UxUInt32,25
CastleSiege.MorianFestivalLosingLotteryReward,UxUInt32,500
CastleSiege.BiddableMinLevel,UxUInt32,5
CastleSiege.EntryBidMinAdena,UxUInt32,1000000
CastleSiege.ReviveBuffInfoId,UxUInt32,453
CastleSiege.ObserverModeNameColorDefenceTeam,EColorType,Blue
CastleSiege.ObserverModeNameColorOffenceTeam1,EColorType,Green
CastleSiege.ObserverModeNameColorOffenceTeam2,EColorType,BrightAqua
CastleSiege.ObserverModeNameColorOffenceTeam3,EColorType,Yellow
Rune.FirstGroupNumber,UxUInt32,1
Rune.FirstRuneNumber,UxUInt32,1
Rune.MaxGroupNumber,UxUInt32,4
Rune.MaxRuneNumber,UxUInt32,4
Rune.MaxLevel,UxUInt32,7
Rune.MinLevel,UxUInt32,1
Rune.OffenseColor,EColorType,RuneOffense
Rune.DefenseColor,EColorType,RuneDefense
Rune.SteminaColor,EColorType,RuneStemina
Rune.UtilColor,EColorType,RuneUtility
Rune.AutoCarveTime,UxUInt32,2000
Rune.RunePageBonusGroup,UxUInt32,0
Achievement.NotifyTime,UxUInt32,3
FortressSiege.DefenderTeamId,UxUInt32,1
FortressSiege.MaxAttackerGuildCount,UxUInt32,1
FortressSiege.RegenerationFountain,UxUInt32,10
FortressSiege.AltarOfStoneBuffInfoId,UxUInt32,100006
FortressSiege.AltarOfWindBuffInfoId,UxUInt32,100007
FortressSiege.ReviveBuffInfoId,UxUInt32,403
FortressSiege.DefenderGuildStartPosX,UxSingle,-2060
FortressSiege.KillMasterScore,UxInt32,10
FortressSiege.KillScore,UxInt32,5
FortressSiege.KillWeakScore,UxInt32,3
FortressSiege.GuardTowerDestructionScore,UxInt32,20
FortressSiege.AltarImprintScore,UxInt32,15
FortressSiege.HolyArtifactImprintScore,UxInt32,50
FortressSiege.OffenseTowerDestructionScore,UxInt32,1
FortressSiege.RevivalCoolTime,UxInt32,60
FortressSiege.MvpExpBonusRate,UxInt32,5000
FortressSiege.MvpRewardBonusRate,UxInt32,5000
FortressSiege.FinishStateDuration,UxInt32,60
FortressSiege.EntryBidListCount,UxUInt32,5
FortressSiege.BidCancelFee,UxUInt32,500
FortressSiege.BiddableMinLevel,UxUInt32,4
FortressSiege.EntryBidMinAdena,UxUInt32,500000
FortressSiege.ObserverModeNameColorRedTeam,EColorType,Red
FortressSiege.ObserverModeNameColorBlueTeam,EColorType,Blue
AuctionHouse.MarketCommission,UxUInt32,1000
AuctionHouse.PagingSize,UxUInt32,20
AuctionHouse.ExchanageEnrollDuration,UxUInt32,172800
AuctionHouse.MaxSellRegisterCount,UxUInt32,10
AuctionHouse.SellAddPriceRatePerUpgrade,UxUInt32,20
AuctionHouse.AdenaPerDiamond,UxUInt32,5000
AuctionHouse.MinMarketCommission,UxUInt32,1
AuctionHouse.MaxSellingPrice,UxUInt32,100000000
AuctionHouse.MaximumPrice,UxUInt32,3000
AuctionHouse.MinimumPrice,UxUInt32,3000
AuctionHouse.ModifiedRequiredCount,UxUInt32,100000000
AuctionHouse.UnlimitedSellCostEnchantGrade,UxUInt32,10
AuctionHouse.MaxiumLimitFavoriteItem,UxUInt32,10
AuctionHouse.RegistrationFeeCost,UxUInt32,0
AuctionHouse.RegistrationItemMaxCount,UxUInt16,99
AuctionHouse.PlayerMinLevel,UxUInt16,10
RestReward.MaxRestReward,UxUInt16,10000
RestReward.ShowBadgeValue,UxUInt8,50
Shop.DaysOfMonth,UxUInt8,30
Shop.AutoCloseTime,UxUInt32,2
Shop.FlatRateBonusCount,UxUInt32,8
Shop.FlatRateBonusItem,UxUInt32,1
Shop.FlatRateBonusItemValue,UxUInt32,200
Shop.FlatRateRewardBuff,UxUInt32,510001
Shop.AdenaFlatRateBonusCount,UxUInt32,8
Shop.AdenaFlatRateBonusItem,UxUInt32,3
Shop.AdenaFlatRateBonusItemValue,UxUInt32,100
Shop.Adena2FlatRateBonusCount,UxUInt32,10
Shop.Adena2FlatRateBonusItem,PktRewardType,FreeDiamond
Shop.Adena2FlatRateBonusItemValue,UxUInt32,200
Shop.Beginner,UxUInt32,15
Shop.Returner,UxUInt32,15
Shop.GachaCardTextureDefault,UxString,gacha_card_dn
Shop.GachaCardTextureGold,UxString,gacha_card_gold_dn
Shop.FirstBuyApplePrimeKitTutorialInfoId,UxInt32,3
Shop.FlatRateRenewalTerm,UxInt32,3
PvP.AttendTicketMaxAmount,UxUInt8,5
PvP.AttendTicketRechargeTerm,UxUInt32,3600
PvP.AttendTicketCost,UxUInt32,10
PvP.AttendTicketIncreaseValue,UxUInt32,10
PvP.CountDownTime,UxUInt32,5
PvP.BattleTime,UxUInt32,60
PvP.HonorWinGain,UxUInt32,10
PvP.HonorDefeatGain,UxUInt32,5
PvP.HonorBonusGain,UxUInt32,0
PvP.MaxBonusMul,UxUInt32,0
PvP.MatchLoadingTime,UxUInt32,3
PvP.RankingListPagingSize,UxUInt32,20
PvP.TargetListRefreshDelay,UxUInt32,2
PvP.BattleDelay,UxUInt32,10
PvP.ResultDelay,UxSingle,3
PvP.TargetListSize,UxUInt32,4
PvP.HighlightRanking,UxUInt32,3
PvP.StandardLevel,UxUInt32,10
PvP.LeaveTime,UxUInt32,10
PvP.RewardGetDelayTime,UxUInt32,86400
PvP.AttendTicketBuyMax,UxUInt32,5
PvP.ChangeCameraWaitingTime,UxUInt32,3
PvP.TopRankerListSize,UxUInt32,5
Dungeon.DailyDungeonEnterCount,UxUInt16,2
Dungeon.DailyDungeonEnterCount2,UxUInt16,6
Dungeon.DailyDungeonSweepCost_Easy,UxUInt32,1
Dungeon.DailyDungeonSweepCost_Normal,UxUInt32,1
Dungeon.DailyDungeonSweepCost_Hard,UxUInt32,1
Dungeon.DailyDungeonSweepCost_VeryHard,UxUInt32,1
Dungeon.DailyDungeonSweepCost_Hell,UxUInt32,1
Dungeon.DailyDungeonSweepTicket,UxUInt32,490090
Dungeon.GatheringTrialCount,UxUInt32,20
Dungeon.GatheringDungeonEnterLevel,UxUInt32,1
Dungeon.DailyDungeonEnterLevel,UxUInt32,5
Dungeon.InfinityDungeonEnterLevel,UxUInt32,1
Dungeon.InfinityDungeonFailLimit,UxUInt16,3
Dungeon.InfinityDungeonClearId,UxUInt32,1
Dungeon.InfinityDungeonSweepId,UxUInt32,2
Dungeon.InfinityDungeonChargeCostDiamondString,UxString,"50, 100, 200, 300, 400, 500"
Dungeon.InfinityDungeonChargeMaxCount,UxInt8,6
Dungeon.InfinityDungeonMaxFloor,UxUInt32,60
Dungeon.RegularDungeonEnterLevel,UxUInt32,1
Dungeon.RegularDungeonSweepCostDiamond,UxUInt32,50
Dungeon.RegularDungeonHotTimeSec,UxUInt32,1800
Dungeon.RegularDungeonHotTimeChargeValue,UxUInt32,900
Dungeon.RegularDungeonHotTimeChargeMaxCount,UxUInt32,6
Dungeon.RegularDungeonHotTimeChargeCostDiamond,UxUInt32,100
Dungeon.RegularDungeonHotTimeChargeCostDiamondString,UxString,"100, 100, 200, 200, 400, 400"
Dungeon.RegularHotTimeDropRewardBonusRatio,UxInt32,40000
Dungeon.RegularHotTimeCoreDropRewardBonusRatio,UxInt32,10000
Dungeon.RegularHotTimeExpRewardBonusRatio,UxInt32,80000
Dungeon.DungeonQuestRewardCostDiamond,UxUInt32,100
Dungeon.DungeonQuestRewardPoint,UxUInt32,1
Dungeon.DungeonQuestPointRewardCost,UxUInt32,5
Dungeon.DungeonQuestPointRewardItemInfoId,UxUInt32,911175
Dungeon.DungeonQuestSweepItemInfoId,UxUInt32,490025
Dungeon.PkPointDecreaseItemUseMaxCount,UxUInt32,3
Dungeon.PkBlockItemUseMaxCount,UxUInt32,3
Dungeon.ExpDungeonEnterLevel,UxUInt32,36
Dungeon.ExpDungeonEnterCount,UxUInt32,1
Dungeon.ExpDungeonSweepEnableRank,UxString,A
Dungeon.ExpDungeonSweepCost,UxUInt32,100
Dungeon.ExpDungeonTollEnterCount,UxUInt32,3
Dungeon.ExpDungeonTollEnterCost1,UxUInt32,50
Dungeon.ExpDungeonTollEnterCost2,UxUInt32,200
Dungeon.ExpDungeonTollEnterCostString,UxString,"200, 800, 3200"
