Id,DisplayOrder,MarketId,HighendEffect,TableInfoldList,ConditionFortressGrade,ItemType,ItemId,UnBindType,CostType,CostPropertyType,Cost,ProductValue,RequiredGuildLevel,GradeLimit,PurchaseLimit,PurchaseLimitValue,PurchaseLimitAddValueType,PurchaseLimitAddValueStartLevel,PurchaseLimitAddValue,RewardGuildCoin,IconTexture,PromotionType
63,700,1,0,,8,100,440001,0,11,0,100,200,1,0,2,5,1,0,,1,Icon_Shop_HpPotion_01,6
64,800,1,0,,8,100,440011,0,11,0,100,200,1,0,2,5,1,0,,1,Icon_Shop_MpPotion_01,6
65,900,1,0,,8,100,400001,0,11,0,200,5000,1,0,2,5,1,0,,1,Icon_SoulShot_01,6
201,100,2,,,8,8000,1001,0,9,1,840000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,6
202,200,2,,,8,8000,1002,0,9,1,1680000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,6
203,300,2,,,8,8000,1003,0,9,1,2520000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,6
204,400,2,,,8,8000,1004,0,9,1,3360000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,6
205,500,2,,,8,8000,1005,0,9,1,4200000,1,1,4,0,0,1,0,,0,Icon_Shop_HolyArtifact_01,6
206,600,2,,,8,8000,2001,0,9,1,350000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,6
207,700,2,,,8,8000,2002,0,9,1,700000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,6
208,800,2,,,8,8000,2003,0,9,1,1050000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,6
209,900,2,,,8,8000,2004,0,9,1,1400000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,6
210,1000,2,,,8,8000,2005,0,9,1,1750000,1,1,4,0,0,1,0,,0,Icon_Shop_DefenseTower_01,6
211,1100,2,,,8,8000,3001,0,9,1,210000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,6
212,1200,2,,,8,8000,3002,0,9,1,420000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,6
213,1300,2,,,8,8000,3003,0,9,1,630000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,6
214,1400,2,,,8,8000,3004,0,9,1,840000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,6
215,1500,2,,,8,8000,3005,0,9,1,1050000,1,1,4,0,0,1,0,,0,Icon_Shop_Trap_01,6
301,100,5,,,8,8001,302001,0,11,0,400,1,1,4,2,1,1,0,,0,Icon_Shop_GuildMaster_01,6
302,200,5,,,8,8001,302002,0,11,0,400,1,3,4,2,1,1,0,,0,Icon_Potion_Player_MoveSpeed,6
303,300,5,,,8,8001,302003,0,11,0,400,1,5,4,2,1,1,0,,0,Icon_Shop_GuildMaster_03,6
311,400,5,1,,8,100,1000201,0,10,0,500,1,3,4,3,1,1,0,,0,Icon_SummonGem_02,6
312,450,5,1,,8,100,1000202,0,10,0,500,1,4,4,3,1,1,0,,0,Icon_SummonGem_02,6
313,500,5,1,,8,100,1000203,0,10,0,500,1,5,4,3,1,1,0,,0,Icon_SummonGem_02,6
810000001,10,4,,,1,100,810000010,0,3,0,100,1,5,0,2,1,1,0,,0,Icon_shop_buffadena_guildposion01,6
810000002,14,4,,,2,100,810000030,0,3,0,100,1,5,0,2,1,1,0,,0,Icon_shop_buffcore_guildposion01,6
810000003,110,4,,,3,100,400000,0,12,1,45000,1,5,4,3,3,1,0,,0,Icon_Shop_Protector_01,6
810000004,80,4,,,2,100,900011,0,12,1,64000,1,5,4,3,3,1,0,,0,Icon_Gacha_EnchantScroll,6
810000005,90,4,,,2,100,490027,0,12,1,15000,1,5,4,3,3,1,0,,0,Icon_Transcendence_03,6
810000006,100,4,,,3,100,490037,0,12,1,50000,1,5,4,3,1,1,0,,0,Icon_Transcendence_02,6
810000007,60,4,,,1,100,420001,0,3,0,15,1,5,0,2,3,1,0,,0,Icon_Shop_Upgrade_01,6
810000008,70,4,,,1,100,420002,0,3,0,15,1,5,0,2,3,1,0,,0,Icon_Shop_Upgrade_02,6
810000009,20,4,,,1,100,452001,0,3,0,3,1,5,0,2,3,1,0,,0,Icon_Elixir_Red,6
810000010,30,4,,,1,100,452002,0,3,0,3,1,5,0,2,3,1,0,,0,Icon_Elixir_Blue,6
810000011,40,4,,,1,100,452003,0,3,0,10,1,5,0,2,3,1,0,,0,Icon_Elixir_Purple,6
810000012,50,4,,,1,100,452004,0,3,0,10,1,5,0,2,3,1,0,,0,Icon_Elixir_Orange,6
810000013,100,0,,,8,100,490027,0,3,0,1000,1,3,0,5,1,1,0,,0,Icon_Transcendence_03,4
810000014,100,0,,,8,100,490037,0,3,0,2000,1,3,0,5,1,1,0,,0,Icon_Transcendence_02,4
810000015,9,4,,,4,100,810000011,0,3,0,120,1,5,0,3,3,1,0,,0,Icon_shop_buffadena_guildposion02,6
810000016,8,4,,,4,100,460014,0,3,0,500,1,5,0,3,1,1,0,,0,Icon_SkillPaper_03,6
810000017,7,0,0,,8,100,470005,0,3,0,300,1,3,0,5,3,1,0,,0,Icon_Shop_PetStoneBlackBear_01,4
810000018,7,0,0,,8,100,470004,0,3,0,700,1,3,0,5,5,1,0,,0,Icon_Shop_PetStoneKnightHorse_01,4
