Id,DelayTime,Duration,CollisionUnitType,CollisionUnitParam,AutoIncreaseCollisionArea,Resource,DirAlign,Hide,HideTime,EffectRepeatAble
4011021,500,10000,0,"""radius"": 300",,BP/BP_PTC_Boranta_BossSkill_01_Blaze,0,0,,0
40020101,1800,1,0,"""radius"": 200",,,1,0,,0
40020109,3027,1,0,"""radius"": 250",,,1,0,,0
40020111,1993,500,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020126,1500,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020129,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020155,1972,1000,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020161,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020162,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020163,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020164,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020167,1,1,0,"""radius"": 200",,,1,0,,0
40020131,1000,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020173,500,1,0,"""radius"": 200",,,1,0,,0
40020201,1800,1,0,"""radius"": 200",,,1,0,,0
40020209,3027,1,0,"""radius"": 250",,,1,0,,0
40020211,1993,500,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020226,1500,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020229,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020255,1972,1000,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020261,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020262,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020263,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020264,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020267,1,1,0,"""radius"": 200",,,1,0,,0
40020231,1000,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020273,500,1,0,"""radius"": 200",,,1,0,,0
40020301,1800,1,0,"""radius"": 200",,,1,0,,0
40020309,3027,1,0,"""radius"": 250",,,1,0,,0
40020311,1993,500,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020326,1500,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020329,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020355,1972,1000,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020361,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020362,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020363,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020364,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020367,1,1,0,"""radius"": 200",,,1,0,,0
40020331,1000,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020373,500,1,0,"""radius"": 200",,,1,0,,0
40020401,1800,1,0,"""radius"": 200",,,1,0,,0
40020409,3027,1,0,"""radius"": 250",,,1,0,,0
40020411,1993,500,0,"""radius"": 250",,BP/BP_PTC_GiantStatuePeltastSkill_01,1,0,,0
40020426,1500,1,0,"""radius"": 200",,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,0,,0
40020429,1,1,0,"""radius"": 4000",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020455,1972,1000,0,"""radius"": 200",,BP/BP_PTC_DikeBossSkill_04,1,0,,0
40020461,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,0,,0
40020462,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Water,1,0,,0
40020463,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,0,,0
40020464,1,3000,0,"""radius"": 2500",,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,0,,0
40020467,1,1,0,"""radius"": 200",,,1,0,,0
40020431,1000,1,0,"""radius"": 200",,BP/BP_PTC_HagiosColumnSkill_02,1,0,,0
40020473,500,1,0,"""radius"": 200",,,1,0,,0
2000001,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_01,0,0,,0
2000002,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_02,0,0,,0
2000003,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_03,0,0,,0
2000004,0,8000,0,"""radius"": 300",,BP/BP_PTC_Common_Firecracker_04,0,0,,0
2000005,0,8000,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_01,0,0,,0
2000006,0,8000,0,"""radius"": 300",,BP/BP_PTC_Halloween_Firecracker_02,0,0,,0
2000007,0,12000,0,"""radius"": 300",,BP/BP_PTC_Valentine_Firecracker_01,1,0,,0
2000008,0,12000,0,"""radius"": 300",,BP/BP_PTC_Valentine_Firecracker_02,1,0,,0
45000416,0,600000,0,"""radius"": 200",30,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
45000417,0,2000000,0,"""radius"": 1800",,BP/BP_PTC_Trisha_BossSkill_06_01,0,0,,0
45000419,0,8000,0,"""radius"": 500",,BP/BP_PTC_Collabo_01,0,0,,0
45000425,0,2000,0,"""radius"": 200",400,BP/BP_PTC_LuciferBossSkill_06,0,0,,0
45000459,0,6000,0,"""radius"": 200",,BP/BP_PTC_Collabo_Dark2m,0,0,,0
45000460,0,6000,0,"""radius"": 400",,BP/BP_PTC_Collabo_Dark4m,0,0,,0
45000461,0,6000,0,"""radius"": 600",,BP/BP_PTC_Collabo_Dark6m,0,0,,0
45000462,0,6000,0,"""radius"": 800",,BP/BP_PTC_Collabo_Dark8m,0,0,,0
45000463,0,6000,0,"""radius"": 1000",,BP/BP_PTC_Collabo_Dark10m,0,0,,0
45000464,0,6000,0,"""radius"": 1200",,BP/BP_PTC_Collabo_Dark12m,0,0,,0
45000465,0,6000,0,"""radius"": 1400",,BP/BP_PTC_Collabo_Dark14m,0,0,,0
45000466,0,6000,0,"""radius"": 1600",,BP/BP_PTC_Collabo_Dark16m,0,0,,0
45000467,0,6000000,0,"""radius"": 1800",,BP/BP_PTC_Collabo_Dark18m,0,0,,0
45000469,0,6000000,0,"""radius"": 200",,BP/BP_PTC_Collabo_Dark2m,0,0,,0
45000470,0,8000,0,"""radius"": 2000",,BP/BP_PTC_Collabo_Dark20m,0,0,,0
45000471,0,8000,0,"""radius"": 2200",,BP/BP_PTC_Collabo_Dark22m,0,0,,0
45000472,0,8000,0,"""radius"": 2400",,BP/BP_PTC_Collabo_Dark24m,0,0,,0
45000473,0,8000,0,"""radius"": 2600",,BP/BP_PTC_Collabo_Dark26m,0,0,,0
45000474,0,8000,0,"""radius"": 2800",,BP/BP_PTC_Collabo_Dark28m,0,0,,0
45000475,0,6000000,0,"""radius"": 3000",,BP/BP_PTC_Collabo_Dark30m,0,0,,0
45000495,1200,1000,0,"""radius"": 400",,BP/BP_PTC_KetraOrcWarriorSkill_02,0,0,,0
45000449,0,5000,0,"""radius"": 250",,BP/BP_PTC_Miroku01,0,0,,0
81000001,0,8000,0,"""radius"": 300",,BP/BP_PTC_NewYear_Firecracker_01,0,0,,0
81020211,1933,1000,0,"""radius"": 200",,BP/BP_PTC_DenialLumpSkill_01,0,0,,0
