Level,ItemId,Icon
113,492006,Icon_Box_Adena_01
114,492006,Icon_Box_Adena_01
115,492033,Icon_Box_Honor_01
116,492006,Icon_Box_Adena_01
117,492006,Icon_Box_Adena_01
118,492006,Icon_Box_Adena_01
119,492006,Icon_Box_Adena_01
120,492023,Icon_Box_Achievement_01
121,492007,Icon_Box_Adena_01
122,492007,Icon_Box_Adena_01
123,492007,Icon_Box_Adena_01
124,492007,Icon_Box_Adena_01
125,492019,Icon_Box_Dia_04
126,492007,Icon_Box_Adena_01
127,492007,Icon_Box_Adena_01
128,492007,Icon_Box_Adena_01
129,492007,Icon_Box_Adena_01
130,492033,Icon_Box_Honor_01
131,492007,Icon_Box_Adena_01
132,492007,Icon_Box_Adena_01
133,492007,Icon_Box_Adena_01
134,492007,Icon_Box_Adena_01
135,492023,Icon_Box_Achievement_01
136,492007,Icon_Box_Adena_01
137,492007,Icon_Box_Adena_01
138,492007,Icon_Box_Adena_01
139,492007,Icon_Box_Adena_01
140,492020,Icon_Box_Dia_04
141,492007,Icon_Box_Adena_01
142,492007,Icon_Box_Adena_01
143,492007,Icon_Box_Adena_01
144,492007,Icon_Box_Adena_01
145,492033,Icon_Box_Honor_01
146,492007,Icon_Box_Adena_01
147,492007,Icon_Box_Adena_01
148,492007,Icon_Box_Adena_01
149,492007,Icon_Box_Adena_01
150,492023,Icon_Box_Achievement_01
151,492007,Icon_Box_Adena_01
152,492007,Icon_Box_Adena_01
153,492007,Icon_Box_Adena_01
154,492007,Icon_Box_Adena_01
155,492101,Icon_Box_Dia_04
156,492007,Icon_Box_Adena_01
157,492007,Icon_Box_Adena_01
158,492007,Icon_Box_Adena_01
159,492007,Icon_Box_Adena_01
160,492033,Icon_Box_Honor_01
161,492007,Icon_Box_Adena_01
162,492007,Icon_Box_Adena_01
163,492007,Icon_Box_Adena_01
164,492007,Icon_Box_Adena_01
165,810492101,Icon_Box_Dia_04
166,492007,Icon_Box_Adena_01
167,492007,Icon_Box_Adena_01
168,492007,Icon_Box_Adena_01
169,492007,Icon_Box_Adena_01
170,492102,Icon_Box_Dia_04
171,492007,Icon_Box_Adena_01
172,492007,Icon_Box_Adena_01
173,492007,Icon_Box_Adena_01
174,492007,Icon_Box_Adena_01
175,492033,Icon_Box_Honor_01
176,492007,Icon_Box_Adena_01
177,492007,Icon_Box_Adena_01
178,492007,Icon_Box_Adena_01
179,492007,Icon_Box_Adena_01
180,492023,Icon_Box_Achievement_01
