Id,ShopServerType,ShopType,TabType,HighendEffect,LimitMinLevel,LimitMaxLevel,MasteryMinLevel,MasteryMaxLevel,NetmarbleSItemId,Display,DisplayOrder,DisplayType,DisplayTypeValue,IsGotcha,CostType,CostValue,PurchaseFree,PurchaseFreeTime,PurchaseLimit,PurchaseLimitValue,LimitPeriodStart,LimitPeriodEnd,LeagueLimit,SupportVersion,IconTexture,IconTexture2,PromotionType,RecommendPackage,FlatRatePeriod,RetentionPeriod,HelpKeyword
2010,All,1,5,1,,,,,revolution_jp_dia_4,0,650,12,,0,4,2400,0,,0,,,,,,Icon_Shop_Dia_04,,2,0,,,
2007,All,1,5,1,,,,,revolution_jp_dia_5,0,700,12,,0,4,3200,0,,0,,,,,,Icon_Shop_Dia_04,,2,0,,,
2008,All,1,5,1,,,,,revolution_jp_dia_6,0,800,12,,0,4,4800,0,,0,,,,,,Icon_Shop_Dia_05,,2,0,,,
2009,All,1,5,1,,,,,revolution_jp_dia_7,0,900,12,,0,4,9800,0,,0,,,,,,Icon_Shop_Dia_06,,2,0,,,
3001,All,1,7,1,,,,,,0,10,12,,1,5,50,0,,4,5,,,,,Icon_Shop_Gacha_Equipment_03,,6,0,,,
3002,All,1,7,1,,,,,,0,400,12,,0,5,60,0,,4,6,,,,,Icon_Shop_EnchantScroll_04,,6,0,,,
3003,All,1,7,1,,,,,,0,600,12,,0,5,60,0,,4,6,,,,,Icon_Shop_EnchantScroll_05,,6,0,,,
3004,All,1,7,1,,,,,,0,800,12,,0,5,60,0,,4,6,,,,,Icon_Shop_EnchantScroll_06,,6,0,,,
3005,All,1,7,1,,,,,,0,100,12,,0,5,60,0,,4,20,,,,,Icon_Shop_Protector_01,,6,0,,,
3006,All,1,7,1,,,,,,0,200,12,,0,5,720,0,,4,2,,,,,Icon_Transcendence_01,,6,0,,,
3007,All,1,7,,,,,,,0,300,12,,0,5,180,0,,4,6,,,,,Icon_Transcendence_03,,6,0,,,
3008,All,1,7,,,,,,,0,500,12,,0,5,360,0,,4,6,,,,,Icon_Transcendence_02,,6,0,,,
3009,All,1,7,1,,,,,,0,700,12,,0,5,720,0,,4,6,,,,,Icon_Transcendence_04,,6,0,,,
3011,All,1,7,,,,,,,0,20,12,,1,5,100,0,,4,3,,,,,Icon_Shop_Gacha_Acc_01,,6,0,,,
4001,All,1,4,,,,,,,0,100,12,,0,0,2400,0,,0,,,,,,Icon_Shop_HpPotion_01,,6,0,,,
4002,All,1,4,,,,,,,0,200,12,,0,0,21600,0,,0,,,,,,Icon_Shop_HpPotion_03,,6,0,,,
4003,All,1,4,1,,,,,,0,1100,12,,0,1,40,0,,0,,,,,,Icon_Shop_HpPotion_02,,6,0,,,
4004,All,1,4,1,,,,,,0,1200,12,,0,1,360,0,,0,,,,,,Icon_Shop_HpPotion_04,,6,0,,,
4005,All,1,4,,,,,,,0,300,12,,0,0,2400,0,,0,,,,,,Icon_Shop_MpPotion_01,,6,0,,,
4006,All,1,4,,,,,,,0,400,12,,0,0,21600,0,,0,,,,,,Icon_Shop_MpPotion_02,,6,0,,,
4007,All,1,4,1,,,,,,0,1300,12,,0,1,40,0,,0,,,,,,Icon_Shop_MpPotion_03,,6,0,,,
4008,All,1,4,1,,,,,,0,1400,12,,0,1,360,0,,0,,,,,,Icon_Shop_MpPotion_04,,6,0,,,
4009,All,1,4,,,,,,,0,500,12,,0,0,5000,0,,0,,,,,,Icon_SoulShot_01,,6,0,,,
4010,All,1,4,,,,,,,0,600,12,,0,0,45000,0,,0,,,,,,Icon_SoulShot_02,,6,0,,,
4013,All,1,4,,,,,,,0,1500,12,,0,1,4,0,,0,,,,,,Icon_Shop_Speaker_01,,6,0,,,
4014,All,1,4,,,,,,,0,1600,12,,0,1,36,0,,0,,,,,,Icon_Shop_Speaker_02,,6,0,,,
4018,All,1,4,,,,,,,0,900,12,,0,0,1000,0,,0,,,,,,Icon_Shop_Speaker_01,,6,0,,,
4019,All,1,4,,,,,,,0,1000,12,,0,0,9000,0,,0,,,,,,Icon_Shop_Speaker_02,,6,0,,,
4020,All,1,4,,20,29,,,,1,700,12,,0,0,7500,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4021,All,1,4,,30,39,,,,1,700,12,,0,0,10000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4022,All,1,4,,40,49,,,,1,700,12,,0,0,12000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4023,All,1,4,,50,59,,,,1,700,12,,0,0,15000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4024,All,1,4,,60,74,,,,1,700,12,,0,0,18000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4025,All,1,4,,75,89,,,,1,700,12,,0,0,22000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4026,All,1,4,,90,104,,,,1,700,12,,0,0,25000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4027,All,1,4,,105,119,,,,1,700,12,,0,0,30000,0,,2,10,,,,,Icon_QuestScroll_A,,6,0,,,
4028,All,1,4,1,20,29,,,,1,800,12,,0,1,50,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4029,All,1,4,1,30,39,,,,1,800,12,,0,1,70,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4030,All,1,4,1,40,49,,,,1,800,12,,0,1,80,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4031,All,1,4,1,50,59,,,,1,800,12,,0,1,100,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4032,All,1,4,1,60,74,,,,1,800,12,,0,1,125,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4033,All,1,4,1,75,89,,,,1,800,12,,0,1,160,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4034,All,1,4,1,90,104,,,,1,800,12,,0,1,180,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4035,All,1,4,1,105,119,,,,1,800,12,,0,1,200,0,,2,10,,,,,Icon_QuestScroll_S,,6,0,,,
4401,All,1,4,,,,,,,1,900,6,,0,0,100000,0,,2,1,,,,,Icon_SummonGem_02_Shop,,6,0,20101,,
4402,All,1,4,,,,,,,1,900,6,,0,0,150000,0,,2,1,,,,,Icon_SummonGem_02_Shop,,6,0,20103,,
4403,All,1,4,,,,,,,1,900,6,,0,0,200000,0,,2,1,,,,,Icon_SummonGem_02_Shop,,6,0,20107,,
4404,All,1,4,,,,,,,1,900,6,,0,0,250000,0,,2,1,,,,,Icon_SummonGem_02_Shop,,6,0,20111,,
4604,All,1,4,,,,,,,1,90,5,,0,0,500000,0,,5,2,2017-12-13 15:00:00,2017-12-27 14:59:59,,,Icon_Shop_Gacha_EnchantScroll,,4,0,,,
4605,All,1,4,,,,,,,1,90,5,,0,0,500000,0,,5,2,2017-12-13 15:00:00,2017-12-27 14:59:59,,,Icon_Transcendence_03,,4,0,,,
4606,All,1,4,,,,,,,1,90,5,,0,0,500000,0,,5,2,2017-12-13 15:00:00,2017-12-27 14:59:59,,,Icon_Shop_Protector_01,,4,0,,,
4607,All,1,4,,,,,,,1,90,5,,0,1,3000,0,,5,2,2017-12-13 15:00:00,2017-12-27 14:59:59,,,Icon_Shop_Protector_01,,4,0,,,
4608,All,1,4,,,,,,,1,10,5,,0,0,700000,0,,5,1,2017-12-22 04:00:00,2017-12-22 23:59:59,,,Icon_Shop_Gacha_EnchantScroll,,4,0,,,
4609,All,1,4,,,,,,,1,10,5,,0,1,5000,0,,5,1,2017-12-23 00:00:00,2017-12-23 23:59:59,,,Icon_Transcendence_01,,4,0,,,
4610,All,1,4,,,,,,,1,10,5,,1,0,200000,0,,5,1,2017-12-24 00:00:00,2017-12-24 23:59:59,,,Icon_Shop_Gacha_Acc_01,,4,0,,,
4611,All,1,4,,,,,,,1,10,5,,0,1,3000,0,,5,1,2017-12-25 00:00:00,2017-12-25 23:59:59,,,Icon_Transcendence_02,,4,0,,,
4612,All,1,4,,,,,,,1,10,5,,0,1,7000,0,,5,1,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_Transcendence_01_PvpDefense,,4,0,,,
4613,All,1,4,,,,,,,1,11,5,,0,1,7000,0,,5,1,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_Transcendence_01_MagicalCreatureAttack,,4,0,,,
4614,All,1,4,,,,,,,1,12,5,,0,1,1500,0,,5,1,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_Protector_01,,4,0,,,
4615,All,1,4,,,,,,,1,13,5,,0,0,150000,0,,5,5,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_shop_EnchantScroll_04_EliteAttack,,4,0,,,
4616,All,1,4,,,,,,,1,14,5,,0,0,700000,0,,5,1,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_shop_EnchantScroll_05_EliteDefense,,4,0,,,
4617,All,1,4,,,,,,,1,15,5,,0,0,150000,0,,5,1,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_GuildCoin_01,,4,0,,,
4618,All,1,4,,,,,,,1,16,5,,0,1,2000,0,,5,3,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_GuildCoin_01,,4,0,,,
4619,All,1,4,,,,,,,1,10,5,,0,0,250000,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_SummonGem_Gludio_02_Shop,,4,0,,,
4620,All,1,4,,,,,,,1,11,5,,0,1,700,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_SummonGem_Dion_02_Shop,,4,0,,,
4621,All,1,4,,,,,,,1,12,5,,0,1,1000,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_SummonGem_Giran_02_Shop,,4,0,,,
4622,All,1,4,,,,,,,1,13,5,,0,1,1000,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_Shop_Gacha_EnchantScroll,,4,0,,,
4623,All,1,4,,,,,,,1,14,5,,0,0,300000,0,,5,5,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_shop_Protector_01_EliteAttack,,4,0,,,
4624,All,1,4,,,,,,,1,15,5,,0,1,1000,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_shop_Protector_01_EliteDefense,,4,0,,,
4625,All,1,4,,,,,,,1,16,5,,0,0,150000,0,,5,1,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_Shop_GuildCoin_01,,4,0,,,
4626,All,1,4,,,,,,,1,17,5,,0,1,2000,0,,5,3,2018-01-19 16:00:00,2018-01-26 14:59:59,,,Icon_Shop_GuildCoin_01,,4,0,,,
5002,All,1,2,,,,,,,1,20,7,1041,1,10,120,1,86400,0,,,,,,Icon_Shop_Gacha_Equipment_01,,6,0,,,
5003,All,1,2,1,,,,,,0,10,12,,1,10,1200,0,,0,,,,,,Icon_Shop_Gacha_Equipment_02,,2,0,,,
5014,All,1,2,,,,,,,0,40,12,,1,11,120,0,,0,,,,,,Icon_Shop_Gacha_Equipment_01,,6,0,,,
5015,All,1,2,1,,,,,,0,30,12,,1,11,1200,0,,0,,,,,,Icon_Shop_Gacha_Equipment_02,,2,0,,,
5401,All,1,2,1,,,,,,1,5,0,,1,10,1200,0,,5,1,,,,,Icon_Shop_Gacha_Equipment_SR_02,,2,0,,,
5402,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2018-02-21 15:30:00,2018-02-28 14:59:59,,,Icon_Shop_Gacha_Equipment_51,,4,0,,,
5403,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2018-02-28 15:00:00,2018-03-07 14:59:59,,,Icon_Shop_Gacha_Equipment_52_JP,,4,0,,,
5406,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2017-12-29 16:00:00,2018-01-05 23:59:59,,,Icon_Shop_Gacha_Equipment_53_JP,,4,0,,,
5407,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2017-12-29 16:00:00,2018-01-05 23:59:59,,,Icon_Shop_Gacha_Equipment_54_JP,,4,0,,,
5408,All,1,2,1,,,,,,1,1,5,,1,10,1200,0,,0,,2017-10-19 15:00:00,2017-10-26 14:59:59,,,Icon_Shop_Gacha_Equipment_55_JP,,4,0,,,
5409,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2017-10-27 04:00:00,2017-11-10 14:59:59,,,Icon_Shop_Gacha_HalloweenAccEquipment,,4,0,,,
5410,All,1,2,1,,,,,,1,1,5,,1,10,1200,0,,0,,2017-11-10 15:00:00,2017-11-17 14:59:59,,,Icon_Shop_Gacha_Equipment_56_JP,,4,0,,,
5411,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_Gacha_Equipment_57_JP,,4,0,,,
5412,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2018-02-07 04:00:00,2018-02-21 14:59:59,,,Icon_Shop_Gacha_Equipment_58_JP,,4,0,,,
5413,All,1,2,1,,,,,,1,1,5,,1,11,1200,0,,0,,2018-03-07 15:30:00,2018-03-21 23:59:59,,,Icon_Shop_Gacha_Equipment_61_JP,,4,0,,,
6002,All,1,9,,,,,,,0,300,12,,0,8,60,0,,8,,,,,,Icon_Shop_Upgrade_01,,6,0,,,
6003,All,1,9,,,,,,,0,500,12,,0,8,60,0,,8,,,,,,Icon_Shop_Upgrade_02,,6,0,,,
6004,All,1,9,,,,,,,0,700,12,,0,8,60,0,,8,,,,,,Icon_Shop_Upgrade_03,,6,0,,,
6005,All,1,9,,,,,,,0,400,12,,0,8,60,0,,8,,,,,,Icon_Shop_EnchantScroll_01,,6,0,,,
6006,All,1,9,,,,,,,0,600,12,,0,8,60,0,,8,,,,,,Icon_Shop_EnchantScroll_02,,6,0,,,
6007,All,1,9,,,,,,,0,800,12,,0,8,60,0,,8,,,,,,Icon_Shop_EnchantScroll_03,,6,0,,,
6008,All,1,9,1,,,,,,0,200,12,,0,8,180,0,,8,,,,,,Icon_Shop_Protector_01,,6,0,,,
6020,All,1,9,1,,,,,,0,50,12,,1,8,100,0,,8,,,,,,Icon_Shop_Gacha_Weapon_02,,6,0,,,
6021,All,1,9,1,,,,,,0,80,12,,1,8,100,0,,8,,,,,,Icon_Shop_Gacha_Armor_02,,6,0,,,
6061,All,1,9,1,,,,,,0,90,12,,0,8,1000,0,,4,1,,,,,Icon_GachaItem_EquipmentSR,,6,0,,,
6062,All,1,9,1,,,,,,0,90,12,,0,8,1000,0,,4,1,,,,,Icon_Shop_Gacha_Equipment_03,,6,0,,,
6063,All,1,9,1,,,,,,0,90,12,,0,8,1800,0,,4,1,,,,,Icon_GachaItem_EquipmentSR,,6,0,,,
6064,All,1,9,1,,,,,,1,10,5,,0,8,30,0,,5,10,2017-12-13 04:00:00,2018-01-03 14:59:59,,,Icon_Shop_SummonGem_EventXmas_01,,4,0,,,
7003,All,7,10,,,,,,revolution_jp_daily_1,0,200,12,,0,4,,0,,8,,,,,,Icon_Shop_Dia_09,Ui_DiamondShop_Red_512,6,0,28,3,
8001,All,4,11,,,,,,,0,100,12,,0,11,1500,0,,8,,2017-01-01 00:00:00,2030-12-31 23:59:59,,,Icon_Shop_GrowUp_01,,6,0,,,
8011,All,4,21,,,,,,revolution_jp_scenario_3,0,100,12,,0,4,3200,0,,8,,2017-01-01 00:00:00,2030-12-31 23:59:59,,,Icon_Shop_GrowUp_02,,6,0,,,
8002,All,4,12,,,,,,revolution_jp_login_1,0,100,12,,0,11,1500,0,,8,,2017-01-01 00:00:00,2030-12-31 23:59:59,,,Icon_Shop_Accept_01,,6,0,,,
8003,All,4,13,1,,,,,revolution_jp_scenario_2,0,100,12,,0,4,3200,0,,8,,,,,,Icon_Shop_Collect_01,,6,0,,,
8004,All,4,14,1,,,,,revolution_jp_scenario_1,0,100,12,,0,4,3200,0,,8,,,,,,Icon_shop_Scenario_01,,6,0,,,
8014,All,4,22,1,,,,,revolution_jp_scenario_4,0,100,12,,0,4,3200,0,,8,,,,,,Icon_shop_Scenario_01,,6,0,,,
9001,All,6,33,1,,,,,revolution_jp_package_1,1,100,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Launching,,2,0,,,
12011,All,6,33,1,16,999,,,revolution_jp_package_2,1,13400,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Junior,,6,0,,,
12012,All,6,33,1,44,999,,,revolution_jp_package_3,1,13500,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Senior,,6,0,,,
12013,All,6,33,1,73,999,,,revolution_jp_package_4,1,13600,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Venteran,,6,0,,,
12014,All,6,33,1,121,999,,,revolution_jp_package_53,1,13700,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Elite,,6,0,,,
12015,All,6,33,1,151,999,,,revolution_jp_package_54,1,13800,0,,0,4,,0,,5,1,,,,,Image_SelectBox_Noblesse,,6,0,,,
9020,All,6,36,,,,,,revolution_jp_package_9,1,2000,0,,0,4,,0,,3,5,,,,,Image_SelectBox_Premium1,,6,0,,,
9030,All,6,34,,15,999,,,,1,2300,0,,0,1,1000,0,,2,1,,,,,Image_SelectBox_Rune1,,6,0,,,
9035,All,6,34,,30,999,,,,1,2600,0,,0,1,1000,0,,2,1,,,,,Image_SelectBox_Elixir1,,6,0,,,
9051,All,6,36,,,,,,revolution_jp_package_11,1,500,0,,0,4,,0,,3,3,,,,,Image_SelectBox_UpgradeStone,,6,0,,,
9054,All,6,33,1,,,,,revolution_jp_package_12,1,400,0,,0,4,4800,0,,5,3,,,,,Image_SelectBox_Inventory_JP,,2,0,,,
12024,All,6,34,,10,999,,,revolution_jp_package_5,1,14200,0,12020,0,4,,0,,2,1,,,,,Image_SelectBox_SkillPoint,,6,0,,,
12032,All,6,36,,,,,,revolution_jp_package_7,1,96,0,12030,0,4,,0,,3,7,,,,,Image_SelectBox_EnchantCall,,6,0,,,
12033,All,6,36,,,,,,revolution_jp_package_8,1,14500,0,12030,0,4,,0,,3,1,,,,,Image_SelectBox_SummonAcc,,6,0,,,
12101,All,6,32,,,,,,revolution_jp_package_13,1,4,5,,0,4,120,0,,5,1,2018-01-01 01:00:00,2018-01-05 23:59:59,,,Icon_Shop_NewYear_LuckyBox1,,4,0,,,
12103,All,6,32,,,,,,revolution_jp_package_15,1,10,5,,0,4,480,0,,5,1,2018-02-21 15:30:00,2018-03-07 14:59:59,,,Icon_Shop_GuildPrayPack,,5,0,,,
12104,All,6,32,,,,,,revolution_jp_package_16,1,10,5,,0,4,480,0,,5,1,2018-03-07 15:30:00,2018-03-21 23:59:59,,,Icon_Shop_GuildWhitedayPack,,5,0,,,
12105,All,6,36,,,,,,revolution_jp_package_17,1,93,0,,0,4,960,0,,3,3,,,,,Image_SelectBox_Enchant0,,6,0,,,
12107,All,6,34,,,,,,revolution_jp_package_19,1,91,8,12257,0,4,2400,0,,5,15,,,,,Icon_Shop_PetManedLionGrowthPack,,2,0,,,
12113,All,1,5,1,,,,,revolution_jp_package_25,1,10,0,,0,4,4800,0,,4,1,,,,,Icon_Shop_Dia_12,,4,0,,,
12115,All,1,5,1,,,,,revolution_jp_package_27,1,10,0,,0,4,9800,0,,4,1,,,,,Icon_Shop_Dia_13,,4,0,,,
12116,All,6,36,1,,,,,revolution_jp_package_28,1,94,0,,0,4,9800,0,,3,1,,,,,Image_SelectBox_Enchant1,,6,0,,,
12223,All,6,36,,,,,,revolution_jp_package_35,1,100,0,,0,4,960,0,,3,1,,,,,Image_SelectBox_GrowStoneLitePack,,6,0,,,
12224,All,6,32,,,,,,revolution_jp_package_36,1,11,5,,0,4,960,0,,5,3,2017-12-13 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_BossAbilityEquipmentUpgradeLightPack,,4,0,,,
12225,All,6,32,,,,,,revolution_jp_package_37,1,10,5,,0,4,960,0,,5,1,2018-02-07 04:00:00,2018-02-21 14:59:59,,,Icon_Shop_ValentineGuildPack,,5,0,,,
12226,All,6,34,,,,,,revolution_jp_package_38,1,94,0,,0,4,960,0,,4,2,,,,,Image_SelectBox_Elixir3,,2,0,,,
12233,All,6,32,,,,,,revolution_jp_package_45,1,10,5,,0,4,3200,0,,5,10,2018-02-07 04:00:00,2018-02-21 14:59:59,,,Icon_Shop_ValentineWeaponUpgradePack,,4,0,,,
12234,All,6,36,,,,,,revolution_jp_package_46,1,95,0,,0,4,3200,0,,3,3,,,,,Icon_Shop_NormalBossElitePack_BlessEnchantScrollPack,,6,0,,,
12240,All,6,32,,,,,,revolution_jp_package_52,1,10,5,,0,4,9800,0,,5,1,2017-10-27 04:00:00,2017-11-10 14:59:59,,,Icon_Shop_HalloweenMagicStickPack,,4,0,,,
12243,All,6,32,,,,,,revolution_jp_package_55,1,10,5,,0,4,9800,0,,5,1,2017-11-17 04:00:00,2017-11-24 14:59:59,,,Icon_Shop_WorldExpandCrossPack,,4,0,,,
12244,All,6,32,,,,,,revolution_jp_package_56,1,10,5,,0,4,9800,0,,5,3,2017-12-13 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_BossAbilityEquipmentUpgradePack,,4,0,,,
12245,All,6,34,,,,,,revolution_jp_package_57,1,100,9,,0,4,960,0,,5,1,,,,,Icon_Shop_ApplePrimePack_01,,6,0,,,
12246,All,6,32,,,,,,,1,10,5,,0,11,5000,0,,5,3,2017-11-10 15:00:00,2017-11-17 14:59:59,,,Icon_Shop_StoneForLimitBreakPack,,4,0,,,
12247,All,6,32,,,,,,,1,10,5,,0,1,3000,0,,5,3,2017-11-10 15:00:00,2017-11-17 14:59:59,,,Icon_Shop_StoneForAbilityPack,,4,0,,,
12248,All,6,36,,,,,,revolution_jp_package_58,1,92,0,,0,4,960,0,,3,3,,,,,Icon_Shop_NormalEliteBoss_EnchantSupportPack,,2,0,,,
12249,All,1,5,,,,,,revolution_jp_package_59,1,10,5,,0,4,960,0,,5,1,2018-03-07 15:30:00,2018-03-21 23:59:59,,,Icon_Shop_Dia_03,,4,0,,,
12250,All,6,32,,,,,,revolution_jp_package_60,1,5,5,,0,4,9800,0,,5,1,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_GyotsangPack,,4,0,,,
12251,All,6,32,,,,,,revolution_jp_package_61,1,6,5,,0,4,9800,0,,5,1,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_MSWeaponUpgradePack1,,4,0,,,
12252,All,6,32,,,,,,revolution_jp_package_62,1,6,8,12251,0,4,9800,0,,5,1,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_MSWeaponUpgradePack2,,4,0,,,
12253,All,6,32,,,,,,revolution_jp_package_63,1,6,8,12252,0,4,9800,0,,5,1,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_MSWeaponUpgradePack3,,4,0,,,
12254,All,6,32,,,,,,revolution_jp_package_64,1,10,5,,0,4,4800,0,,5,1,2017-12-13 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_BossAbilityEquipmentPack,,4,0,,,
12255,All,6,32,,,,,,revolution_jp_package_65,1,3,5,,0,4,4800,0,,5,2,2018-01-03 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_MSSoulCrystalPack,,4,0,,,
12256,All,6,34,,,,,,revolution_jp_package_66,1,92,0,,0,4,4800,0,,4,3,,,,,Image_SelectBox_RedDia_01_Shop,,2,0,,,
12257,All,6,34,,50,999,,,revolution_jp_package_67,1,90,0,,0,4,4800,0,,5,1,,,,,Icon_Shop_SummonPetManedLionPack,,2,0,,,
12258,All,6,32,,,,,,revolution_jp_package_68,1,10,5,,0,4,3200,0,,5,3,2017-12-13 04:00:00,2018-01-10 14:59:59,,,Icon_Shop_RudolphPack,,4,0,,,
12262,All,6,32,,,,,,,1,10,5,,0,11,5000,0,,5,3,2017-11-30 15:00:00,2017-12-07 14:59:59,,,Icon_Shop_StoneForLimitBreakPack,,4,0,,,
12263,All,6,32,,,,,,,1,10,5,,0,1,3000,0,,5,3,2017-11-30 15:00:00,2017-12-07 14:59:59,,,Icon_Shop_StoneForAbilityPack,,4,0,,,
12266,All,6,32,,,,,,,1,4,5,,0,11,120,0,,5,10,2018-01-01 01:00:00,2018-01-05 23:59:59,,,Icon_Shop_NewYear_LuckyBox2,,4,0,,,
12267,All,6,32,,,,,,,1,4,5,,0,11,1200,0,,5,10,2018-01-01 01:00:00,2018-01-05 23:59:59,,,Icon_Shop_NewYear_LuckyBox3,,4,0,,,
12268,All,6,32,,50,999,,,revolution_jp_package_23,1,5,5,,0,4,3200,0,,5,4,2017-12-22 04:00:00,2018-01-19 14:59:59,,,Icon_Shop_PetEquipmentPack,,4,0,,,
12272,All,6,36,,,,,,revolution_jp_package_72,1,98,0,,0,4,9800,0,,4,1,,,,,Icon_Shop_SpecialAccessorySetPack,,6,0,,,
12277,All,6,36,,,,,,revolution_jp_package_77,1,97,0,,0,4,4800,0,,3,1,,,,,Icon_Shop_EnchantCall2,,6,0,,,
12280,All,6,32,,,,,,revolution_jp_package_24,1,7,5,,0,4,3200,0,,5,3,2018-01-12 16:00:00,2018-01-26 14:59:59,,,Icon_Shop_RedDiaPack,,4,0,,,
12282,All,6,32,,,,,,revolution_jp_package_51,1,7,5,,0,4,4800,0,,5,3,2018-01-12 16:00:00,2018-01-19 14:59:59,,,Icon_Shop_KukurinPack,,4,0,,,
12293,All,6,32,1,,,,,revolution_jp_package_21,1,10,5,,0,4,2900,0,,5,3,2018-03-07 15:30:00,2018-03-21 23:59:59,,,Image_SelectBox_AdenaPumPum_JP,,4,0,,,
