Id,ConditionRoomTypeList,ConditionType,ConditionFireRate,EffectType,EffectParam1,EffectParam2,EquipEffectBuffIcon
7100211,RegularDungeonWorld,2,2150,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100212,RegularDungeonWorld,2,2300,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100213,RegularDungeonWorld,2,2450,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100214,RegularDungeonWorld,2,2600,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100215,RegularDungeonWorld,2,2750,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100216,RegularDungeonWorld,2,2900,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100217,RegularDungeonWorld,2,3050,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100218,RegularDungeonWorld,2,3200,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100219,RegularDungeonWorld,2,3350,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100220,RegularDungeonWorld,2,3500,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100221,RegularDungeonWorld,2,3650,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100222,RegularDungeonWorld,2,3800,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100223,RegularDungeonWorld,2,3950,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100224,RegularDungeonWorld,2,4100,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100225,RegularDungeonWorld,2,4250,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100226,RegularDungeonWorld,2,4400,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100227,RegularDungeonWorld,2,4550,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100228,RegularDungeonWorld,2,4700,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100229,RegularDungeonWorld,2,4850,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100230,RegularDungeonWorld,2,5000,96,9900025,,Icon_Buff_CapeEquipEffect_01
7100301,GatheringDungeonWorld,3,1200,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100302,GatheringDungeonWorld,3,1350,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100303,GatheringDungeonWorld,3,1500,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100304,GatheringDungeonWorld,3,1650,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100305,GatheringDungeonWorld,3,1800,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100306,GatheringDungeonWorld,3,1950,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100307,GatheringDungeonWorld,3,2100,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100308,GatheringDungeonWorld,3,2250,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100309,GatheringDungeonWorld,3,2400,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100310,GatheringDungeonWorld,3,2550,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100311,GatheringDungeonWorld,3,2700,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100312,GatheringDungeonWorld,3,2850,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100313,GatheringDungeonWorld,3,3000,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100314,GatheringDungeonWorld,3,3150,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100315,GatheringDungeonWorld,3,3300,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100316,GatheringDungeonWorld,3,3450,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100317,GatheringDungeonWorld,3,3600,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100318,GatheringDungeonWorld,3,3750,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100319,GatheringDungeonWorld,3,3900,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100320,GatheringDungeonWorld,3,4050,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100321,GatheringDungeonWorld,3,4200,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100322,GatheringDungeonWorld,3,4350,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100323,GatheringDungeonWorld,3,4500,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100324,GatheringDungeonWorld,3,4650,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100325,GatheringDungeonWorld,3,4800,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100326,GatheringDungeonWorld,3,4950,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100327,GatheringDungeonWorld,3,5100,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100328,GatheringDungeonWorld,3,5250,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100329,GatheringDungeonWorld,3,5400,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100330,GatheringDungeonWorld,3,5550,96,9900031,,Icon_Buff_CapeEquipEffect_01
7100401,,8,1600,85,1,990001,Icon_Buff_CapeEquipEffect_01
7100402,,8,1670,85,1,990002,Icon_Buff_CapeEquipEffect_01
7100403,,8,1740,85,1,990003,Icon_Buff_CapeEquipEffect_01
7100404,,8,1810,85,1,990004,Icon_Buff_CapeEquipEffect_01
7100405,,8,1880,85,1,990005,Icon_Buff_CapeEquipEffect_01
7100406,,8,1950,85,1,990006,Icon_Buff_CapeEquipEffect_01
7100407,,8,2020,85,1,990007,Icon_Buff_CapeEquipEffect_01
7100408,,8,2090,85,1,990008,Icon_Buff_CapeEquipEffect_01
7100409,,8,2160,85,1,990009,Icon_Buff_CapeEquipEffect_01
7100410,,8,2230,85,1,990010,Icon_Buff_CapeEquipEffect_01
7100411,,8,2300,85,1,990011,Icon_Buff_CapeEquipEffect_01
7100412,,8,2370,85,1,990012,Icon_Buff_CapeEquipEffect_01
7100413,,8,2440,85,1,990013,Icon_Buff_CapeEquipEffect_01
7100414,,8,2510,85,1,990014,Icon_Buff_CapeEquipEffect_01
7100415,,8,2580,85,1,990015,Icon_Buff_CapeEquipEffect_01
7100416,,8,2650,85,1,990016,Icon_Buff_CapeEquipEffect_01
7100417,,8,2720,85,1,990017,Icon_Buff_CapeEquipEffect_01
7100418,,8,2790,85,1,990018,Icon_Buff_CapeEquipEffect_01
7100419,,8,2860,85,1,990019,Icon_Buff_CapeEquipEffect_01
7100420,,8,2930,85,1,990020,Icon_Buff_CapeEquipEffect_01
7100421,,8,3000,85,1,990021,Icon_Buff_CapeEquipEffect_01
7100422,,8,3070,85,1,990022,Icon_Buff_CapeEquipEffect_01
7100423,,8,3140,85,1,990023,Icon_Buff_CapeEquipEffect_01
7100424,,8,3210,85,1,990024,Icon_Buff_CapeEquipEffect_01
7100425,,8,3280,85,1,990025,Icon_Buff_CapeEquipEffect_01
7100426,,8,3350,85,1,990026,Icon_Buff_CapeEquipEffect_01
7100427,,8,3420,85,1,990027,Icon_Buff_CapeEquipEffect_01
7100428,,8,3490,85,1,990028,Icon_Buff_CapeEquipEffect_01
7100429,,8,3560,85,1,990029,Icon_Buff_CapeEquipEffect_01
7100430,,8,3630,85,1,990030,Icon_Buff_CapeEquipEffect_01
7100601,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,600,85,1,990201,Icon_Buff_CapeEquipEffect_01
7100602,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,650,85,1,990202,Icon_Buff_CapeEquipEffect_01
7100603,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,700,85,1,990203,Icon_Buff_CapeEquipEffect_01
7100604,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,750,85,1,990204,Icon_Buff_CapeEquipEffect_01
7100605,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,800,85,1,990205,Icon_Buff_CapeEquipEffect_01
7100606,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,850,85,1,990206,Icon_Buff_CapeEquipEffect_01
7100607,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,900,85,1,990207,Icon_Buff_CapeEquipEffect_01
7100608,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,950,85,1,990208,Icon_Buff_CapeEquipEffect_01
7100609,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1000,85,1,990209,Icon_Buff_CapeEquipEffect_01
7100610,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1050,85,1,990210,Icon_Buff_CapeEquipEffect_01
7100611,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1100,85,1,990211,Icon_Buff_CapeEquipEffect_01
7100612,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1150,85,1,990212,Icon_Buff_CapeEquipEffect_01
7100613,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1200,85,1,990213,Icon_Buff_CapeEquipEffect_01
7100614,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1250,85,1,990214,Icon_Buff_CapeEquipEffect_01
7100615,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1300,85,1,990215,Icon_Buff_CapeEquipEffect_01
7100616,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1350,85,1,990216,Icon_Buff_CapeEquipEffect_01
7100617,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1400,85,1,990217,Icon_Buff_CapeEquipEffect_01
7100618,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1450,85,1,990218,Icon_Buff_CapeEquipEffect_01
7100619,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1500,85,1,990219,Icon_Buff_CapeEquipEffect_01
7100620,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1550,85,1,990220,Icon_Buff_CapeEquipEffect_01
7100621,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1590,85,1,990221,Icon_Buff_CapeEquipEffect_01
7100622,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1630,85,1,990222,Icon_Buff_CapeEquipEffect_01
7100623,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1670,85,1,990223,Icon_Buff_CapeEquipEffect_01
7100624,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1710,85,1,990224,Icon_Buff_CapeEquipEffect_01
7100625,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1750,85,1,990225,Icon_Buff_CapeEquipEffect_01
7100626,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1790,85,1,990226,Icon_Buff_CapeEquipEffect_01
7100627,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1830,85,1,990227,Icon_Buff_CapeEquipEffect_01
7100628,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1870,85,1,990228,Icon_Buff_CapeEquipEffect_01
7100629,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1910,85,1,990229,Icon_Buff_CapeEquipEffect_01
7100630,"World,BossWorld,RegularDungeonWorld,PartyDungeonWorld,GuildDungeonWorld,SummonWorld,InfinityDungeonWorld,DailyDungeonWorld,GatheringDungeonWorld,EquipDungeonWorld,AdenaDungeonWorld,SummonStoneDungeonWorld",4,1950,85,1,990230,Icon_Buff_CapeEquipEffect_01
7100701,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,300,85,1,990301,Icon_Buff_CapeEquipEffect_01
7100702,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,330,85,1,990302,Icon_Buff_CapeEquipEffect_01
7100703,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,360,85,1,990303,Icon_Buff_CapeEquipEffect_01
7100704,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,390,85,1,990304,Icon_Buff_CapeEquipEffect_01
7100705,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,420,85,1,990305,Icon_Buff_CapeEquipEffect_01
7100706,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,450,85,1,990306,Icon_Buff_CapeEquipEffect_01
7100707,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,480,85,1,990307,Icon_Buff_CapeEquipEffect_01
7100708,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,510,85,1,990308,Icon_Buff_CapeEquipEffect_01
7100709,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,540,85,1,990309,Icon_Buff_CapeEquipEffect_01
7100710,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,570,85,1,990310,Icon_Buff_CapeEquipEffect_01
7100711,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,600,85,1,990311,Icon_Buff_CapeEquipEffect_01
7100712,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,630,85,1,990312,Icon_Buff_CapeEquipEffect_01
7100713,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,660,85,1,990313,Icon_Buff_CapeEquipEffect_01
7100714,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,690,85,1,990314,Icon_Buff_CapeEquipEffect_01
7100715,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,720,85,1,990315,Icon_Buff_CapeEquipEffect_01
7100716,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,750,85,1,990316,Icon_Buff_CapeEquipEffect_01
7100717,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,780,85,1,990317,Icon_Buff_CapeEquipEffect_01
7100718,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,810,85,1,990318,Icon_Buff_CapeEquipEffect_01
7100719,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,840,85,1,990319,Icon_Buff_CapeEquipEffect_01
7100720,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,870,85,1,990320,Icon_Buff_CapeEquipEffect_01
7100721,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,890,85,1,990321,Icon_Buff_CapeEquipEffect_01
7100722,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,910,85,1,990322,Icon_Buff_CapeEquipEffect_01
7100723,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,930,85,1,990323,Icon_Buff_CapeEquipEffect_01
7100724,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,950,85,1,990324,Icon_Buff_CapeEquipEffect_01
7100725,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,970,85,1,990325,Icon_Buff_CapeEquipEffect_01
7100726,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,990,85,1,990326,Icon_Buff_CapeEquipEffect_01
7100727,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,1010,85,1,990327,Icon_Buff_CapeEquipEffect_01
7100728,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,1030,85,1,990328,Icon_Buff_CapeEquipEffect_01
7100729,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,1050,85,1,990329,Icon_Buff_CapeEquipEffect_01
7100730,"PvpWorld,SiegeWorld,BattlefieldOfHonorWorld,MeleeWorld,GuildAgitWorld,GatheringDungeonWorld",5,1070,85,1,990330,Icon_Buff_CapeEquipEffect_01
7100801,,12,620,85,1,990101,Icon_Buff_CapeEquipEffect_01
7100802,,12,640,85,1,990102,Icon_Buff_CapeEquipEffect_01
7100803,,12,660,85,1,990103,Icon_Buff_CapeEquipEffect_01
7100804,,12,680,85,1,990104,Icon_Buff_CapeEquipEffect_01
7100805,,12,700,85,1,990105,Icon_Buff_CapeEquipEffect_01
7100806,,12,720,85,1,990106,Icon_Buff_CapeEquipEffect_01
7100807,,12,740,85,1,990107,Icon_Buff_CapeEquipEffect_01
7100808,,12,760,85,1,990108,Icon_Buff_CapeEquipEffect_01
7100809,,12,780,85,1,990109,Icon_Buff_CapeEquipEffect_01
7100810,,12,800,85,1,990110,Icon_Buff_CapeEquipEffect_01
7100811,,12,820,85,1,990111,Icon_Buff_CapeEquipEffect_01
7100812,,12,840,85,1,990112,Icon_Buff_CapeEquipEffect_01
7100813,,12,860,85,1,990113,Icon_Buff_CapeEquipEffect_01
7100814,,12,880,85,1,990114,Icon_Buff_CapeEquipEffect_01
7100815,,12,900,85,1,990115,Icon_Buff_CapeEquipEffect_01
7100816,,12,920,85,1,990116,Icon_Buff_CapeEquipEffect_01
7100817,,12,940,85,1,990117,Icon_Buff_CapeEquipEffect_01
7100818,,12,960,85,1,990118,Icon_Buff_CapeEquipEffect_01
7100819,,12,980,85,1,990119,Icon_Buff_CapeEquipEffect_01
7100820,,12,1000,85,1,990120,Icon_Buff_CapeEquipEffect_01
7100821,,12,1020,85,1,990121,Icon_Buff_CapeEquipEffect_01
7100822,,12,1040,85,1,990122,Icon_Buff_CapeEquipEffect_01
