Id,Type,Grade,ActivityType,ActivityVolatile,ActivityCondition1,ActivityCondition2,StatType1,StatValue1,StatType2,StatValue2,StatType3,StatValue3,StatType4,StatValue4,BattlePointRating,TitleIcon,TitleIcon2,FontColor
3001000,0,2,0,0,31710,3,16,314,17,314,50,190,167,0,970,UI_CharacterTitle03,,C5EFFFFF
3100100,1,2,5,1,,3,0,297,1,297,41,207,167,0,1526,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF
3100200,1,2,7,1,,3,16,342,17,342,50,207,167,0,1057,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,C5EFFFFF
813000100,1,4,20,0,1001,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000101,1,4,20,0,1002,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000102,1,4,20,0,1003,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000103,1,4,20,0,1004,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000104,1,4,20,0,2001,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000105,1,4,20,0,2002,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000106,1,4,20,0,2003,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000107,1,4,20,0,2004,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000108,1,4,20,0,5001,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000109,1,4,20,0,5002,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000110,1,4,20,0,5003,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000111,1,4,20,0,5004,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000112,1,4,20,0,5005,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000113,1,4,20,0,5006,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000114,1,4,20,0,5007,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000115,1,4,20,0,5008,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000116,1,4,20,0,3001,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000117,1,4,20,0,5809,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000118,1,4,20,0,5810,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000119,1,4,20,0,5811,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000120,1,4,20,0,5812,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000121,1,4,20,0,5813,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000122,1,4,20,0,5814,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000123,1,4,20,0,5815,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
813000124,1,4,20,0,5816,3,167,,167,,167,,167,,,UI_CharacterTitle03,,C5EFFFFF
4100100,1,3,3,1,,3,0,477,1,477,23,545,41,291,2988,UI_CharacterTitle05_Frame_FortressKing,UI_CharacterTitle05_Icon_FortressKing,FFC9F8FF
4101200,1,3,8,1,10,3,46,543,81,236,13,591,34,15,1939,UI_CharacterTitle04,,FFC9F8FF
5100200,1,4,1,1,1,3,16,769,17,769,20,676,50,375,3039,UI_CharacterTitle05_Frame_RankOne_Challenge,UI_CharacterTitle05_Icon_RankOne_Challenge,FFE9AAFF
5100300,1,4,9,1,1,3,44,753,80,360,12,876,30,22,3218,UI_CharacterTitle05_Frame_RankOne_FightingPower,UI_CharacterTitle05_Icon_RankOne_FightingPower,FFE9AAFF
5100400,1,4,8,1,1,3,46,753,81,360,13,876,34,22,2842,UI_CharacterTitle05_Frame_RankOne_Level,UI_CharacterTitle05_Icon_RankOne_Level,FFE9AAFF
813000125,1,2,16,0,81000121,3,167,,167,,167,,167,,,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle05_Icon_RankOne_Battlefield3vs3_Common,C5EFFFFF
813000126,1,2,16,0,81000122,3,167,,167,,167,,167,,0,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle05_Icon_RankOne_Battlefield3vs3_Common,C5EFFFFF
813000127,1,2,16,0,81000123,3,167,,167,,167,,167,,0,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle05_Icon_RankOne_Battlefield3vs3_Common,C5EFFFFF
814100100,1,3,16,0,81000119,3,167,,167,,167,,167,,,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle04_Icon_Final4_LRTJAPAN,FFC9F8FF
814100103,1,3,16,0,81000120,3,167,,167,,167,,167,,,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle05_Icon_RankOne_Battlefield3vs3_Common,FFC9F8FF
814100104,1,3,16,0,81000124,3,167,,167,,167,,167,,,UI_CharacterTitle04,,FFC9F8FF
815100100,1,4,16,0,81000118,3,167,,167,,167,,167,,0,UI_CharacterTitle05_Frame_RankOne_Battlefield3vs3_Common,UI_CharacterTitle05_Icon_RankOne_LRTJAPAN,FFE9AAFF
