Id,Group,WorldId,RewardType,EffectType,RewardQuantity,RewardIndex,PromotePoint,RewardProgress,RewardIcon,TotalLevel
11101,11,7,6,1,10,1001102,51,20,Icon_HpPotion_01,70
11102,11,7,6,1,10,1001102,102,40,Icon_MpPotion_01,70
11103,11,7,6,1,10,1001102,153,60,Icon_GachaItem_Herb,70
11104,11,7,6,1,10,1001102,204,80,Icon_GachaItem_Soulcrystal,70
11105,11,7,6,1,10,1001102,255,100,Icon_Box_Rune_03,70
11201,12,8,6,1,10,1001102,58,20,Icon_Gacha_HerbPotion,50
11202,12,8,6,1,10,1001102,116,40,Item_GemStoneRed_01,50
11203,12,8,6,1,10,1001102,174,60,UI_Icon_TeleportScroll,50
11204,12,8,6,1,10,1001102,232,80,UI_Icon_LoudSpeaker,50
11205,12,8,6,1,10,1001102,290,100,Icon_Box_Dia_04,50
11301,13,9,6,1,10,1001102,65,20,Icon_Asset_SkillPoint_01,50
11302,13,9,6,1,10,1001102,130,40,Icon_SoulShot_01,50
11303,13,9,6,1,10,1001102,195,60,Icon_HpPotion_01,50
11304,13,9,6,1,10,1001102,260,80,Icon_MpPotion_01,50
11305,13,9,6,1,10,1001102,325,100,Icon_GachaItem_Herb,50
11401,14,10,6,1,10,1001102,72,20,Icon_GachaItem_Soulcrystal,70
11402,14,10,6,1,10,1001102,144,40,Icon_Box_Rune_03,70
11403,14,10,6,1,10,1001102,216,60,Icon_Gacha_HerbPotion,70
11404,14,10,6,1,10,1001102,288,80,Item_GemStoneRed_01,70
11405,14,10,6,1,10,1001102,360,100,UI_Icon_TeleportScroll,70
11501,15,204,6,1,15,1001102,80,20,UI_Icon_LoudSpeaker,40
11502,15,204,6,1,15,1001102,160,40,Icon_Box_Dia_04,40
11503,15,204,6,1,15,1001102,240,60,Icon_Asset_SkillPoint_01,40
11504,15,204,6,1,15,1001102,320,80,Icon_SoulShot_01,40
11505,15,204,6,1,15,1001102,400,100,Icon_HpPotion_01,40
11601,16,205,6,1,15,1001102,89,20,Icon_MpPotion_01,30
11602,16,205,6,1,15,1001102,178,40,Icon_GachaItem_Herb,30
11603,16,205,6,1,15,1001102,267,60,Icon_GachaItem_Soulcrystal,30
11604,16,205,6,1,15,1001102,356,80,Icon_Box_Rune_03,30
11605,16,205,6,1,15,1001102,445,100,Icon_Gacha_HerbPotion,30
11701,17,11,6,1,10,1001103,99,20,Item_GemStoneRed_01,80
11702,17,11,6,1,10,1001103,198,40,UI_Icon_TeleportScroll,80
11703,17,11,6,1,10,1001103,297,60,UI_Icon_LoudSpeaker,80
11704,17,11,6,1,10,1001103,396,80,Icon_Box_Dia_04,80
11705,17,11,6,1,10,1001103,495,100,Icon_Asset_SkillPoint_01,80
11801,18,12,6,1,10,1001103,108,20,Icon_SoulShot_01,60
11802,18,12,6,1,10,1001103,216,40,Icon_HpPotion_01,60
11803,18,12,6,1,10,1001103,324,60,Icon_MpPotion_01,60
11804,18,12,6,1,10,1001103,432,80,Icon_GachaItem_Herb,60
11805,18,12,6,1,10,1001103,540,100,Icon_GachaItem_Soulcrystal,60
11901,20,13,6,1,10,1001103,118,20,Icon_Box_Rune_03,40
11902,20,13,6,1,10,1001103,236,40,Icon_Gacha_HerbPotion,40
11903,20,13,6,1,10,1001103,354,60,Item_GemStoneRed_01,40
11904,20,13,6,1,10,1001103,472,80,UI_Icon_TeleportScroll,40
11905,20,13,6,1,10,1001103,590,100,UI_Icon_LoudSpeaker,40
12001,21,14,6,1,10,1001103,128,20,Icon_Box_Dia_04,70
12002,21,14,6,1,10,1001103,256,40,Icon_Asset_SkillPoint_01,70
12003,21,14,6,1,10,1001103,384,60,Icon_SoulShot_01,70
12004,21,14,6,1,10,1001103,512,80,Icon_HpPotion_01,70
12005,21,14,6,1,10,1001103,640,100,Icon_MpPotion_01,70
12101,19,206,6,1,10,1001103,140,20,Icon_GachaItem_Herb,30
12102,19,206,6,1,10,1001103,280,40,Icon_GachaItem_Soulcrystal,30
12103,19,206,6,1,10,1001103,420,60,Icon_Box_Rune_03,30
12104,19,206,6,1,10,1001103,560,80,Icon_Gacha_HerbPotion,30
12105,19,206,6,1,10,1001103,700,100,Item_GemStoneRed_01,30
12201,22,207,6,1,10,1001103,152,20,UI_Icon_TeleportScroll,30
12202,22,207,6,1,10,1001103,304,40,UI_Icon_LoudSpeaker,30
12203,22,207,6,1,10,1001103,456,60,Icon_Box_Dia_04,30
12204,22,207,6,1,10,1001103,608,80,Icon_Asset_SkillPoint_01,30
12205,22,207,6,1,10,1001103,760,100,Icon_SoulShot_01,30
12301,23,208,6,1,10,1001103,164,20,Icon_HpPotion_01,30
12302,23,208,6,1,10,1001103,328,40,Icon_MpPotion_01,30
12303,23,208,6,1,10,1001103,492,60,Icon_GachaItem_Herb,30
12304,23,208,6,1,10,1001103,656,80,Icon_GachaItem_Soulcrystal,30
12305,23,208,6,1,10,1001103,820,100,Icon_Box_Rune_03,30
99991,999,400,6,1,20,1001102,202,20,Icon_Gacha_HerbPotion,20
99992,999,400,6,1,20,1001102,404,40,Item_GemStoneRed_01,20
99993,999,400,6,1,20,1001102,606,60,UI_Icon_TeleportScroll,20
99994,999,400,6,1,20,1001102,808,80,UI_Icon_LoudSpeaker,20
99995,999,400,6,1,20,1001102,1010,100,Icon_Box_Dia_04,20
100001,1000,810,6,1,20,1001103,0,20,Icon_Gacha_HerbPotion,40
100002,1000,810,6,1,20,1001103,0,40,Item_GemStoneRed_01,40
100003,1000,810,6,1,20,1001103,0,60,UI_Icon_TeleportScroll,40
100004,1000,810,6,1,20,1001103,0,80,UI_Icon_LoudSpeaker,40
100005,1000,810,6,1,20,1001103,0,100,Icon_Box_Dia_04,40
