Id,GroupId,RequiredId,TaskType,TaskCount,RewardBloodCrystal,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
104014,7,104013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
104015,7,104014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
104016,7,104015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
104017,7,104016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
104018,7,104017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
104019,7,104018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105021,9,,165,2250,15,1000,911191,3,,Icon_SoulShot_01,
105022,9,105021,165,10500,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
105023,9,105022,165,22500,50,3000,911191,5,,Icon_SoulShot_01,
105024,9,105023,165,45000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
105025,9,105024,165,75000,75,6000,911191,7,,Icon_SoulShot_01,
105026,9,105025,165,112500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
105027,9,105026,165,157500,110,10000,911191,10,,Icon_SoulShot_01,
105028,9,105027,165,210000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105029,9,105028,165,280000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105031,10,,162,9,15,1000,911191,3,,Icon_SoulShot_01,
105032,10,105031,162,28,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
105033,10,105032,162,40,50,3000,911191,5,,Icon_SoulShot_01,
105034,10,105033,162,75,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
105035,10,105034,162,100,75,6000,911191,7,,Icon_SoulShot_01,
105036,10,105035,162,125,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
105037,10,105036,162,180,110,10000,911191,10,,Icon_SoulShot_01,
105038,10,105037,162,240,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105039,10,105038,162,315,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105041,11,,166,30,15,1000,911191,3,,Icon_SoulShot_01,
105042,11,105041,166,105,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
105043,11,105042,166,200,50,3000,911191,5,,Icon_SoulShot_01,
105044,11,105043,166,450,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
105045,11,105044,166,800,75,6000,911191,7,,Icon_SoulShot_01,
105046,11,105045,166,1250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
105047,11,105046,166,1800,110,10000,911191,10,,Icon_SoulShot_01,
105048,11,105047,166,2800,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105049,11,105048,166,3150,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105061,12,,0,630000,15,1000,911191,3,,Icon_SoulShot_01,
105062,12,105061,0,2450000,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
105063,12,105062,0,4900000,50,3000,911191,5,,Icon_SoulShot_01,
105064,12,105063,0,9450000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
105065,12,105064,0,16800000,75,6000,911191,7,,Icon_SoulShot_01,
105066,12,105065,0,26250000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
105067,12,105066,0,42000000,110,10000,911191,10,,Icon_SoulShot_01,
105068,12,105067,0,61250000,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105069,12,105068,0,72000000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105091,15,,50,8400,15,1000,911191,3,,Icon_SoulShot_01,
105092,15,105091,50,24500,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
105093,15,105092,50,42000,50,3000,911191,5,,Icon_SoulShot_01,
105094,15,105093,50,73500,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
105095,15,105094,50,112000,75,6000,911191,7,,Icon_SoulShot_01,
105096,15,105095,50,157500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
105097,15,105096,50,210000,110,10000,911191,10,,Icon_SoulShot_01,
105098,15,105097,50,269500,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
105099,15,105098,50,336000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
106011,16,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
106012,16,106011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
106013,16,106012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
106014,16,106013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
106015,16,106014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
106016,16,106015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
106017,16,106016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
106018,16,106017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
106019,16,106018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
107011,17,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
107012,17,107011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
107013,17,107012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
107014,17,107013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
107015,17,107014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
107016,17,107015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
107017,17,107016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
107018,17,107017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
107019,17,107018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
108011,18,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
108012,18,108011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
108013,18,108012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
108014,18,108013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
108015,18,108014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
108016,18,108015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
108017,18,108016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
108018,18,108017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
108019,18,108018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
110011,19,,81,570,15,1000,911191,3,,Icon_SoulShot_01,
110012,19,110011,81,2660,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
110013,19,110012,81,5700,50,3000,911191,5,,Icon_SoulShot_01,
110014,19,110013,81,11400,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
110015,19,110014,81,19000,75,6000,911191,7,,Icon_SoulShot_01,
110016,19,110015,81,28500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
110017,19,110016,81,39900,110,10000,911191,10,,Icon_SoulShot_01,
110018,19,110017,81,53200,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
110019,19,110018,81,68400,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
112011,28,,81,570,15,1000,911191,3,,Icon_SoulShot_01,
112012,28,112011,81,2660,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
112013,28,112012,81,5700,50,3000,911191,5,,Icon_SoulShot_01,
112014,28,112013,81,11400,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
112015,28,112014,81,19000,75,6000,911191,7,,Icon_SoulShot_01,
112016,28,112015,81,28500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
112017,28,112016,81,39900,110,10000,911191,10,,Icon_SoulShot_01,
112018,28,112017,81,53200,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
112019,28,112018,81,68400,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113011,63,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113012,63,113011,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113013,63,113012,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113014,63,113013,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113015,63,113014,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113016,63,113015,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113017,63,113016,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113018,63,113017,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113019,63,113018,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113021,64,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113022,64,113021,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113023,64,113022,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113024,64,113023,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113025,64,113024,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113026,64,113025,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113027,64,113026,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113028,64,113027,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113029,64,113028,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
103031,65,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
103032,65,103031,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
103033,65,103032,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
103034,65,103033,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
103035,65,103034,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
103036,65,103035,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
103037,65,103036,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
103038,65,103037,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
103039,65,103038,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113041,66,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113042,66,113041,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113043,66,113042,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113044,66,113043,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113045,66,113044,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113046,66,113045,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113047,66,113046,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113048,66,113047,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113049,66,113048,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113051,67,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113052,67,113051,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113053,67,113052,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113054,67,113053,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113055,67,113054,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113056,67,113055,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113057,67,113056,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113058,67,113057,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113059,67,113058,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113061,68,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113062,68,113061,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113063,68,113062,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113064,68,113063,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113065,68,113064,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113066,68,113065,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113067,68,113066,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113068,68,113067,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113069,68,113068,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113071,69,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113072,69,113071,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113073,69,113072,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113074,69,113073,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113075,69,113074,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113076,69,113075,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113077,69,113076,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113078,69,113077,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113079,69,113078,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113081,70,,81,600,15,1000,911191,3,,Icon_SoulShot_01,
113082,70,113081,81,2800,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
113083,70,113082,81,6000,50,3000,911191,5,,Icon_SoulShot_01,
113084,70,113083,81,12000,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
113085,70,113084,81,20000,75,6000,911191,7,,Icon_SoulShot_01,
113086,70,113085,81,31250,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
113087,70,113086,81,45000,110,10000,911191,10,,Icon_SoulShot_01,
113088,70,113087,81,61250,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
113089,70,113088,81,80000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
114011,29,,81,570,15,1000,911191,3,,Icon_SoulShot_01,
114012,29,114011,81,2660,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
114013,29,114012,81,5700,50,3000,911191,5,,Icon_SoulShot_01,
114014,29,114013,81,11400,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
114015,29,114014,81,19000,75,6000,911191,7,,Icon_SoulShot_01,
114016,29,114015,81,28500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
114017,29,114016,81,39900,110,10000,911191,10,,Icon_SoulShot_01,
114018,29,114017,81,53200,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
114019,29,114018,81,68400,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
114021,30,,81,570,15,1000,911191,3,,Icon_SoulShot_01,
114022,30,114021,81,2660,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
114023,30,114022,81,5700,50,3000,911191,5,,Icon_SoulShot_01,
114024,30,114023,81,11400,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
114025,30,114024,81,19000,75,6000,911191,7,,Icon_SoulShot_01,
114026,30,114025,81,28500,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
114027,30,114026,81,39900,110,10000,911191,10,,Icon_SoulShot_01,
114028,30,114027,81,53200,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
114029,30,114028,81,68400,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
118011,40,,81,540,15,1000,911191,3,,Icon_SoulShot_01,
118012,40,118011,81,2520,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
118013,40,118012,81,5400,50,3000,911191,5,,Icon_SoulShot_01,
118014,40,118013,81,10800,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
118015,40,118014,81,18000,75,6000,911191,7,,Icon_SoulShot_01,
118016,40,118015,81,27000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
118017,40,118016,81,37800,110,10000,911191,10,,Icon_SoulShot_01,
118018,40,118017,81,50400,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
118019,40,118018,81,64800,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
120011,41,,81,540,15,1000,911191,3,,Icon_SoulShot_01,
120012,41,120011,81,2520,25,2000,900007,2,,Icon_Shop_Gacha_Material_01,
120013,41,120012,81,5400,50,3000,911191,5,,Icon_SoulShot_01,
120014,41,120013,81,10800,60,4000,900018,2,,Icon_Shop_Gacha_Equipment_01,
120015,41,120014,81,18000,75,6000,911191,7,,Icon_SoulShot_01,
120016,41,120015,81,27000,85,8000,900007,3,,Icon_Shop_Gacha_Material_01,
120017,41,120016,81,37800,110,10000,911191,10,,Icon_SoulShot_01,
120018,41,120017,81,57600,125,12000,900018,3,,Icon_Shop_Gacha_Equipment_01,
120019,41,120018,81,81000,140,15000,900018,3,,Icon_Shop_Gacha_Equipment_01,
