Leve,MissionGrade,RewardExp,RewardAdena
45,4,50400,1000
45,5,75600,1500
46,1,25400,500
46,2,30400,600
46,3,38200,750
46,4,50800,1000
46,5,76200,1500
47,1,25400,500
47,2,30600,600
47,3,38200,750
47,4,50800,1000
47,5,76200,1500
48,1,25600,500
48,2,30800,600
48,3,38400,750
48,4,51200,1000
48,5,76800,1500
49,1,25800,500
49,2,30800,600
49,3,38600,750
49,4,51400,1000
49,5,77200,1500
50,1,25800,500
50,2,31000,600
50,3,38800,750
50,4,51600,1000
50,5,77400,1500
51,1,25800,500
51,2,31000,600
51,3,38800,750
51,4,51800,1000
51,5,77600,1500
52,1,26000,500
52,2,31200,600
52,3,39000,750
52,4,51800,1000
52,5,77800,1500
53,1,26000,500
53,2,31200,600
53,3,39000,750
53,4,52000,1000
53,5,78000,1500
54,1,26000,500
54,2,31200,600
54,3,39000,750
54,4,52000,1000
54,5,78000,1500
55,1,26000,500
55,2,31200,600
55,3,39000,750
55,4,52000,1000
55,5,78000,1500
56,1,26000,500
56,2,31200,600
56,3,39000,750
56,4,52000,1000
56,5,78200,1500
57,1,26000,500
57,2,31200,600
57,3,39000,750
57,4,52000,1000
57,5,78200,1500
58,1,26000,500
58,2,31200,600
58,3,39000,750
58,4,52000,1000
58,5,78200,1500
59,1,26000,500
59,2,31200,600
59,3,39000,750
59,4,52000,1000
59,5,78200,1500
60,1,26000,500
60,2,31200,600
60,3,39000,750
60,4,52200,1000
60,5,78200,1500
61,1,13000,500
61,2,15600,600
61,3,19500,750
61,4,26100,1000
61,5,39100,1500
62,1,13000,500
62,2,15600,600
62,3,19500,750
62,4,26100,1000
62,5,39100,1500
63,1,13000,500
63,2,15600,600
63,3,19500,750
63,4,26100,1000
63,5,39100,1500
64,1,13000,500
64,2,15600,600
64,3,19500,750
64,4,26100,1000
64,5,39100,1500
65,1,13000,500
65,2,15600,600
65,3,19500,750
65,4,26100,1000
65,5,39100,1500
66,1,13000,500
66,2,15600,600
66,3,19500,750
66,4,26100,1000
66,5,39100,1500
67,1,13000,500
67,2,15600,600
67,3,19500,750
67,4,26100,1000
67,5,39100,1500
68,1,13000,500
68,2,15600,600
68,3,19500,750
68,4,26100,1000
68,5,39100,1500
69,1,13000,500
69,2,15600,600
69,3,19600,750
69,4,26100,1000
69,5,39100,1500
70,1,13000,500
70,2,15700,600
70,3,19600,750
70,4,26100,1000
70,5,39100,1500
71,1,13100,500
71,2,15700,600
71,3,19600,750
71,4,26100,1000
71,5,39200,1500
72,1,13100,500
72,2,15700,600
72,3,19600,750
72,4,26100,1000
72,5,39200,1500
73,1,13100,500
73,2,15700,600
73,3,19600,750
73,4,26200,1000
73,5,39300,1500
74,1,13100,500
74,2,15700,600
74,3,19700,750
74,4,26200,1000
74,5,39300,1500
75,1,13100,500
75,2,15800,600
75,3,19700,750
75,4,26300,1000
75,5,39400,1500
76,1,13200,500
76,2,15800,600
76,3,19800,750
76,4,26300,1000
76,5,39500,1500
77,1,13200,500
77,2,15900,600
77,3,19800,750
77,4,26400,1000
77,5,39700,1500
78,1,13300,500
78,2,15900,600
78,3,19900,750
78,4,26500,1000
78,5,39800,1500
79,1,13300,500
79,2,16000,600
79,3,20000,750
79,4,26700,1000
79,5,40000,1500
80,1,13400,500
80,2,16100,600
80,3,20100,750
80,4,26800,1000
80,5,40200,1500
81,1,13500,500
81,2,16200,600
81,3,20200,750
81,4,27000,1000
81,5,40500,1500
82,1,13500,500
82,2,16200,600
82,3,20300,750
82,4,27000,1000
82,5,40500,1500
83,1,13500,500
83,2,16200,600
83,3,20300,750
83,4,27000,1000
83,5,40600,1500
84,1,13600,500
84,2,16300,600
84,3,20300,750
84,4,27100,1000
84,5,40700,1500
85,1,13600,500
85,2,16300,600
85,3,20400,750
85,4,27200,1000
85,5,40800,1500
86,1,13700,500
86,2,16400,600
86,3,20500,750
86,4,27400,1000
86,5,41000,1500
87,1,13800,500
87,2,16500,600
87,3,20600,750
87,4,27500,1000
87,5,41300,1500
88,1,13900,500
88,2,16600,600
88,3,20800,750
88,4,27700,1000
88,5,41600,1500
89,1,14000,500
89,2,16800,600
89,3,21000,750
89,4,28000,1000
89,5,42000,1500
90,1,14100,500
90,2,17000,600
90,3,21200,750
90,4,28300,1000
90,5,42400,1500
91,1,14300,500
91,2,17200,600
91,3,21500,750
91,4,28600,1000
91,5,43000,1500
92,1,14500,500
92,2,17400,600
92,3,21800,750
92,4,29000,1000
92,5,43600,1500
93,1,14700,500
93,2,17700,600
93,3,22100,750
93,4,29500,1000
93,5,44200,1500
94,1,15000,670
94,2,18000,800
94,3,22500,1000
94,4,30000,1330
94,5,45000,2000
95,1,15300,670
95,2,18300,800
95,3,22900,1000
95,4,30600,1330
95,5,45900,2000
96,1,15600,670
96,2,18700,800
96,3,23400,1000
96,4,31200,1330
96,5,46800,2000
97,1,15900,670
97,2,19100,800
97,3,23900,1000
97,4,31900,1330
97,5,47800,2000
98,1,16300,670
98,2,19600,800
98,3,24500,1000
98,4,32600,1330
98,5,49000,2000
99,1,16700,670
99,2,20100,800
99,3,25100,1000
99,4,33500,1330
99,5,50200,2000
100,1,17200,670
100,2,20600,800
100,3,25800,1000
100,4,34400,1330
100,5,51500,2000
101,1,17700,670
101,2,21200,800
101,3,26500,1000
101,4,35300,1330
101,5,53000,2000
102,1,18200,670
102,2,21800,800
102,3,27300,1000
102,4,36400,1330
102,5,54600,2000
103,1,18700,670
103,2,22500,800
103,3,28100,1000
103,4,37500,1330
103,5,56200,2000
104,1,19300,670
104,2,23200,800
104,3,29000,1000
104,4,38700,1330
104,5,58000,2000
105,1,20000,670
105,2,24000,800
105,3,30000,1000
105,4,40000,1330
105,5,60000,2000
106,1,20700,670
106,2,24800,800
106,3,31000,1000
106,4,41300,1330
106,5,62000,2000
107,1,21400,670
107,2,25700,800
107,3,32100,1000
107,4,42800,1330
107,5,64200,2000
108,1,22200,670
108,2,26600,800
108,3,33300,1000
108,4,44400,1330
108,5,66500,2000
109,1,23000,670
109,2,27600,800
109,3,34500,1000
109,4,46000,1330
109,5,69000,2000
110,1,23800,670
110,2,28600,800
110,3,35700,1000
110,4,47600,1330
110,5,71400,2000
111,1,24500,670
111,2,29400,800
111,3,36800,1000
111,4,49000,1330
111,5,73600,2000
112,1,25200,670
112,2,30200,800
112,3,37800,1000
112,4,50300,1330
112,5,75500,2000
113,1,25700,670
113,2,30900,800
113,3,38600,1000
113,4,51500,1330
113,5,77200,2000
114,1,26300,670
114,2,31500,800
114,3,39400,1000
114,4,52500,1330
114,5,78800,2000
115,1,26700,670
115,2,32000,800
115,3,40100,1000
115,4,53400,1330
115,5,80100,2000
116,1,27100,670
116,2,32500,800
116,3,40600,1000
116,4,54200,1330
116,5,81300,2000
117,1,27400,670
117,2,32900,800
117,3,41100,1000
117,4,54800,1330
117,5,82300,2000
118,1,27700,670
118,2,33200,800
118,3,41500,1000
118,4,55400,1330
118,5,83100,2000
119,1,27900,670
119,2,33500,800
119,3,41900,1000
119,4,55900,1330
119,5,83800,2000
120,1,28100,670
120,2,33700,800
120,3,42200,1000
120,4,56200,1330
120,5,84300,2000
121,1,28200,670
121,2,33900,800
121,3,42400,1000
121,4,56500,1330
121,5,84700,2000
122,1,28300,670
122,2,34000,800
122,3,42500,1000
122,4,56700,1330
122,5,85000,2000
123,1,28400,670
123,2,34100,800
123,3,42600,1000
123,4,56800,1330
123,5,85200,2000
124,1,28400,670
124,2,34100,800
124,3,42600,1000
124,4,56900,1330
124,5,85300,2000
125,1,28700,670
125,2,34500,800
125,3,43100,1000
125,4,57400,1330
125,5,86100,2000
126,1,29000,670
126,2,34800,800
126,3,43400,1000
126,4,57900,1330
126,5,86900,2000
127,1,29200,670
127,2,35000,800
127,3,43800,1000
127,4,58400,1330
127,5,87600,2000
128,1,29400,670
128,2,35300,800
128,3,44100,1000
128,4,58800,1330
128,5,88200,2000
129,1,29600,670
129,2,35500,800
129,3,44400,1000
129,4,59200,1330
129,5,88800,2000
130,1,29800,670
130,2,35700,800
130,3,44700,1000
130,4,59500,1330
130,5,89300,2000
131,1,29900,670
131,2,35900,800
131,3,44900,1000
131,4,59800,1330
131,5,89800,2000
132,1,30100,670
132,2,36100,800
132,3,45100,1000
132,4,60100,1330
132,5,90200,2000
133,1,30200,670
133,2,36200,800
133,3,45300,1000
133,4,60400,1330
133,5,90500,2000
134,1,30300,670
134,2,36300,800
134,3,45400,1000
134,4,60600,1330
134,5,90900,2000
135,1,30400,670
135,2,36500,800
135,3,45600,1000
135,4,60800,1330
135,5,91100,2000
136,1,30500,670
136,2,36600,800
136,3,45700,1000
136,4,60900,1330
136,5,91400,2000
137,1,30500,670
137,2,36600,800
137,3,45800,1000
137,4,61100,1330
137,5,91600,2000
138,1,30600,670
138,2,36700,800
138,3,45900,1000
138,4,61200,1330
138,5,91800,2000
139,1,30600,670
139,2,36800,800
139,3,46000,1000
139,4,61300,1330
139,5,91900,2000
140,1,30700,670
140,2,36800,800
140,3,46000,1000
140,4,61400,1330
140,5,92100,2000
141,1,30700,670
141,2,36900,800
141,3,46100,1000
141,4,61500,1330
141,5,92200,2000
142,1,30800,670
142,2,36900,800
142,3,46100,1000
142,4,61500,1330
142,5,92300,2000
143,1,30800,670
143,2,36900,800
143,3,46200,1000
143,4,61600,1330
143,5,92300,2000
144,1,30800,670
144,2,37000,800
144,3,46200,1000
144,4,61600,1330
144,5,92400,2000
145,1,30800,670
145,2,37000,800
145,3,46200,1000
145,4,61600,1330
145,5,92500,2000
146,1,30800,670
146,2,37000,800
146,3,46200,1000
146,4,61700,1330
146,5,92500,2000
147,1,30800,670
147,2,37000,800
147,3,46300,1000
147,4,61700,1330
147,5,92500,2000
148,1,30800,670
148,2,37000,800
148,3,46300,1000
148,4,61700,1330
148,5,92500,2000
149,1,30900,670
149,2,37000,800
149,3,46300,1000
149,4,61700,1330
149,5,92600,2000
150,1,30900,670
150,2,37000,800
150,3,46300,1000
150,4,61700,1330
150,5,92600,2000
151,1,30900,670
151,2,37000,800
151,3,46300,1000
151,4,61700,1330
151,5,92600,2000
152,1,30900,670
152,2,37000,800
152,3,46300,1000
152,4,61700,1330
152,5,92600,2000
153,1,30900,670
153,2,37000,800
153,3,46300,1000
153,4,61700,1330
153,5,92600,2000
154,1,30900,670
154,2,37000,800
154,3,46300,1000
154,4,61700,1330
154,5,92600,2000
155,1,30900,670
155,2,37000,800
155,3,46300,1000
155,4,61700,1330
155,5,92600,2000
156,1,30900,670
156,2,37000,800
156,3,46300,1000
156,4,61700,1330
156,5,92600,2000
157,1,30900,670
157,2,37000,800
157,3,46300,1000
157,4,61700,1330
157,5,92600,2000
158,1,30900,670
158,2,37000,800
158,3,46300,1000
158,4,61700,1330
158,5,92600,2000
159,1,30900,670
159,2,37000,800
159,3,46300,1000
159,4,61700,1330
159,5,92600,2000
160,1,30900,670
160,2,37000,800
160,3,46300,1000
160,4,61700,1330
160,5,92600,2000
161,1,30900,670
161,2,37000,800
161,3,46300,1000
161,4,61700,1330
161,5,92600,2000
162,1,30900,670
162,2,37000,800
162,3,46300,1000
162,4,61700,1330
162,5,92600,2000
163,1,30900,670
163,2,37000,800
163,3,46300,1000
163,4,61700,1330
163,5,92600,2000
164,1,30900,670
164,2,37000,800
164,3,46300,1000
164,4,61700,1330
164,5,92600,2000
165,1,30900,670
165,2,37000,800
165,3,46300,1000
165,4,61700,1330
165,5,92600,2000
166,1,30900,670
166,2,37000,800
166,3,46300,1000
166,4,61700,1330
166,5,92600,2000
167,1,30900,670
167,2,37000,800
167,3,46300,1000
167,4,61700,1330
167,5,92600,2000
168,1,30900,670
168,2,37000,800
168,3,46300,1000
168,4,61700,1330
168,5,92600,2000
169,1,30900,670
169,2,37100,800
169,3,46300,1000
169,4,61800,1330
169,5,92600,2000
170,1,30900,670
170,2,37100,800
170,3,46300,1000
170,4,61800,1330
170,5,92600,2000
171,1,30900,670
171,2,37100,800
171,3,46300,1000
171,4,61800,1330
171,5,92700,2000
172,1,30900,670
172,2,37100,800
172,3,46300,1000
172,4,61800,1330
172,5,92700,2000
173,1,30900,670
173,2,37100,800
173,3,46400,1000
173,4,61800,1330
173,5,92700,2000
174,1,30900,670
174,2,37100,800
174,3,46400,1000
174,4,61800,1330
174,5,92800,2000
175,1,30900,670
175,2,37100,800
175,3,46400,1000
175,4,61900,1330
175,5,92800,2000
176,1,31000,670
176,2,37200,800
176,3,46400,1000
176,4,61900,1330
176,5,92900,2000
177,1,31000,670
177,2,37200,800
177,3,46500,1000
177,4,62000,1330
177,5,92900,2000
178,1,31000,670
178,2,37200,800
178,3,46500,1000
178,4,62000,1330
178,5,93000,2000
179,1,31000,670
179,2,37200,800
179,3,46600,1000
179,4,62100,1330
179,5,93100,2000
180,1,31100,670
180,2,37300,800
180,3,46600,1000
180,4,62100,1330
180,5,93200,2000
181,1,31100,670
181,2,37300,800
181,3,46700,1000
181,4,62200,1330
181,5,93300,2000
182,1,31200,670
182,2,37400,800
182,3,46700,1000
182,4,62300,1330
182,5,93500,2000
183,1,31200,670
183,2,37400,800
183,3,46800,1000
183,4,62400,1330
183,5,93600,2000
184,1,31300,670
184,2,37500,800
184,3,46900,1000
184,4,62500,1330
184,5,93800,2000
185,1,31300,670
185,2,37600,800
185,3,47000,1000
185,4,62600,1330
185,5,94000,2000
186,1,31400,670
186,2,37700,800
186,3,47100,1000
186,4,62800,1330
186,5,94200,2000
187,1,31500,670
187,2,37800,800
187,3,47200,1000
187,4,62900,1330
187,5,94400,2000
188,1,31600,670
188,2,37900,800
188,3,47300,1000
188,4,63100,1330
188,5,94700,2000
189,1,31600,670
189,2,38000,800
189,3,47500,1000
189,4,63300,1330
189,5,94900,2000
190,1,31800,670
190,2,38100,800
190,3,47600,1000
190,4,63500,1330
190,5,95300,2000
191,1,31900,670
191,2,38200,800
191,3,47800,1000
191,4,63700,1330
191,5,95600,2000
192,1,32000,670
192,2,38400,800
192,3,48000,1000
192,4,64000,1330
192,5,96000,2000
193,1,32100,670
193,2,38500,800
193,3,48200,1000
193,4,64200,1330
193,5,96400,2000
194,1,32300,670
194,2,38700,800
194,3,48400,1000
194,4,64500,1330
194,5,96800,2000
195,1,32400,670
195,2,38900,800
195,3,48600,1000
195,4,64900,1330
195,5,97300,2000
196,1,32600,670
196,2,39100,800
196,3,48900,1000
196,4,65200,1330
196,5,97800,2000
197,1,32800,830
197,2,39300,1000
197,3,49200,1250
197,4,65600,1670
197,5,98400,2500
198,1,33000,830
198,2,39600,1000
198,3,49500,1250
198,4,66000,1670
198,5,99000,2500
199,1,33200,830
199,2,39800,1000
199,3,49800,1250
199,4,66400,1670
199,5,99600,2500
200,1,33400,830
200,2,40100,1000
200,3,50100,1250
200,4,66900,1670
200,5,100300,2500
201,1,33700,830
201,2,40400,1000
201,3,50500,1250
201,4,67400,1670
201,5,101000,2500
202,1,33900,830
202,2,40700,1000
202,3,50900,1250
202,4,67900,1670
202,5,101800,2500
203,1,34200,830
203,2,41100,1000
203,3,51300,1250
203,4,68400,1670
203,5,102700,2500
204,1,34500,830
204,2,41400,1000
204,3,51800,1250
204,4,69100,1670
204,5,103600,2500
205,1,34800,830
205,2,41800,1000
205,3,52300,1250
205,4,69700,1670
205,5,104500,2500
206,1,35200,830
206,2,42200,1000
206,3,52800,1250
206,4,70400,1670
206,5,105600,2500
207,1,35200,830
207,2,42200,1000
207,3,52800,1250
207,4,70400,1670
207,5,105600,2500
208,1,35200,830
208,2,42300,1000
208,3,52800,1250
208,4,70400,1670
208,5,105700,2500
209,1,35300,830
209,2,42300,1000
209,3,52900,1250
209,4,70500,1670
209,5,105800,2500
210,1,35300,830
210,2,42400,1000
210,3,53000,1250
210,4,70600,1670
210,5,105900,2500
211,1,35400,830
211,2,42400,1000
211,3,53100,1250
211,4,70700,1670
211,5,106100,2500
212,1,35400,830
212,2,42500,1000
212,3,53200,1250
212,4,70900,1670
212,5,106300,2500
213,1,35500,830
213,2,42700,1000
213,3,53300,1250
213,4,71100,1670
213,5,106600,2500
214,1,35700,830
214,2,42800,1000
214,3,53500,1250
214,4,71300,1670
214,5,107000,2500
215,1,35800,830
215,2,42900,1000
215,3,53700,1250
215,4,71600,1670
215,5,107400,2500
216,1,35900,830
216,2,43100,1000
216,3,53900,1250
216,4,71900,1670
216,5,107800,2500
217,1,36100,830
217,2,43300,1000
217,3,54100,1250
217,4,72200,1670
217,5,108300,2500
218,1,36300,830
218,2,43500,1000
218,3,54400,1250
218,4,72500,1670
218,5,108800,2500
219,1,36500,830
219,2,43700,1000
219,3,54700,1250
219,4,72900,1670
219,5,109400,2500
220,1,36700,830
220,2,44000,1000
220,3,55000,1250
220,4,73300,1670
220,5,110000,2500
221,1,36900,830
221,2,44300,1000
221,3,55300,1250
221,4,73800,1670
221,5,110600,2500
222,1,37100,830
222,2,44500,1000
222,3,55700,1250
222,4,74200,1670
222,5,111300,2500
223,1,37400,830
223,2,44800,1000
223,3,56100,1250
223,4,74700,1670
223,5,112100,2500
224,1,37600,830
224,2,45200,1000
224,3,56500,1250
224,4,75300,1670
224,5,112900,2500
225,1,37900,830
225,2,45500,1000
225,3,56900,1250
225,4,75800,1670
225,5,113800,2500
226,1,38200,830
226,2,45900,1000
226,3,57300,1250
226,4,76400,1670
226,5,114600,2500
227,1,38500,830
227,2,46200,1000
227,3,57800,1250
227,4,77100,1670
227,5,115600,2500
228,1,38900,830
228,2,46600,1000
228,3,58300,1250
228,4,77700,1670
228,5,116600,2500
229,1,39200,830
229,2,47000,1000
229,3,58800,1250
229,4,78400,1670
229,5,117600,2500
230,1,39500,830
230,2,47500,1000
230,3,59300,1250
230,4,79100,1670
230,5,118600,2500
231,1,39900,830
231,2,47900,1000
231,3,59900,1250
231,4,79800,1670
231,5,119700,2500
232,1,40300,830
232,2,48300,1000
232,3,60400,1250
232,4,80600,1670
232,5,120900,2500
233,1,40700,830
233,2,48800,1000
233,3,61000,1250
233,4,81300,1670
233,5,122000,2500
234,1,41100,830
234,2,49300,1000
234,3,61600,1250
234,4,82100,1670
234,5,123200,2500
235,1,41400,830
235,2,49700,1000
235,3,62100,1250
235,4,82900,1670
235,5,124300,2500
236,1,41700,830
236,2,50100,1000
236,3,62600,1250
236,4,83400,1670
236,5,125200,2500
237,1,42000,830
237,2,50400,1000
237,3,62900,1250
237,4,83900,1670
237,5,125900,2500
238,1,42100,830
238,2,50600,1000
238,3,63200,1250
238,4,84300,1670
238,5,126400,2500
239,1,42300,830
239,2,50700,1000
239,3,63400,1250
239,4,84500,1670
239,5,126800,2500
240,1,42300,830
240,2,50800,1000
240,3,63500,1250
240,4,84700,1670
240,5,127000,2500
241,1,42300,830
241,2,50800,1000
241,3,63500,1250
241,4,84700,1670
241,5,127000,2500
242,1,43000,830
242,2,51600,1000
242,3,64500,1250
242,4,86000,1670
242,5,129000,2500
243,1,43600,830
243,2,52300,1000
243,3,65400,1250
243,4,87200,1670
243,5,130800,2500
244,1,44200,830
244,2,53000,1000
244,3,66300,1250
244,4,88400,1670
244,5,132600,2500
245,1,44700,830
245,2,53700,1000
245,3,67100,1250
245,4,89500,1670
245,5,134200,2500
246,1,45300,830
246,2,54300,1000
246,3,67900,1250
246,4,90600,1670
246,5,135900,2500
247,1,45800,830
247,2,55000,1000
247,3,68700,1250
247,4,91600,1670
247,5,137400,2500
248,1,46300,830
248,2,55500,1000
248,3,69400,1250
248,4,92600,1670
248,5,138900,2500
249,1,46700,830
249,2,56100,1000
249,3,70100,1250
249,4,93500,1670
249,5,140200,2500
250,1,47200,830
250,2,56600,1000
250,3,70800,1250
250,4,94400,1670
250,5,141600,2500
251,1,47600,830
251,2,57100,1000
251,3,71400,1250
251,4,95200,1670
251,5,142800,2500
252,1,48000,830
252,2,57600,1000
252,3,72000,1250
252,4,96000,1670
252,5,144000,2500
253,1,48400,830
253,2,58100,1000
253,3,72600,1250
253,4,96800,1670
253,5,145200,2500
254,1,48800,830
254,2,58500,1000
254,3,73100,1250
254,4,97500,1670
254,5,146300,2500
255,1,49100,830
255,2,58900,1000
255,3,73700,1250
255,4,98200,1670
255,5,147300,2500
256,1,49400,830
256,2,59300,1000
256,3,74100,1250
256,4,98900,1670
256,5,148300,2500
257,1,49700,830
257,2,59700,1000
257,3,74600,1250
257,4,99500,1670
257,5,149200,2500
258,1,50000,830
258,2,60000,1000
258,3,75000,1250
258,4,100000,1670
258,5,150100,2500
259,1,50300,830
259,2,60400,1000
259,3,75400,1250
259,4,100600,1670
259,5,150900,2500
260,1,50600,830
260,2,60700,1000
260,3,75800,1250
260,4,101100,1670
260,5,151700,2500
261,1,50800,830
261,2,61000,1000
261,3,76200,1250
261,4,101600,1670
261,5,152400,2500
262,1,51000,830
262,2,61200,1000
262,3,76500,1250
262,4,102100,1670
262,5,153100,2500
263,1,51200,830
263,2,61500,1000
263,3,76900,1250
263,4,102500,1670
263,5,153700,2500
264,1,51500,830
264,2,61700,1000
264,3,77200,1250
264,4,102900,1670
264,5,154400,2500
265,1,51600,830
265,2,62000,1000
265,3,77500,1250
265,4,103300,1670
265,5,154900,2500
266,1,51800,830
266,2,62200,1000
266,3,77700,1250
266,4,103600,1670
266,5,155500,2500
267,1,52000,830
267,2,62400,1000
267,3,78000,1250
267,4,104000,1670
267,5,156000,2500
268,1,52100,830
268,2,62600,1000
268,3,78200,1250
268,4,104300,1670
268,5,156400,2500
269,1,52300,830
269,2,62700,1000
269,3,78400,1250
269,4,104600,1670
269,5,156900,2500
270,1,52400,830
270,2,62900,1000
270,3,78600,1250
270,4,104800,1670
270,5,157300,2500
271,1,52500,830
271,2,63100,1000
271,3,78800,1250
271,4,105100,1670
271,5,157600,2500
272,1,52700,830
272,2,63200,1000
272,3,79000,1250
272,4,105300,1670
272,5,158000,2500
273,1,52800,830
273,2,63300,1000
273,3,79200,1250
273,4,105500,1670
273,5,158300,2500
274,1,52900,830
274,2,63400,1000
274,3,79300,1250
274,4,105700,1670
274,5,158600,2500
275,1,53000,830
275,2,63600,1000
275,3,79400,1250
275,4,105900,1670
275,5,158900,2500
276,1,53000,830
276,2,63700,1000
276,3,79600,1250
276,4,106100,1670
276,5,159100,2500
277,1,53100,830
277,2,63700,1000
277,3,79700,1250
277,4,106200,1670
277,5,159400,2500
278,1,53200,830
278,2,63800,1000
278,3,79800,1250
278,4,106400,1670
278,5,159600,2500
279,1,53300,830
279,2,63900,1000
279,3,79900,1250
279,4,106500,1670
279,5,159800,2500
280,1,53300,830
280,2,64000,1000
280,3,80000,1250
280,4,106600,1670
280,5,160000,2500
281,1,53400,830
281,2,64000,1000
281,3,80100,1250
281,4,106700,1670
281,5,160100,2500
282,1,53400,830
282,2,64100,1000
282,3,80100,1250
282,4,106800,1670
282,5,160300,2500
283,1,53500,830
283,2,64200,1000
283,3,80200,1250
283,4,106900,1670
283,5,160400,2500
284,1,53500,830
284,2,64200,1000
284,3,80200,1250
284,4,107000,1670
284,5,160500,2500
285,1,53500,830
285,2,64200,1000
285,3,80300,1250
285,4,107100,1670
285,5,160600,2500
286,1,53600,830
286,2,64300,1000
286,3,80300,1250
286,4,107100,1670
286,5,160700,2500
287,1,53600,830
287,2,64300,1000
287,3,80400,1250
287,4,107200,1670
287,5,160800,2500
288,1,53600,830
288,2,64300,1000
288,3,80400,1250
288,4,107200,1670
288,5,160800,2500
289,1,53600,830
289,2,64400,1000
289,3,80500,1250
289,4,107300,1670
289,5,160900,2500
290,1,53700,830
290,2,64400,1000
290,3,80500,1250
290,4,107300,1670
290,5,161000,2500
291,1,53700,830
291,2,64400,1000
291,3,80500,1250
291,4,107300,1670
291,5,161000,2500
292,1,53700,830
292,2,64400,1000
