Id,Hidden,GroupId,UseType,StringKey,DefaultValueForAOS,DefaultValueForIOS,UserData,StartValue,IsPercentage,Description
40,0,Combat,Slider,OPTION_COMBAT_AUTO_POTION_MP,70,70,100,,1,MP포션을 자동으로 사용할 캐릭터의 MP를 설정합니다.
41,0,Combat,Slider,OPTION_COMBAT_AUTO_HEALING_HP,80,80,100,,1,HP가 몇% 이하로 떨어졌을 때 자동으로 힐링스킬을 사용할지를 설정합니다.
42,0,Combat,GradeToggleButton,OPTION_COMBAT_POTION_HP_GRADE,1,1,,,0,자동으로 HP포션을 사용할 때 어떤 등급의 포션부터 사용할지 설정합니다.
43,0,Combat,GradeToggleButton,OPTION_COMBAT_POTION_MP_GRADE,1,1,,,0,자동으로 MP포션을 사용할 때 어떤 등급의 포션부터 사용할지 설정합니다.
44,0,Combat,ToggleButton,OPTION_COMBAT_BASICSKILL_VISIBILITY,1,1,,,0,내 일반 공격 범위를 표시합니다.
45,0,Combat,CombatRadius,OPTION_COMBAT_AUTO_RADIUS,2,2,2,,0,자동 전투시 캐릭터가 이동하는 범위를 설정합니다.
46,0,Combat,LootGrade,OPTION_COMBAT_LOOT_GRADE,1,1,,,0,습득할 장비 아이템의 최소 등급을 설정합니다.
47,0,Combat,CheckBox,OPTION_COMBAT_EVADE_ON_ELITE,0,0,,,0,자동 전투 시에 엘리트급 이상 몬스터를 만나면 다른 곳으로 회피합니다
48,0,Combat,CheckBox,OPTION_COMBAT_COUNTER_ATTACK,1,1,,,0,"해당 등급 이상의 아이템만 획득하며, 낮은 등급의 아이템은 획득하지 않습니다."
60,0,Custom,Value,OPTION_CHARACTER_TITLE_ACQUIRE_ENABLE,1,1,1,,0,칭호 정렬 습득할 수 없는 칭호 감추기
61,0,Custom,Value,OPTION_CHARACTER_TITLE_SORT_TYPE,1,1,1,,0,칭호 정렬 기본/미보유 타입
