ItemType,EquipmentType,ItemGrade,MaxLevel,MaxEnchantLevel,LimitBreakBonusLevel,LimitBreakAdenaCost,MaxLimitBreakCount,LimitBreakRate,OptionCount,OptionChangeCashCost,SocketCount,CompositionAdenaCost,UpgradeMaterialCount,UpgradeAdenaCost,AbilityUpgradeRate,SocketExtractionAdenaCost,RequiredSoulshotCount,GachaCardTexture
10,6,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,6,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
10,8,1,30,5,0,0,0,0,0,0,1,3000,3,1200,0,,,gacha_card_dn
10,8,2,30,10,0,0,0,0,0,0,2,8000,5,4000,0,,,gacha_card_dn
10,8,3,30,15,0,0,0,0,1,30,3,35000,10,12000,0,,,gacha_card_dn
10,8,4,30,20,0,0,0,0,1,30,4,100000,20,28000,1000,,,gacha_card_dn
10,8,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,8,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
10,3,1,30,5,0,0,0,0,0,0,1,3000,3,1200,0,,,gacha_card_dn
10,3,2,30,10,0,0,0,0,0,0,2,8000,5,4000,0,,,gacha_card_dn
10,3,3,30,15,0,0,0,0,1,30,3,35000,10,12000,0,,,gacha_card_dn
10,3,4,30,20,0,0,0,0,1,30,4,100000,20,28000,1000,,,gacha_card_dn
10,3,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,3,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
10,4,1,30,5,0,0,0,0,0,0,1,3000,3,1200,0,,,gacha_card_dn
10,4,2,30,10,0,0,0,0,0,0,2,8000,5,4000,0,,,gacha_card_dn
10,4,3,30,15,0,0,0,0,1,30,3,35000,10,12000,0,,,gacha_card_dn
10,4,4,30,20,0,0,0,0,1,30,4,100000,20,28000,1000,,,gacha_card_dn
10,4,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,4,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
10,7,1,30,5,0,0,0,0,0,0,1,3000,3,1200,0,,,gacha_card_dn
10,7,2,30,10,0,0,0,0,0,0,2,8000,5,4000,0,,,gacha_card_dn
10,7,3,30,15,0,0,0,0,1,30,3,35000,10,12000,0,,,gacha_card_dn
10,7,4,30,20,0,0,0,0,1,30,4,100000,20,28000,1000,,,gacha_card_dn
10,7,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,7,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
10,9,1,30,5,0,0,0,0,0,0,1,3000,3,1200,0,,,gacha_card_dn
10,9,2,30,10,0,0,0,0,0,0,2,8000,5,4000,0,,,gacha_card_dn
10,9,3,30,15,0,0,0,0,1,30,3,35000,10,12000,0,,,gacha_card_dn
10,9,4,30,20,0,0,0,0,1,30,4,100000,20,28000,1000,,,gacha_card_dn
10,9,5,30,25,0,0,0,0,2,50,5,250000,30,48000,3000,,,gacha_card_gold_dn
10,9,6,30,30,2,40000,5,50,3,100,6,470000,50,156700,10000,,,gacha_card_gold_dn
23,12,1,1,0,,,,,1,,,,6,8000,,10000,,gacha_card_dn
23,12,2,1,0,,,,,1,,,,6,25000,,20000,,gacha_card_dn
23,12,3,1,0,,,,,1,,,,6,50000,,30000,,gacha_card_dn
23,12,4,1,0,,,,,1,,,,6,100000,,40000,,gacha_card_dn
23,12,5,1,0,,,,,1,,,,6,200000,,50000,,gacha_card_gold_dn
23,12,6,1,0,,,,,1,,,,6,500000,,60000,,gacha_card_gold_dn
33,12,4,,,,,,,,,,,,,800,,,gacha_card_dn
33,12,5,,,,,,,,,,,,,2500,,,gacha_card_gold_dn
33,12,6,,,,,,,,,,,,,10000,,,gacha_card_gold_dn
32,12,6,,,,,,50,,,,,,,,,,gacha_card_gold_dn
60,12,1,20,30,,,,,1,,,,,8000,,,,gacha_card_dn
60,12,2,20,30,,,,,1,,,,,25000,,,,gacha_card_dn
60,12,3,20,30,,,,,1,,,,,50000,,,,gacha_card_dn
60,12,4,20,30,,,,,1,,,,,100000,,,,gacha_card_dn
60,12,5,20,30,,,,,1,,,,,200000,,,,gacha_card_gold_dn
60,12,6,20,30,,,,,1,,,,,500000,,,,gacha_card_gold_dn
