EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount
318,3,1,18,6,452003,1
319,3,1,19,6,480008,1
320,3,1,20,6,440011,10
321,3,1,21,6,490005,50
322,3,1,22,6,490049,20
323,3,1,23,1,,5000
324,3,1,24,6,910220,1
325,3,1,25,6,900012,1
326,3,1,26,6,910220,1
327,3,1,27,6,480009,1
328,3,1,28,6,452004,1
329,300,100,1,6,490033,200
330,300,100,2,1,,50000
331,300,100,3,6,910220,3
332,300,100,4,6,900009,5
333,300,100,5,6,400000,1
334,300,100,6,1,,50000
335,300,100,7,6,910220,3
336,300,100,8,1,,50000
337,300,100,9,6,900009,5
338,300,100,10,2,,500
339,300,100,11,1,,70000
340,300,100,12,6,910217,5
341,300,100,13,1,,100000
342,300,100,14,6,910237,3
343,300,100,15,6,400000,2
401,4,1,1,0,,
402,4,1,2,6,81000130,1
403,4,1,3,6,81000132,1
404,4,1,4,6,81000131,1
405,4,1,5,6,81000132,1
406,4,1,6,6,81000132,1
407,4,1,7,6,81000131,1
408,4,1,8,6,81000132,1
409,4,1,9,6,81000132,1
410,4,1,10,6,81000131,1
411,4,1,11,6,81000130,1
412,4,1,12,6,81000132,1
413,4,1,13,6,81000131,1
414,4,1,14,6,81000132,1
415,4,1,15,6,81000132,1
416,4,1,16,6,81000131,1
417,4,1,17,6,81000132,1
418,4,1,18,6,81000132,1
419,4,1,19,6,81000131,1
420,4,1,20,6,81000130,1
421,4,1,21,6,81000132,1
422,4,1,22,6,81000131,1
423,4,1,23,6,81000132,1
424,4,1,24,6,81000132,1
425,4,1,25,6,81000131,1
426,4,1,26,6,81000132,1
427,4,1,27,6,81000132,1
428,4,1,28,6,81000131,1
429,400,100,1,6,81020101,3
430,400,100,2,6,81018101,3
431,400,100,3,6,81024101,3
432,400,100,4,6,81022101,3
433,400,100,5,6,400000,5
434,400,100,6,6,81020115,3
435,400,100,7,6,81018115,3
436,400,100,8,6,81024115,3
437,400,100,9,6,81022115,3
438,400,100,10,6,400000,5
439,400,100,11,6,81020001,1
440,400,100,12,6,81018001,1
441,400,100,13,6,81024001,1
442,400,100,14,6,81022001,1
443,400,100,15,6,910237,5
501,5,1,1,0,,
502,5,1,2,6,81900181,5
503,5,1,3,6,81900182,1
504,5,1,4,6,81900183,3
505,5,1,5,6,81900184,1
506,5,1,6,6,81900181,1
507,5,1,7,6,81900182,3
508,5,1,8,6,81900183,1
509,5,1,9,6,81900184,3
510,5,1,10,6,81900185,1
511,5,1,11,6,81900181,3
512,5,1,12,6,81900182,1
513,5,1,13,6,81900183,5
514,5,1,14,6,81900184,1
515,5,1,15,6,81900182,1
516,5,1,16,6,81900181,1
517,5,1,17,6,81900182,3
518,5,1,18,6,81900183,1
519,5,1,19,6,81900184,5
520,5,1,20,6,81900181,3
521,5,1,21,6,81900182,1
522,5,1,22,6,81900183,3
523,5,1,23,6,81900184,1
524,5,1,24,6,81900183,1
525,5,1,25,6,81900181,1
526,5,1,26,6,81900182,5
527,5,1,27,6,81900183,1
528,5,1,28,6,81900184,3
529,500,100,1,6,81900181,15
530,500,100,2,6,81900182,15
531,500,100,3,6,81900183,15
532,500,100,4,6,81900184,15
533,500,100,5,6,81900186,5
534,500,100,6,6,81900181,15
535,500,100,7,6,81900182,15
536,500,100,8,6,81900183,15
537,500,100,9,6,81900184,15
538,500,100,10,6,910221,5
539,500,100,11,1,,50000
540,500,100,12,6,480015,1
541,500,100,13,6,410003,10
542,500,100,14,6,420003,10
543,500,100,15,6,410013,5
