Id,ActNo,ChapterNo,ActImg,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3
42,5,4,UI_Map_QuestProgress_05,38900,4200,460008,1,480005,1,400001,90
43,5,5,UI_Map_QuestProgress_05,38900,4200,500502,2,480005,1,400001,90
44,5,6,UI_Map_QuestProgress_05,38900,4400,460008,1,480006,1,400001,90
45,5,7,UI_Map_QuestProgress_05,38900,4400,500502,2,480005,1,400001,90
46,5,8,UI_Map_QuestProgress_05,38900,4500,910008,1,480005,1,400001,90
47,5,9,UI_Map_QuestProgress_05,38900,4600,460008,1,480006,1,400001,90
48,5,10,UI_Map_QuestProgress_05,38900,4600,500502,2,480008,1,400001,90
49,6,1,UI_Map_QuestProgress_06,38900,4600,460008,1,480007,1,400001,90
50,6,2,UI_Map_QuestProgress_06,38900,4700,420002,1,480008,1,400001,90
51,6,3,UI_Map_QuestProgress_06,38900,4700,460008,1,480008,1,400001,90
52,6,4,UI_Map_QuestProgress_06,38900,4800,500602,2,480007,1,400001,90
53,6,5,UI_Map_QuestProgress_06,38900,4800,460008,1,480008,1,400001,90
54,6,6,UI_Map_QuestProgress_06,38900,4900,910203,1,480008,1,400001,90
55,6,7,UI_Map_QuestProgress_06,38900,5300,460008,1,480009,1,400001,90
56,6,8,UI_Map_QuestProgress_06,38900,5400,500602,2,480008,1,400001,90
57,6,9,UI_Map_QuestProgress_06,38900,5500,460008,1,480008,1,400001,90
58,6,10,UI_Map_QuestProgress_06,38900,5600,420001,1,480007,1,400001,90
59,7,1,UI_Map_QuestProgress_07,45200,5700,500702,2,480008,1,400001,120
60,7,2,UI_Map_QuestProgress_07,45200,5700,460008,1,480008,1,400001,120
61,7,3,UI_Map_QuestProgress_07,45200,5800,490005,500,480007,1,400001,120
62,7,4,UI_Map_QuestProgress_07,45200,5800,460008,1,480008,1,400001,120
63,7,5,UI_Map_QuestProgress_07,45200,5800,500702,2,480008,1,400001,120
64,7,6,UI_Map_QuestProgress_07,45200,6100,910203,1,480009,1,400001,120
65,7,7,UI_Map_QuestProgress_07,45200,6300,460008,1,480008,1,400001,120
66,7,8,UI_Map_QuestProgress_07,45200,6400,400002,100,480008,1,400001,120
67,7,9,UI_Map_QuestProgress_07,45200,6400,500702,2,480007,1,400001,120
68,8,1,UI_Map_QuestProgress_08,45200,6600,420002,2,480008,1,400001,120
69,8,2,UI_Map_QuestProgress_08,45200,6600,500802,2,480008,1,400001,120
70,8,3,UI_Map_QuestProgress_08,45200,6700,460008,1,480007,1,400001,120
71,8,4,UI_Map_QuestProgress_08,45200,6700,420001,2,480008,1,400001,120
72,8,5,UI_Map_QuestProgress_08,45200,6900,500802,2,480008,1,400001,120
73,8,6,UI_Map_QuestProgress_08,45200,7400,460008,1,480009,1,400001,120
74,8,7,UI_Map_QuestProgress_08,45200,7600,420003,1,480008,1,400001,120
75,8,8,UI_Map_QuestProgress_08,45200,7600,410001,1,480008,1,400001,120
76,8,9,UI_Map_QuestProgress_08,45200,7600,460008,1,480007,1,400001,120
77,9,1,UI_Map_QuestProgress_09,45200,7600,500902,2,480012,1,400001,120
78,9,2,UI_Map_QuestProgress_09,45200,7600,410003,1,480011,1,400001,120
79,9,3,UI_Map_QuestProgress_09,45200,7600,460008,1,480011,1,400001,120
80,9,4,UI_Map_QuestProgress_09,45200,7700,500902,2,480010,1,400001,120
81,9,5,UI_Map_QuestProgress_09,45200,7700,460008,2,480011,1,400001,120
82,9,6,UI_Map_QuestProgress_09,52200,7800,500902,2,480011,1,400001,120
83,9,7,UI_Map_QuestProgress_09,53900,7800,410001,2,480012,1,400001,120
84,9,8,UI_Map_QuestProgress_09,61900,7800,460008,1,480011,1,400001,120
85,10,1,UI_Map_QuestProgress_10,61900,7900,501002,2,480010,1,400001,120
86,10,2,UI_Map_QuestProgress_10,64400,8100,460008,1,480012,1,400001,120
87,10,3,UI_Map_QuestProgress_10,64400,8500,460008,1,480012,1,400001,120
88,10,4,UI_Map_QuestProgress_10,64400,8500,501002,2,480012,1,400001,120
89,10,5,UI_Map_QuestProgress_10,76800,8600,420001,1,480012,1,400001,120
90,10,6,UI_Map_QuestProgress_10,76800,9400,460008,1,480012,1,400001,120
91,10,7,UI_Map_QuestProgress_10,76800,10100,501002,2,480012,1,400001,120
92,10,8,UI_Map_QuestProgress_10,76800,10600,910204,1,480012,1,400001,120
93,10,9,UI_Map_QuestProgress_10,126100,11100,460008,1,480012,1,400001,120
94,11,1,UI_Map_QuestProgress_11,80500,11340,501102,2,480012,1,400001,150
95,11,2,UI_Map_QuestProgress_11,80500,10080,460008,1,480011,1,400001,150
96,11,3,UI_Map_QuestProgress_11,81300,10080,501102,2,480011,1,400001,150
97,11,4,UI_Map_QuestProgress_11,81300,11340,460008,1,480010,1,400001,150
98,11,5,UI_Map_QuestProgress_11,81300,8820,400002,100,480011,1,400001,150
99,11,6,UI_Map_QuestProgress_11,81300,8820,460008,1,480011,1,400001,150
100,11,7,UI_Map_QuestProgress_11,81300,10260,501102,2,480012,1,400001,150
101,11,8,UI_Map_QuestProgress_11,82500,14040,460008,1,480011,1,400001,150
102,11,9,UI_Map_QuestProgress_11,82500,14040,420001,1,480011,1,400001,150
103,11,10,UI_Map_QuestProgress_11,83000,10260,460008,1,480010,1,400001,150
104,12,1,UI_Map_QuestProgress_12,83600,9180,501202,2,480012,1,400001,150
105,12,2,UI_Map_QuestProgress_12,83600,10260,410003,1,480011,1,400001,150
106,12,3,UI_Map_QuestProgress_12,83600,10260,501202,2,480011,1,400001,150
107,12,4,UI_Map_QuestProgress_12,84200,7920,460008,1,480010,1,400001,150
108,12,5,UI_Map_QuestProgress_12,84200,11340,410001,2,480011,1,400001,150
109,12,6,UI_Map_QuestProgress_12,85200,10260,460008,1,480011,1,400001,150
110,12,7,UI_Map_QuestProgress_12,85200,10260,501202,2,480012,1,400001,150
111,12,8,UI_Map_QuestProgress_12,86400,10260,460008,1,480011,1,400001,150
112,12,9,UI_Map_QuestProgress_12,86400,10260,410002,2,480011,1,400001,150
113,12,10,UI_Map_QuestProgress_12,86500,11520,501202,2,480010,1,400001,150
114,12,11,UI_Map_QuestProgress_12,86500,11520,460008,1,480011,1,400001,150
115,13,1,UI_Map_QuestProgress_13,86700,10440,501302,2,480012,1,400001,150
116,13,2,UI_Map_QuestProgress_13,86700,12960,420003,2,480011,1,400001,150
117,13,3,UI_Map_QuestProgress_13,86900,11700,460008,1,480011,1,400001,150
118,13,4,UI_Map_QuestProgress_13,86900,10440,501302,2,480010,1,400001,150
119,13,5,UI_Map_QuestProgress_13,87400,11700,460008,1,480011,1,400001,150
120,13,6,UI_Map_QuestProgress_13,87400,11700,420002,2,480011,1,400001,150
121,13,7,UI_Map_QuestProgress_13,88000,13140,460008,1,480012,1,400001,150
122,13,8,UI_Map_QuestProgress_13,88000,11880,501302,2,480011,1,400001,150
123,13,9,UI_Map_QuestProgress_13,88300,14400,460008,1,480011,1,400001,150
124,14,1,UI_Map_QuestProgress_14,88300,8280,501402,2,480012,1,400001,150
125,14,2,UI_Map_QuestProgress_14,88700,9360,460008,1,480011,1,400001,150
126,14,3,UI_Map_QuestProgress_14,88700,10260,501402,2,480011,1,400001,150
127,14,4,UI_Map_QuestProgress_14,89300,10260,420001,2,480010,1,400001,150
128,14,5,UI_Map_QuestProgress_14,89300,8280,460008,1,480011,1,400001,150
129,14,6,UI_Map_QuestProgress_14,89300,8280,400002,150,480011,1,400001,150
130,14,7,UI_Map_QuestProgress_14,89300,9360,501402,2,480012,1,400001,150
131,14,8,UI_Map_QuestProgress_14,90000,11340,460008,1,480011,1,400001,150
132,14,9,UI_Map_QuestProgress_14,90000,11340,501402,2,480011,1,400001,150
133,14,10,UI_Map_QuestProgress_14,90200,9360,460008,1,480010,1,400001,150
