Leve,RewardExp,RewardAdena
156,92600,3000
157,92600,3000
158,92600,3000
159,92600,3000
160,92600,3000
161,92600,3000
162,92600,3000
163,92600,3000
164,92600,3000
165,92600,3000
166,92600,3000
167,92600,3000
168,92600,3000
169,92600,3000
170,92600,3000
171,92700,3000
172,92700,3000
173,92700,3000
174,92800,3000
175,92800,3000
176,92900,3000
177,92900,3000
178,93000,3000
179,93100,3000
180,93200,3000
181,93300,3000
182,93500,3000
183,93600,3000
184,93800,3000
185,94000,3000
186,94200,3000
187,94400,3000
188,94700,3000
189,94900,3000
190,95300,3000
191,95600,3000
192,96000,3000
193,96400,3000
194,96800,3000
195,97300,3000
196,97800,3000
197,98400,3750
198,99000,3750
199,99600,3750
200,100300,3750
201,101000,3750
202,101800,3750
203,102700,3750
204,103600,3750
205,104500,3750
206,105600,3750
207,105600,3750
208,105700,3750
209,105800,3750
210,105900,3750
211,106100,3750
212,106300,3750
213,106600,3750
214,107000,3750
215,107400,3750
216,107800,3750
217,108300,3750
218,108800,3750
219,109400,3750
220,110000,3750
221,110600,3750
222,111300,3750
223,112100,3750
224,112900,3750
225,113800,3750
226,114600,3750
227,115600,3750
228,116600,3750
229,117600,3750
230,118600,3750
231,119700,3750
232,120900,3750
233,122000,3750
234,123200,3750
235,124300,3750
236,125200,3750
237,125900,3750
238,126400,3750
239,126800,3750
240,127000,3750
241,127000,3750
242,129000,3750
243,130800,3750
244,132600,3750
245,134200,3750
246,135900,3750
247,137400,3750
248,138900,3750
249,140200,3750
250,141600,3750
251,142800,3750
252,144000,3750
253,145200,3750
254,146300,3750
255,147300,3750
256,148300,3750
257,149200,3750
258,150100,3750
259,150900,3750
260,151700,3750
261,152400,3750
262,153100,3750
263,153700,3750
264,154400,3750
265,154900,3750
266,155500,3750
267,156000,3750
268,156400,3750
269,156900,3750
270,157300,3750
271,157600,3750
272,158000,3750
273,158300,3750
274,158600,3750
275,158900,3750
276,159100,3750
277,159400,3750
278,159600,3750
279,159800,3750
280,160000,3750
281,160100,3750
282,160300,3750
283,160400,3750
284,160500,3750
285,160600,3750
286,160700,3750
287,160800,3750
288,160800,3750
289,160900,3750
290,161000,3750
291,161000,3750
292,161100,3750
293,161100,3750
294,161100,3750
295,161100,3750
296,161200,3750
297,161200,3750
298,161200,3750
299,161200,3750
300,161200,3750
301,161200,3750
302,161200,3750
303,161200,3750
304,161200,3750
305,161200,3750
306,161200,3750
307,161200,3750
308,161200,3750
309,161200,3750
310,161200,3750
311,161200,3750
312,161200,3750
313,161200,3750
314,161200,3750
315,161200,3750
316,161200,3750
317,161200,3750
318,161200,3750
319,161200,3750
320,161200,3750
321,161200,3750
322,161200,3750
323,161200,3750
324,161200,3750
325,161300,3750
326,161300,3750
327,161300,3750
328,161300,3750
329,161300,3750
330,161300,3750
331,161300,3750
332,161300,3750
333,161400,3750
334,161400,3750
335,161400,3750
336,161400,3750
337,161500,3750
338,161500,3750
339,161600,3750
340,161600,3750
341,161700,3750
342,161700,3750
343,161800,3750
344,161900,3750
345,162000,3750
346,162100,3750
347,162200,3750
348,162300,3750
349,162400,3750
350,162500,3750
351,162600,3750
352,162800,3750
353,163000,3750
354,163100,3750
355,163300,3750
356,163500,3750
357,163700,3750
358,163900,3750
359,164200,3750
360,164400,3750
361,164700,3750
362,165000,3750
363,165300,3750
364,165600,3750
365,165900,3750
366,166300,3750
367,166600,3750
368,167000,3750
369,167400,3750
370,167900,3750
371,168300,3750
372,168800,3750
373,169300,3750
374,169800,3750
375,170400,3750
376,171000,3750
377,171600,3750
378,172200,3750
379,172900,3750
380,173600,3750
381,174300,3750
382,175100,3750
383,175900,3750
384,176700,3750
385,177600,3750
386,178500,3750
387,179400,3750
388,180400,3750
389,181400,3750
390,182400,3750
391,183500,3750
392,184700,3750
393,185800,3750
394,187000,3750
395,188300,3750
396,189600,3750
397,191000,3750
398,192400,3750
399,193800,3750
400,195300,3750
401,196900,3750
402,198500,3750
403,200100,3750
404,201800,3750
405,203600,3750
406,205400,3750
407,207300,3750
408,209200,3750
409,211300,3750
410,213300,3750
411,215400,3750
412,217600,3750
413,219900,3750
414,222200,3750
415,224600,3750
416,227100,3750
417,229600,3750
418,232200,3750
419,234900,3750
420,237700,3750
421,240500,3750
422,243400,3750
