Index,Id,Resource,SocketName,Scale,EffectRotationOnly,Offset_X,Offset_Y,Offset_Z
400204201,40020420,BP/BP_PTC_Buff_DikeBossSkill_05_Fire,Socket_Center,1,1,,,
400204211,40020421,BP/BP_PTC_Buff_DikeBossSkill_05_Water,Socket_Center,1,1,,,
400204221,40020422,BP/BP_PTC_Buff_DikeBossSkill_05_Earth,Socket_Center,1,1,,,
400204231,40020423,BP/BP_PTC_Buff_DikeBossSkill_05_Wind,Socket_Center,1,1,,,
400204461,40020446,BP/BP_PTC_Buff_DikeBossSkill_06_01_Fire,Dummy02,1,1,,,
400204471,40020447,BP/BP_PTC_Buff_DikeBossSkill_06_01_Water,Dummy02,1,1,,,
400204481,40020448,BP/BP_PTC_Buff_DikeBossSkill_06_01_Earth,Dummy02,1,1,,,
400204491,40020449,BP/BP_PTC_Buff_DikeBossSkill_06_01_Wind,Dummy02,1,1,,,
2002,40020474,BP/BP_PTC_Buff_HagiosBossSkill_04_01,Socket_Center,1,1,,,
2003,40020475,BP/BP_PTC_Buff_HagiosBossSkill_04_02,Socket_Center,1,1,,,
2004,40020476,BP/BP_PTC_DeBuff_TurnToStone,Socket_Bottom,1,1,,,
2005,40020480,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Fire,Socket_Center,1,1,,,
2006,40020482,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Water,Socket_Center,1,1,,,
2007,40020484,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Earth,Socket_Center,1,1,,,
2008,40020485,BP/BP_PTC_Buff_HagiosBossSkill_06_02_Wind,Socket_Center,1,1,,,
2009,45000440,BP/BP_PTC_Buff_MirokuBossSkill_08,Socket_Center,1,1,,,
2010,45000446,BP/BP_PTC_Buff_MirokuBossSkill_07,Socket_Center,1,1,,,
2011,45000447,BP/BP_PTC_Buff_MirokuBossSkill_07_9,Socket_Center,1,1,,,
2012,45000448,BP/BP_PTC_Buff_MirokuBossSkill_07_8,Socket_Center,1,1,,,
2013,45000449,BP/BP_PTC_Buff_MirokuBossSkill_07_7,Socket_Center,1,1,,,
2014,45000450,BP/BP_PTC_Buff_MirokuBossSkill_07_6,Socket_Center,1,1,,,
2015,45000451,BP/BP_PTC_Buff_MirokuBossSkill_07_5,Socket_Center,1,1,,,
2016,45000452,BP/BP_PTC_Buff_MirokuBossSkill_07_4,Socket_Center,1,1,,,
2017,45000453,BP/BP_PTC_Buff_MirokuBossSkill_07_3,Socket_Center,1,1,,,
2018,45000454,BP/BP_PTC_Buff_MirokuBossSkill_07_2,Socket_Center,1,1,,,
2019,45000455,BP/BP_PTC_Buff_MirokuBossSkill_07_1,Socket_Center,1,1,,,
2020,45000456,BP/BP_PTC_Buff_LuciferBossSkill_01,Socket_Barrier,1,1,,,
2021,81020204,BP_PTC_Buff_AcalanathaBossSkill_01,Socket_Center,1,1,,,
2022,81020205,BP/BP_PTC_Debuff_Ignition,Socket_Center,1,1,,,
2023,81020210,Common/Stun_DeBuff_Effect,Socket_Top,0.8,1,,,
