Level,ExpEazy,ExpNormal,ExpHard,ExpHell,ExpDifficulty5
73,20800,32000,32000,32000,32000
74,20800,32000,32000,32000,32000
75,20800,32000,32000,32000,32000
76,20800,32000,32000,32000,32000
77,20800,32000,32000,32000,32000
78,20800,32000,32000,32000,32000
79,20800,32000,32000,32000,32000
80,20800,32000,32000,32000,32000
81,20800,32000,32000,32000,32000
82,20800,32000,32000,32000,32000
83,20800,32000,32000,32000,32000
84,21126,32500,32500,32500,32500
85,21126,32500,32500,32500,32500
86,21126,32500,32500,32500,32500
87,21126,32500,32500,32500,32500
88,21776,33500,33500,33500,33500
89,21776,33500,33500,33500,33500
90,22100,34000,34000,34000,34000
91,22100,34000,34000,34000,34000
92,22100,34000,34000,34000,34000
93,23076,35500,35500,35500,35500
94,23076,35500,35500,35500,35500
95,23076,35500,35500,35500,35500
96,23400,36000,36000,36000,36000
97,23400,36000,36000,36000,36000
98,23400,36000,36000,36000,36000
99,23400,36000,36000,36000,36000
100,15910,24050,37000,37000,37000
101,16126,24376,37500,37500,37500
102,16556,25026,38500,38500,38500
103,16770,25350,39000,39000,39000
104,16770,25350,39000,39000,39000
105,16986,25676,39500,39500,39500
106,17416,26326,40500,40500,40500
107,17630,26650,41000,41000,41000
108,17846,26976,41500,41500,41500
109,18490,27950,43000,43000,43000
110,18490,27950,43000,43000,43000
111,18490,27950,43000,43000,43000
112,18490,27950,43000,43000,43000
113,18490,27950,43000,43000,43000
114,18490,27950,43000,43000,43000
115,19136,28926,44500,44500,44500
116,19136,28926,44500,44500,44500
117,19136,28926,44500,44500,44500
118,19136,28926,44500,44500,44500
119,19136,28926,44500,44500,44500
120,19136,28926,44500,44500,44500
121,19136,28926,44500,44500,44500
122,19136,28926,44500,44500,44500
123,19136,28926,44500,44500,44500
124,19136,28926,44500,44500,44500
125,19136,28926,44500,44500,44500
126,19136,28926,44500,44500,44500
127,19136,28926,44500,44500,44500
128,19136,28926,44500,44500,44500
129,19136,28926,44500,44500,44500
130,19350,29250,45000,45000,45000
131,19350,29250,45000,45000,45000
132,19350,29250,45000,45000,45000
133,19350,29250,45000,45000,45000
134,19566,29576,45500,45500,45500
135,19566,29576,45500,45500,45500
136,19566,29576,45500,45500,45500
137,19566,29576,45500,45500,45500
138,19566,29576,45500,45500,45500
139,19566,29576,45500,45500,45500
140,19566,29576,45500,45500,45500
141,19566,29576,45500,45500,45500
142,19566,29576,45500,45500,45500
143,19566,29576,45500,45500,45500
144,19566,29576,45500,45500,45500
145,19566,29576,45500,45500,45500
146,19566,29576,45500,45500,45500
147,19566,29576,45500,45500,45500
148,19566,29576,45500,45500,45500
149,19566,29576,45500,45500,45500
150,12740,19566,29576,45500,45500
151,12740,19566,29576,45500,45500
152,12740,19566,29576,45500,45500
153,12740,19566,29576,45500,45500
154,12740,19566,29576,45500,45500
155,12740,19566,29576,45500,45500
156,12740,19566,29576,45500,45500
157,12740,19566,29576,45500,45500
158,12740,19566,29576,45500,45500
159,12740,19566,29576,45500,45500
160,12740,19566,29576,45500,45500
161,12740,19566,29576,45500,45500
162,13020,19996,30226,46500,46500
163,13020,19996,30226,46500,46500
164,13020,19996,30226,46500,46500
165,13020,19996,30226,46500,46500
166,13020,19996,30226,46500,46500
167,13020,19996,30226,46500,46500
168,13020,19996,30226,46500,46500
169,13020,19996,30226,46500,46500
170,13020,19996,30226,46500,46500
171,13020,19996,30226,46500,46500
172,13020,19996,30226,46500,46500
173,13020,19996,30226,46500,46500
174,13020,19996,30226,46500,46500
175,13020,19996,30226,46500,46500
176,13020,19996,30226,46500,46500
177,13020,19996,30226,46500,46500
178,13020,19996,30226,46500,46500
179,13020,19996,30226,46500,46500
180,13020,19996,30226,46500,46500
181,13020,19996,30226,46500,46500
182,13020,19996,30226,46500,46500
183,13020,19996,30226,46500,46500
184,13020,19996,30226,46500,46500
185,13020,19996,30226,46500,46500
186,13020,19996,30226,46500,46500
187,13020,19996,30226,46500,46500
188,13020,19996,30226,46500,46500
189,13020,19996,30226,46500,46500
190,13020,19996,30226,46500,46500
191,13020,19996,30226,46500,46500
192,13020,19996,30226,46500,46500
193,13020,19996,30226,46500,46500
194,13020,19996,30226,46500,46500
195,13020,19996,30226,46500,46500
196,13160,20210,30550,47000,47000
197,13160,20210,30550,47000,47000
198,13160,20210,30550,47000,47000
199,13160,20210,30550,47000,47000
200,13160,20210,30550,47000,56400
201,13440,20640,31200,48000,57600
202,13440,20640,31200,48000,57600
203,13440,20640,31200,48000,57600
204,13440,20640,31200,48000,57600
205,13440,20640,31200,48000,57600
206,13440,20640,31200,48000,57600
207,13440,20640,31200,48000,57600
208,13440,20640,31200,48000,57600
209,13580,20856,31526,48500,58200
210,13580,20856,31526,48500,58200
211,13580,20856,31526,48500,58200
212,13580,20856,31526,48500,58200
213,13580,20856,31526,48500,58200
214,13720,21070,31850,49000,58800
215,13720,21070,31850,49000,58800
216,13720,21070,31850,49000,58800
217,13720,21070,31850,49000,58800
218,13720,21070,31850,49000,58800
219,14140,21716,32826,50500,60600
220,14140,21716,32826,50500,60600
221,14140,21716,32826,50500,60600
222,14280,21930,33150,51000,61200
223,14280,21930,33150,51000,61200
224,14280,21930,33150,51000,61200
225,14280,21930,33150,51000,61200
226,14280,21930,33150,51000,61200
227,14280,21930,33150,51000,61200
228,14280,21930,33150,51000,61200
229,14420,22146,33476,51500,61800
230,14420,22146,33476,51500,61800
231,14420,22146,33476,51500,61800
232,14420,22146,33476,51500,61800
233,14420,22146,33476,51500,61800
234,14420,22146,33476,51500,61800
235,14420,22146,33476,51500,61800
236,14700,22576,34126,52500,63000
237,14700,22576,34126,52500,63000
238,14700,22576,34126,52500,63000
239,14700,22576,34126,52500,63000
240,14700,22576,34126,52500,63000
241,14700,22576,34126,52500,63000
242,14700,22576,34126,52500,63000
243,14700,22576,34126,52500,63000
244,14700,22576,34126,52500,63000
245,14700,22576,34126,52500,63000
246,14700,22576,34126,52500,63000
247,14700,22576,34126,52500,63000
248,14700,22576,34126,52500,63000
249,14700,22576,34126,52500,63000
250,14700,22576,34126,52500,63000
251,14700,22576,34126,52500,63000
252,14700,22576,34126,52500,63000
253,14700,22576,34126,52500,63000
254,14700,22576,34126,52500,63000
255,14700,22576,34126,52500,63000
256,14700,22576,34126,52500,63000
257,14700,22576,34126,52500,63000
258,14700,22576,34126,52500,63000
259,14700,22576,34126,52500,63000
260,14700,22576,34126,52500,63000
261,15900,22260,34186,51676,79500
262,15900,22260,34186,51676,79500
263,15900,22260,34186,51676,79500
264,15900,22260,34186,51676,79500
265,15900,22260,34186,51676,79500
266,15900,22260,34186,51676,79500
267,16200,22680,34830,52650,81000
268,16200,22680,34830,52650,81000
269,16200,22680,34830,52650,81000
270,16200,22680,34830,52650,81000
271,16200,22680,34830,52650,81000
272,16200,22680,34830,52650,81000
273,16200,22680,34830,52650,81000
274,16350,22890,35152,53138,81750
275,16350,22890,35152,53138,81750
276,16350,22890,35152,53138,81750
277,16350,22890,35152,53138,81750
278,16350,22890,35152,53138,81750
279,16350,22890,35152,53138,81750
280,16350,22890,35152,53138,81750
281,16350,22890,35152,53138,81750
282,16500,23100,35476,53626,82500
283,16500,23100,35476,53626,82500
284,16500,23100,35476,53626,82500
285,16500,23100,35476,53626,82500
286,16500,23100,35476,53626,82500
287,16500,23100,35476,53626,82500
288,16500,23100,35476,53626,82500
289,16650,23310,35798,54112,83250
290,16650,23310,35798,54112,83250
291,16650,23310,35798,54112,83250
292,16650,23310,35798,54112,83250
293,16650,23310,35798,54112,83250
294,16650,23310,35798,54112,83250
295,16650,23310,35798,54112,83250
296,16650,23310,35798,54112,83250
297,16950,23730,36442,55088,84750
298,16950,23730,36442,55088,84750
299,16950,23730,36442,55088,84750
300,16950,23730,36442,55088,84750
301,16950,23730,36442,55088,84750
302,16950,23730,36442,55088,84750
303,16950,23730,36442,55088,84750
304,16950,23730,36442,55088,84750
305,17100,23940,36766,55576,85500
306,17100,23940,36766,55576,85500
307,17100,23940,36766,55576,85500
308,17100,23940,36766,55576,85500
309,17100,23940,36766,55576,85500
310,17100,23940,36766,55576,85500
311,17100,23940,36766,55576,85500
312,17100,23940,36766,55576,85500
313,17100,23940,36766,55576,85500
314,17100,23940,36766,55576,85500
315,17100,23940,36766,55576,85500
316,17100,23940,36766,55576,85500
317,17100,23940,36766,55576,85500
318,17100,23940,36766,55576,85500
319,17100,23940,36766,55576,85500
320,17100,23940,36766,55576,85500
321,17100,23940,36766,55576,85500
322,17100,23940,36766,55576,85500
323,17100,23940,36766,55576,85500
324,17100,23940,36766,55576,85500
325,17100,23940,36766,55576,85500
326,17100,23940,36766,55576,85500
327,17100,23940,36766,55576,85500
328,17100,23940,36766,55576,85500
329,17100,23940,36766,55576,85500
330,17100,23940,36766,55576,85500
331,17100,23940,36766,55576,85500
332,17250,24150,37088,56062,86250
333,17250,24150,37088,56062,86250
334,17250,24150,37088,56062,86250
335,17250,24150,37088,56062,86250
336,17250,24150,37088,56062,86250
337,17250,24150,37088,56062,86250
338,17250,24150,37088,56062,86250
339,17250,24150,37088,56062,86250
340,17250,24150,37088,56062,86250
341,17250,24150,37088,56062,86250
342,17400,24360,37410,56550,87000
343,17400,24360,37410,56550,87000
344,17400,24360,37410,56550,87000
345,17400,24360,37410,56550,87000
346,17400,24360,37410,56550,87000
347,17400,24360,37410,56550,87000
348,17400,24360,37410,56550,87000
349,17400,24360,37410,56550,87000
350,17400,24360,37410,56550,87000
351,17400,24360,37410,56550,87000
352,17400,24360,37410,56550,87000
353,17550,24570,37732,57038,87750
354,17550,24570,37732,57038,87750
355,17550,24570,37732,57038,87750
356,17550,24570,37732,57038,87750
357,17550,24570,37732,57038,87750
358,17550,24570,37732,57038,87750
359,17550,24570,37732,57038,87750
360,17550,24570,37732,57038,87750
361,17550,24570,37732,57038,87750
362,17550,24570,37732,57038,87750
363,17550,24570,37732,57038,87750
364,17700,24780,38056,57526,88500
365,17700,24780,38056,57526,88500
366,17700,24780,38056,57526,88500
367,17700,24780,38056,57526,88500
368,17700,24780,38056,57526,88500
369,17700,24780,38056,57526,88500
370,17700,24780,38056,57526,88500
371,17700,24780,38056,57526,88500
372,17700,24780,38056,57526,88500
373,17700,24780,38056,57526,88500
374,17700,24780,38056,57526,88500
375,17700,24780,38056,57526,88500
376,18000,25200,38700,58500,90000
377,18000,25200,38700,58500,90000
378,18000,25200,38700,58500,90000
379,18000,25200,38700,58500,90000
380,18000,25200,38700,58500,90000
381,18000,25200,38700,58500,90000
382,18000,25200,38700,58500,90000
383,18000,25200,38700,58500,90000
384,18000,25200,38700,58500,90000
385,18000,25200,38700,58500,90000
386,18000,25200,38700,58500,90000
387,18000,25200,38700,58500,90000
388,18150,25410,39022,58988,90750
389,18150,25410,39022,58988,90750
390,18150,25410,39022,58988,90750
391,18150,25410,39022,58988,90750
392,18150,25410,39022,58988,90750
393,18150,25410,39022,58988,90750
394,18150,25410,39022,58988,90750
395,18150,25410,39022,58988,90750
396,18150,25410,39022,58988,90750
397,18150,25410,39022,58988,90750
398,18150,25410,39022,58988,90750
399,18150,25410,39022,58988,90750
400,18300,25620,39346,59476,91500
