Id,ContentShow,Difficulty,RecommendedAttack,RecommendedDefense,RecommendedPower,Type,IntParam,RecommendedPC,RecommendedLevel,EnterLevelRestriction,TutorialInfoId,BackgroundImage,WorldId,RepresentRewardId,RepresentRewardIconPath,RepresentRewardID1,RepresentRewardCount1,RepresentRewardID2,RepresentRewardCount2,RepresentRewardID3,RepresentRewardCount3,AddSubLevel,ResetGemType,ResetGemCount,SubLevelForLight,BGM,ConflictRegular,HardMode,RecommendedAbilityType,RecommendedAbilityPower,SummonMonsterInfo
11301,1,1,4567,5828,44700,2,2,,,0,,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,,,,,,,E_Sub_003,20,,Sub_Environment_Marshal,2,0,,6,,
11302,1,2,8722,10768,124700,2,2,,,0,,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,,,,,,,E_Sub_003,20,,Sub_Environment_Marshal,2,0,,6,,
11303,1,3,15070,18385,226000,2,2,,,0,,Texture/Image_Dungeon_Daily_02,11000,420001,Icon_Asset_Upgrade_01,,,,,,,E_Sub_003,20,,Sub_Environment_Marshal,2,0,,6,,
11400,1,0,577,619,5800,2,3,,,0,,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,,,,,,,E_Sub_004,20,,Sub_Environment_Traikan,2,0,,6,,
11401,1,1,4567,5828,44700,2,3,,,0,,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,,,,,,,E_Sub_004,20,,Sub_Environment_Traikan,2,0,,6,,
11402,1,2,8722,10768,124700,2,3,,,0,,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,,,,,,,E_Sub_004,20,,Sub_Environment_Traikan,2,0,,6,,
11403,1,3,15070,18385,226000,2,3,,,0,,Texture/Image_Dungeon_Daily_03,11000,410002,Icon_EnchantScroll_02,,,,,,,E_Sub_004,20,,Sub_Environment_Traikan,2,0,,6,,
11500,1,0,577,619,5800,2,4,,,0,,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,,,,,,,E_Sub_005,20,,Sub_Environment_BloodyKing,2,0,,6,,
11501,1,1,4567,5828,44700,2,4,,,0,,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,,,,,,,E_Sub_005,20,,Sub_Environment_BloodyKing,2,0,,6,,
11502,1,2,8722,10768,124700,2,4,,,0,,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,,,,,,,E_Sub_005,20,,Sub_Environment_BloodyKing,2,0,,6,,
11503,1,3,15070,18385,226000,2,4,,,0,,Texture/Image_Dungeon_Daily_04,11000,420002,Icon_Asset_Upgrade_02,,,,,,,E_Sub_005,20,,Sub_Environment_BloodyKing,2,0,,6,,
11600,1,0,577,619,5800,2,5,,,0,,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,,,,,,,E_Sub_006,20,,Sub_Environment_ArchonBamue,2,0,,6,,
11601,1,1,4567,5828,44700,2,5,,,0,,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,,,,,,,E_Sub_006,20,,Sub_Environment_ArchonBamue,2,0,,6,,
11602,1,2,8722,10768,124700,2,5,,,0,,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,,,,,,,E_Sub_006,20,,Sub_Environment_ArchonBamue,2,0,,6,,
11603,1,3,15070,18385,226000,2,5,,,0,,Texture/Image_Dungeon_Daily_07,11000,410003,Icon_EnchantScroll_03,,,,,,,E_Sub_006,20,,Sub_Environment_ArchonBamue,2,0,,6,,
11700,1,0,577,619,5800,2,6,,,0,,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,,,,,,,E_Sub_007,20,,Sub_Environment_Boreas,2,0,,6,,
11701,1,1,4567,5828,44700,2,6,,,0,,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,,,,,,,E_Sub_007,20,,Sub_Environment_Boreas,2,0,,6,,
11702,1,2,8722,10768,124700,2,6,,,0,,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,,,,,,,E_Sub_007,20,,Sub_Environment_Boreas,2,0,,6,,
11703,1,3,15070,18385,226000,2,6,,,0,,Texture/Image_Dungeon_Daily_06,11000,420003,Icon_Asset_Upgrade_03,,,,,,,E_Sub_007,20,,Sub_Environment_Boreas,2,0,,6,,
12001,1,1,252,78,4500,3,1,,,11,,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,,,,,,,,20,,,,0,,6,,
12002,1,1,291,177,4500,3,2,,,11,,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,,,,,,,,20,,,,0,,6,,
12003,1,1,352,271,5500,3,3,,,11,,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,,,,,,,,20,,,,0,,6,,
12004,1,1,437,398,5500,3,4,,,11,,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,,,,,,,,20,,,,0,,6,,
12005,1,1,577,619,6800,3,5,,,11,,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,,,,,,,,20,,,,0,,6,,
12006,1,1,794,966,6800,3,6,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12007,1,1,1115,1481,7800,3,7,,,11,,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,,,,,,,,20,,,,0,,6,,
12008,1,1,1605,2174,8700,3,8,,,11,,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,,,,,,,,20,,,,0,,6,,
12009,1,1,2204,2929,9500,3,9,,,11,,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,,,,,,,,20,,,,0,,6,,
12010,1,1,2834,3710,10400,3,10,,,11,,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,,,,,,,,20,,,,0,,6,,
12011,1,1,3206,4172,11600,3,11,,,11,,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,,,,,,,,20,,,,0,,6,,
12012,1,1,3558,4604,12500,3,12,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12013,1,1,3930,5060,13500,3,13,,,11,,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,,,,,,,,20,,,,0,,6,,
12014,1,1,4269,5472,14400,3,14,,,11,,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,,,,,,,,20,,,,0,,6,,
12015,1,1,4567,5828,15600,3,15,,,11,,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,,,,,,,,20,,,,0,,6,,
12016,1,1,4872,6195,17000,3,16,,,11,,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,,,,,,,,20,,,,0,,6,,
12017,1,1,5185,6570,18800,3,17,,,11,,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,,,,,,,,20,,,,0,,6,,
12018,1,1,5505,6954,20600,3,18,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12019,1,1,5832,7346,22400,3,19,,,11,,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,,,,,,,,20,,,,0,,6,,
12020,1,1,6166,7747,24400,3,20,,,11,,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,,,,,,,,20,,,,0,,6,,
12021,1,1,6430,8059,26700,3,21,,,11,,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,,,,,,,,20,,,,0,,6,,
12022,1,1,6694,8370,29600,3,22,,,11,,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,,,,,,,,20,,,,0,,6,,
12023,1,1,6956,8680,32200,3,23,,,11,,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,,,,,,,,20,,,,0,,6,,
12024,1,1,7217,8989,35300,3,24,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12025,1,1,7476,9294,38200,3,25,,,11,,Texture/UI_Image_InfinityDungeon,12000,900008,Icon_Rune_A_01,,,,,,,,20,,,,0,,6,,
12026,1,1,7732,9597,44700,3,26,,,11,,Texture/UI_Image_InfinityDungeon,12000,900009,Item_EnchantScrollWeapon_01,,,,,,,,20,,,,0,,6,,
12027,1,1,7985,9897,52100,3,27,,,11,,Texture/UI_Image_InfinityDungeon,12000,400002,Item_BloodMedal,,,,,,,,20,,,,0,,6,,
12028,1,1,8234,10192,55900,3,28,,,11,,Texture/UI_Image_InfinityDungeon,12000,900011,Item_GemStoneBlue_01,,,,,,,,20,,,,0,,6,,
12029,1,1,8480,10482,59900,3,29,,,11,,Texture/UI_Image_InfinityDungeon,12000,490002,Icon_RuneStone_01,,,,,,,,20,,,,0,,6,,
12030,1,1,8722,10768,64100,3,30,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12031,1,1,8959,11048,70300,3,31,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12032,1,1,9347,11513,75900,3,32,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12033,1,1,9742,11988,80300,3,33,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12034,1,1,10145,12471,86400,3,34,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12035,1,1,10556,12964,91100,3,35,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12036,1,1,10974,13466,98000,3,36,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12037,1,1,11399,13977,104400,3,37,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12038,1,1,11833,14497,110400,3,38,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12039,1,1,12273,15026,118300,3,39,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12040,1,1,12721,15564,124700,3,40,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12041,1,1,13176,16111,133600,3,41,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12042,1,1,13639,16666,141400,3,42,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12043,1,1,14108,17230,150700,3,43,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12044,1,1,14586,17803,160700,3,44,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12045,1,1,15070,18385,170000,3,45,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12046,1,1,15561,18975,181100,3,46,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12047,1,1,16060,19574,192200,3,47,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12048,1,1,16566,20182,203800,3,48,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12049,1,1,17080,20798,216200,3,49,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12050,1,1,17600,21423,228600,3,50,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12051,1,1,18127,22056,241200,3,51,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12052,1,1,18662,22698,254100,3,52,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12053,1,1,19203,23348,266800,3,53,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12054,1,1,19752,24007,279700,3,54,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12055,1,1,20308,24674,293300,3,55,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12056,1,1,20870,25349,306700,3,56,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12057,1,1,21439,26033,321300,3,57,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12058,1,1,22016,26725,336200,3,58,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12059,1,1,22599,27426,351400,3,59,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12060,1,1,23190,28134,367400,3,60,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12061,1,1,23787,28852,384500,3,61,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12062,1,1,24391,29577,402200,3,62,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12063,1,1,25002,30311,420300,3,63,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12064,1,1,25620,31052,439300,3,64,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12065,1,1,26244,31802,459200,3,65,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12066,1,1,26875,32560,478800,3,66,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12067,1,1,27514,33327,500900,3,67,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12068,1,1,28158,34101,523800,3,68,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12069,1,1,28810,34883,546900,3,69,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12070,1,1,29468,35674,571100,3,70,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12071,1,1,30134,36472,596400,3,71,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12072,1,1,30805,37278,621600,3,72,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12073,1,1,31484,38093,647500,3,73,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12074,1,1,32169,38916,675000,3,74,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12075,1,1,32860,39746,702100,3,75,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12076,1,1,33559,40585,728900,3,76,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12077,1,1,34263,41431,756200,3,77,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12078,1,1,34975,42285,785300,3,78,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12079,1,1,35693,43147,815700,3,79,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12080,1,1,36417,44017,846300,3,80,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12081,0,1,37148,44895,877800,3,81,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12082,0,1,37886,45781,912500,3,82,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12083,0,1,38630,46675,945800,3,83,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
12084,0,1,39381,47576,981100,3,84,,,11,,Texture/UI_Image_InfinityDungeon,12000,900001,Armor_Human_Knightmare_Helmet_01,,,,,,,,20,,,,0,,6,,
