ShopId,ShopServerType,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType
5406,All,1001,11,11,9,81000082,1
5406,All,5,77,104,9,,2
5407,All,1001,11,11,9,81000083,1
5407,All,5,77,104,9,,2
5408,All,1001,11,11,9,81000084,1
5409,All,1001,11,38,9,900008,1
5409,All,5,77,104,9,,2
5410,All,1001,11,11,9,81000085,1
5411,All,1001,11,11,9,81000104,1
5411,All,5,77,104,9,,1
5412,All,1001,11,11,9,81000164,1
5412,All,5,77,104,9,,1
5413,All,1001,11,11,9,81000186,1
5413,All,5,77,104,9,,1
6002,All,100,1,20,5,420001,1
6003,All,100,1,3,5,420002,1
6004,All,100,1,1,5,420003,1
6005,All,100,1,19,5,410001,1
6006,All,100,1,2,5,410002,1
6007,All,100,1,0,5,410003,1
6008,All,100,1,17,5,400000,1
6009,All,100,5,38,9,911199,1
6020,All,1005,1,38,9,900023,1
6021,All,1005,1,38,9,900024,1
6061,All,100,1,38,9,911151,1
6062,All,100,1,38,9,911035,1
6063,All,100,1,38,9,911057,1
6064,All,100,1,50,9,81000071,1
7001,All,3,800,104,9,,1
7001,All,3,90,104,9,,4
7002,All,3,1540,104,9,,1
7002,All,3,150,104,9,,4
7003,All,2,1500,104,9,,1
7003,All,2,150,104,9,,4
8001,All,2,1500,104,9,,1
8001,All,100,1,38,9,911132,1
8001,All,2,500,104,9,,5
8001,All,100,1,24,9,491010,5
8001,All,2,500,104,9,,5
8001,All,100,1,24,9,491020,5
8001,All,2,1000,104,9,,5
8001,All,100,1,24,9,491030,5
8001,All,2,1500,104,9,,5
8001,All,100,1,24,9,491045,5
8001,All,2,1500,104,9,,5
8001,All,100,1,24,9,491070,5
8001,All,2,2000,104,9,,5
8001,All,100,1,24,9,491120,5
8011,All,2,1500,104,9,,1
8011,All,100,1,33,9,490027,1
8011,All,2,500,104,9,,5
8011,All,100,20,11,9,490066,5
8011,All,2,500,104,9,,5
8011,All,100,20,11,9,490066,5
8011,All,2,1000,104,9,,5
8011,All,100,1,33,9,490027,5
8011,All,2,1000,104,9,,5
8011,All,100,20,11,9,490066,5
8011,All,2,1000,104,9,,5
8011,All,100,20,11,9,490066,5
8011,All,2,1000,104,9,,5
8011,All,100,1,33,9,490037,5
8014,All,2,1000,104,9,,1
8014,All,2,1000,104,9,,8
8014,All,2,1000,104,9,,8
8014,All,2,1000,104,9,,8
8014,All,2,1000,104,9,,8
8002,All,2,1500,104,9,,1
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,1,38,9,910007,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,2,38,9,910007,6
8002,All,100,1,2,9,410002,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,3,38,9,910007,6
8002,All,100,1,0,9,410003,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,4,38,9,910007,6
8002,All,100,1,19,9,410001,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,6,38,9,910007,6
8002,All,100,1,2,9,410002,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,8,38,9,910007,6
8002,All,100,1,0,9,410003,6
8002,All,2,100,104,9,,6
8002,All,100,1,38,9,490019,6
8002,All,100,10,38,9,910007,6
8002,All,100,1,19,9,410001,6
8003,All,2,1000,104,9,,1
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8003,All,2,500,104,9,,7
8004,All,2,1000,104,9,,1
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
8004,All,2,500,104,9,,8
9001,All,99,1100,104,9,,1
9001,All,100,5000,18,9,400001,2
9001,All,100,1000,13,9,440001,2
9001,All,100,1000,15,9,440011,2
9001,All,201,120,104,9,,2
9008,All,99,1000,104,9,,1
9008,All,100,1,38,9,911132,2
9008,All,100,1000,29,9,490005,2
9009,All,2,3500,104,9,,1
9009,All,100,1,38,9,910212,2
9009,All,100,10,33,9,490027,2
9010,All,2,3500,104,9,,1
9010,All,100,1,38,9,910213,2
9010,All,100,1,32,9,490026,2
9019,All,2,250,104,9,,1
9019,All,100,1,30,9,490050,1
9020,All,2,1200,104,9,,1
9020,All,100,10,38,9,910207,2
9020,All,1,50000,104,9,,1
9021,All,2,2500,104,9,,1
9021,All,100,30,38,9,910207,2
9021,All,1,100000,104,9,,1
9022,All,2,1000,104,9,,1
9022,All,100,10,38,9,910207,2
9030,All,1,200000,104,9,,1
9030,All,100,10,38,9,910011,2
9030,All,100,1000,29,9,490005,1
9031,All,1,100000,104,9,,1
9031,All,100,20,38,9,910011,2
9031,All,100,2000,29,9,490005,1
9032,All,1,150000,104,9,,1
9032,All,100,30,38,9,910011,2
9032,All,100,3000,29,9,490005,2
9035,All,100,20,38,9,910308,1
9035,All,100,20,38,9,910007,2
9036,All,100,10,38,9,910308,1
9036,All,100,30,38,9,910007,2
9037,All,100,15,38,9,910308,1
9037,All,100,40,38,9,910007,2
9051,All,2,2500,104,9,,1
9051,All,100,25,38,9,910221,2
9051,All,1,300000,104,9,,2
9052,All,100,10,38,9,910237,2
9052,All,100,2,17,9,400000,2
9052,All,2,1000,104,9,,1
9052,All,4,20,104,9,,2
9053,All,2,2000,104,9,,1
9053,All,100,3,17,9,400000,2
9053,All,100,1,33,9,490038,2
9054,All,99,1600,104,9,,1
9054,All,100,10000,18,9,400001,2
9054,All,100,1000,13,9,440001,2
9054,All,100,1000,15,9,440011,2
9054,All,201,100,104,9,,2
9501,All,2,500,104,9,,1
9501,All,100,5,46,9,480007,2
9501,All,100,5,47,9,480008,2
9501,All,100,5,48,9,480009,2
9502,All,2,1000,104,9,,2
9502,All,100,5,38,9,910004,1
9502,All,100,1,17,9,400000,2
9503,All,2,2500,104,9,,2
9503,All,100,3,38,9,900005,1
9503,All,1,150000,104,9,,2
9601,All,2,1200,104,9,,1
9601,All,100,10,38,9,910207,2
9601,All,1,50000,104,9,,1
9602,All,1,200000,104,9,,1
9602,All,100,20,38,9,910011,2
9602,All,100,2000,29,9,490005,1
9603,All,100,15,38,9,910308,1
9603,All,100,40,38,9,910307,2
9604,All,2,250,104,9,,1
9604,All,100,1,30,9,490050,1
9606,All,2,2000,104,9,,1
9606,All,1,300000,104,9,,1
9606,All,100,30,38,9,911009,1
10001,All,100,10,13,9,440001,1
10002,All,100,10,15,9,440011,1
10003,All,100,250,18,9,400001,1
10004,All,100,1,51,9,500304,1
10005,All,100,1,51,9,500404,1
10006,All,100,1,51,9,500504,1
10007,All,100,1,51,9,500604,1
10008,All,100,1,51,9,500704,1
10009,All,100,1,51,9,500804,1
10010,All,100,1,51,9,500904,1
10011,All,100,1,51,9,501004,1
10018,All,100,1,51,9,501104,1
10019,All,100,1,51,9,501204,1
10021,All,100,1,51,9,501304,1
10022,All,100,1,51,9,501404,1
10012,All,100,1,50,9,1000100,1
10013,All,100,1,50,9,1000101,1
10014,All,100,1,50,9,1000102,1
10015,All,100,1,50,9,1000103,1
10016,All,1000,1,50,9,1000104,1
10017,All,1000,1,38,9,900001,1
10020,All,100,1,43,9,910310,1
10415,All,100,100,53,9,490049,1
10416,All,100,20,64,9,510107,1
10417,All,100,20,64,9,510108,1
10418,All,100,20,64,9,510109,1
10419,All,100,20,64,9,510110,1
10420,All,100,20,64,9,510112,1
10421,All,100,20,64,9,510113,1
10422,All,100,1,50,9,81000071,1
10423,All,100,20,64,9,510114,1
10424,All,100,20,64,9,510115,1
10425,All,100,1,64,9,81000301,1
11001,All,1,200000,104,9,,1
11001,All,1,50000,104,9,,9
12001,All,100,100,13,9,440001,1
12001,All,100,100,15,9,440011,1
12001,All,99,30,104,9,,1
12002,All,100,3,40,9,449999,1
12002,All,99,30,104,9,,1
12003,All,1,20000,104,9,,1
12003,All,99,30,104,9,,1
12004,All,100,2000,18,9,400001,1
12004,All,99,30,104,9,,1
12011,All,100,1,38,9,911011,1
12011,All,100,1000,29,9,490005,1
12011,All,99,1000,104,9,,1
12012,All,100,1,38,9,910212,1
12012,All,100,1,33,9,490038,1
12012,All,2,3500,104,9,,1
12013,All,100,1,38,9,910213,1
12013,All,100,1,32,9,490026,1
12013,All,2,3500,104,9,,1
12014,All,100,3,17,9,400000,1
12014,All,100,1,33,9,490038,1
12014,All,2,2000,104,9,,1
12015,All,100,1,32,9,490026,1
12015,All,100,1,33,9,490038,1
12015,All,1,200000,104,9,,1
12015,All,2,2000,104,9,,1
12021,All,100,10,38,9,910207,1
12021,All,1,50000,104,9,,1
12021,All,2,1200,104,9,,1
12022,All,100,2000,29,9,490005,1
12022,All,100,20,38,9,910011,1
12022,All,1,200000,104,9,,1
12023,All,100,15,38,9,910308,1
12023,All,100,40,38,9,910007,1
12024,All,100,1,30,9,490050,1
12024,All,2,250,104,9,,1
12031,All,100,5,46,9,480010,1
12031,All,100,5,47,9,480011,1
12031,All,100,5,48,9,480012,1
12031,All,100,1,38,9,910219,1
12031,All,1,300000,104,9,,1
12031,All,2,1000,104,9,,1
12032,All,100,15,38,9,910004,1
12032,All,100,3,17,9,400000,1
12032,All,4,50,104,9,,1
12033,All,100,3,38,9,900005,1
12033,All,4,100,104,9,,1
12033,All,1,150000,104,9,,1
12033,All,2,2500,104,9,,1
12101,All,100,1,38,9,81000097,1
12102,All,2,100,104,9,,1
12103,All,100,1,104,9,81000173,1
12103,All,100,1,104,9,81000174,1
12103,All,1,300000,104,9,,1
12103,All,1,30000,104,9,,10
12103,All,100,1,104,9,81000175,10
12103,All,100,1,104,9,81000176,10
12103,All,100,1,104,9,81000177,10
12104,All,100,1,104,9,400000,1
12104,All,100,1,104,9,81900180,1
12104,All,100,3,104,9,81900185,1
12104,All,1,100000,104,9,,1
12104,All,100,100,104,9,490068,10
12104,All,100,1,104,9,81900181,10
12104,All,100,1,104,9,81900182,10
12104,All,100,1,104,9,81900183,10
12104,All,100,1,104,9,81900184,10
12104,All,1,10000,104,9,,10
12105,All,2,200,104,9,,1
12105,All,1,50000,104,9,,2
12105,All,100,1,38,9,910237,1
12105,All,100,5,38,9,910220,2
12106,All,100,1,38,9,910218,1
12106,All,100,10,38,9,910217,2
12106,All,1,100000,104,9,,2
12107,All,100,5,61,9,470006,1
12107,All,100,50,62,9,470001,1
12107,All,1,100000,104,9,,1
12108,All,2,2500,104,9,,1
12109,All,1,1200000,104,9,,1
12110,All,2,3000,104,9,,1
12111,All,100,1,38,9,81000058,1
12111,All,100,100,62,9,470001,1
12111,All,1,50000,104,9,,1
12112,All,2,2000,104,9,,1
12112,All,1,100000,104,9,,1
12112,All,4,30,104,9,,1
12113,All,2,1000,104,9,,1
12113,All,3,1200,104,9,,2
12113,All,4,20,104,9,,2
12114,All,100,1,38,9,919005,1
12114,All,100,5,38,9,910218,2
12114,All,100,5,56,9,910315,2
12114,All,2,500,104,9,,2
12114,All,100,5,38,9,910220,2
12115,All,2,2450,104,9,,1
12115,All,3,2450,104,9,,2
12115,All,4,50,104,9,,2
12116,All,2,2000,104,9,,1
12116,All,4,100,104,9,,2
12116,All,100,10,38,9,910237,1
12116,All,100,2,17,9,400000,2
12117,All,100,5,46,9,480010,1
12117,All,100,10,20,9,420001,2
12117,All,2,1000,104,9,,2
12117,All,1,100000,104,9,,2
12118,All,100,5,47,9,480011,1
12118,All,100,10,3,9,420002,2
12118,All,2,1000,104,9,,2
12118,All,1,100000,104,9,,2
12217,All,3,100,104,9,,1
12218,All,3,100,104,9,,1
12219,All,3,100,104,9,,1
12220,All,3,500,104,9,,1
12221,All,3,500,104,9,,1
12222,All,3,500,104,9,,1
12223,All,100,5,38,9,910221,1
12223,All,1,30000,104,9,,2
12224,All,100,1,17,9,81020101,1
12224,All,100,3,5,9,81020115,1
12224,All,1,10000,104,9,,1
12225,All,100,3,50,9,81000127,1
12225,All,100,2,17,9,400000,1
12225,All,100,1,38,9,910237,1
12225,All,100,1,33,9,490027,1
12225,All,1,100000,104,9,,1
12225,All,100,3,11,9,81000128,10
12225,All,1,30000,104,9,,10
12226,All,100,120,14,9,450001,1
12226,All,100,120,14,9,450002,1
12226,All,100,120,14,9,450003,1
12226,All,100,120,14,9,450004,1
12226,All,100,120,38,9,911085,1
12226,All,100,15,38,9,910214,1
12227,All,100,500,62,9,470001,1
12227,All,1,100000,104,9,,1
12228,All,3,2500,104,9,,1
12229,All,3,2500,104,9,,1
12230,All,3,3000,104,9,,1
12231,All,3,3000,104,9,,1
12232,All,3,3000,104,9,,1
12233,All,100,5,6,9,81026114,1
12233,All,100,10,17,9,81026101,1
12233,All,1,200000,104,9,,1
12234,All,100,10,38,9,81000165,1
12234,All,100,2,17,9,400000,1
12234,All,4,30,104,9,,1
12235,All,3,3500,104,9,,1
12236,All,3,5000,104,9,,1
12237,All,3,5000,104,9,,1
12238,All,100,15,1,9,420003,1
12238,All,100,5,48,9,480012,1
12238,All,2,1000,104,9,,1
12238,All,1,100000,104,9,,1
12239,All,100,5,61,9,470003,1
12239,All,100,100,62,9,470001,1
12239,All,1,100000,104,9,,1
12240,All,100,1,61,9,470010,1
12240,All,100,1,60,9,490104,1
12240,All,100,1,60,9,490114,1
12240,All,100,1,60,9,490124,1
12240,All,100,1,60,9,490134,1
12240,All,2,2500,104,9,,1
12240,All,1,100000,104,9,,1
12243,All,100,3,43,9,81000059,1
12244,All,100,30,5,9,81020115,1
12244,All,100,8,17,9,81020101,1
12244,All,1,100000,104,9,,1
12245,All,100,1,30,9,490030,1
12245,All,100,1000,18,9,400001,1
12245,All,100,100,13,9,440001,1
12245,All,100,100,15,9,440011,1
12245,All,1,100000,104,9,,1
12245,All,2,100,104,9,,1
12246,All,100,1,104,9,490026,1
12246,All,1,300000,104,9,,1
12247,All,100,1,104,9,490027,1
12247,All,1,100000,104,9,,1
12248,All,100,15,38,9,81000179,1
12248,All,100,1,17,9,400000,1
12249,All,3,240,104,9,,1
12249,All,99,300,104,9,,2
12249,All,4,12,104,9,,2
12250,All,100,1,61,9,81000086,1
12250,All,100,1,60,9,490104,1
12250,All,100,1,60,9,490114,1
12250,All,100,1,60,9,490124,1
12250,All,100,1,60,9,490134,1
12250,All,2,2500,104,9,,1
12250,All,1,100000,104,9,,1
12251,All,100,30,20,9,81014021,1
12251,All,100,20,46,9,81014037,1
12251,All,100,10,6,9,81014114,1
12251,All,100,5,17,9,81014101,1
12251,All,1,300000,104,9,,1
12252,All,100,20,20,9,81014021,1
12252,All,100,20,46,9,81014037,1
12252,All,100,20,19,9,81014111,1
12252,All,100,10,6,9,81014114,1
12252,All,100,5,17,9,81014101,1
12252,All,1,300000,104,9,,1
12253,All,100,20,46,9,81014037,1
12253,All,100,20,19,9,81014111,1
12253,All,100,20,6,9,81014114,1
12253,All,100,10,17,9,81014101,1
12253,All,1,300000,104,9,,1
12254,All,100,1,38,9,81000092,1
12254,All,100,1,38,9,81000093,1
12254,All,100,1,38,9,81000094,1
12254,All,100,1,38,9,81000095,1
12254,All,100,1,38,9,81000096,1
12254,All,100,70,3,9,81020022,1
12254,All,1,200000,104,9,,1
12255,All,100,1,38,9,81000101,1
12255,All,100,6,38,9,81000102,1
12255,All,1,200000,104,9,,1
12256,All,2,4000,104,9,,1
12256,All,100,1,38,9,910237,1
12256,All,100,5,38,9,910214,1
12257,All,100,1,61,9,470006,1
12257,All,100,1,62,9,471002,1
12257,All,100,100,62,9,470001,1
12257,All,1,100000,104,9,,1
12258,All,100,15,61,9,81000103,1
12258,All,100,1,38,9,81000058,1
12259,All,100,2,38,9,910222,1
12259,All,100,2,38,9,900011,1
12259,All,100,1,17,9,400000,1
12259,All,100,1,30,9,490031,1
12259,All,100,30,40,9,449999,1
12259,All,1,500000,104,9,,1
12260,All,3,3000,104,9,,1
12261,All,3,2500,104,9,,1
12262,All,100,1,32,9,490026,1
12262,All,1,300000,104,9,,1
12263,All,100,1,33,9,490027,1
12263,All,1,100000,104,9,,1
12264,All,100,1,38,9,81000058,1
12264,All,100,100,62,9,470001,1
12264,All,1,50000,104,9,,1
12265,All,100,500,62,9,470001,1
12265,All,1,100000,104,9,,1
12266,All,100,1,38,9,81000098,1
12267,All,100,1,38,9,81000099,1
12268,All,100,1,38,9,81000058,1
12268,All,100,100,62,9,470001,1
12268,All,1,50000,104,9,,1
12269,All,100,500,62,9,470001,1
12269,All,1,100000,104,9,,1
12270,All,2,2000,104,9,,1
12270,All,1,100000,104,9,,1
12270,All,4,30,104,9,,1
12271,All,1,1200000,104,9,,1
12272,All,100,3,38,9,911042,1
12272,All,100,7,4,9,410013,1
12272,All,100,20,48,9,480012,1
12272,All,1,300000,104,9,,1
12273,All,3,10000,104,9,,1
12274,All,3,10000,104,9,,1
12275,All,3,10000,104,9,,1
12276,All,3,10000,104,9,,1
12277,All,100,10,17,9,400000,1
12277,All,100,5,38,9,910220,1
12277,All,1,100000,104,9,,1
12278,All,3,5000,104,9,,1
12279,All,3,3500,104,9,,1
12280,All,2,2000,104,9,,1
12280,All,1,100000,104,9,,1
12280,All,4,30,104,9,,1
12281,All,1,1200000,104,9,,1
12282,All,100,5,61,9,470003,1
12282,All,100,100,62,9,470001,1
12282,All,1,100000,104,9,,1
12283,All,3,100,104,9,,1
12284,All,3,1000,104,9,,1
12285,All,3,1000,104,9,,1
12286,All,3,3500,104,9,,1
12287,All,3,3500,104,9,,1
12288,All,3,3500,104,9,,1
12289,All,3,5000,104,9,,1
12290,All,3,5000,104,9,,1
12291,All,3,10000,104,9,,1
12292,All,3,10000,104,9,,1
12293,All,1,1300000,104,9,,1
12294,All,100,2,38,9,910222,1
12294,All,100,2,38,9,900011,1
12294,All,100,1,17,9,400000,1
12294,All,100,500,30,9,490033,1
12294,All,100,30,40,9,449999,1
12294,All,1,500000,104,9,,1
12295,All,1,500000,104,9,,1
12295,All,2,1000,104,9,,1
12295,All,100,40,38,9,910217,1
12295,All,100,10,38,9,910218,1
12296,All,1,200000,104,9,,1
12296,All,100,15,38,9,910217,1
12297,All,100,20,1,9,420003,1
12297,All,100,20,48,9,480009,1
12297,All,100,7,4,9,410013,1
12297,All,1,300000,104,9,,1
12298,All,100,500,62,9,470001,1
12298,All,1,100000,104,9,,1
13108,All,100,1,51,9,501102,1
13109,All,100,1,51,9,501202,1
13110,All,100,1,51,9,501302,1
13111,All,100,1,51,9,501402,1
13208,All,100,1,51,9,501101,1
13209,All,100,1,51,9,501201,1
13210,All,100,1,51,9,501301,1
13211,All,100,1,51,9,501401,1
2011001,All,8002,1,104,9,,1
2011002,All,8002,1,104,9,,1
2011003,All,8002,1,104,9,,1
2012001,All,8002,1,104,9,,1
2012002,All,8002,1,104,9,,1
2012003,All,8002,1,104,9,,1
2012004,All,8002,1,104,9,,1
2012005,All,8002,1,104,9,,1
2012006,All,8002,1,104,9,,1
2012007,All,8002,1,104,9,,1
2021000,All,8002,1,104,9,,1
2021001,All,8002,1,104,9,,1
2021002,All,8002,1,104,9,,1
2021003,All,8002,1,104,9,,1
2021004,All,8002,1,104,9,,1
2021005,All,8002,1,104,9,,1
2021006,All,8002,1,104,9,,1
2021007,All,8002,1,104,9,,1
2021008,All,8002,1,104,9,,1
2021009,All,8002,1,104,9,,1
2021010,All,8002,1,104,9,,1
2021011,All,8002,1,104,9,,1
2021012,All,8002,1,104,9,,1
2021013,All,8002,1,104,9,,1
2021014,All,8002,1,104,9,,1
2021015,All,8002,1,104,9,,1
2021016,All,8002,1,104,9,,1
2021017,All,8002,1,104,9,,1
2021018,All,8002,1,104,9,,1
2021019,All,8002,1,104,9,,1
2021020,All,8002,1,104,9,,1
2021021,All,8002,1,104,9,,1
2021022,All,8002,1,104,9,,1
2021023,All,8002,1,104,9,,1
2021024,All,8002,1,104,9,,1
2021025,All,8002,1,104,9,,1
3000002,All,1,100000,104,9,,1
3000007,All,1,100000,104,9,,1
3000008,All,1,100000,104,9,,1
3000009,All,100,100,104,9,490033,1
3000010,All,100,100,104,9,490033,1
3000011,All,100,100,104,9,490033,1
3000012,All,100,100,104,9,490033,1
3000013,All,100,100,104,9,490033,1
3000014,All,100,100,104,9,490033,1
3000015,All,100,100,104,9,490033,1
9000001,All,1001,1,38,9,900008,1
9000002,All,1001,11,38,9,900008,1
9000003,All,1001,1,38,9,900008,1
9000004,All,1001,11,38,9,900008,1
9000005,All,1,20000,104,9,,1
9000006,All,1,42000,104,9,,1
9000007,All,1,42000,104,9,,1
9000008,All,1,88000,104,9,,1
9000009,All,1001,11,11,9,81000104,1
9000009,All,5,77,104,9,,1
9000010,All,1001,11,11,9,81000104,1
9000010,All,5,77,104,9,,1
9000011,All,1001,11,11,9,81000104,1
9000011,All,5,77,104,9,,1
9000011,All,100,1,38,9,81000113,1
9000012,All,1001,11,11,9,81000170,1
9000012,All,5,77,104,9,,1
9000013,All,1001,11,11,9,81000170,1
9000013,All,5,77,104,9,,1
9000014,All,1001,11,11,9,81000170,1
9000014,All,5,77,104,9,,1
9000015,All,1001,11,11,9,81000170,1
9000015,All,5,77,104,9,,1
9000016,All,1001,11,11,9,81000170,1
9000016,All,5,77,104,9,,1
9000017,All,1001,11,11,9,81000170,1
9000017,All,5,77,104,9,,1
9000018,All,1001,11,11,9,81000170,1
9000018,All,5,77,104,9,,1
9000018,All,100,1,38,9,81000168,1
9000019,All,1001,11,11,9,81000170,1
9000019,All,5,77,104,9,,1
9000020,All,1001,11,11,9,81000170,1
9000020,All,5,77,104,9,,1
9000021,All,1001,11,11,9,81000170,1
9000021,All,5,77,104,9,,1
9000022,All,1001,11,11,9,81000170,1
9000022,All,5,77,104,9,,1
9000023,All,1001,11,11,9,81000170,1
9000023,All,5,77,104,9,,1
9000024,All,1001,11,11,9,81000170,1
9000024,All,5,77,104,9,,1
9000025,All,1001,11,11,9,81000170,1
9000025,All,5,77,104,9,,1
9000025,All,100,1,38,9,81000168,1
9000026,All,1001,11,11,9,81000170,1
9000026,All,5,77,104,9,,1
9000027,All,1001,11,11,9,81000170,1
9000027,All,5,77,104,9,,1
9000028,All,1001,11,11,9,81000170,1
9000028,All,5,77,104,9,,1
9000029,All,1001,11,11,9,81000170,1
9000029,All,5,77,104,9,,1
9000030,All,1001,11,11,9,81000170,1
9000030,All,5,77,104,9,,1
9000031,All,1001,11,11,9,81000170,1
9000031,All,5,77,104,9,,1
9000032,All,1001,11,11,9,81000170,1
9000032,All,5,77,104,9,,1
9000032,All,100,1,38,9,81000168,1
9000033,All,1001,11,11,9,81000170,1
9000033,All,5,77,104,9,,1
9000034,All,1001,11,11,9,81000170,1
9000034,All,5,77,104,9,,1
9000035,All,1001,11,11,9,81000170,1
9000035,All,5,77,104,9,,1
9000036,All,1001,11,11,9,81000170,1
9000036,All,5,77,104,9,,1
9000037,All,1001,11,11,9,81000170,1
9000037,All,5,77,104,9,,1
9000038,All,1001,11,11,9,81000170,1
9000038,All,5,77,104,9,,1
9000039,All,1001,11,11,9,81000170,1
9000039,All,5,77,104,9,,1
9000039,All,100,1,38,9,81000168,1
9000040,All,1001,11,11,9,81000170,1
