Id,GroupId,EffectType,EffectParamMin,EffectParamMax,EffectParamGrowth,EffectParam1,EffectParam2,EffectParam3,EffectParam4,EffectParam5,EffectParam6,EffectParam7,EffectParam8,EffectParam9,EffectParam10,EffectParam11,EffectParam12,EffectParam13,EffectParam14,EffectParam15,EffectParam16,EffectParam17,EffectParam18,EffectParam19,EffectParam20,EffectSkillInfoId,EffectSubParam
810001,1810001,32,10000,28000,1,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,,,,,,,,,,,,
810002,1810002,32,1500,4500,1,2000,2400,2800,3200,3600,4000,4400,4800,5200,5600,,,,,,,,,,,,
810003,1810003,32,1500,4500,1,2000,2400,2800,3200,3600,4000,4400,4800,5200,5600,,,,,,,,,,,,
810006,1810006,154,1000,3250,1,7920,7920,7920,7920,7920,7920,7920,7920,7920,7920,,,,,,,,,,,,
810011,1810011,239,,,,81980001,81980001,81980001,81980001,81980001,81980001,81980001,81980001,81980001,81980001,,,,,,,,,,,,
810012,1810012,153,,,,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,,,,,,,,,,,
810013,1810013,154,,,,4530,4530,4530,4530,4530,4530,4530,4530,4530,4530,,,,,,,,,,,,
810021,1810021,153,,,,10000,12500,15000,17500,20000,22500,25000,27500,30000,32500,,,,,,,,,,,,
810022,1810022,245,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,81000128
8100241,1810024,23,,,,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,
8100242,1810024,24,,,,100,200,300,400,500,600,700,800,900,1000,,,,,,,,,,,,
810031,1810031,32,,,,20,40,60,80,100,120,140,160,180,200,,,,,,,,,,,,
810032,1810032,245,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,81900185
