Id,Value,ButtonString1,ButtonString2
55,"<FontGreen>[Name]</>, membre du clan, a demandé une
 revanche à <FontRed>[Name2]</>.",@20,@19
56,"<FontGreen>[Name]</>, membre du clan, a demandé une
 revanche à <FontRed>[Name]</>.",@20,@20
57,Vous avez <FontBlue>formé</> une alliance avec <FontBlue>[Param1]</>.,,
58,Votre alliance a <FontRed>pris fin</> avec <FontBlue>[Param1]</>.,,
59,La guerre est <FontRed>déclarée</> contre le clan <FontBlue>[Name]</>.,,
60,<FontRed>Rejet</> du cessez-le-feu avec <FontBlue>[GuildName]</>.,,
61,<FontBlue>[GuildName]</> a <FontRed>refusé</> de mettre fin à la guerre.,,
62,<FontGreen>Conclusion</> d'un cessez-le-feu avec <FontBlue>[Name]</>.,,
63,<FontBlue>Victoire</> de la guerre contre <FontBlue>[Name]</>.,,
64,<FontRed>Défaite</> de la guerre contre <FontBlue>[Name]</>.,,
65,<FontYellow>La Salle du clan a atteint le niv. [Param1].</>,,
66,<FontYellow>Le buff de clan [Name] a atteint le niv. [param].</>,,
67,[Name] a acheté <FontGreen>[Item]</> au <FontGreen>[ShopName]</>.,,
68,<FontYellow>[Param1] a terminé avec succès.</>,Succès de clan,
69,"Le chef de clan a lancé un appel depuis <FontGreen>[DungeonName]</>.
Accepter ?",@20,@20
70,<FontYellow>[GuildDungeonName] ([Difficulty]) a été réinitialisé.</>,Donjon de clan,
71,Renouveler l'enchère pour <FontYellow>[Param1] !</>,Siège de forteresse,
72,@71,Siège de château,
73,L'enchère pour <FontYellow>[Param1]a été prolongée.</>,@71,
74,@73,@72,
75,"Le Siège de forteresse a débuté.
Accéder à <FontGreen>[FortressName]</> ?",@20,@20
76,"Le Siège de château a débuté.
Accéder à <FontGreen>[CastleName]</> ?",@20,@20
77,<FontYellow>Le chef de clan a abandonné la propriété de [Name].</>,,
78,Le chef de clan sélectionné<FontBlue>[Name]</> en tant que<FontYellow>[CastleType]</>.,,
79,<FontYellow>La Salle du clan a atteint le niv. [Level].</>,,
80,<FontYellow>Le cristal d'unité de la Salle du clan a atteint le niv. [param].</>,,
81,<FontGreen>[Name]</> a effectué pour le clan une quête de salle de clan.,,
82,<FontGreen>[Name]</> a préparé un <FontBlue>festin</> dans la Salle du clan.,@20,@20
83,<FontYellow>[Value] reliques mystiques sont envoyées vers le stockage du clan.</>,,
84,[NAME] a fabriqué [COUNT]x<FontGreen>[POTION_NAME]</>.,,
85,<FontYellow>Le foyer de la Salle du clan brûle avec éclat.</>,@20,@20
86,<FontYellow>Le foyer de la Salle du clan se réchauffe.</>,@20,@20
87,<FontYellow>La chaleur qui émanait du foyer s'est atténuée.</>,,
88,<FontRed>Expulsé(e)</> du clan.,,
89,"Le Siège de forteresse a commencé !
Entrer dans : <FontGreen>[FortressName]</> ?",@20,@20
90,"Le Siège de château a commencé !
Entrer dans : <FontGreen>[CastleName]</> ?",@20,@20
91,"Emplacement : <FontGreen>[WorldName]</>
<FontBlue>[Name]</> souhaite vous invoquer.
Partir maintenant ? <FontRed>[Seconds]</> s",@13,@17
92,"Vous n'êtes pas dans un groupe, les actions sont limitées.
Vous quitterez automatiquement la faille temporelle dans 15 s.",Quitter,
93,<FontYellow>L'objet de l'événement [EventName] a expiré.</>Il a été supprimé de l'inventaire.,,
94,"Groupe de <FontYellow>Siège ouvert</> créé.
Accédez au Siège ouvert <FontGreen>seul(e)</> ou avec un <FontGreen>groupe</>.",,
95,Vous avez rejoint un groupe de <FontYellow>Siège ouvert</>.,,
96,<FontGreen>[Name]</> a rejoint le <FontYellow>Siège ouvert</>.,,
97,Groupe de <FontYellow>Siège ouvert</> dissous.,,
98,A quitté le <FontYellow>Siège ouvert</>.,,
99,<FontGreen>[Name]</> a quitté le groupe de <FontYellow>Siège ouvert</>.,,
100,"<FontGreen>[Name]</> vous a invité(e) dans un groupe de Siège ouvert.
Accepter l'invitation du groupe de <FontYellow>Siège ouvert</> ? <FontRed>[Seconds]</> s",@13,@15
101,"Recherche de <FontYellow>Siège ouvert</> réussie.
Vous accéderez au Siège ouvert dans <FontRed>[Seconds]</> s. Préparez-vous au combat.",,
1000,Connexion en cours.,,
