Id,Name,Desc,RequiredId,GroupType,Param1,TaskType,TaskCondition,CompleteNotifyType,AchievementGroupId,TaskCount,RewardPoint,Reward
10518,Defeated a Rare One (Tier 18),"Defeat  668,960  or more elite monsters.",10517,Battle,18,Count_KillMonster,Elite,Immediately,105,"668,960","5,740",MP Potion (30)
10519,Defeated a Rare One (Tier 19),"Defeat  728,790  or more elite monsters.",10518,Battle,19,Count_KillMonster,Elite,Immediately,105,"728,790","6,520","49,500 Adena"
10520,Defeated a Rare One (Tier 20),"Defeat  788,400  or more elite monsters.",10519,Battle,20,Count_KillMonster,Elite,Immediately,105,"788,400","7,360",Small Diamond Box (1)
10601,Defeated a Legendary Monster (Tier 1),Defeat  1  or more hero monsters.,,Battle,1,Count_KillMonster,Hero,Immediately,106,1,30,Grade C Armor Varnish (1)
10602,Defeated a Legendary Monster (Tier 2),Defeat  10  or more hero monsters.,10601,Battle,2,Count_KillMonster,Hero,Immediately,106,10,30,Grade C Weapon Varnish (1)
10603,Defeated a Legendary Monster (Tier 3),Defeat  20  or more hero monsters.,10602,Battle,3,Count_KillMonster,Hero,Immediately,106,20,50,Grade C Accessory Varnish (1)
10604,Defeated a Legendary Monster (Tier 4),Defeat  90  or more hero monsters.,10603,Battle,4,Count_KillMonster,Hero,Immediately,106,90,100,"1,500 Adena"
10605,Defeated a Legendary Monster (Tier 5),Defeat  170  or more hero monsters.,10604,Battle,5,Count_KillMonster,Hero,Immediately,106,170,180,Grade B Armor Varnish (1)
10606,Defeated a Legendary Monster (Tier 6),Defeat  520  or more hero monsters.,10605,Battle,6,Count_KillMonster,Hero,Immediately,106,520,300,Grade B Weapon Varnish (1)
10607,Defeated a Legendary Monster (Tier 7),"Defeat  1,560  or more hero monsters.",10606,Battle,7,Count_KillMonster,Hero,Immediately,106,"1,560",470,Grade B Accessory Varnish (1)
10608,Defeated a Legendary Monster (Tier 8),"Defeat  11,770  or more hero monsters.",10607,Battle,8,Count_KillMonster,Hero,Immediately,106,"11,770",690,"6,000 Adena"
10609,Defeated a Legendary Monster (Tier 9),"Defeat  24,640  or more hero monsters.",10608,Battle,9,Count_KillMonster,Hero,Immediately,106,"24,640",970,"8,000 Adena"
10610,Defeated a Legendary Monster (Tier 10),"Defeat  40,170  or more hero monsters.",10609,Battle,10,Count_KillMonster,Hero,Immediately,106,"40,170","1,320",Grade A Armor Varnish (1)
10611,Defeated a Legendary Monster (Tier 11),"Defeat  55,580  or more hero monsters.",10610,Battle,11,Count_KillMonster,Hero,Immediately,106,"55,580","1,760",Grade A Weapon Varnish (1)
10612,Defeated a Legendary Monster (Tier 12),"Defeat  68,880  or more hero monsters.",10611,Battle,12,Count_KillMonster,Hero,Immediately,106,"68,880","2,170",Grade A Accessory Varnish (1)
10613,Defeated a Legendary Monster (Tier 13),"Defeat  82,170  or more hero monsters.",10612,Battle,13,Count_KillMonster,Hero,Immediately,106,"82,170","2,630","20,500 Adena"
10614,Defeated a Legendary Monster (Tier 14),"Defeat  95,470  or more hero monsters.",10613,Battle,14,Count_KillMonster,Hero,Immediately,106,"95,470","3,150",Grade S Armor Varnish (1)
10615,Defeated a Legendary Monster (Tier 15),"Defeat  108,760  or more hero monsters.",10614,Battle,15,Count_KillMonster,Hero,Immediately,106,"108,760","3,710",Grade S Weapon Varnish (1)
10616,Defeated a Legendary Monster (Tier 16),"Defeat  122,060  or more hero monsters.",10615,Battle,16,Count_KillMonster,Hero,Immediately,106,"122,060","4,330",Grade S Accessory Varnish (1)
10617,Defeated a Legendary Monster (Tier 17),"Defeat  135,360  or more hero monsters.",10616,Battle,17,Count_KillMonster,Hero,Immediately,106,"135,360","5,010","38,500 Adena"
10618,Defeated a Legendary Monster (Tier 18),"Defeat  148,650  or more hero monsters.",10617,Battle,18,Count_KillMonster,Hero,Immediately,106,"148,650","5,740",Grade R Armor Varnish (1)
10619,Defeated a Legendary Monster (Tier 19),"Defeat  161,950  or more hero monsters.",10618,Battle,19,Count_KillMonster,Hero,Immediately,106,"161,950","6,520",Grade R Weapon Varnish (1)
10620,Defeated a Legendary Monster (Tier 20),"Defeat  175,200  or more hero monsters.",10619,Battle,20,Count_KillMonster,Hero,Immediately,106,"175,200","7,360",Grade R Accessory Varnish (1)
10701,Defeated with One Hit (Tier 1),Deal  410  or more DMG to enemy with one attack.,,Battle,1,If_AttackDamage,,Immediately,107,410,30,Scroll: Enhance Armor (1)
10702,Defeated with One Hit (Tier 2),"Deal  1,440  or more DMG to enemy with one attack.",10701,Battle,2,If_AttackDamage,,Immediately,107,"1,440",30,"1,000 Adena"
10703,Defeated with One Hit (Tier 3),"Deal  2,710  or more DMG to enemy with one attack.",10702,Battle,3,If_AttackDamage,,Immediately,107,"2,710",50,Scroll: Enhance Accessory (1)
10704,Defeated with One Hit (Tier 4),"Deal  3,430  or more DMG to enemy with one attack.",10703,Battle,4,If_AttackDamage,,Immediately,107,"3,430",100,"1,500 Adena"
10705,Defeated with One Hit (Tier 5),"Deal  5,240  or more DMG to enemy with one attack.",10704,Battle,5,If_AttackDamage,,Immediately,107,"5,240",180,Scroll: Enhance Weapon (1)
10706,Defeated with One Hit (Tier 6),"Deal  8,160  or more DMG to enemy with one attack.",10705,Battle,6,If_AttackDamage,,Immediately,107,"8,160",300,"3,000 Adena"
10707,Defeated with One Hit (Tier 7),"Deal  13,630  or more DMG to enemy with one attack.",10706,Battle,7,If_AttackDamage,,Immediately,107,"13,630",470,Enhance Scroll Box (1)
10708,Defeated with One Hit (Tier 8),"Deal  19,620  or more DMG to enemy with one attack.",10707,Battle,8,If_AttackDamage,,Immediately,107,"19,620",690,"6,000 Adena"
10709,Defeated with One Hit (Tier 9),"Deal  27,270  or more DMG to enemy with one attack.",10708,Battle,9,If_AttackDamage,,Immediately,107,"27,270",970,Enhance Scroll Box (1)
10710,Defeated with One Hit (Tier 10),"Deal  49,790  or more DMG to enemy with one attack.",10709,Battle,10,If_AttackDamage,,Immediately,107,"49,790","1,320","10,500 Adena"
10711,Defeated with One Hit (Tier 11),"Deal  63,780  or more DMG to enemy with one attack.",10710,Battle,11,If_AttackDamage,,Immediately,107,"63,780","1,760",Enhance Scroll Box (1)
10712,Defeated with One Hit (Tier 12),"Deal  79,740  or more DMG to enemy with one attack.",10711,Battle,12,If_AttackDamage,,Immediately,107,"79,740","2,170","17,000 Adena"
10713,Defeated with One Hit (Tier 13),"Deal  99,300  or more DMG to enemy with one attack.",10712,Battle,13,If_AttackDamage,,Immediately,107,"99,300","2,630",Enhance Scroll Box (1)
10714,Defeated with One Hit (Tier 14),"Deal  122,400  or more DMG to enemy with one attack.",10713,Battle,14,If_AttackDamage,,Immediately,107,"122,400","3,150","24,500 Adena"
10715,Defeated with One Hit (Tier 15),"Deal  149,240  or more DMG to enemy with one attack.",10714,Battle,15,If_AttackDamage,,Immediately,107,"149,240","3,710",Enhance Scroll Box (1)
10716,Defeated with One Hit (Tier 16),"Deal  178,570  or more DMG to enemy with one attack.",10715,Battle,16,If_AttackDamage,,Immediately,107,"178,570","4,330","33,500 Adena"
10717,Defeated with One Hit (Tier 17),"Deal  212,540  or more DMG to enemy with one attack.",10716,Battle,17,If_AttackDamage,,Immediately,107,"212,540","5,010",Enhance Scroll Box (1)
10718,Defeated with One Hit (Tier 18),"Deal  251,940  or more DMG to enemy with one attack.",10717,Battle,18,If_AttackDamage,,Immediately,107,"251,940","5,740","44,000 Adena"
10719,Defeated with One Hit (Tier 19),"Deal  278,410  or more DMG to enemy with one attack.",10718,Battle,19,If_AttackDamage,,Immediately,107,"278,410","6,520",Enhance Scroll Box (1)
10720,Defeated with One Hit (Tier 20),"Deal  296,180  or more DMG to enemy with one attack.",10719,Battle,20,If_AttackDamage,,Immediately,107,"296,180","7,360","56,000 Adena"
10801,Tower of Insolence Floor 5  ,Clear up to Floor  5  in the Tower of Insolence.,,Battle,5,If_TowerFloorClear,,Immediately,108,5,30,"1,000 Adena"
10802,Tower of Insolence Floor 10  ,Clear up to Floor  10  in the Tower of Insolence.,10801,Battle,10,If_TowerFloorClear,,Immediately,108,10,30,"1,000 Adena"
10803,Tower of Insolence Floor 15  ,Clear up to Floor  15  in the Tower of Insolence.,10802,Battle,15,If_TowerFloorClear,,Immediately,108,15,30,"1,000 Adena"
10804,Tower of Insolence Floor 20  ,Clear up to Floor  20  in the Tower of Insolence.,10803,Battle,20,If_TowerFloorClear,,Immediately,108,20,30,"1,000 Adena"
10805,Tower of Insolence Floor 25  ,Clear up to Floor  25  in the Tower of Insolence.,10804,Battle,25,If_TowerFloorClear,,Immediately,108,25,30,"1,000 Adena"
10806,Tower of Insolence Floor 30  ,Clear up to Floor  30  in the Tower of Insolence.,10805,Battle,30,If_TowerFloorClear,,Immediately,108,30,40,"1,000 Adena"
10807,Tower of Insolence Floor 35  ,Clear up to Floor  35  in the Tower of Insolence.,10806,Battle,35,If_TowerFloorClear,,Immediately,108,35,50,"1,000 Adena"
10808,Tower of Insolence Floor 40  ,Clear up to Floor  40  in the Tower of Insolence.,10807,Battle,40,If_TowerFloorClear,,Immediately,108,40,70,"1,500 Adena"
10809,Tower of Insolence Floor 45  ,Clear up to Floor  45  in the Tower of Insolence.,10808,Battle,45,If_TowerFloorClear,,Immediately,108,45,100,"1,500 Adena"
10810,Tower of Insolence Floor 50  ,Clear up to Floor  50  in the Tower of Insolence.,10809,Battle,50,If_TowerFloorClear,,Immediately,108,50,140,"2,000 Adena"
10811,Tower of Insolence Floor 55  ,Clear up to Floor  55  in the Tower of Insolence.,10810,Battle,55,If_TowerFloorClear,,Immediately,108,55,190,"2,500 Adena"
10812,Tower of Insolence Floor 60  ,Clear up to Floor  60  in the Tower of Insolence.,10811,Battle,60,If_TowerFloorClear,,Immediately,108,60,270,"3,000 Adena"
10813,Tower of Insolence Floor 65  ,Clear up to Floor  65  in the Tower of Insolence.,10812,Battle,65,If_TowerFloorClear,,Immediately,108,65,370,"3,500 Adena"
10814,Tower of Insolence Floor 70  ,Clear up to Floor  70  in the Tower of Insolence.,10813,Battle,70,If_TowerFloorClear,,Immediately,108,70,500,"4,500 Adena"
10815,Tower of Insolence Floor 75  ,Clear up to Floor  75  in the Tower of Insolence.,10814,Battle,75,If_TowerFloorClear,,Immediately,108,75,670,"6,000 Adena"
10816,Tower of Insolence Floor 80  ,Clear up to Floor  80  in the Tower of Insolence.,10815,Battle,80,If_TowerFloorClear,,Immediately,108,80,890,"7,500 Adena"
10817,Tower of Insolence Floor 85  ,Clear up to Floor  85  in the Tower of Insolence.,10816,Battle,85,If_TowerFloorClear,,Immediately,108,85,"1,150","9,500 Adena"
10818,Tower of Insolence Floor 90  ,Clear up to Floor  90  in the Tower of Insolence.,10817,Battle,90,If_TowerFloorClear,,Immediately,108,90,"1,470","12,000 Adena"
10819,Tower of Insolence Floor 95  ,Clear up to Floor  95  in the Tower of Insolence.,10818,Battle,95,If_TowerFloorClear,,Immediately,108,95,"1,860","15,000 Adena"
10820,Tower of Insolence Floor 100  ,Clear up to Floor  100  in the Tower of Insolence.,10819,Battle,100,If_TowerFloorClear,,Immediately,108,100,"2,330","18,500 Adena"
10901,How Many Times in the Tower of Insolence? (Tier 1),Auto-Clear Tower of Insolence  1  time(s).,,Battle,1,Count_TowerSweepClear,,Immediately,109,1,30,"1,000 Adena"
10902,How Many Times in the Tower of Insolence? (Tier 2),Auto-Clear Tower of Insolence  7  time(s).,10901,Battle,2,Count_TowerSweepClear,,Immediately,109,7,40,"1,000 Adena"
10903,How Many Times in the Tower of Insolence? (Tier 3),Auto-Clear Tower of Insolence  10  time(s).,10902,Battle,3,Count_TowerSweepClear,,Immediately,109,10,50,"1,000 Adena"
10904,How Many Times in the Tower of Insolence? (Tier 4),Auto-Clear Tower of Insolence  20  time(s).,10903,Battle,4,Count_TowerSweepClear,,Immediately,109,20,70,Adena Box (1)
10905,How Many Times in the Tower of Insolence? (Tier 5),Auto-Clear Tower of Insolence  30  time(s).,10904,Battle,5,Count_TowerSweepClear,,Immediately,109,30,90,"1,500 Adena"
10906,How Many Times in the Tower of Insolence? (Tier 6),Auto-Clear Tower of Insolence  50  time(s).,10905,Battle,6,Count_TowerSweepClear,,Immediately,109,50,130,"2,000 Adena"
10907,How Many Times in the Tower of Insolence? (Tier 7),Auto-Clear Tower of Insolence  70  time(s).,10906,Battle,7,Count_TowerSweepClear,,Immediately,109,70,170,Grade A Equipment Box (1)
10908,How Many Times in the Tower of Insolence? (Tier 8),Auto-Clear Tower of Insolence  100  time(s).,10907,Battle,8,Count_TowerSweepClear,,Immediately,109,100,230,"2,500 Adena"
10909,How Many Times in the Tower of Insolence? (Tier 9),Auto-Clear Tower of Insolence  150  time(s).,10908,Battle,9,Count_TowerSweepClear,,Immediately,109,150,330,Small Diamond Box (1)
10910,How Many Times in the Tower of Insolence? (Tier 10),Auto-Clear Tower of Insolence  220  time(s).,10909,Battle,10,Count_TowerSweepClear,,Immediately,109,220,470,"4,500 Adena"
10911,How Many Times in the Tower of Insolence? (Tier 11),Auto-Clear Tower of Insolence  340  time(s).,10910,Battle,11,Count_TowerSweepClear,,Immediately,109,340,710,Grade S Equipment Box (1)
10912,How Many Times in the Tower of Insolence? (Tier 12),Auto-Clear Tower of Insolence  400  time(s).,10911,Battle,12,Count_TowerSweepClear,,Immediately,109,400,830,"7,000 Adena"
10913,How Many Times in the Tower of Insolence? (Tier 13),Auto-Clear Tower of Insolence  520  time(s).,10912,Battle,13,Count_TowerSweepClear,,Immediately,109,520,"1,070","9,000 Adena"
10914,How Many Times in the Tower of Insolence? (Tier 14),Auto-Clear Tower of Insolence  700  time(s).,10913,Battle,14,Count_TowerSweepClear,,Immediately,109,700,"1,420",Grade S Equipment Box (1)
10915,How Many Times in the Tower of Insolence? (Tier 15),Auto-Clear Tower of Insolence  900  time(s).,10914,Battle,15,Count_TowerSweepClear,,Immediately,109,900,"1,830","14,500 Adena"
10916,How Many Times in the Tower of Insolence? (Tier 16),"Auto-Clear Tower of Insolence  1,100  time(s).",10915,Battle,16,Count_TowerSweepClear,,Immediately,109,"1,100","2,250","17,500 Adena"
10917,How Many Times in the Tower of Insolence? (Tier 17),"Auto-Clear Tower of Insolence  1,600  time(s).",10916,Battle,17,Count_TowerSweepClear,,Immediately,109,"1,600","3,310",Small Diamond Box (1)
10918,How Many Times in the Tower of Insolence? (Tier 18),"Auto-Clear Tower of Insolence  2,200  time(s).",10917,Battle,18,Count_TowerSweepClear,,Immediately,109,"2,200","4,440","34,000 Adena"
10919,How Many Times in the Tower of Insolence? (Tier 19),"Auto-Clear Tower of Insolence  3,000  time(s).",10918,Battle,19,Count_TowerSweepClear,,Immediately,109,"3,000","6,040",Grade S Equipment Box (1)
10920,How Many Times in the Tower of Insolence? (Tier 20),"Auto-Clear Tower of Insolence  3,700  time(s).",10919,Battle,20,Count_TowerSweepClear,,Immediately,109,"3,700","7,330","56,000 Adena"
11001,Are Sealed Memories Released Easily? (Tier 1),Clear an Easy Daily Dungeon  2  time(s).,,Battle,1,Count_DailyDungeonClear,Easy,Immediately,110,2,30,Weapon Upgrade Stone (1)
11002,Are Sealed Memories Released Easily? (Tier 2),Clear an Easy Daily Dungeon  10  time(s).,11001,Battle,2,Count_DailyDungeonClear,Easy,Immediately,110,10,50,"1,000 Adena"
11003,Are Sealed Memories Released Easily? (Tier 3),Clear an Easy Daily Dungeon  20  time(s).,11002,Battle,3,Count_DailyDungeonClear,Easy,Immediately,110,20,70,"1,500 Adena"
11004,Are Sealed Memories Released Easily? (Tier 4),Clear an Easy Daily Dungeon  30  time(s).,11003,Battle,4,Count_DailyDungeonClear,Easy,Immediately,110,30,110,Weapon Upgrade Stone (1)
11005,Are Sealed Memories Released Easily? (Tier 5),Clear an Easy Daily Dungeon  60  time(s).,11004,Battle,5,Count_DailyDungeonClear,Easy,Immediately,110,60,150,"2,000 Adena"
11006,Are Sealed Memories Released Easily? (Tier 6),Clear an Easy Daily Dungeon  120  time(s).,11005,Battle,6,Count_DailyDungeonClear,Easy,Immediately,110,120,190,"2,000 Adena"
11007,Are Sealed Memories Released Easily? (Tier 7),Clear an Easy Daily Dungeon  270  time(s).,11006,Battle,7,Count_DailyDungeonClear,Easy,Immediately,110,270,230,Armor Upgrade Stone (1)
11008,Are Sealed Memories Released Easily? (Tier 8),Clear an Easy Daily Dungeon  590  time(s).,11007,Battle,8,Count_DailyDungeonClear,Easy,Immediately,110,590,270,"3,000 Adena"
11009,Are Sealed Memories Released Easily? (Tier 9),Clear an Easy Daily Dungeon  990  time(s).,11008,Battle,9,Count_DailyDungeonClear,Easy,Immediately,110,990,310,"3,000 Adena"
11010,Are Sealed Memories Released Easily? (Tier 10),"Clear an Easy Daily Dungeon  1,400  time(s).",11009,Battle,10,Count_DailyDungeonClear,Easy,Immediately,110,"1,400",350,Weapon Upgrade Stone (1)
11011,Are Sealed Memories Released Easily? (Tier 11),"Clear an Easy Daily Dungeon  1,810  time(s).",11010,Battle,11,Count_DailyDungeonClear,Easy,Immediately,110,"1,810",390,"3,500 Adena"
11012,Are Sealed Memories Released Easily? (Tier 12),"Clear an Easy Daily Dungeon  2,220  time(s).",11011,Battle,12,Count_DailyDungeonClear,Easy,Immediately,110,"2,220",430,"4,000 Adena"
11013,Are Sealed Memories Released Easily? (Tier 13),"Clear an Easy Daily Dungeon  2,630  time(s).",11012,Battle,13,Count_DailyDungeonClear,Easy,Immediately,110,"2,630",470,"4,500 Adena"
11014,Are Sealed Memories Released Easily? (Tier 14),"Clear an Easy Daily Dungeon  3,030  time(s).",11013,Battle,14,Count_DailyDungeonClear,Easy,Immediately,110,"3,030",510,Armor Upgrade Stone (1)
11015,Are Sealed Memories Released Easily? (Tier 15),"Clear an Easy Daily Dungeon  3,440  time(s).",11014,Battle,15,Count_DailyDungeonClear,Easy,Immediately,110,"3,440",550,"5,000 Adena"
11016,Are Sealed Memories Released Easily? (Tier 16),"Clear an Easy Daily Dungeon  3,850  time(s).",11015,Battle,16,Count_DailyDungeonClear,Easy,Immediately,110,"3,850",590,"5,000 Adena"
11017,Are Sealed Memories Released Easily? (Tier 17),"Clear an Easy Daily Dungeon  4,260  time(s).",11016,Battle,17,Count_DailyDungeonClear,Easy,Immediately,110,"4,260",630,"5,500 Adena"
11018,Are Sealed Memories Released Easily? (Tier 18),"Clear an Easy Daily Dungeon  4,670  time(s).",11017,Battle,18,Count_DailyDungeonClear,Easy,Immediately,110,"4,670",710,Accessory Upgrade Stone (1)
11019,Are Sealed Memories Released Easily? (Tier 19),"Clear an Easy Daily Dungeon  5,070  time(s).",11018,Battle,19,Count_DailyDungeonClear,Easy,Immediately,110,"5,070",770,"6,500 Adena"
11020,Are Sealed Memories Released Easily? (Tier 20),"Clear an Easy Daily Dungeon  5,480  time(s).",11019,Battle,20,Count_DailyDungeonClear,Easy,Immediately,110,"5,480",830,"7,000 Adena"
11101,Hoping to Undo the Seal (Tier 1),Clear a Normal Daily Dungeon  4  time(s).,,Battle,1,Count_DailyDungeonClear,Normal,Immediately,111,4,830,"7,000 Adena"
11102,Hoping to Undo the Seal (Tier 2),Clear a Normal Daily Dungeon  10  time(s).,11101,Battle,2,Count_DailyDungeonClear,Normal,Immediately,111,10,870,"7,500 Adena"
11103,Hoping to Undo the Seal (Tier 3),Clear a Normal Daily Dungeon  20  time(s).,11102,Battle,3,Count_DailyDungeonClear,Normal,Immediately,111,20,910,Upgrade Stone Box (1)
11104,Hoping to Undo the Seal (Tier 4),Clear a Normal Daily Dungeon  30  time(s).,11103,Battle,4,Count_DailyDungeonClear,Normal,Immediately,111,30,990,"8,000 Adena"
11105,Hoping to Undo the Seal (Tier 5),Clear a Normal Daily Dungeon  60  time(s).,11104,Battle,5,Count_DailyDungeonClear,Normal,Immediately,111,60,"1,070","9,000 Adena"
11106,Hoping to Undo the Seal (Tier 6),Clear a Normal Daily Dungeon  120  time(s).,11105,Battle,6,Count_DailyDungeonClear,Normal,Immediately,111,120,"1,150",Upgrade Stone Box (1)
11107,Hoping to Undo the Seal (Tier 7),Clear a Normal Daily Dungeon  270  time(s).,11106,Battle,7,Count_DailyDungeonClear,Normal,Immediately,111,270,"1,230","10,000 Adena"
11108,Hoping to Undo the Seal (Tier 8),Clear a Normal Daily Dungeon  590  time(s).,11107,Battle,8,Count_DailyDungeonClear,Normal,Immediately,111,590,"1,310",Armor Upgrade Stone (1)
11109,Hoping to Undo the Seal (Tier 9),Clear a Normal Daily Dungeon  990  time(s).,11108,Battle,9,Count_DailyDungeonClear,Normal,Immediately,111,990,"1,390","11,000 Adena"
11110,Hoping to Undo the Seal (Tier 10),"Clear a Normal Daily Dungeon  1,400  time(s).",11109,Battle,10,Count_DailyDungeonClear,Normal,Immediately,111,"1,400","1,470","12,000 Adena"
11111,Hoping to Undo the Seal (Tier 11),"Clear a Normal Daily Dungeon  1,810  time(s).",11110,Battle,11,Count_DailyDungeonClear,Normal,Immediately,111,"1,810","1,550",Upgrade Stone Box (1)
11112,Hoping to Undo the Seal (Tier 12),"Clear a Normal Daily Dungeon  2,220  time(s).",11111,Battle,12,Count_DailyDungeonClear,Normal,Immediately,111,"2,220","1,630","13,000 Adena"
