Id,GipText
55,اهزم <FontBlue>صندوق كنز أدينا</> لتلقي <FontBlue>عملات أدينا إضافية</>.
56,<FontBlue>اهزم المزيد من</> الوحوش للحصول على <FontBlue>نقاط خبرة إضافية</>.
57,احصل على الدعم في السرداب لتصبح أقوى.
58,يمكنك دخول أي <FontBlue>قاعة قبيلة أخرى</> - ليست قاعة قبيلتك فحسب!
59,<FontBlue>قم بزيادة قوة بلورة الوحدة</> لمنح <FontBlue>تأثيرات دعم متعددة</> إلى أعضاء قبيلتك.
60,لا تزيد <FontBlue>القيمة المضطربة</> في ميدان الاشتباك.
61,"شارك في قتل اللاعبين في ميدان الاشتباك من خلال تعديل <FontBlue>إعدادات وضع ""قتل لاعب"".</>"
62,اهزم لاعبًا باستخدام دعم معبد <FontBlue>ميدان الاشتباك</> لسرقة الدعم منهم.
1003,انضم إلى قبيلة واحتل الحصون والقلاع للحصول على مزايا خاصة!
1009,استمتع <FontBlue>بالقصص المثيرة</> و<FontBlue>المهمات التفاعلية</> في <FontBlue>عالم Lineage 2: Revolution</> الغامر.
1011,استمتع <FontBlue>بمعارك الوقت الفعلي</> في <FontBlue>عالم Lineage 2: Revolution</> المفتوح الكبير.
1014,يمكنك مهاجمة لاعبين آخرين في مناطق يُسمح فيها بمعارك لاعب ضد لاعب.
1015,قم بتكوين <FontBlue>فرق</> لقهر <FontBlue>الأعداء الأقوياء</>.
1019,<FontBlue>السراديب الرائعة</> بانتظارك.
1023,انضم إلى <FontBlue>قبيلة</> للاستمتاع بالعديد من <FontBlue>الميزات</> والمكاسب</>.
1024,كوِّن <FontBlue>تحالفات</> مع قبائل أخرى لزيادة قوتك.
1025,احتل القلاع في <FontBlue>حصارات القلعة واسعة النطاق</> لتعزيز <FontBlue>قوة قبيلتك</>.
1026,احتل مقاطعة في <FontBlue>حصارات الحصن</> لجني <FontBlue>مكافآت رائعة</> ونيل <FontBlue>الحظوة والشرف</>.
72,قاتل بمفردك أو ضمن فريق في <FontBlue>الحصار المفتوح</>.
73,في الحصار المفتوح، <FontBlue>يمكن اختيار أي شخصية أو تصنيف</> وستقاتل جميع الشخصيات <FontBlue>بمواصفات متساوية</>.
74,<FontBlue>탑승펫</>과 함께 <FontBlue>광활한 필드</>를 누비세요!
75,<FontBlue>소환석 던전</>에서 <FontBlue>탑승펫 성장 재료</>를 획득하세요!
76,"강화 등급을 지켜드립니다. <FontBlue>강화 보호 시스템!</>
+7/+10/+20 강화 등급 이하로 떨어지지 않습니다."
77,"<FontBlue>전투 덱 설정</>으로 전투 상황별로<FontBlue>편리하게</> 
스킬 및 장비 <FontBlue>변경</>이 가능합니다."
78,<FontBlue>특성 강화</>로 보다 <FontBlue>특별한 힘</>을 얻을 수 있습니다.
79,다양한 <FontBlue>혈맹 아지트 콘텐츠</>를 이용해 보세요!
80,장비 <FontBlue>합성</> 시 낮은 확률로 <FontBlue>희귀 장비</>를 얻을 수 있습니다.
81,<FontBlue>고급 장비 상자</>에서 낮은 확률로 <FontBlue>희귀 장비</>를 얻을 수 있습니다.
