BattlefieldType,BattlefieldFXSoundNPCinfoID,FxSoundKey,FxSound
CastleSiege,,CastleSiegeDefenderWin,Dialogue/System/Announce/Sys_Anno_Female_50
CastleSiege,,CastleSiegeAttackerWin,Dialogue/System/Announce/Sys_Anno_Female_51
CastleSiege,,CastleSiegeDefenderLose,Dialogue/System/Announce/Sys_Anno_Female_52
CastleSiege,,CastleSiegeAttackerLose,Dialogue/System/Announce/Sys_Anno_Female_53
CastleSiege,,CastleSiegeLose,Dialogue/System/Announce/Sys_Anno_Female_54
CastleSiege,,SelectLightCastleGludio,Dialogue/System/Announce/Sys_Anno_Female_55
CastleSiege,,SelectLightCastleDion,Dialogue/System/Announce/Sys_Anno_Female_56
CastleSiege,,SelectLightCastleGiran,Dialogue/System/Announce/Sys_Anno_Female_57
CastleSiege,,SelectLightCastleOren,Dialogue/System/Announce/Sys_Anno_Female_58
CastleSiege,,SelectLightCastleAlram,Dialogue/System/Announce/Sys_Anno_Female_59
CastleSiege,,SelectDarkCastleGludio,Dialogue/System/Announce/Sys_Anno_Female_60
CastleSiege,,SelectDarkCastleDion,Dialogue/System/Announce/Sys_Anno_Female_61
CastleSiege,,SelectDarkCastleGiran,Dialogue/System/Announce/Sys_Anno_Female_62
CastleSiege,,SelectDarkCastleOren,Dialogue/System/Announce/Sys_Anno_Female_63
CastleSiege,,SelectDarkCastleAlram,Dialogue/System/Announce/Sys_Anno_Female_64
CommonSiege,,FiveMinutesBeforeBattlefieldStart,Dialogue/System/Announce/Sys_Anno_Female_65
CommonSiege,,OneMinutesBeforeBattlefieldStart,Dialogue/System/Announce/Sys_Anno_Female_66
CommonSiege,,ThirtySecondBeforeBattlefieldStart,Dialogue/System/Announce/Sys_Anno_Female_67
CommonSiege,,CountBeforeBattlefieldStart,Dialogue/System/Announce/Sys_Anno_Female_68
CommonSiege,,ArtifactCountdown10,Dialogue/System/Announce/Sys_Anno_Female_77
CommonSiege,,ArtifactCountdown9,Dialogue/System/Announce/Sys_Anno_Female_78
CommonSiege,,ArtifactCountdown8,Dialogue/System/Announce/Sys_Anno_Female_79
CommonSiege,,ArtifactCountdown7,Dialogue/System/Announce/Sys_Anno_Female_80
CommonSiege,,ArtifactCountdown6,Dialogue/System/Announce/Sys_Anno_Female_81
CommonSiege,,ArtifactCountdown5,Dialogue/System/Announce/Sys_Anno_Female_82
CommonSiege,,ArtifactCountdown4,Dialogue/System/Announce/Sys_Anno_Female_83
CommonSiege,,ArtifactCountdown3,Dialogue/System/Announce/Sys_Anno_Female_84
CommonSiege,,ArtifactCountdown2,Dialogue/System/Announce/Sys_Anno_Female_85
CommonSiege,,ArtifactCountdown1,Dialogue/System/Announce/Sys_Anno_Female_86
CommonSiege,,TenMinutesBeforeClose,Dialogue/System/Announce/Sys_Anno_Female_87
CommonSiege,,FiveMinutesBeforeClose,Dialogue/System/Announce/Sys_Anno_Female_88
CommonSiege,,OneMinutesBeforeClose,Dialogue/System/Announce/Sys_Anno_Female_89
CommonSiege,,ThirtySecondBeforeClose,Dialogue/System/Announce/Sys_Anno_Female_90
