ItemType,ItemGrade,EquipmentType,WeaponType,Level,EnchantEfficiency,SuccessRate,SuccessRateBless,FailurePenalty,RequiredAdena,RequiredProtectionJewel,RequiredEnchantScroll
Equipment,C,Earring1,,5,28,,,,,,
Equipment,C,Necklace,,0,0,10000,10000,0,900,0,1
Equipment,C,Necklace,,1,5,10000,10000,0,900,0,1
Equipment,C,Necklace,,2,10,10000,10000,0,900,0,1
Equipment,C,Necklace,,3,15,9000,9000,1,900,1,1
Equipment,C,Necklace,,4,20,8000,8000,1,900,1,1
Equipment,C,Necklace,,5,28,,,,,,
Equipment,B,Weapon,Sword,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,Sword,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,Sword,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,Sword,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,Sword,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,Sword,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,Sword,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,Sword,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,Sword,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,Sword,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,Sword,10,70,,,,,,
Equipment,B,Weapon,Spear,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,Spear,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,Spear,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,Spear,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,Spear,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,Spear,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,Spear,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,Spear,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,Spear,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,Spear,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,Spear,10,70,,,,,,
Equipment,B,Weapon,DualSword,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,DualSword,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,DualSword,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,DualSword,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,DualSword,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,DualSword,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,DualSword,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,DualSword,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,DualSword,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,DualSword,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,DualSword,10,70,,,,,,
Equipment,B,Weapon,Dagger,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,Dagger,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,Dagger,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,Dagger,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,Dagger,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,Dagger,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,Dagger,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,Dagger,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,Dagger,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,Dagger,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,Dagger,10,70,,,,,,
Equipment,B,Weapon,Bow,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,Bow,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,Bow,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,Bow,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,Bow,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,Bow,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,Bow,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,Bow,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,Bow,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,Bow,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,Bow,10,70,,,,,,
Equipment,B,Weapon,Staff,0,0,10000,10000,0,3400,0,1
Equipment,B,Weapon,Staff,1,5,10000,10000,0,3400,0,1
Equipment,B,Weapon,Staff,2,10,10000,10000,0,3400,0,1
Equipment,B,Weapon,Staff,3,15,9000,9000,1,3400,1,1
Equipment,B,Weapon,Staff,4,20,8000,8000,1,3400,1,1
Equipment,B,Weapon,Staff,5,28,7000,7000,1,16700,2,2
Equipment,B,Weapon,Staff,6,36,6000,6000,1,16700,2,2
Equipment,B,Weapon,Staff,7,44,5000,5000,1,16700,3,2
Equipment,B,Weapon,Staff,8,52,4500,4500,1,16700,3,2
Equipment,B,Weapon,Staff,9,60,4500,4500,1,16700,4,2
Equipment,B,Weapon,Staff,10,70,,,,,,
Equipment,B,Armor,,0,0,10000,10000,0,900,0,1
Equipment,B,Armor,,1,5,10000,10000,0,900,0,1
Equipment,B,Armor,,2,10,10000,10000,0,900,0,1
Equipment,B,Armor,,3,15,9000,9000,1,900,1,1
Equipment,B,Armor,,4,20,8000,8000,1,900,1,1
Equipment,B,Armor,,5,28,7000,7000,1,4200,2,2
Equipment,B,Armor,,6,36,6000,6000,1,4200,2,2
Equipment,B,Armor,,7,44,5000,5000,1,4200,3,2
Equipment,B,Armor,,8,52,4500,4500,1,4200,3,2
Equipment,B,Armor,,9,60,4500,4500,1,4200,4,2
Equipment,B,Armor,,10,70,,,,,,
Equipment,B,Gloves,,0,0,10000,10000,0,900,0,1
Equipment,B,Gloves,,1,5,10000,10000,0,900,0,1
Equipment,B,Gloves,,2,10,10000,10000,0,900,0,1
Equipment,B,Gloves,,3,15,9000,9000,1,900,1,1
Equipment,B,Gloves,,4,20,8000,8000,1,900,1,1
Equipment,B,Gloves,,5,28,7000,7000,1,4200,2,2
Equipment,B,Gloves,,6,36,6000,6000,1,4200,2,2
Equipment,B,Gloves,,7,44,5000,5000,1,4200,3,2
Equipment,B,Gloves,,8,52,4500,4500,1,4200,3,2
Equipment,B,Gloves,,9,60,4500,4500,1,4200,4,2
Equipment,B,Gloves,,10,70,,,,,,
Equipment,B,Boots,,0,0,10000,10000,0,900,0,1
Equipment,B,Boots,,1,5,10000,10000,0,900,0,1
Equipment,B,Boots,,2,10,10000,10000,0,900,0,1
Equipment,B,Boots,,3,15,9000,9000,1,900,1,1
Equipment,B,Boots,,4,20,8000,8000,1,900,1,1
Equipment,B,Boots,,5,28,7000,7000,1,4200,2,2
Equipment,B,Boots,,6,36,6000,6000,1,4200,2,2
Equipment,B,Boots,,7,44,5000,5000,1,4200,3,2
Equipment,B,Boots,,8,52,4500,4500,1,4200,3,2
Equipment,B,Boots,,9,60,4500,4500,1,4200,4,2
Equipment,B,Boots,,10,70,,,,,,
Equipment,B,Helmet,,0,0,10000,10000,0,900,0,1
Equipment,B,Helmet,,1,5,10000,10000,0,900,0,1
Equipment,B,Helmet,,2,10,10000,10000,0,900,0,1
Equipment,B,Helmet,,3,15,9000,9000,1,900,1,1
Equipment,B,Helmet,,4,20,8000,8000,1,900,1,1
Equipment,B,Helmet,,5,28,7000,7000,1,4200,2,2
Equipment,B,Helmet,,6,36,6000,6000,1,4200,2,2
Equipment,B,Helmet,,7,44,5000,5000,1,4200,3,2
Equipment,B,Helmet,,8,52,4500,4500,1,4200,3,2
Equipment,B,Helmet,,9,60,4500,4500,1,4200,4,2
Equipment,B,Helmet,,10,70,,,,,,
Equipment,B,Ring1,,0,0,10000,10000,0,900,0,1
Equipment,B,Ring1,,1,5,10000,10000,0,900,0,1
Equipment,B,Ring1,,2,10,10000,10000,0,900,0,1
Equipment,B,Ring1,,3,15,9000,9000,1,900,1,1
Equipment,B,Ring1,,4,20,8000,8000,1,900,1,1
Equipment,B,Ring1,,5,28,7000,7000,1,4200,2,2
Equipment,B,Ring1,,6,36,6000,6000,1,4200,2,2
Equipment,B,Ring1,,7,44,5000,5000,1,4200,3,2
Equipment,B,Ring1,,8,52,4500,4500,1,4200,3,2
Equipment,B,Ring1,,9,60,4500,4500,1,4200,4,2
Equipment,B,Ring1,,10,70,,,,,,
Equipment,B,Earring1,,0,0,10000,10000,0,900,0,1
Equipment,B,Earring1,,1,5,10000,10000,0,900,0,1
Equipment,B,Earring1,,2,10,10000,10000,0,900,0,1
Equipment,B,Earring1,,3,15,9000,9000,1,900,1,1
Equipment,B,Earring1,,4,20,8000,8000,1,900,1,1
Equipment,B,Earring1,,5,28,7000,7000,1,4200,2,2
Equipment,B,Earring1,,6,36,6000,6000,1,4200,2,2
Equipment,B,Earring1,,7,44,5000,5000,1,4200,3,2
Equipment,B,Earring1,,8,52,4500,4500,1,4200,3,2
Equipment,B,Earring1,,9,60,4500,4500,1,4200,4,2
Equipment,B,Earring1,,10,70,,,,,,
Equipment,B,Necklace,,0,0,10000,10000,0,900,0,1
Equipment,B,Necklace,,1,5,10000,10000,0,900,0,1
Equipment,B,Necklace,,2,10,10000,10000,0,900,0,1
Equipment,B,Necklace,,3,15,9000,9000,1,900,1,1
Equipment,B,Necklace,,4,20,8000,8000,1,900,1,1
Equipment,B,Necklace,,5,28,7000,7000,1,4200,2,2
Equipment,B,Necklace,,6,36,6000,6000,1,4200,2,2
Equipment,B,Necklace,,7,44,5000,5000,1,4200,3,2
Equipment,B,Necklace,,8,52,4500,4500,1,4200,3,2
Equipment,B,Necklace,,9,60,4500,4500,1,4200,4,2
Equipment,B,Necklace,,10,70,,,,,,
Equipment,A,Weapon,Sword,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,Sword,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,Sword,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,Sword,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,Sword,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,Sword,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,Sword,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,Sword,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,Sword,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,Sword,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,Sword,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,Sword,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,Sword,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,Sword,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,Sword,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,Sword,15,122,,,,,,
Equipment,A,Weapon,Spear,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,Spear,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,Spear,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,Spear,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,Spear,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,Spear,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,Spear,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,Spear,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,Spear,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,Spear,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,Spear,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,Spear,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,Spear,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,Spear,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,Spear,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,Spear,15,122,,,,,,
Equipment,A,Weapon,DualSword,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,DualSword,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,DualSword,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,DualSword,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,DualSword,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,DualSword,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,DualSword,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,DualSword,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,DualSword,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,DualSword,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,DualSword,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,DualSword,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,DualSword,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,DualSword,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,DualSword,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,DualSword,15,122,,,,,,
Equipment,A,Weapon,Dagger,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,Dagger,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,Dagger,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,Dagger,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,Dagger,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,Dagger,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,Dagger,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,Dagger,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,Dagger,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,Dagger,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,Dagger,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,Dagger,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,Dagger,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,Dagger,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,Dagger,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,Dagger,15,122,,,,,,
Equipment,A,Weapon,Bow,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,Bow,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,Bow,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,Bow,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,Bow,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,Bow,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,Bow,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,Bow,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,Bow,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,Bow,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,Bow,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,Bow,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,Bow,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,Bow,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,Bow,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,Bow,15,122,,,,,,
Equipment,A,Weapon,Staff,0,0,10000,10000,0,3400,0,1
Equipment,A,Weapon,Staff,1,5,10000,10000,0,3400,0,1
Equipment,A,Weapon,Staff,2,10,10000,10000,0,3400,0,1
Equipment,A,Weapon,Staff,3,15,9000,9000,1,3400,1,1
Equipment,A,Weapon,Staff,4,20,8000,8000,1,3400,1,1
Equipment,A,Weapon,Staff,5,28,7000,7000,1,16700,2,2
Equipment,A,Weapon,Staff,6,36,6000,6000,1,16700,2,2
Equipment,A,Weapon,Staff,7,44,5000,5000,1,16700,3,2
Equipment,A,Weapon,Staff,8,52,4500,4500,1,16700,3,2
Equipment,A,Weapon,Staff,9,60,4500,4500,1,16700,4,2
Equipment,A,Weapon,Staff,10,70,4500,4500,0,33400,4,3
Equipment,A,Weapon,Staff,11,80,4500,4500,1,33400,5,3
Equipment,A,Weapon,Staff,12,90,4500,4500,1,33400,5,3
Equipment,A,Weapon,Staff,13,100,4000,4000,1,33400,6,3
Equipment,A,Weapon,Staff,14,110,4000,4000,1,33400,6,3
Equipment,A,Weapon,Staff,15,122,,,,,,
Equipment,A,Armor,,0,0,10000,10000,0,900,0,1
Equipment,A,Armor,,1,5,10000,10000,0,900,0,1
Equipment,A,Armor,,2,10,10000,10000,0,900,0,1
Equipment,A,Armor,,3,15,9000,9000,1,900,1,1
Equipment,A,Armor,,4,20,8000,8000,1,900,1,1
Equipment,A,Armor,,5,28,7000,7000,1,4200,2,2
Equipment,A,Armor,,6,36,6000,6000,1,4200,2,2
Equipment,A,Armor,,7,44,5000,5000,1,4200,3,2
Equipment,A,Armor,,8,52,4500,4500,1,4200,3,2
Equipment,A,Armor,,9,60,4500,4500,1,4200,4,2
Equipment,A,Armor,,10,70,4500,4500,0,8400,4,3
Equipment,A,Armor,,11,80,4500,4500,1,8400,5,3
Equipment,A,Armor,,12,90,4500,4500,1,8400,5,3
Equipment,A,Armor,,13,100,4000,4000,1,8400,6,3
Equipment,A,Armor,,14,110,4000,4000,1,8400,6,3
Equipment,A,Armor,,15,122,,,,,,
Equipment,A,Gloves,,0,0,10000,10000,0,900,0,1
Equipment,A,Gloves,,1,5,10000,10000,0,900,0,1
Equipment,A,Gloves,,2,10,10000,10000,0,900,0,1
Equipment,A,Gloves,,3,15,9000,9000,1,900,1,1
Equipment,A,Gloves,,4,20,8000,8000,1,900,1,1
Equipment,A,Gloves,,5,28,7000,7000,1,4200,2,2
Equipment,A,Gloves,,6,36,6000,6000,1,4200,2,2
Equipment,A,Gloves,,7,44,5000,5000,1,4200,3,2
Equipment,A,Gloves,,8,52,4500,4500,1,4200,3,2
Equipment,A,Gloves,,9,60,4500,4500,1,4200,4,2
Equipment,A,Gloves,,10,70,4500,4500,0,8400,4,3
Equipment,A,Gloves,,11,80,4500,4500,1,8400,5,3
Equipment,A,Gloves,,12,90,4500,4500,1,8400,5,3
Equipment,A,Gloves,,13,100,4000,4000,1,8400,6,3
Equipment,A,Gloves,,14,110,4000,4000,1,8400,6,3
Equipment,A,Gloves,,15,122,,,,,,
Equipment,A,Boots,,0,0,10000,10000,0,900,0,1
Equipment,A,Boots,,1,5,10000,10000,0,900,0,1
Equipment,A,Boots,,2,10,10000,10000,0,900,0,1
Equipment,A,Boots,,3,15,9000,9000,1,900,1,1
Equipment,A,Boots,,4,20,8000,8000,1,900,1,1
Equipment,A,Boots,,5,28,7000,7000,1,4200,2,2
Equipment,A,Boots,,6,36,6000,6000,1,4200,2,2
Equipment,A,Boots,,7,44,5000,5000,1,4200,3,2
Equipment,A,Boots,,8,52,4500,4500,1,4200,3,2
Equipment,A,Boots,,9,60,4500,4500,1,4200,4,2
Equipment,A,Boots,,10,70,4500,4500,0,8400,4,3
Equipment,A,Boots,,11,80,4500,4500,1,8400,5,3
Equipment,A,Boots,,12,90,4500,4500,1,8400,5,3
Equipment,A,Boots,,13,100,4000,4000,1,8400,6,3
Equipment,A,Boots,,14,110,4000,4000,1,8400,6,3
Equipment,A,Boots,,15,122,,,,,,
Equipment,A,Helmet,,0,0,10000,10000,0,900,0,1
Equipment,A,Helmet,,1,5,10000,10000,0,900,0,1
Equipment,A,Helmet,,2,10,10000,10000,0,900,0,1
Equipment,A,Helmet,,3,15,9000,9000,1,900,1,1
Equipment,A,Helmet,,4,20,8000,8000,1,900,1,1
Equipment,A,Helmet,,5,28,7000,7000,1,4200,2,2
Equipment,A,Helmet,,6,36,6000,6000,1,4200,2,2
Equipment,A,Helmet,,7,44,5000,5000,1,4200,3,2
Equipment,A,Helmet,,8,52,4500,4500,1,4200,3,2
Equipment,A,Helmet,,9,60,4500,4500,1,4200,4,2
Equipment,A,Helmet,,10,70,4500,4500,0,8400,4,3
Equipment,A,Helmet,,11,80,4500,4500,1,8400,5,3
Equipment,A,Helmet,,12,90,4500,4500,1,8400,5,3
Equipment,A,Helmet,,13,100,4000,4000,1,8400,6,3
Equipment,A,Helmet,,14,110,4000,4000,1,8400,6,3
Equipment,A,Helmet,,15,122,,,,,,
Equipment,A,Ring1,,0,0,10000,10000,0,900,0,1
Equipment,A,Ring1,,1,5,10000,10000,0,900,0,1
Equipment,A,Ring1,,2,10,10000,10000,0,900,0,1
Equipment,A,Ring1,,3,15,9000,9000,1,900,1,1
Equipment,A,Ring1,,4,20,8000,8000,1,900,1,1
Equipment,A,Ring1,,5,28,7000,7000,1,4200,2,2
Equipment,A,Ring1,,6,36,6000,6000,1,4200,2,2
Equipment,A,Ring1,,7,44,5000,5000,1,4200,3,2
Equipment,A,Ring1,,8,52,4500,4500,1,4200,3,2
Equipment,A,Ring1,,9,60,4500,4500,1,4200,4,2
Equipment,A,Ring1,,10,70,4500,4500,0,8400,4,3
Equipment,A,Ring1,,11,80,4500,4500,1,8400,5,3
Equipment,A,Ring1,,12,90,4500,4500,1,8400,5,3
Equipment,A,Ring1,,13,100,4000,4000,1,8400,6,3
Equipment,A,Ring1,,14,110,4000,4000,1,8400,6,3
Equipment,A,Ring1,,15,122,,,,,,
Equipment,A,Earring1,,0,0,10000,10000,0,900,0,1
Equipment,A,Earring1,,1,5,10000,10000,0,900,0,1
Equipment,A,Earring1,,2,10,10000,10000,0,900,0,1
Equipment,A,Earring1,,3,15,9000,9000,1,900,1,1
Equipment,A,Earring1,,4,20,8000,8000,1,900,1,1
Equipment,A,Earring1,,5,28,7000,7000,1,4200,2,2
Equipment,A,Earring1,,6,36,6000,6000,1,4200,2,2
Equipment,A,Earring1,,7,44,5000,5000,1,4200,3,2
Equipment,A,Earring1,,8,52,4500,4500,1,4200,3,2
Equipment,A,Earring1,,9,60,4500,4500,1,4200,4,2
Equipment,A,Earring1,,10,70,4500,4500,0,8400,4,3
Equipment,A,Earring1,,11,80,4500,4500,1,8400,5,3
Equipment,A,Earring1,,12,90,4500,4500,1,8400,5,3
Equipment,A,Earring1,,13,100,4000,4000,1,8400,6,3
Equipment,A,Earring1,,14,110,4000,4000,1,8400,6,3
Equipment,A,Earring1,,15,122,,,,,,
Equipment,A,Necklace,,0,0,10000,10000,0,900,0,1
Equipment,A,Necklace,,1,5,10000,10000,0,900,0,1
Equipment,A,Necklace,,2,10,10000,10000,0,900,0,1
Equipment,A,Necklace,,3,15,9000,9000,1,900,1,1
Equipment,A,Necklace,,4,20,8000,8000,1,900,1,1
Equipment,A,Necklace,,5,28,7000,7000,1,4200,2,2
Equipment,A,Necklace,,6,36,6000,6000,1,4200,2,2
Equipment,A,Necklace,,7,44,5000,5000,1,4200,3,2
Equipment,A,Necklace,,8,52,4500,4500,1,4200,3,2
Equipment,A,Necklace,,9,60,4500,4500,1,4200,4,2
Equipment,A,Necklace,,10,70,4500,4500,0,8400,4,3
Equipment,A,Necklace,,11,80,4500,4500,1,8400,5,3
Equipment,A,Necklace,,12,90,4500,4500,1,8400,5,3
Equipment,A,Necklace,,13,100,4000,4000,1,8400,6,3
