Id,NameKey,DelayTime,Duration,PeriodCount,MaxTargetCount,CollisionUnitType,CollisionUnitParam,TargetType,AutoIncreaseCollisionArea,Resource,FireCount,TotalHitCount,DirAlign,Hide,HideTime,EffectRepeatAble
7204331,0,3000,100,1,1,Circle,"""radius"": 1000",Self,,,1,,1,0,,0
601252,0,2333,5000,10,50,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_NymphQueenSkill_02,1,,1,0,,0
601451,0,1474,3000,6,10,Circle,"""radius"": 500",Enemy,,,1,,1,0,,0
741352,0,0,1,4,20,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
8010441,0,0,1,4,20,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
805000,0,500,5000,5,50,Circle,"""radius"":1000",Enemy,200,,1,,1,0,,0
805001,0,500,5000,5,50,Fan,"""radius"":500,""angle"":160",Enemy,100,,1,,1,0,,0
805002,0,500,5000,5,50,Obb,"""left"":100, ""right"":100, ""front"":500, ""back"":0",Enemy,100,,1,,1,0,,0
805003,0,500,5000,5,50,Donut,"""minRadius"":250, ""maxRadius"":500",Enemy,50,,1,,1,0,,0
72040,0,500,18000,18,3,Circle,"""radius"": 220",Enemy,,BP/BP_PTC_DeathKnightBossSkill_08,1,,1,0,,0
1720223,0,500,10000,10,50,Circle,"""radius"": 150",Enemy,,BP/BP_PTC_QueenAntBossSkill_08,1,,1,0,,0
17203181,0,1111,300000,1000,50,Circle,"""radius"": 500",Enemy,,BP/BP_PTC_QueenAntBossSkill_11,1,,1,0,,0
411004,0,1000,6000,5,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_GiantLeechSkill_02,1,,1,0,,0
412004,0,1000,6000,5,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_GiantLeechSkill_02,1,,1,0,,0
413004,0,1000,6000,5,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_GiantLeechSkill_02,1,,1,0,,0
413012,0,500,5000,10,5,Circle,"""radius"": 150",Enemy,,BP/BP_PTC_MysticalWeaverSkill_02,1,,1,0,,0
413023,0,0,2000,3,5,Circle,"""radius"": 200",Enemy,400,BP/BP_PTC_Trisha_BossSkill_06_01,1,,1,0,,0
414004,0,1000,6000,5,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_GiantLeechSkill_02,1,,1,0,,0
414012,0,500,5000,10,5,Circle,"""radius"": 150",Enemy,,BP/BP_PTC_MysticalWeaverSkill_02,1,,1,0,,0
414023,0,0,2000,3,5,Circle,"""radius"": 200",Enemy,400,BP/BP_PTC_Trisha_BossSkill_06_01,1,,1,0,,0
74113,0,0,2600,2,10,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
30015,0,0,6000,6,5,Circle,"""radius"": 400",Party,,BP/BP_PTC_SkillDefenceZone,1,,1,0,,0
401023,0,500,10000,10,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,,1,0,,0
401008,0,3000,1000,1,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_KetraOrcWarriorSkill_02,1,,1,0,,0
401016,0,1200,1000,1,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_KetraOrcWarriorSkill_02,1,,1,0,,0
401210,0,0,1000,1,6,Circle,"""radius"": 5000",Enemy,,BP/BP_PTC_AlterOfMadness_PaagrioSkill_01,1,,1,0,,0
4011021,0,500,10000,10,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,,1,0,,0
2000001,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Common_Firecracker_01,1,,1,0,,0
2000002,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Common_Firecracker_02,1,,1,0,,0
2000003,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Common_Firecracker_03,1,,1,0,,0
2000004,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Common_Firecracker_04,1,,1,0,,0
2000005,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Halloween_Firecracker_01,1,,1,0,,0
2000006,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Halloween_Firecracker_02,1,,1,0,,0
2000007,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Valentine_Firecracker_01,1,,1,0,,0
2000008,0,0,12000,1,1,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Valentine_Firecracker_02,1,,1,0,,0
100741352,0,0,1,4,20,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
4653,0,2000,1000,1,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_KetraOrcWarriorSkill_02,1,,1,0,,0
4654,0,2000,5000,4,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_SkillDivineClap,1,,1,0,,0
11245,0,0,4500,4,4,Circle,"""radius"": 350",Enemy,,BP/BP_PTC_SkillLightingArrow,1,,1,0,,0
112541,0,50,3450,1,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_SkillProminence,1,,1,0,,0
112542,0,3500,50,1,5,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
112544,0,1000,2500,1,5,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
112545,0,2000,1500,1,5,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
12214,0,801,15000,15,5,Circle,"""radius"": 800",Party,,BP/BP_PTC_SkillEvasWill,1,,1,0,,0
12253,0,750,300,1,2,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_SkillStarFall,12,,0,0,,0
12265,0,1501,1000,1,5,Circle,"""radius"": 700",Party,,BP/BP_PTC_SkillResurrection,1,,1,0,,0
14224,0,800,7000,6,4,Circle,"""radius"": 500",Enemy,,BP/BP_PTC_SkillInfinitiQuake,1,,1,0,,1
14234,0,1500,1100,1,5,Circle,"""radius"": 600",Enemy,,,1,,1,0,,0
14235,0,1500,1100,1,5,Circle,"""radius"": 600",Enemy,,,1,,1,0,,0
14236,0,1500,1100,1,5,Circle,"""radius"": 600",Enemy,,,1,,1,0,,0
14243,0,50,15001,75,1,Circle,"""radius"": 180",Enemy,,BP/BP_PTC_SkillBoobyTrap,4,1,0,1,15501,1
14254,0,1000,550,1,4,Circle,"""radius"": 350",Enemy,,BP/BP_PTC_SkillDistortion,1,,1,0,,0
14264,0,1000,10000,10,5,Circle,"""radius"": 700",Party,,,1,,1,0,,0
58176,0,2000,1,1,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_DwarfMDoctorSkill_01,1,,1,0,,0
60159,0,1000,4000,3,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_EmbryonSkill_01,1,,1,0,,0
71580,0,3027,2,1,5,Circle,"""radius"": 250",Enemy,,,1,,1,0,,0
60177,0,500,4000,8,5,Circle,"""radius"": 420",Enemy,,BP/BP_PTC_EquipPanSkill_02,1,,1,0,,0
401114,0,1000,10000,10,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_Boranta_BossSkill_01_Blaze,1,,1,0,,0
730212,0,,2000,3,100,Circle,"""radius"": 200",Enemy,400,,1,,1,0,,0
731351,0,2250,1,1,5,Circle,"""radius"": 300",Enemy,,BP/BP_PTC_ZombieCannonAttack,1,,1,0,,0
731401,0,,2,2,20,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
1540031,0,,5000,14,5,Circle,"""radius"": 150",Enemy,,BP/BP_PTC_Resident_01_BossSkill_02,1,,1,0,,0
601651,0,,1000,1,3,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_QuestSkill_01,1,,1,0,,0
58182,0,1940,1500,7,20,Circle,"""radius"": 300",Enemy,,,1,,1,0,,0
415004,0,1000,6000,5,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_GiantLeechSkill_02,1,,1,0,,0
415012,0,500,5000,10,5,Circle,"""radius"": 150",Enemy,,BP/BP_PTC_MysticalWeaverSkill_02,1,,1,0,,0
415023,0,,2000,3,5,Circle,"""radius"": 200",Enemy,400,BP/BP_PTC_Trisha_BossSkill_06_01,1,,1,0,,0
40020101,0,1800,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020109,0,3027,1,1,5,Circle,"""radius"": 250",Enemy,,,1,,1,0,,0
40020111,0,1993,500,1,5,Circle,"""radius"": 250",Enemy,,BP/BP_PTC_GiantStatuePeltastSkill_01,1,,1,0,,0
40020126,0,1500,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,,1,0,,0
40020129,0,1,1,1,7,Circle,"""radius"": 4000",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020155,0,1972,1000,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_DikeBossSkill_04,1,,1,0,,0
40020161,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020162,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Water,1,,1,0,,0
40020163,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,,1,0,,0
40020164,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,,1,0,,0
40020167,0,1,1,1,1,Circle,"""radius"": 200",Friend,,,1,,1,0,,0
40020131,0,1000,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_HagiosColumnSkill_02,1,,1,0,,0
40020173,0,500,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020201,0,1800,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020209,0,3027,1,1,5,Circle,"""radius"": 250",Enemy,,,1,,1,0,,0
40020211,0,1993,500,1,5,Circle,"""radius"": 250",Enemy,,BP/BP_PTC_GiantStatuePeltastSkill_01,1,,1,0,,0
40020226,0,1500,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,,1,0,,0
40020229,0,1,1,1,7,Circle,"""radius"": 4000",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020255,0,1972,1000,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_DikeBossSkill_04,1,,1,0,,0
40020261,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020262,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Water,1,,1,0,,0
40020263,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,,1,0,,0
40020264,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,,1,0,,0
40020267,0,1,1,1,1,Circle,"""radius"": 200",Friend,,,1,,1,0,,0
40020231,0,1000,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_HagiosColumnSkill_02,1,,1,0,,0
40020273,0,500,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020301,0,1800,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020309,0,3027,1,1,5,Circle,"""radius"": 250",Enemy,,,1,,1,0,,0
40020311,0,1993,500,1,5,Circle,"""radius"": 250",Enemy,,BP/BP_PTC_GiantStatuePeltastSkill_01,1,,1,0,,0
40020326,0,1500,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,,1,0,,0
40020329,0,1,1,1,7,Circle,"""radius"": 4000",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020355,0,1972,1000,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_DikeBossSkill_04,1,,1,0,,0
40020361,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020362,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Water,1,,1,0,,0
40020363,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,,1,0,,0
40020364,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,,1,0,,0
40020367,0,1,1,1,1,Circle,"""radius"": 200",Friend,,,1,,1,0,,0
40020331,0,1000,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_HagiosColumnSkill_02,1,,1,0,,0
40020373,0,500,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020401,0,1800,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
40020409,0,3027,1,1,5,Circle,"""radius"": 250",Enemy,,,1,,1,0,,0
40020411,0,1993,500,1,5,Circle,"""radius"": 250",Enemy,,BP/BP_PTC_GiantStatuePeltastSkill_01,1,,1,0,,0
40020426,0,1500,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_TerribleHitSkill_TempleOfCreation,1,,1,0,,0
40020429,0,1,1,1,7,Circle,"""radius"": 4000",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020455,0,1972,1000,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_DikeBossSkill_04,1,,1,0,,0
40020461,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Fire,1,,1,0,,0
40020462,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Water,1,,1,0,,0
40020463,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Earth,1,,1,0,,0
40020464,0,1,3000,1,7,Circle,"""radius"": 2500",Enemy,,BP/BP_PTC_DikeBossSkill_06_02_Wind,1,,1,0,,0
40020467,0,1,1,1,1,Circle,"""radius"": 200",Friend,,,1,,1,0,,0
40020431,0,1000,1,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_HagiosColumnSkill_02,1,,1,0,,0
40020473,0,500,1,1,5,Circle,"""radius"": 200",Enemy,,,1,,1,0,,0
24500502,0,1491,60000,60,100,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_ClassTransferQuest_Boss_Skill_01,1,,1,0,,0
24500901,0,1000,1000,1,3,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_BoreasBossSkill_02,1,,1,0,,0
24601904,0,1000,100,1,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_EsdeathSkill_02,1,,1,0,,0
24601604,0,2000,1000,1,4,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_EsdeathSkill_01,7,,1,0,,0
245015071,0,750,300,1,2,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_SkillStarFall,14,,0,0,,0
24501602,0,,2600,2,1,Circle,"""radius"": 400",Enemy,,,1,,1,0,,0
24801002,0,,6212,6,100,Circle,"""radius"": 500",Enemy,,BP/BP_PTC_CronosBossSkill_04,1,,1,0,,0
24801004,0,750,300,1,100,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_CronosBossSkill_01,10,,1,0,,0
990131,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990132,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990133,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990134,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990135,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990136,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990137,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990138,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990139,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990140,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990141,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990142,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990143,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990144,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990145,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990146,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990147,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990148,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990149,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990150,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990151,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990152,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990153,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990154,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990155,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990156,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990157,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990158,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990159,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990160,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
990161,0,,1,,3,Circle,"""radius"": 750",Enemy,,,1,,0,0,,0
45000416,0,,600000,3,5,Circle,"""radius"": 200",Enemy,30,BP/BP_PTC_Trisha_BossSkill_06_01,1,,0,0,,0
45000417,0,,2000000,3,5,Circle,"""radius"": 1800",Enemy,,BP/BP_PTC_Trisha_BossSkill_06_01,1,,0,0,,0
45000419,0,,8000,8,10,Circle,"""radius"": 500",Enemy,,BP/BP_PTC_Collabo_01,1,,0,0,,0
45000425,0,,2000,2,5,Circle,"""radius"": 200",Enemy,400,BP/BP_PTC_LuciferBossSkill_06,1,,0,0,,0
45000459,0,,6000,6,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_Collabo_Dark2m,1,,0,0,,0
45000460,0,,6000,6,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_Collabo_Dark4m,1,,0,0,,0
45000461,0,,6000,6,5,Circle,"""radius"": 600",Enemy,,BP/BP_PTC_Collabo_Dark6m,1,,0,0,,0
45000462,0,,6000,6,5,Circle,"""radius"": 800",Enemy,,BP/BP_PTC_Collabo_Dark8m,1,,0,0,,0
45000463,0,,6000,6,5,Circle,"""radius"": 1000",Enemy,,BP/BP_PTC_Collabo_Dark10m,1,,0,0,,0
45000464,0,,6000,6,5,Circle,"""radius"": 1200",Enemy,,BP/BP_PTC_Collabo_Dark12m,1,,0,0,,0
45000465,0,,6000,6,5,Circle,"""radius"": 1400",Enemy,,BP/BP_PTC_Collabo_Dark14m,1,,0,0,,0
45000466,0,,6000,6,5,Circle,"""radius"": 1600",Enemy,,BP/BP_PTC_Collabo_Dark16m,1,,0,0,,0
45000467,0,,6000000,6000,5,Circle,"""radius"": 1800",Enemy,,BP/BP_PTC_Collabo_Dark18m,1,,0,0,,0
45000469,0,,6000000,6000,5,Circle,"""radius"": 200",Enemy,,BP/BP_PTC_Collabo_Dark2m,1,,0,0,,0
45000470,0,,8000,8,5,Circle,"""radius"": 2000",Enemy,,BP/BP_PTC_Collabo_Dark20m,1,,0,0,,0
45000471,0,,8000,8,5,Circle,"""radius"": 2200",Enemy,,BP/BP_PTC_Collabo_Dark22m,1,,0,0,,0
45000472,0,,8000,8,5,Circle,"""radius"": 2400",Enemy,,BP/BP_PTC_Collabo_Dark24m,1,,0,0,,0
45000473,0,,8000,8,5,Circle,"""radius"": 2600",Enemy,,BP/BP_PTC_Collabo_Dark26m,1,,0,0,,0
45000474,0,,8000,8,5,Circle,"""radius"": 2800",Enemy,,BP/BP_PTC_Collabo_Dark28m,1,,0,0,,0
45000475,0,,6000000,6000,5,Circle,"""radius"": 3000",Enemy,,BP/BP_PTC_Collabo_Dark30m,1,,0,0,,0
45000495,0,1200,1000,1,5,Circle,"""radius"": 400",Enemy,,BP/BP_PTC_KetraOrcWarriorSkill_02,1,,1,0,,0
45000449,0,,5000,20,5,Circle,"""radius"": 250",Enemy,,BP/BP_PTC_Miroku01,1,,1,0,,0
