Key,ValueKey
InvalidRewardType,351000000063
IsStun,351000000064
IsCombatMode,351000000065
NotStartClass,351000000066
NotEnoughMileageStorage,351000000067
WaitingUser,351000000068
CannotUseGadget,351000000069
SecurityCodeInactiveTime,351000000070
RestrictedContents,351000000071
InvalidBasicClassId,351000000072
NotDeletePlayerGuildMaster,351000000073
NotEnoughPayDiamond,351000000074
NotEnoughFreeDiamond,351000000075
ConfineUser,351000000076
ChatRestrict,351000000077
AlreadyPlayerMaxCount,351000000078
NotEnoughPayRedStarStone,351000000079
NeedClassTransfer,351000000080
ReservedPlayerName,351000000081
InvalidReservedName,351000000082
DeletedPlayer,351000000083
HiddenWorld,351000000084
EmptyAccount,351000000085
EmptyToken,351000000086
Inspect,251000000139
PlayerRevivedDelay,351000000088
ChannelFull,351000000089
ChangeTimeLimit,351000000090
AchievementNotCompletable,351000000091
NoAchievement,351000000092
AlreadyAchievementLevelRewardReceived,351000000093
InvalidChatAddInfoType,351000000094
InvalidChatMessageId,351000000095
InvalidChatAddInfoId,351000000096
InvalidChatPromoType,351000000097
CoolTimeLimit,351000000098
AlreadyChatBlockList,351000000099
NoneChatBlockList,351000000100
RegistedChatBlockList,351000000101
BlockedChatBlockList,351000000102
SkillNotEnoughCoolTime,351000000103
FirstCreateAccount,351000000104
CheckPrevSkillId,351000000105
InvalidAttendanceType,351000000106
InvalidAttendanceInfoId,351000000107
InvalidAttendanceRewardType,351000000108
AlreadyAttendanceAttend,351000000109
NoMoreAttendanceRewardGet,351000000110
NotWeeklyPeriod,351000000111
InvalidItemInfoId,351000000112
InvalidItemId,351000000112
ItemNotEnchantable,351000000113
NotEnoughCrystal,351000000114
NotEnoughItemCount,351000000115
NotEnoughItemLevel,351000000116
NotEnoughEnchantMaterial,351000000117
NoMoreItemEnchant,351000000118
ItemEnchantFailed,351000000119
ItemSealed,351000000120
ItemNotSealed,351000000121
AlreadyEquippedItem,351000000122
NotEquippedItem,351000000123
NotEnoughBagSpace,351000000124
EquippedItem,351000000125
NotUpgradableItem,351000000127
NoMoreUpgrade,351000000128
NoMoreCompound,351000000129
LikeMarkedItem,351000000130
ItemBagTypeNotMatched,351000000131
ItemGradeNotMatched,351000000132
InvalidItemOptionIndex,351000000133
UnusableItem,351000000134
NotEnchantable,351000000135
NotEquipment,351000000136
NotEnoughItemUpgradeMaterial,351000000137
NoMoreBagExpand,351000000138
InvalidMaterialItemId,351000000139
NotEnchantMaterial,351000000140
DifferntItemInfoId,351000000141
LimitBreakUnableItem,351000000142
NoMoreItemLimitBreak,351000000143
NotSoulCrystal,351000000144
InvalidItemSocketIndex,351000000145
AlreadyEquippedSoulCrystalType,351000000146
AlreadyItemMaxLevel,351000000147
ItemHasNoOption,351000000148
ItemHasNoAbility,351000000149
ItemAbilityNotMatched,351000000150
ItemAbilityUpgradeFailed,351000000151
CantUseElixirAnymore,351000000152
InvalidItemCraftTypeorGroup,351000000153
NotEnoughItemCraftMaterial,351000000154
NotEnoughProtectionJewel,351000000155
InvalidEquipmentType,351000000156
InvalidEquipmentDeckId,351000000157
AlreadyEquipmentDeckId,351000000158
NotEqualEquipmentDeckId,351000000159
ItemCraftByTheBagSpaceFailed,351000000160
InvalidTableInfoId,351000000161
AlreadyMonsterBookLevel,351000000162
NotEnoughMonsterCoreItem,351000000163
InvalidGroupInfoId,351000000164
AlreadyMonsterBookGroup,351000000165
NoMoreMonsterBook,351000000166
InvalidRestRewardType,351000000167
NotEnoughRestPercent,351000000168
NotEqualCostType,351000000169
NotSkillBookOptionType,351000000170
NotSkillBookItem,351000000171
NotUseSkillBookItem,351000000172
AlreadySkillMaxLevel,351000000173
CraftingInvalidCount,351000000174
NotEqualEnchantMaterialType,351000000175
AlreadyHpFull,351000000176
AlreadyMpFull,351000000177
NoMoreCrafting,351000000178
NotEnoughTeleportItemCount,351000000179
EmptySupriseBox,351000000180
EmptyEquippedSoulCrystal,351000000181
NotAvailableElixir,351000000182
MaxItemAbilityLevel,351000000183
NotMegaphoneItemType,351000000184
InvalidSoulCrystalEffectType,351000000185
InvalidItemDropInfoId,351000000186
AlreadyItemUseCountMax,351000000187
ItemNotEnoughCoolTime,351000000188
NotEqualClass,351000000189
IsTeleporting,351000000190
NotUnequipWeapon,351000000191
AlreadyMaxLevel,351000000192
AlreadySoulShotEnable,351000000193
IsPvp,351000000194
NotUseSummonGem,351000000195
NotChaoStatus,351000000196
CannotAcquireItemAnymore,251000000143
SellItemOnceOver,351000000198
InvalidItemOptionSlot,351000000199
NotEquipmentCraftableItem,351000000200
EquipmentCraftNotEnoughRequiredItemLv,351000000201
EquipmentCraftNotEnoughRequiredItemGrade,351000000202
CannotSellItem,351000000203
MailRewardGetError,351000000204
MailBoxFullAndRetryRequest,351000000205
MailBoxFullAndReconnectRequest,351000000206
NotEnoughDailyActivityPoint,351000000207
InvalidDailyActivityRewardInfoId,351000000208
InvalidDailyActivityRewardGroupInfoId,351000000209
NoMoreDailyActivityRewardGet,351000000210
InvalidInstantCompleteInfoId,351000000211
NotInstantCompleteReward,351000000212
InvalidInstantCompleteRewardGroupInfoId,351000000213
InvalidMissionRequestType,351000000214
InvalidMissionRequestInfoId,351000000215
NotStartStateMissionRequest,351000000216
NotCompeletableStateMissionRequest,351000000217
NotProgressingStateMissionRequest,351000000218
AlreadyMissionRequestCompleted,351000000219
NoneMissionDailyRefresh,351000000220
NoneCompletableMissionWeekly,351000000221
NoMoreMissionRequestRewardGet,351000000210
AlreadyWeeklyMissionProgressing,351000000222
NotStartAlreadyMaxCompleteCount,351000000223
InvalidWorldInfoId,351000000224
InvalidWorldSpotInfoId,351000000225
InvalidAreaInfoId,351000000226
InvalidQuestInfoId,351000000227
QuestAlreadyProgressing,351000000228
QuestNotProgressing,351000000229
QuestNotCompletable,351000000230
PrecedenceQuestNotCompleted,351000000231
NotEnoughQuestTicket,351000000232
NotEnoughQuestCompletionCount,351000000233
QuestNoUpdate,351000000234
WorldNotCleared,351000000235
WorldSpotNotCleared,351000000236
QuestFailed,351000000237
QuestNotFailed,351000000238
CantReviveUsingCashForThisQuest,351000000239
InvalidGadgetId,351000000240
DistanceTooFar,351000000241
NoNpc,351000000242
InvalidQuestState,351000000243
QuestAlreadyCompleted,351000000244
NotEnoughQuestSweepTicket,351000000245
InvalidSlaughterQuestRewardInfoId,351000000246
NotEnoughStarCount,351000000247
NotCompletedOnce,351000000248
NotSlaughterQuest,351000000249
AlreadyQuestTicketCount,351000000250
AlreadyQuestTicketMaxChargeCount,351000000251
InvalidScrollQuestGroupId,351000000252
NoRemainGadgetControlCount,351000000253
AlreadyControlledGadget,351000000254
InvalidQuestActId,351000000255
NotCompletedQuestAct,351000000256
AlreadyQuestActRewardReceived,351000000257
AlreadyQuestActProgressRewardReceived,351000000258
NotEnoughQuestScrollCount,351000000259
NotEnoughQuestScrollResetCount,351000000260
NoMoreSkillUpgrade,351000000261
InvalidSkillDeckType,351000000262
SkillDeckChangeFail,351000000263
NotUseSkillByWeaponType,351000000264
AlreadyFriend,351000000265
AlreadyFriendInviting,351000000266
FriendNotInvited,351000000267
NotFriend,351000000268
InvalidPlayerName,351000000269
FullFriend,351000000270
FullInvited,351000000271
FriendGreetCantDoToMyself,351000000272
FriendAleadyGreeted,351000000273
FriendInviteCantDoToMyself,351000000274
FailedToCreateFriendRecommendList,351000000275
ChatNotFriend,351000000276
FriendListEmpty,351000000277
NotCompletedFriendTutorial,351000000278
InviteRequestAccept,351000000279
AlreadyFriendGreetingMaxCount,351000000280
NoFriendsToGreet,351000000281
TargetFullFriend,351000000282
AlreadyFriendInviteSendMaxCount,351000000283
AlreadyInvitedPlayer,351000000284
InvalidPartyId,351000000285
PartyNotBeingInvited,351000000286
PartyAlreadyJoined,351000000287
PartyNotJoined,351000000288
PartyMasterIsNotInRoom,351000000289
UnreachablePlace,351000000290
IsPartyMaster,351000000291
PartyNoPermission,351000000292
CantDoToMyself,351000000293
FullParty,351000000294
OfflinePlayer,351000000295
PartyNotRequestToJoin,351000000296
PartyMasterNotInPublicRoom,351000000297
NotInRoom,351000000298
NotInPublicRoom,351000000299
CantUsePartyInSiegeWorld,351000000300
NotEnoughMemberCount,351000000301
NotPartyMaster,351000000302
NotCompletedPartyTutorial,351000000303
AlreadyMatching,351000000304
ImpossiblePartyAutoEnterArea,351000000305
ImpossibleActionInInstance,351000000306
NotParty,351000000307
ImpossibleAction,351000000308
PartyNotDungeonAccepting,351000000309
PartyInvalidPlayer,351000000310
PartyMemberDeficient,351000000311
ImpossibleActionByMatching,351000000312
AlreadyInfVoiceChat,351000000313
NotInVoiceChat,351000000314
ApolloVoiceError,351000000315
PartyNotQuestSharing,351000000316
LevelDifferentMember,351000000317
AlreadyCall,351000000318
ImpossibleEnterAreaMember,351000000319
NotRemainDungeonEnterCountMember,351000000320
RestrictedContentsMember,351000000321
ImpossibleActionByFullMember,351000000322
ImpossibleActionByInvite,351000000323
PartyJoinRequestRemainTime,351000000324
AlreadyJoinRequest,351000000325
PartyMasterInNear,351000000326
ImpossibleEnterConditionMember,351000000327
ImpossibleJoinParty,351000000328
InvalidGuildId,351000000329
InvalidGuildNameLength,351000000330
DuplicatedGuildName,351000000331
GuildJoined,351000000332
GuildNotJoined,351000000333
GuildNoPermission,351000000334
PrivateGuild,351000000335
GuildAlreadyJoinRequested,351000000336
GuildJoinNotRequested,351000000337
GuildMemberFull,351000000338
CanDoToLowerGradeMember,351000000339
InvalidDonateCostType,351000000340
InvalidDonateCount,351000000341
AlreadyImpeachmentVote,351000000342
AlreadyGuildAttendance,351000000343
GuildGreetingFull,351000000344
GuildGreetingAlreadySendPlayer,351000000345
NotEnoughGuildCoin,351000000346
InvalidGuildBuffId,351000000347
AlreadyHasGuildBuff,351000000348
InvalidCastleInfoId,351000000349
NotEnoughGuildAdena,351000000350
NoMoreCastleUpgrade,351000000351
InvalidGuildEmblemInfoId,351000000352
GuildMemberGradeFull,351000000353
NoGuild,351000000354
AlreadyAlly,351000000355
AlreadyAllianceInviting,351000000356
GuildNotInvited,351000000357
NotAlly,351000000358
GuildAllyFull,351000000359
TargetGuildAllyFull,351000000360
MasterCantWithdraw,351000000361
GuildHostilityFull,351000000362
AlreadyHostility,351000000363
NotHostility,351000000364
ImpossibleHostileWar,351000000365
CantDeleteHostileGuild,351000000366
CantSurrenderHostileWar,351000000367
NoGuildBuff,351000000368
AllianceCantbeHostileGuild,351000000369
HostileGuildCantbeAlliance,351000000370
HaveToHigherMinBidValue,351000000371
NotEnoughGuildLevel,351000000372
NotEnoughTargetGuildLevel,351000000373
JoinLimitLevelChanged,351000000374
JoinRequestNeedAdmission,351000000375
GuildDonateFull,351000000376
NotEnoughBloodCrystal,351000000377
GuildMarketDailyLimit,351000000378
GuildJoinRequestFull,351000000379
InvalidGuildName,351000000380
InvalidGuildNameSpace,351000000381
DisBandFailed,351000000382
GuildActivityDisabled,351000000383
GuildAlreadyMember,351000000384
GuildAlreadyJoined,351000000332
TargetGuildHostilityFull,351000000385
NotGuildMaster,351000000386
GuildMarketWeeklyLimit,351000000387
GuildMarketMonthlyLimit,351000000388
CantExpelHighGrade,351000000389
NotCompletedGuildTutorial,351000000390
HostileRegistedFull,351000000391
NotEnoughGuildBloodCrystal,351000000392
CantUseCastleDuringWar,351000000393
CantUseFortressDuringWar,351000000394
ImpossibleGuildDungeonEnter,351000000395
GuildNotMember,351000000396
AlreadyGuildDungeonClear,351000000397
GuildDungeonResetCountOver,351000000398
GuildDungeonNotClear,351000000399
NotEnoughRedStarStone,351000000400
NoGuildAttendanceReward,351000000401
NoGuildAttendance,351000000402
AlreadyGuildAttendanceRewardGet,351000000403
MasterMandateLatelyAccess,351000000404
GuildNotCached,351000000405
InvalidPortalId,351000000406
CantControl,351000000407
CastleSiegeEntryBidFail,351000000408
CastleSiegeEntryBidCancelFail,351000000409
InvalidCastleSiegeEntry,351000000410
NoCastleSiegeEntryBid,351000000411
NotEnoughCastleSiegeFestivalCoupon,351000000412
NoCastleSiegeFestivalLottery,351000000413
NotEnoughBidGuildAdena,351000000414
NotBidTime,351000000415
AlreadyBidTimeExtend,351000000416
InvalidSlotIndex,351000000417
NoCastleSiegeEntryGuild,351000000418
CantStateGetLotteryReward,351000000419
CastleSiegeStateNotDuring,351000000420
CanNotBidSameValue,351000000421
CantEnterSiegeWorldFromThisRoomType,351000000422
NotExistOccupyGuild,351000000423
NotExistHistory,351000000424
NotCastleSiegeFestivalTime,351000000425
CastleSiegeEntryGuildNotExists,351000000426
FortressSiegeEntryBidFail,351000000427
FortressSiegeEntryBidCancelFail,351000000428
InvalidFortressSiegeEntry,351000000429
NoFortressSiegeEntryBid,351000000430
InvalidTerritoryId,351000000431
InvalidFortressInfoId,351000000432
CantBidGovernorGuild,351000000433
FortressSiegeStateNotDuring,351000000434
NotFortressSiegeEntryGuild,351000000435
NotCastleGovernorGuild,351000000436
NotFortressGovernorGuild,351000000437
CantBidGovernorGuildFortress,351000000438
ImpossibleSiegeWorld,351000000439
AuctionInvalidPrice,351000000440
AuctionInvalidName,351000000016
NoAuctionHouseItem,351000000441
InvalidAuctionHouseState,351000000442
BindItem,351000000443
SameSellerId,351000000444
AucTionItemNoResult,351000000445
AucTionItemNotResigterType,351000000446
AucTionItemSoldOut,351000000447
AuctionLimitedRegisterCount,351000000448
NotEnoughItemGrade,351000000449
NotMatchNameAndSpecificType,351000000450
NotMatchNameAndGrade,351000000451
NotEnoughRegistrationAdena,351000000452
FavoritesItemFull,351000000453
SameFavoritesItem,351000000454
NoFavoritesItem,351000000455
NotRegisteredItem,351000000456
EquippedSoulCrystal,351000000457
AuctionRegisterItemCountOver,352000000457
InvalidShopItemId,351000000458
InvalidShopProduct,351000000459
InvalidCostType,351000000460
InvalidGachaType,351000000461
NotFirstPurchase,351000000462
PurchaseFreeCoolTime,351000000463
PurchaseDailyLimit,351000000464
PurchaseWeeklyLimit,351000000465
PurchaseMonthlyLimit,351000000466
PurchasePeriodLimit,351000000467
PurchaseEnd,351000000468
NotPurchaseFreeShopItem,351000000469
AlreadyUsingFixedCharge,351000000470
NotEnoughFixedChargeGetCount,351000000471
InvalidRequest,351000000472
InvalidTabType,351000000473
AlreadyUsingPensionType,351000000474
InvalidShopRewardInfoId,351000000475
NotShopRewardEventPeriod,351000000476
InvalidShopRewardType,351000000477
NoMoreShopReward,351000000478
UpdateShopRewardEventPeriod,351000000479
NotReturner,351000000480
NotBeginner,351000000481
TimeOver,351000000482
SoldOut,351000000483
NotCondition,351000000484
PurchaseFail,351000000485
InvalidPensionRewardInfoId,351000000486
CustomerServiceRequest,351000000487
InvalidSmartPopupInfoId,351000000488
PurchaseLimitCountOver,351000000489
InvalidDungeonInfoId,351000000490
NotRemainDailyDungeonEnterCount,351000000491
HaveToUseFreeChanceToSameDayOfWeek,351000000492
DungeonClearFailed,351000000493
NotInDungeonWorld,351000000494
DungeonFailCountLimit,351000000495
NotClearedDungeon,351000000496
NotEnoughSweepChance,351000000497
NotEnoughDailyDungeonFreeChance,351000000498
NotEnoughGatheringCount,351000000499
InvalidDungeonQuestInfoId,351000000500
NotClearedDungeonQuest,351000000501
AlreadyDungeonQuestReward,351000000502
NotEnoughDungeonQuestPointReward,351000000503
AlreadyDungeonHotTimeSec,351000000504
NotEnoughDungeonHotTimeChargeCount,351000000505
NotClearedDungeonQuestSweep,351000000506
NotRemainTodayDungeonEnterCount,351000000507
NotEnoughClearRankDungeonSweep,351000000508
CantEnterDungeonFromThisRoomType,351000000509
HaveDailyDungeonFreeChance,351000000510
ImpossibleMoreDailyDungeon,351000000511
NotRemainDungeonEnterChance,351000000512
ImpossibleDungeonEnter,351000000513
HaveDungeonEnteranceCount,351000000514
AlreadyDungeonEnteranceChargeCount,351000000515
InvalidPvpPlayerId,351000000516
ChangedMyPvpRanking,351000000517
ChangedTargetPvpRanking,351000000518
TargetIsCombatMode,351000000519
PvpUnderAttack,351000000520
NotEnoughPvpTicket,351000000521
NotJoinedPvpWorld,351000000522
NotCheckPvpStart,351000000523
NotFindPkStatus,351000000524
EliminationListFull,351000000525
NotFindUser,351000000526
AlreadyRegisteredUser,351000000527
NotEquippedWeapon,351000000528
AlreadyReward,351000000529
NoPvpRanking,351000000530
NoPvpReward,351000000531
NoMorePvpTicketBuy,351000000532
InvalidPvpTargetRanking,351000000533
AlreadyClassTransferQuest,351000000534
ClassTransferRemainingQuest,351000000535
ClassTransferRemainingReward,351000000536
ClassTransferQuestNotCompeletableState,351000000537
ClassTransferQuestCompeletedState,351000000538
InvalidClassTransferQuestInfoId,351000000539
AlreadyGuideQuestCompleted,351000000540
NotCompeletableStateGuideQuest,351000000217
InvalidGuideQuestInfoId,351000000227
InvalidRewardTypeGuideQuest,351000000541
InvalidTutorialInfoId,351000000542
TutorialWorldAcquireFailed,351000000543
InvalidTutorialStep,351000000544
NotInTutorialWorld,351000000543
TutorialStepComplete,351000000545
AlreadyReceivedTutorialMaterial,351000000546
NotStartedTutorial,351000000547
DuringEssentialTutorial,351000000548
AlreadyCompletedTutorial,351000000549
AlreadyReceivedReward,351000000550
TutorialPlayer,351000000551
NotTutorialPlayer,351000000552
ImpossibleSkipInDungeon,351000000553
ImpossibleStartInDungeon,351000000554
RedisServerError,351000000555
InvalidRankingInfoId,351000000556
NoRankingData,351000000557
InvalidPage,351000000558
ApolloVoiceNotInitialize,351000000559
ApolloVoiceServerTimeout,351000000560
RewardCastleSiegeFestivalCouponOverflow,351000000561
RewardSkillPointOverflow,351000000562
RewardPvpTicketOverflow,351000000563
RewardFreeDiaOverflow,351000000564
RewardPaidDiaOverflow,351000000565
RewardMileageOverflow,351000000566
RewardFriendshipPointOverflow,351000000567
RewardTopazOverflow,351000000568
RewardGuildCoinOverflow,351000000569
RewardAdenaOverflow,351000000570
InvalidEventType,351000000571
NotEventPeriod,351000000572
AlreadyEventReceivedReward,351000000573
InvalidEventCondition,351000000574
NotEventCondition,351000000575
AlreadyEventRewardCountLimit,351000000576
NetmarbleSIAPGiftTargetOverLimit,351000000577
NetmarbleSIAPGiftOverLimit,351000000578
NetmarbleSIAPBillingOverLimit,351000000579
NetmarbleSIAPAPIError,351000000580
NetmarbleSIAPNotRegistered,351000000581
NetmarbleSIAPTimeOut,351000000582
NetmarbleSIAPMaintenance,351000000583
NetmarbleSIAPItemSettingError,351000000584
NetmarbleSIAPItemSalesExpired,351000000585
NetmarbleSIAPItemSalesCountOver,351000000586
ReservedNickNameCheckIsUsedFailed,351000000587
ReservedNickNameCheckAuthFailed,351000000588
PlayerNotInRoom,351000000589
DeprecatedPacket,351000000590
NotImplemented,351000000591
Continue,351000000592
NotEnoughGuildAgitExp,351000000624
GuildAgitNotOpen,351000000594
GuildAgitNotEnabled,351000000595
GuildAgitEnterAlready,351000000596
CantInviteNotSameLeague,351000000597
AlreadyOtherBattlefieldPartyJoin,351000000598
CannotBuyBecauseSoulShotEnable,351000000599
NotEnoughGuildGrantCount,351000000600
NoMemberToGrant,351000000601
AlreadyClosedSummonWorld,351000000602
NotBattlefieldPeriod,351000000603
GuildDisbandImpossibleInAgitPlayer,351000000604
NotEnoughDayGuildMasterEntrust,351000000605
GuildAgitAlreadyBuy,351000000606
NotEnoughGuildAgitCrystalExp,351000000607
GuildAgitPlayerQuestAcceptLimit,351000000608
GuildAgitGuildQuestAcceptLimit,351200000608
GuildAgitQuestAlreadyProgress,351000000609
GuildAgitQuestAlreadyAcceptOther,351000000610
GuildAgitQuestAlreadyComplete,351000000611
GuildAgitQuestNotProgress,351000000612
GuildAgitQuestImpossibleComplete,351000000613
NotEnoughGuildAgitLevel,351000000626
GuildAgitKeeperGradeDeficient,351000000627
GuildAgitRelicRegistAlready,351000000616
GuildAgitRelicRegistNot,351000000617
GuildAgitRelicRemainTime,351000000618
GuildAgitRelicPointDificient,351000000619
GuildAgitBanquetAlready,351000000620
GuildAgitKeeperStateAlready,351000000621
GuildAgitKeeperUnknownType,351000000622
GuildAgitKeeperImpossibleUpgrade,351000000623
GuildHostilityNotWarState,352000000623
GuildHostilityAreadyWarEndSuggested,352000000624
GuildHostilityNotWarEndSuggest,352000000625
GuildHostilityEnoughMemberCount,352000000626
GuildHostilityTargetEnoughMemberCount,352000000627
ChannelCannotLeave,731000003907
NotEnoughTeleportMeleeWorld,351000000628
NotEnoughHonorCoin,351000000629
NotEnoughBraveCoin,351000000630
NotEnoughAncientCoin,351000000631
RewardHonorCoinOverflow,351000000632
RewardBraveCoinOverflow,351000000633
RewardAncientCoinOverflow,351000000634
ImpossibleActionByBattlfieldReady,352000000634
NotEnoughGuildAgitWood,351000000635
GuildAgitLiquidLimitOver,351000000636
ImpossibleGrantType,351000000637
NotEnoughSkillReset,351000000638
InvalidPetId,351000000639
InvalidPetInfoId,351000000640
NotEquippedPet,351000000641
SameBoarding,351000000642
OtherPetItem,351000000643
PetItemUsedExcess,351000000644
PetIdAndInfoIdNotMatch,351000000645
PetActivationNotEnoughPlayerLevel,351000000646
PetActivationNotOwnPet,351000000647
PetActivationNotEnoughPetGrade,351000000648
PetActivationLackCondition,351000000649
NotPetItem,351000000650
PetItemEquipNotMatch,351000000651
PetItemLevelUpNoMaterial,351000000652
PetNonRidingWorld,351000000653
NotEnoughPetLevel,351000000654
AlreadyItemCraftCountMax,351000000661
PartyInvalidName,351000000662
PartyInvalidNameLength,351000000663
PartyInvalidNameSpace,351000000664
LockContents,351000000665
CastlesiegeCanNotEnter,351000000666
PartyInviteNotGuildMemberInSiegeWorld,351000000667
CantBeDoneNicknameChange,351000000668
NetmarbleForumFailure,351000000669
PartyCantInviteInBattlefield,351000000670
ImpossiblePartyMatchInBatch,351000000671
ImpossiblePartyMatchWithBatchPlayer,351000000672
CantUseMaterial,351000000673
CantEnterInTheStateOfDeath,351000000674
NotEnoughGuildDungeonEnterLevel,351000000675
NotEnoughGuildDungeonEnterCombatPower,351000000676
DailyGuildDungeonSupportCountExcess,351000000677
DailyGuildDungeonRecruitCountExcess,351000000678
AlreadyGuildDungeonProgressing,351000000679
OutOfGuildDungeonSupportLevelRange,351000000680
OutOfGuildDungeonSupportCombatPowerRange,351000000681
OutOfGuildDungeonSupportRecruitCountRange,351000000682
NotGuildDungeonRecruitStatus,351000000683
PlayerReviveNoHaveFreeCount,351000000684
ChannelCannotMove,351000000685
NotEnoughGreenDiamond,351000000686
NotEnoughGreenDiamondStorage,351000000052
NotEnoughPayGreenDiamond,351000000687
RewardGreenDiaOverflow,351000000688
DieGuildDungeonBoss,351000000689
AlreadyGreenDiaQuestScrollIsRunning,351000000690
LackOfLevelToEquip,351000000655
ReservedGuildNameCheckIsUsedFailed,351000000691
ReservedGuildNameCheckAuthFailed,351000000657
ReservedGuildName,351000000658
InvalidReservedGuildName,351000000659
RemainQuestScrollCount,351000000660
EventGachaNotFind,351000010001
EventGachaReady,351000010002
EventGachaFinish,351000010003
EventGachaNotEnoughReward,351000010004
EventGachaNotEnoughTicket,351000010005
AuctionMaxRegisterCount,351000010006
AuctionLimitLevel,351000010007
AuctionAccountRequireUse,351000010008
ChatLocalLimitLevel,351000010009
ChatWorldLimitLevel,351000010010
ChatAdmintoolSlander,351000010011
NotConditionBecauseGuildNotJoined,351000010012
AuctionNotEnoughCount,351000000719
AuctionItemPartialSell,351000000720
GuildDungeonHelpInvalidTitle,351000000721
GuildRevengeNotFindPlayerId,351000000722
GuildRevengeNotInRoomPlayer,351000000723
GuildRevengeNotRoomType,351000000724
NoGuideQuestReward,351000000725
AlreadyAcquireCharacterTitle,351000000726
IsSlander,351000000727
GuildInviteAlready,351000000728
GuildInviteGuildLimit,351000000729
GuildInviteReject,351000000730
GuildInviteMaxInvitePlayer,351000000731
InvalidSelfIntroLength,351000000732
GuildWantJoinRemainTime,351000000733
GuildJoinWantInvalidReview,351000000734
GuildJoinWantInvalidReviewSpace,351000000735
GuildJoinWantInvalidReviewLength,351000000736
AlreadyRecieveSeasonReward,351000000737
EventCheckBoardLimitOpenCountByCost,351000000738
GuildAgitEmptyGetQuest,351000000743
PartyDungeonPenaltyPlayer,351000000744
PartyDungeonPenalty,351000000745
CapeAlreadyAcquire,351000000746
CapeInvalidType,351000000747
CapeNotFind,351000000748
CapeAcquireNotCape,351000000749
CapeAcquireNotLevel,351000000750
CapeEquipBattleDeckId,351000000751
CapeUnequipBattleDeck,351000000752
CapeAlreadyMaxLevel,351000000753
CapeNotEnable,351000000754
CapeColorInvalid,351000000755
CapeColorType,351000000756
CapeOptionLockInvalid,351000000757
CapeNotGuildMaster,351000000000
InvalidSocialMessageSize,351000000758
SocialMessageInvalid,351000000759
IncludeSlander,351000000760
SocialMessageInvalidNameSpace,351000000761
ItemUseLevelOver,351000000762
PartySubordinateDungeon,351000000763
PartyDungeonResetCountOver,351000000764
PartyDungeonResetCountDeficient,351000000765
EventCheckBoardResetNotEnoughOpen,351000000767
EventCheckBoardAccrueNotEnough,351000000768
InvalidBattlefieldTier,351000000769
PartyNotMasterImpossibleAction,351000000770
PartyDungeonImpossibleTime,351000000771
WarehouseNotEmpty,351000000772
CharacterNameDuplicate,351000000773
CharacterLimit,351000000774
ServerTransferSoldOut,351000000775
ServerTransferProcessing,351000000776
NotEnoughFortressGrade,351000010013
ShopProductPeriodNotice,351000000693
FreeSiegeAlreadyCreate,351000000694
FreeSiegeAlreadyRegistPlayer,351000000695
FreeSiegeInvalidMemberId,351000000696
FreeSiegeAlreadyRecruitPlayer,351000000697
FreeSiegeInvalidMatchId,351000000698
FreeSiegeRecruitMaxMemberCount,351000000699
FreeSiegeAlreadyRecruit,351000000700
FreeSiegeNotJoinRecruit,351000000701
FreeSiegeRecruitNotMaster,351000000702
FreeSiegeImpossibleExpelMine,351000000703
FreeSiegeInvalidPlayerId,351000000704
