Id,Param1,NameKey,BuffType,ClientType,Param,Param2,EffectTypeNameKey,Group,DbSaveType,PvPSaveType,RealTimeDbSave,OverlayType,StackType,StackCount,FireRate,EndCondition,RemainWhenDead,Duration,ExDurationType,ExDuration,Period,VisualEffectId,ExtendVisualEffectId,ReductionRate,IsDebuff,IsTransition,ExcpetRoomType,IconTexture,CameraShake,CameraShakeIntensity,Sound,DescKey,ExceptEraseBuff,MaxStackOtherBuff,PeriodApplyType,SkillFireCondition,FireSkillInfoId,ExceptRecovery,ExDurationParam,IsOwnerTransition,ExcpetActorType,DescAddBuffId,GetBuffVisible,RemoveBuffEnterRoomType
502,0,731000004217,PkBlockItem,PkBlock,,0,731000004217,,None,0,0,Accrue,Common,1,10000,,0,120000,,,,,,,0,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld,SiegeWorld",Icon_PVPTicket_01,,,,783000000501,1,,0,,,0,,0,,,1,
503,0,731000004217,PkBlockItem,PkBlock,,0,731000004217,,None,0,0,Accrue,Common,1,10000,,0,180000,,,,,,,0,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld,SiegeWorld",Icon_PVPTicket_01,,,,783000000501,1,,0,,,0,,0,,,1,
510,0,731000004644,,,,0,731000004644,510,PlayTime,0,0,Accrue,Common,1,10000,,1,3600000,,,,,,,0,0,"RegularDungeonWorld,GuildAgitWorld",Icon_Buff_ExpBonus,,,,783000000510,1,,0,,,0,,0,,,1,
511,0,731000004644,,,,0,731000004644,510,PlayTime,0,0,Accrue,Common,1,10000,,1,3600000,,,,,,,0,0,"RegularDungeonWorld,GuildAgitWorld",Icon_Buff_ExpBonus,,,,783000000511,1,,0,,,0,,0,,,1,
600,0,781000000600,,OutOfControl,,0,661000000106,,None,0,0,Allow,Common,1,10000,,0,30000,,,,,,,0,0,,Icon_Debuff_Stun,,,,783000000600,1,,0,,,0,,0,,,0,
601,0,731000000676,,Stun,,0,782000001011,1002,None,0,0,Allow,Common,1,10000,,0,1000,,,,1,,,1,0,,,,,,782000001011,1,,0,,,0,,0,,,0,
602,0,781000000602,,Rage,"{""Color"":{""R"":0,""G"":0.6,""B"":1},
""Intensity"":10,
""Speed"":1}",0,782000000602,,None,0,0,Allow,Common,1,10000,,0,5000,,,,,,,0,0,,,,,,782000000602,1,,0,,,0,,0,,,0,
1001,0,781000001001,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,10000,,0,2000,,,,,,5000,1,0,,,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
1002,0,781000001001,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,1000,,0,2000,,,,,,5000,1,0,,,,,,783000001002,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
1003,0,781000001001,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,10000,,0,2500,,,,,,5000,1,0,,,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
1004,0,781000001004,,Common,,0,731000000657,,None,0,0,Allow,Common,1,10000,,0,10000,,,,,,,0,0,,Icon_Buff_Invincible,,,,783000001004,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
1005,0,781000001005,,Common,,0,731000000657,,None,0,0,Allow,Common,1,10000,,0,10000,AttackSuccess,1,,,,,0,0,,Icon_Buff_Invincible,,,,783000001005,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
1011,0,781000001011,,Stun,,0,782000001011,1002,None,0,0,Allow,Common,1,10000,,0,2000,,,,1,,5000,1,0,,Icon_Skill_Active_10122,,,,782000001011,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
10111,0,781000010111,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,10000,,0,2000,,,,,,5000,1,0,,,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
10122,0,781000010122,,Common,,0,782000010122,1001,None,0,0,Allow,Common,1,10000,,0,4000,,,,,,,1,0,,Icon_Skill_Active_10122,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11211,0,291000011211,,Common,,0,782000011211,,None,0,0,Deny,Common,1,10000,,0,8000,,,,,,,1,0,,Icon_Skill_Active_11211,,,,783000011211,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11213,0,291000011213,,Common,,0,782000011213,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_11213,,,,783000011213,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11221,0,291000011221,,Common,,0,782000011221,,None,0,0,Allow,Common,1,10000,,0,6000,,,,,,,1,0,,Icon_Skill_Active_11221,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11222,0,291000011222,,Stun,,0,731000000676,1002,None,0,0,Allow,Common,1,10000,,0,2000,,,,1,,5000,1,0,,Icon_Skill_Active_11222,,,,782000001011,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11231,0,291000011231,,Common,,0,781000050003,,None,0,0,Allow,Common,1,10000,,0,10001,,,,,,,1,0,,Icon_Skill_Active_11231,,,,783000011231,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11232,0,781000011232,,Stun,,0,731000000676,1002,None,0,0,Allow,Common,1,10000,,0,3000,,,,1,,5000,1,0,,Icon_Skill_Active_11232,,,,782000001011,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11242,0,291000011242,,Common,,0,292000510015,,None,0,0,Allow,Common,1,10000,,0,3000,,,,,,,1,0,,Icon_Skill_Active_11242,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11243,0,10070264,,Common,,0,782000011243,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_11243,,,,783000011243,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11244,0,291000011244,,Common,,0,782000011244,,None,0,0,Allow,Common,1,10000,,0,20001,,,,,,,0,0,,Icon_Skill_Active_11244,,,,783000011244,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11251,0,781000011251,,Common,,0,782000011251,,None,0,0,Allow,EachCaster,1,10000,,0,3000,,,1000,,,,1,0,,Icon_Skill_Active_14241,,,,783000011251,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11261,0,781000011261,,KnockDown,,0,131000300124,1003,None,0,0,Allow,Common,1,10000,,0,2500,,,,,,5000,1,0,,,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
11262,0,291000012262,,Common,,0,782000011262,,None,0,0,Allow,Common,1,10000,,0,6000,,,1000,,,,0,0,,Icon_Skill_Active_11262,,,,783000011262,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12211,0,291000012211,,Common,,0,782000012211,,None,0,0,Deny,Common,1,10000,,0,8005,,,,,,,1,0,,Icon_Skill_Active_12211,,,,783000012211,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12212,0,291000012212,,Common,,0,782000012212,,None,0,0,Allow,Common,1,10000,,0,2000,,,,,,,1,0,,Icon_Skill_Active_12212,,,,783000012212,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12221,0,291000012221,,Common,,0,782000012221,,None,0,0,Allow,Common,1,10000,,0,5001,,,,,,,0,0,,Icon_Skill_Active_12221,,,,783000074072,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12231,0,291000012231,,Common,,0,782000012231,1001,None,0,0,Allow,Common,1,10000,,0,5001,,,,,,,1,0,,Icon_Skill_Active_12231,,,,783000012231,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12232,0,291000012232,,Stun,,0,782000001011,1002,None,0,0,Allow,Common,1,10000,,0,3001,,,,1,,5000,1,0,,Icon_Skill_Active_12232,,,,782000001011,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12233,0,781000012233,,Common,,0,782000012233,,None,0,0,Allow,Common,1,10000,,0,20001,,,,,,,0,0,,Icon_Skill_Active_12233,,,,783000012233,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12241,0,291000012241,,Common,,0,782000012241,,None,0,0,Allow,Common,1,10000,,0,1000,,,,,,,0,0,,Icon_Skill_Active_12241,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12242,0,291000012242,,Common,,0,782000012242,,None,0,0,Allow,Common,1,10000,,0,10001,,,,,,,0,0,,Icon_Skill_Active_12242,,,,783000012242,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12251,0,781000012251,,Common,,0,782000010122,1001,None,0,0,Allow,Common,1,10000,,0,5000,,,,,,,1,0,,Icon_Skill_Active_12251,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12252,0,291000012252,,Common,,0,782000010122,1001,None,0,0,Allow,Common,1,10000,,0,5000,,,,,,,1,0,,Icon_Skill_Active_12252,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12263,0,291000011262,,Common,,0,292000072029,,None,0,0,Allow,Common,1,10000,,0,3000,,,,,,,0,0,,Icon_Skill_Active_12262,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
12264,0,291000012264,,Common,,0,782000012264,,None,0,0,Allow,Common,1,10000,,0,40001,,,,,,,0,0,,Icon_Skill_Active_12264,,,,783000012264,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13211,0,291000013211,,Common,,0,782000013211,,None,0,0,Allow,Common,1,10000,,0,5000,,,,,,,1,0,,Icon_Skill_Active_13211,,,,783000014211,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13213,0,291000013213,,Common,,0,782000013213,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_13213,,,,783000013213,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13222,0,291000013222,,Common,,0,782000010122,1001,None,0,0,Allow,Common,1,10000,,0,3000,,,,,,,1,0,,Icon_Skill_Active_13222,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13231,0,10020281,Bleeding,Common,,0,782000013231,,None,0,0,Allow,Common,3,10000,,0,3000,,,500,,,,1,0,,Icon_Skill_Active_13231,,,,783000601412,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13232,0,781000013232,Bleeding,Common,,0,782000013231,,None,0,0,Allow,Common,3,10000,,0,3000,,,500,,,,1,0,,Icon_Skill_Active_13232,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13242,0,291000013242,,Stun,,0,731000000676,1002,None,0,0,Allow,Common,1,10000,,0,3001,,,,1,,5000,1,0,,Icon_Skill_Active_13242,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13243,0,291000013243,,Common,,0,782000013243,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_13243,,,,783000242231,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13244,0,291000013244,,Common,,0,782000013244,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_13244,,,,783000013244,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13251,0,291000013251,,Common,,0,782000010122,,None,0,0,Allow,Common,1,10000,,0,3000,,,,,,,1,0,,Icon_Skill_Active_13251,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
13252,0,291000013252,,Common,,0,782000013252,,None,0,0,Allow,Common,1,10000,,0,2500,,,,,,,1,0,,Icon_Skill_Active_13252,,,,783000013252,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14211,0,291000014211,,Common,,0,782000014211,,None,0,0,Allow,Common,1,10000,,0,8005,,,,,,,1,0,,Icon_Skill_Active_14211,,,,783000014211,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14212,0,291000014212,,Stun,,0,782000001011,,None,0,0,Allow,Common,1,10000,,0,2500,,,,1,,5000,1,0,,Icon_Skill_Active_14212,,,,782000001011,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14213,0,291000014212,,Common,,0,782000112125,,None,0,0,Allow,Common,1,10000,,0,8501,,,,,,,1,0,,Icon_Skill_Active_14212,,,,783000014213,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14222,0,781000014222,,KnockDown,,0,131000300124,,None,0,0,Allow,Common,1,10000,,0,2500,,,,,,5000,1,0,,Icon_Skill_Active_14222,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14223,0,291000014223,,Common,,0,782000014223,,None,0,0,Allow,Common,1,10000,,0,15001,,,,,,,0,0,,Icon_Skill_Active_14223,,,,783000014223,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14231,0,291000014231,,Common,,0,782000014231,,None,0,0,Allow,Common,1,10000,,0,10000,,,,,,,1,0,,Icon_Skill_Active_14231,,,,783000014231,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14232,0,291000014232,,Common,,0,782000012231,1101,None,0,0,Allow,Common,1,10000,,0,10000,,,,,,,1,0,,Icon_Skill_Active_14232,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14241,0,291000014241,,Common,,0,782000011251,,None,0,0,Allow,EachCaster,1,10000,,0,4000,,,800,,,,1,0,,Icon_Skill_Active_14241,,,,783000014241,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14242,0,291000014242,,Common,,0,782000012231,,None,0,0,Allow,Common,1,10000,,0,4000,,,,,,5000,1,0,,Icon_Skill_Active_14242,,,,783000010122,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14251,0,291000014251,,KnockDown,,0,131000300124,,None,0,0,Allow,Common,1,10000,,0,3000,,,,,,5000,1,0,,Icon_Skill_Active_14251,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14261,0,291000014261,,Common,,0,782000014261,,None,0,0,Allow,Common,1,10000,,0,10000,,,,,,,0,0,,Icon_Skill_Active_14261,,,,783000014261,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
14262,0,291000014262,,Stun,,0,731000000676,1002,None,0,0,Allow,Common,1,10000,,0,2500,,,,1,,5000,1,0,,Icon_Skill_Active_14262,,,,0,0,,0,,,0,,0,,,0,"PvpWorld,BattlefieldOfHonorWorld,BattlefieldOfBraveWorld,BattlefieldOfAncientWorld"
20211,0,291000020211,Aura,,,0,652000000028,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20211,,,,783000014261,1,,0,,,0,,0,,,0,
20221,0,291000020221,Aura,,,0,652000000019,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20221,,,,783000020221,1,,0,,,0,,0,,,0,
20231,0,291000020231,Aura,,,0,782000020231,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20231,,,,783000020231,1,,0,,,0,,0,,,0,
20241,0,291000020241,Aura,,,0,782000020241,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20241,,,,783000020241,1,,0,,,0,,0,,,0,
20251,0,291000020251,Aura,,,0,782000020251,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20251,,,,783000020251,1,,0,,,0,,0,,,0,
20261,0,291000020261,Aura,,,0,782000020261,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_20261,,,,784000020261,1,,0,,,0,,0,,,0,
21221,0,291000021221,,Common,,0,652000000019,,None,0,0,Allow,Common,5,10000,,0,5002,,,,,,,0,0,,Icon_Skill_Passive_21221,,,,293000021111,0,,0,,,0,,0,,,0,
21231,0,291000021231,,Common,,0,91000000009,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_21231,,,,783000021231,0,,0,,,0,,0,,,0,
21241,0,291000021241,,Common,,0,782000010122,,None,0,0,Allow,Common,1,10000,,0,3002,,,,,,,1,0,,Icon_Skill_Passive_21241,,,,783000010122,0,,0,,,0,,0,,,0,
21242,,291000021242,Bleeding,Common,,,782000010122,,None,0,0,Allow,Common,1,10000,,0,3002,,,1000,,,,1,0,,Icon_Skill_Passive_21241,,,,783000021242,0,,0,,,0,,0,,,0,
21251,0,291000021251,,Common,,0,782000011251,,None,0,0,Allow,EachCaster,1,10000,,0,10000,,,1000,,,,1,0,,Icon_Skill_Passive_21251,,,,0,0,,0,,,0,,0,,,0,
22211,0,291000022211,,Common,,0,782000022211,,None,0,0,Allow,Common,1,10000,,0,5002,,,,,,,0,0,,Icon_Skill_Passive_22211,,,,783000022211,0,,0,,,0,,0,,,0,
22221,0,291000022221,,Common,,0,782000022221,,None,0,0,Allow,Common,1,10000,,0,5002,,,,,,,0,0,,Icon_Skill_Passive_22221,,,,783000022221,0,,0,,,0,,0,,,0,
22231,0,291000022231,,Common,,0,782000022231,,None,0,0,Allow,Common,10,10000,,0,5002,,,,,,,0,0,,Icon_Skill_Passive_22231,,,,783000022231,0,,0,,,0,,0,,,0,
22241,0,291000022241,,Common,,0,782000022241,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_22241,,,,293000030002,0,,0,,,0,,0,,,0,
22261,0,291000022211,,Common,,0,782000022211,,None,0,0,Allow,Common,1,10000,,1,5002,,,,,,,0,0,,Icon_Skill_Passive_22261,,,,783000022261,0,,0,,,0,,0,,,0,
23211,0,291000023211,,Common,,0,782000023211,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_23211,,,,783000023211,0,,0,,,0,,0,,,0,
23221,0,291000023221,,Common,,0,782000022241,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_23221,,,,783000132331,0,,0,,,0,,0,,,0,
23231,0,291000023231,,Common,,0,782000023231,,None,0,0,Allow,Common,1,10000,,0,3002,,,,,,,0,0,,Icon_Skill_Passive_23231,,,,783000023231,0,,0,,,0,,0,,,0,
23241,0,291000023241,,Common,,0,661000000027,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_23241,,,,783000023241,0,,0,,,0,,0,,,0,
23251,0,291000023221,,Common,,0,782000022241,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_23251,,,,783000132331,0,,0,,,0,,0,,,0,
23261,0,291000023261,Aura,Common,,0,652000000019,,None,1,0,Allow,Common,1,10000,,1,0,,,,,,,0,0,,Icon_Skill_Passive_23261,,,,783000023261,1,,0,,,0,,0,,,0,
24211,0,781000024211,,Common,,0,782000024211,,None,0,0,Allow,Common,1,10000,,0,10000,,,,,,,0,0,,Icon_Skill_Passive_24211,,,,293000021111,0,,0,,,0,,0,,,0,
24221,0,291000024221,,Common,,0,782000024211,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_24221,,,,293000021111,0,,0,,,0,,0,,,0,
24231,0,291000022221,,Common,,0,782000022221,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_24231,,,,783000022221,0,,0,,,0,,0,,,0,
24241,0,291000024241,,Common,,0,661000000024,,None,0,0,Allow,Common,1,10000,,0,5002,,,,,,,0,0,,Icon_Skill_Passive_24241,,,,783000022211,0,,0,,,0,,0,,,0,
24251,0,291000023261,,Common,,0,652000000019,,None,0,0,Allow,Common,1,10000,,0,6002,,,,,,,0,0,,Icon_Skill_Passive_24251,,,,293000021222,0,,0,,,0,,0,,,0,
