AchievementLevel,PointToNextLv,LevelIcon,UsingAlphaTexture,NameKey,AdditionalAtkPhy,AdditionalAtkMag,AdditionalDefPhy,AdditionalDefMag,AdditionalHp,AdditionalMp,AdditionalPenetration
16,141050,Icon_HeroicRank_16,Icon_HeroicRank_16_Alpha,791000000016,2000,2000,2300,2300,3000,3000,3580
17,174650,Icon_HeroicRank_17,Icon_HeroicRank_16_Alpha,791000000017,2190,2190,2530,2530,3300,3300,3940
18,205650,Icon_HeroicRank_18,Icon_HeroicRank_16_Alpha,791000000018,2400,2400,2760,2760,3610,3610,4310
19,229150,Icon_HeroicRank_19,Icon_HeroicRank_16_Alpha,791000000019,2610,2610,3000,3000,3920,3920,4690
20,264750,Icon_HeroicRank_20,Icon_HeroicRank_16_Alpha,791000000020,2820,2820,3250,3250,4240,4240,5080
21,304650,Icon_HeroicRank_21,Icon_HeroicRank_21_Alpha,791000000021,3040,3040,3510,3510,4580,4580,5470
22,355000,Icon_HeroicRank_22,Icon_HeroicRank_21_Alpha,791000000022,3270,3270,3770,3770,4920,4920,5880
23,398550,Icon_HeroicRank_23,Icon_HeroicRank_21_Alpha,791000000023,3500,3500,4040,4040,5270,5270,6300
24,454900,Icon_HeroicRank_24,Icon_HeroicRank_21_Alpha,791000000024,3740,3740,4310,4310,5630,5630,6730
25,519250,Icon_HeroicRank_25,Icon_HeroicRank_21_Alpha,791000000025,3990,3990,4590,4590,5990,5990,7170
26,592000,Icon_HeroicRank_26,Icon_HeroicRank_26_Alpha,791000000026,4230,4230,4870,4870,6360,6360,7620
27,635700,Icon_HeroicRank_27,Icon_HeroicRank_26_Alpha,791000000027,4490,4490,5170,5170,6740,6740,8080
28,701850,Icon_HeroicRank_28,Icon_HeroicRank_26_Alpha,791000000028,4750,4750,5460,5460,7130,7130,8540
29,812050,Icon_HeroicRank_29,Icon_HeroicRank_26_Alpha,791000000029,5010,5010,5770,5770,7530,7530,9020
30,896750,Icon_HeroicRank_30,Icon_HeroicRank_26_Alpha,791000000030,5280,5280,6070,6070,7930,7930,9500
31,1012350,Icon_HeroicRank_31,Icon_HeroicRank_31_Alpha,791000000031,5580,5580,6430,6430,8390,8390,9990
32,1086250,Icon_HeroicRank_32,Icon_HeroicRank_31_Alpha,791000000032,5930,5930,6830,6830,8920,8920,10490
33,1208300,Icon_HeroicRank_33,Icon_HeroicRank_31_Alpha,791000000033,6290,6290,7240,7240,9450,9450,11000
34,1354900,Icon_HeroicRank_34,Icon_HeroicRank_31_Alpha,791000000034,6660,6660,7660,7660,10000,10000,11510
35,1436600,Icon_HeroicRank_35,Icon_HeroicRank_31_Alpha,791000000035,7040,7040,8100,8100,10570,10570,12040
36,1585800,Icon_HeroicRank_36,Icon_HeroicRank_36_Alpha,791000000036,7420,7420,8540,8540,11150,11150,12570
37,1692600,Icon_HeroicRank_37,Icon_HeroicRank_36_Alpha,791000000037,7820,7820,9000,9000,11750,11750,13110
38,1829000,Icon_HeroicRank_38,Icon_HeroicRank_36_Alpha,791000000038,8220,8220,9460,9460,12360,12360,13660
39,1991050,Icon_HeroicRank_39,Icon_HeroicRank_36_Alpha,791000000039,8640,8640,9940,9940,12980,12980,14210
40,2112000,Icon_HeroicRank_40,Icon_HeroicRank_36_Alpha,791000000040,9060,9060,10430,10430,13620,13620,14770
41,2204100,Icon_HeroicRank_41,Icon_HeroicRank_41_Alpha,791000000041,9500,9500,10930,10930,14270,14270,15340
42,2424200,Icon_HeroicRank_42,Icon_HeroicRank_41_Alpha,791000000042,9940,9940,11440,11440,14940,14940,15920
43,2567500,Icon_HeroicRank_43,Icon_HeroicRank_41_Alpha,791000000043,10400,10400,11960,11960,15620,15620,16500
44,2710300,Icon_HeroicRank_44,Icon_HeroicRank_41_Alpha,791000000044,10860,10860,12500,12500,16320,16320,17090
45,2889700,Icon_HeroicRank_45,Icon_HeroicRank_41_Alpha,791000000045,11330,11330,13040,13040,17020,17020,17680
46,3046950,Icon_HeroicRank_46,Icon_HeroicRank_46_Alpha,791000000046,11810,11810,13590,13590,17750,17750,18290
47,3243750,Icon_HeroicRank_47,Icon_HeroicRank_46_Alpha,791000000047,12300,12300,14160,14160,18480,18480,18900
48,3417450,Icon_HeroicRank_48,Icon_HeroicRank_46_Alpha,791000000048,12800,12800,14730,14730,19240,19240,19520
49,3609850,Icon_HeroicRank_49,Icon_HeroicRank_46_Alpha,791000000049,13310,13310,15320,15320,20000,20000,20140
50,0,Icon_HeroicRank_50,Icon_HeroicRank_46_Alpha,791000000050,13830,13830,15920,15920,20780,20780,20770
