Id,TreasureGuardAppear,TreasureGuardDrop,TreasureGuardRepresentItem
20608,,,470065
20613,,,470067
20646,,,470066
20606,,,470063
20607,,,470062
20602,,,470061
20509,,,470055
20510,,,470054
20530,,,470056
20547,,,470053
20505,,,470052
20504,,,470051
20442,,,470046
20405,,,470044
20410,,,470045
20420,,,470042
20418,,,470041
20446,,,470043
20315,,,470036
20339,,,470035
20335,,,470034
20309,,,470033
20301,,,470032
20352,,,470031
20211,,,470022
20234,,,470024
20208,,,470023
20203,,,470021
20113,,,470014
20122,,,470015
20124,,,470011
20120,,,470012
31409,163,1700501,481101
31405,233,1700601,400000
31406,163,1700801,489001
31403,233,1700501,481101
31404,233,1700401,911024
31402,233,1700601,400000
31309,163,1700501,481101
31305,233,1700601,400000
31306,233,1700801,489001
31308,233,1700401,911024
31303,183,1700501,481101
31302,128,1700601,400000
31010,117,1700401,911024
31005,117,1700601,400000
31006,117,1700501,481101
31007,117,1700401,911024
31003,117,1700601,400000
31004,117,1700501,481101
31002,117,1700601,400000
30910,82,1700401,911024
30907,117,1700601,400000
30905,117,1700501,481101
30908,117,1700401,911024
30903,82,1700601,400000
30904,82,1700501,481101
30813,117,1700601,400000
30812,117,1700401,911024
30714,82,1700501,481101
30716,82,1700601,400000
30712,117,1700401,911024
30617,82,1700601,400000
30711,117,1700501,481101
30511,82,1700501,481101
30612,117,1700401,911024
30504,82,1702401,480004
30505,82,1700501,481101
30510,82,1700501,481101
30507,82,1702401,480004
30502,82,1700501,481101
30411,82,1700501,481101
30407,82,1702401,480004
30406,82,1700501,481101
30405,82,1702401,480004
30401,82,1700501,481101
30305,117,1700501,481101
30302,117,1700501,481101
30301,117,1700501,481101
30203,117,1700501,481101
30202,117,1702401,480004
30206,117,1700501,481101
31407,,,472142
31408,,,472143
31401,,,472141
31307,,,472133
31204,,,472124
31203,,,472123
31304,,,472131
31009,,,472089
31202,,,472122
31301,,,472132
31008,,,472088
31201,,,472121
31001,,,472087
30906,,,472085
30902,,,472086
30819,,,472083
30901,,,472084
30817,,,472082
30815,,,472081
30718,,,472073
30717,,,472072
30713,,,472071
30619,,,472063
30615,,,472062
30613,,,472061
30506,,,472053
30503,,,472052
30501,,,472051
30409,,,472044
30404,,,472043
30403,,,472042
30306,,,472032
30402,,,472041
30304,,,472031
30204,,,472022
30201,,,472021
30105,,,472014
30104,,,472013
30102,,,472012
30101,,,472011
30005,,,472003
30006,,,472001
30007,,,472002
20181,,,470011
20182,,,470012
20183,,,470013
20184,,,470014
20185,,,470015
20281,,,470021
20282,,,470022
20283,,,470023
20284,,,470024
20298,,,470025
20381,,,470031
20382,,,470032
20383,,,470033
20384,,,470034
20385,,,470035
20386,,,470036
20398,,,470037
20481,,,470041
20482,,,470042
20483,,,470043
20484,,,470044
20485,,,470045
20486,,,470046
20498,,,470047
20581,,,470051
20582,,,470052
20583,,,470053
20584,,,470054
20585,,,470055
20586,,,470056
20598,,,470057
20681,,,470061
20682,,,470062
20683,,,470063
20684,,,470064
20685,,,470065
20686,,,470066
20687,,,470067
20698,,,470068
20781,,,470071
20782,,,470072
20783,,,470073
20784,,,470074
20785,,,470075
20786,,,470076
20787,,,470077
20798,,,470078
20881,,,470081
20882,,,470082
20883,,,470083
20884,,,470084
20885,,,470085
20898,,,470086
20981,,,470091
20982,,,470092
20983,,,470093
20984,,,470094
20985,,,470095
20998,,,470096
21081,,,470101
21082,,,470102
21083,,,470103
21084,,,470104
21085,,,470105
21086,,,470106
21087,,,470107
21099,,,470108
21181,,,470111
21182,,,470112
21183,,,470113
21184,,,470114
21185,,,470115
21186,,,470116
21187,,,470117
21198,,,470118
21281,,,470121
21282,,,470122
21283,,,470123
21284,,,470124
21285,,,470125
21286,,,470126
21298,,,470127
21381,,,470131
21382,,,470132
21383,,,470133
21384,,,470134
21399,,,470135
21481,,,470141
21482,,,470142
21483,,,470143
21484,,,470144
21485,,,470145
21486,,,470146
21487,,,470147
21498,,,470148
21581,,,470151
21582,,,470152
21583,,,470153
21584,,,470154
21585,,,470155
21586,,,470156
21681,,,470161
21682,,,470162
21683,,,470163
21684,,,470164
21685,,,470165
21781,,,470171
21782,,,470172
21783,,,470173
21784,,,470174
21785,,,470177
21786,,,470176
21787,,,470175
21881,,,470181
21882,,,470185
21883,,,470186
21981,,,470191
21982,,,470192
21983,,,470193
21984,,,470194
21985,,,470195
21986,,,470196
22081,,,470201
22082,,,470202
22083,,,470203
22084,,,470204
22085,,,470205
22086,,,470206
30081,,,472001
30082,,,472002
30083,,,472003
30181,,,472011
30182,,,472012
30183,,,472013
30184,,,472014
30281,,,472021
30282,,,472022
30381,,,472031
30382,,,472032
30481,,,472041
30482,,,472042
30483,,,472043
30484,,,472044
30581,,,472051
30582,,,472052
30583,,,472053
30691,,,472061
30692,,,472062
30693,,,472063
30791,,,472071
30792,,,472072
30793,,,472073
30891,,,472081
30892,,,472082
30893,,,472083
30991,,,472084
30992,,,472085
30993,,,472086
31091,,,472087
31092,,,472088
31093,,,472089
31181,,,472110
31182,,,472111
31183,,,472112
31184,,,472113
31185,,,472114
31186,,,472115
31187,,,472116
31188,,,472117
31189,,,472118
31190,,,472119
31191,,,472120
31281,,,472121
31282,,,472122
31283,,,472123
31284,,,472124
31381,,,472131
31382,,,472132
31383,,,472133
31481,,,472141
31482,,,472142
31483,,,472143
31501,,,472144
31502,,,472145
31503,,,472146
31581,,,472144
31582,,,472145
31583,,,472146
