EventId,EventGroupId,DiceRewardType,BoardId,RewardItemType,RewardItemInfoId,RewardItemCount
331,300,CompleteReward,3,Item,900009,10
332,300,CompleteReward,4,Item,910237,2
333,300,CompleteReward,5,Item,911013,1
334,300,CompleteReward,6,Adena,,50000
335,300,CompleteReward,7,FreeDiamond,,500
336,300,CompleteReward,8,Item,900009,10
337,300,CompleteReward,9,Item,910237,3
338,300,CompleteReward,10,Item,911013,1
339,300,CompleteReward,11,Adena,,100000
340,300,CompleteReward,12,Item,910219,1
341,300,CompleteReward,13,Item,910222,10
342,300,CompleteReward,14,Item,910237,5
343,300,CompleteReward,15,Item,911013,1
501,5,Dice,1,None,,
502,5,Dice,2,Item,400001,200
503,5,Dice,3,Item,490066,30
504,5,Dice,4,Item,510103,1
505,5,Dice,5,Item,452001,1
506,5,Dice,6,Item,440011,10
507,5,Dice,7,Item,490066,10
508,5,Dice,8,Item,490049,20
509,5,Dice,9,Adena,,5000
510,5,Dice,10,Item,490066,10
511,5,Dice,11,Item,452002,1
512,5,Dice,12,Item,510103,1
513,5,Dice,13,FreeDiamond,,30
514,5,Dice,14,Item,490066,10
515,5,Dice,15,Adena,,5000
516,5,Dice,16,Item,490066,10
517,5,Dice,17,Item,400001,200
518,5,Dice,18,Item,452003,1
519,5,Dice,19,FreeDiamond,,30
520,5,Dice,20,Item,490066,10
521,5,Dice,21,Item,510103,1
522,5,Dice,22,Item,490049,20
523,5,Dice,23,Item,490066,10
524,5,Dice,24,Adena,,5000
525,5,Dice,25,Item,440001,10
526,5,Dice,26,FreeDiamond,,30
527,5,Dice,27,Item,490066,10
528,5,Dice,28,Item,510103,1
529,500,CompleteReward,1,Item,490030,2
530,500,CompleteReward,2,Item,900007,3
531,500,CompleteReward,3,Adena,,30000
532,500,CompleteReward,4,Item,900009,10
533,500,CompleteReward,5,Item,910237,2
534,500,CompleteReward,6,Adena,,50000
535,500,CompleteReward,7,FreeDiamond,,500
536,500,CompleteReward,8,Adena,,50000
537,500,CompleteReward,9,Item,900009,10
538,500,CompleteReward,10,Item,910237,3
539,500,CompleteReward,11,Adena,,100000
540,500,CompleteReward,12,Item,910219,1
541,500,CompleteReward,13,Adena,,100000
542,500,CompleteReward,14,Item,910222,10
543,500,CompleteReward,15,Item,910237,5
