Id,PreQuestId,TaskId,NameKey,SpotInfoId,TargetSpotInfoId,Type,RequirePlayerLevel,TaskNameKey,DialogOnly,MiniDialogId,StartNpcSpawnInfoId,StartNpcSpotInfoId,QuestNpcPortrait,QuestNpcNameKey,QuestNpcDialogKey,FinishNpcSpawnInfoId,FinishNpcSpotInfoId,QuestNpcPortrait2,QuestNpcName2Key,QuestNpcDialog2Key,LimitTime,NeverDie,TaskRunInInstance,RemainInstanceWorldEndTask,TaskType,TaskParam,TaskStartPosX,TaskStartPosY,TaskPerformancePosX,TaskPerformancePosY,TaskPerformanceRadius,QuestInitParam,TaskActionConditionType1,TaskActionConditionParam1,TaskActionType1,TaskActionParam1,TaskActionConditionType2,TaskActionConditionParam2,TaskActionType2,TaskActionParam2,TaskActionConditionType3,TaskActionConditionParam3,TaskActionType3,TaskActionParam3,RewardExp,RewardAdena,RewardParam1,RewardCount1,RewardParam2,RewardCount2,RewardParam3,RewardCount3,QuestBGM,BGMFinish,BGMRemain,StartNpcId,FinishNpcId,VisitNpcId,SortId
,,7,9910000100501,101,101,Scenario,,9920000100506,0,,,,Officer,181000000003,9940000100507,,,,0,0,,0,1,1,Waiting,"""type"" : ""Dialog""",14290,40953,14290,40953,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1028
,,8,9910000100501,101,101,Scenario,,9920000100508,0,129,,,,0,0,,,,0,0,,0,1,1,VisitPlace,"""destPos"" : ""12467, 36374"",
""radius"" : 400",12467,36374,12467,36374,,,QuestTaskStarted,,SpawnNpc,"""npcSpawnGroupIdList"" : ""100139""",,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1029
,,9,9910000100501,101,101,Scenario,,9920000100509,0,,,,,0,0,,,,0,0,,0,1,1,KillMonster,"""annihilation"":""true"",
""npcSpawnInfoIdList"":""19899, 19900, 19901"",
""npcInfoIdList"":""220131"",
""targetName"":""오크 전사"",
""totalCount"":3,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",12467,36066,12467,36066,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1030
,,10,9910000100501,101,101,Scenario,,9920000100510,0,126,,,,0,0,,,,0,0,,0,0,0,MonsterWave,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100151, 100140"",
""showMessage"" : ""false""",12467,36149,12467,36149,,,QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":18002},
{""npcSpawnInfoId"":18003},
{""npcSpawnInfoId"":18004},
{""npcSpawnInfoId"":18005}
 ],""weight"":1}",NpcDied,"""npcInfoId"" : 220133",CompleteCurTask,"""questType"" : ""Scenario""",QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""194""}",0,0,0,0,0,0,0,0,9,,1,,,,1031
1006,1005,1,9910000100601,101,101,Scenario,,9920000100601,0,,10002,101,Officer,181000000003,9940000100601,10002,101,,0,0,,0,0,0,Tutorial,"""tutorialInfoId"" : 11",12146,36045,12146,36045,,,,,,,,,,,,,,,217,145,480002,1,,,,,,1,,10144,10144,,1032
1007,1006,1,9910000100701,101,101,Scenario,,9920000100701,0,,10002,101,Officer,181000000003,9940000100701,,,Magician_01_04,10010150,9960000100701,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10010",12927,28464,12927,28464,,,QuestTaskStarted,,ShowMessage,"""stringKey"" : ""QUEST_ACTION_1007_1""",,,,,,,,,151,145,911103,1,,,,,,,,10144,,10150,1033
1008,1007,1,9910000100801,101,101,Scenario,,9920000100801,0,,10010,101,Magician_01_04,10010150,9940000100801,10010,101,Magician_01_04,10010150,9960000100801,,0,0,0,KillMonster,"""npcInfoIdList"":""20121"",
""targetName"":""발굴단원들의 가방"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",11607,27133,11607,27133,,,,,,,,,,,,,,,205,160,440001,2,,,,,,,,10150,10150,,1034
1009,1008,1,9910000100901,101,101,Scenario,,9920000100901,0,,10010,101,Magician_01_04,10010150,9940000100901,10010,101,Magician_01_04,10010150,9960000100901,,0,0,0,KillMonster,"""npcInfoIdList"":""20134"",
""targetName"":""납치범 오크"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",14779,27113,14779,27113,,,,,,,,,,,,,,,381,190,440011,2,,,,,,,,10150,10150,,1035
1010,1009,1,9910000101001,101,101,Scenario,,9920000101001,0,,10010,101,Magician_01_04,10010150,9940000101001,,,WarehouseKeeper_01_02,181000000008,9960000101001,,0,0,0,ControlGadget,"""gadgetGroupId"" : 109,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""발굴단 구출"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",13091,23869,13091,23869,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupIdList"" : ""109, 124, 125"",
""visible"" : ""true""",QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupIdList"" : ""132, 133, 134"",
""visible"" : ""false""",QuestTaskEnded,,SetGadgetVisible,"""gadgetGroupIdList"" : ""109"",
""visible"" : ""false""",512,340,440001,2,,,,,,,,10150,,,1036
,,2,9910000101001,101,101,Scenario,,9920000101002,0,,,,,0,0,,,,0,0,,0,0,0,ControlGadget,"""gadgetGroupId"" : 124,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""발굴단 구출"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",13770,23884,13770,23884,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupIdList"" : ""132"",
""visible"" : ""true""",QuestTaskEnded,,SetGadgetVisible,"""gadgetGroupIdList"" : ""133"",
""visible"" : ""true""",QuestTaskEnded,,SetGadgetVisible,"""gadgetGroupIdList"" : ""124"",
""visible"" : ""false""",0,0,0,0,0,0,0,0,,,,,,,1037
,,3,9910000101001,101,101,Scenario,,9920000101003,0,,,,,0,0,,,,0,0,,0,0,0,ControlGadget,"""gadgetGroupId"" : 125,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""발굴단 구출"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",14060,24011,14060,24011,,,QuestTaskEnded,,SetGadgetVisible,"""gadgetGroupIdList"" : ""134"",
""visible"" : ""true""",QuestTaskEnded,,SetGadgetVisible,"""gadgetGroupIdList"" : ""125"",
""visible"" : ""false""",,,,,0,0,0,0,0,0,0,0,,,,,,,1038
,,4,9910000101001,101,101,Scenario,,9920000101004,0,119,,,,0,0,,,,0,0,,0,1,0,Escort,"""npcSpawnInfoId"" : 11199",13913,24187,13913,24187,,,QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""131""}",QuestTaskEnded,,SetNpcVisible,"""npcSpawnInfoId"" : 11199,
""visible"" : ""false""",,,,,0,0,0,0,0,0,0,0,,,,,,,1039
,,5,9910000101001,101,101,Scenario,,9920000101005,0,,,,,0,0,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 11178",11505,28669,11505,28669,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11178,
""visible"" : ""true""",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,10188,1040
1011,1010,1,9910000101101,101,101,Scenario,,9920000101101,0,,11178,101,WarehouseKeeper_01_02,181000000008,9940000101101,11178,101,,0,0,,0,0,0,Waiting,"""type"" : ""Effect""",11666,28833,11666,28833,,,,,,,,,,,,,,,170,170,480002,1,440001,2,,,,,,10188,10188,,1041
,,2,9910000101101,101,101,Scenario,,9920000101101,0,,,,,0,0,,,,0,0,,0,0,0,Tutorial,"""tutorialInfoId"" : 16",11666,28833,11666,28833,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1042
1012,1011,1,9910000101201,101,101,Scenario,,9920000100701,0,,11178,101,WarehouseKeeper_01_02,181000000008,9940000101201,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10010",12927,28464,12927,28464,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11178,
""visible"" : ""false""",,,,,,,,,174,160,911105,1,,,,,,,,10188,,10150,1043
1013,1012,1,9910000101301,101,101,Scenario,,9920000101301,0,,10010,101,Magician_01_04,10010150,9940000101301,,,,0,0,,0,0,0,VisitPlace,"""destPos"" : ""12927, 28464"",
""radius"" : 500",12927,28464,12927,28464,,,,,,,,,,,,,,,442,250,911103,1,,,,,,,,10150,,,1044
,,2,9910000101301,101,101,Scenario,,9920000101302,0,,,,,0,0,,,,0,0,,0,0,0,CutScene,"""name"" :""AppearanceofDark""",12927,28464,12927,28464,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1045
,,3,9910000101301,101,101,Scenario,,9920000101301,0,,,,,0,0,,,,0,0,,0,0,0,VisitPlace,"""destPos"" : ""14172, 26875""",14172,26875,14172,26875,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoIdList"" : ""10013,15012, 15013, 15014"",
""visible"" : ""true""",,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1046
,,4,9910000101301,101,101,Scenario,,9920000101304,0,,,,DarkAssociation,10010152,9940000101304,,,,0,0,,0,0,0,Waiting,"""type"" : ""Dialog""",14127,26869,14127,26869,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1047
,,5,9910000101301,101,101,Scenario,,9920000101304,0,,,,,0,0,,,,0,0,,0,0,0,MonsterWave,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100102, 100136"",
""showMessage"" : ""false""",14161,26928,14161,26928,,,QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":15014}
 ],""weight"":1}",,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1048
,,6,9910000101301,101,101,Scenario,,9920000101304,0,101,,,,0,0,,,,0,0,,0,0,0,MonsterWave,"""npcSpawnGroupIdList"" : ""100103""",14161,26928,14161,26928,,,NpcDied,"""npcInfoId"" : 220136",CompleteCurTask,"""questType"" : ""Scenario""",QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":15014}
 ],""weight"":1}",,,,,0,0,0,0,0,0,0,0,9,,1,,,,1049
,,7,9910000101301,101,101,Scenario,,9920000101307,0,,,,,0,0,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10013",14335,26665,14335,26665,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoIdList"" : ""15012, 15013"",
""visible"" : ""false""",,,,,,,,,0,0,0,0,0,0,0,0,78,1,1,,,10152,1050
1014,1013,1,9910000101401,101,101,Scenario,,9920000101401,0,,10013,101,DarkAssociation,10010152,9940000101401,,,Magician_01_04,10010150,9960000101401,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10010",12927,28464,12927,28464,,"setNpcVisible :
""npcSpawnInfoIdList : '15014',
 visible : true""",QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoIdList"" : ""10013"",
""visible"" : ""false""",,,,,,,,,140,165,480002,1,,,,,,,,10152,,10150,1051
1015,1014,1,9910000101501,101,101,Scenario,,9920000101501,0,,10010,101,Magician_01_04,10010150,9940000101501,,,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10009",16797,31443,16797,31443,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 10009,
""visible"" : ""true""",,,,,,,,,190,170,911103,1,440001,2,,,,,,10150,,10153,1052
1016,1015,1,9910000101601,101,101,Scenario,,9920000101601,0,,10009,101,Fernel,10010153,9940000101601,10009,101,,0,0,,0,0,0,KillMonster,"""npcInfoIdList"":""20102"",
""targetName"":""늑대인간"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",20763,31756,20763,31756,,,,,,,,,,,,,,,253,180,911102,1,,,,,,,,10153,10153,,1053
1017,1016,1,9910000101701,101,101,Scenario,,9920000101701,0,,10009,101,Fernel,10010153,9940000101701,10009,101,,0,0,,0,0,0,Waiting,"""type"" : ""Effect""",16797,31443,16797,31443,,,,,,,,,,,,,,,509,230,400001,30,440001,2,,,,,,10153,10153,,1054
,,2,9910000101701,101,101,Scenario,,9920000101701,0,,,,,0,0,,,,0,0,,0,0,0,Tutorial,"""tutorialInfoId"" : 12",16797,31443,16797,31443,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1055
,,3,9910000101701,101,101,Scenario,,9920000101701,0,,,,Fernel,10010153,9940000101703,,,,0,0,,0,0,0,Waiting,"""type"" : ""Dialog""",16797,31443,16797,31443,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1056
,,4,9910000101701,101,101,Scenario,,9920000101704,0,,,,,0,0,,,,0,0,,0,0,0,ControlGadget,"""gadgetGroupId"" : 130,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""냄새가 고약한 통"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",18698,31967,18698,31967,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupId"" : 130,
""visible"" : ""true""",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1057
,,5,9910000101701,101,101,Scenario,,9920000101705,0,120,,,,0,0,,,,0,0,,0,0,0,MonsterWave,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100127, 100128""",18849,32084,18849,32084,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupId"" : 130,
""visible"" : ""false""",,,,,,,,,0,0,0,0,0,0,0,0,9,,1,,,,1058
1018,1017,1,9910000101801,101,101,Scenario,,9920000101801,0,,10009,101,Fernel,10010153,9940000101801,10008,101,Student_01_02,10010151,9960000101801,,0,0,0,KillMonster,"""npcInfoIdList"":""20101"",
""targetName"":""초원 흡혈 박쥐"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",19676,30234,19676,30234,,,,,,,,,,,,,,,286,190,440001,2,,,,,,,,10153,10151,,1059
1019,1018,1,9910000101901,101,101,Scenario,,9920000101901,0,,10008,101,Student_01_02,10010151,9940000101901,11100011,211000,Resident_03,10010154,9960000101901,,0,0,0,ControlGadget,"""gadgetGroupId"" : 101,
""totalCount"" : 3,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""고인돌 조각"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",18418,29376,18418,29376,,,,,,,,,,,,,,,619,250,911103,1,,,,,,,,10151,10154,,1060
,,2,9910000101901,101,101,Scenario,,9920000101902,0,,,,Student_01_02,10010151,9940000101902,,,,0,0,,0,0,0,Waiting,"""type"" : ""Dialog""",18418,29376,18418,29376,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1061
,,3,9910000101901,101,101,Scenario,,9920000101903,0,,,,,0,0,,,,0,0,,0,0,0,CutScene,"""name"" : ""BarrierEntrance""",18418,29376,18418,29376,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1062
,,4,9910000101901,101,101,Scenario,,9920000101902,0,,,,,0,0,,,,0,0,,0,0,1,VisitPlace,"""destPos"":""16541, 30033""",16541,30033,16541,30033,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupId"" : 102,
""visible"" : ""true""",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1063
,,5,9910000101901,101,101,Scenario,,9920000101902,0,,,,,0,0,,,,0,0,,0,0,0,Teleport,"""worldInfoId"" : 211000,
""pos"" : ""4941, 8014""",,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1064
1020,1019,1,9910000102001,101,211000,Scenario,,9920000102001,0,102,11100011,211000,Resident_03,10010154,9940000102001,,,,0,0,,0,0,1,MonsterWave,"""npcSpawnGroupIdList"" : ""100114"",
""showMessage"" : ""false""",4930,7436,4930,7436,,,QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""111""}",QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":11100029}
 ],""weight"":1}",QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11100011,
""visible"" : ""true""",374,220,440011,2,,,,,79,,1,10154,,,1065
,,2,9910000102001,101,211000,Scenario,,9920000102002,0,,,,,0,0,,,,0,0,,0,0,1,VisitNpc,"""npcSpawnInfoId"" : 11100011",4930,7336,4930,7336,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,79,,1,,,10154,1066
1021,1020,1,9910000102101,101,211000,Scenario,,9920000102101,0,,11100011,211000,Resident_03,10010154,9940000102101,,,,0,0,,0,0,1,MonsterWave,"""progressType"" : ""Clear"",
""npcSpawnGroupIdList"" : ""100106, 100130, 100115"",
""defaultTargeting"" : ""false"",
""showMessage"" : ""false"",
""escort"" : {
""npcSpawnInfoId"" : 11100025
}",4930,7436,4930,7436,,,QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""111""}",QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11100024,
""visible"" : ""true""",,,,,383,220,911103,1,440011,2,,,79,,1,10154,,,1067
,,2,9910000102101,101,211000,Scenario,,9920000102002,0,,,,,0,0,,,,0,0,,0,0,1,VisitNpc,"""npcSpawnInfoId"" : 11100024",8099,3707,8099,3707,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,79,,1,,,10154,1068
1022,1021,1,9910000102201,101,211000,Scenario,,9920000102201,0,,11100024,211000,Resident_03,10010154,9940000102201,,,,0,0,,0,0,1,MonsterWave,"""npcSpawnGroupIdList"" : ""100119"",
""showMessage"" : ""false""",8299,3707,8299,3707,,,QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""111""}",QuestTaskStarted,,SpawnNpc,"{""spawnInfo"": [
{""npcSpawnInfoId"":11100023}
 ],""weight"":1}",QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11100024,
""visible"" : ""true""",391,225,440001,2,,,,,79,,1,10154,,,1069
,,2,9910000102201,101,211000,Scenario,,9920000102002,0,,,,,0,0,,,,0,0,,0,0,1,VisitNpc,"""npcSpawnInfoId"" : 11100024",8099,3707,8099,3707,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,79,,1,,,10154,1070
1023,1022,1,9910000102301,101,211000,Scenario,,9920000102301,0,,11100024,211000,Resident_03,10010154,9940000102301,,,Resident_03,10010154,9960000102301,,0,0,1,MonsterWave,"""npcSpawnGroupIdList"" : ""100108"",
""defaultTargeting"" : ""false"",
""showMessage"" : ""false""",8278,3797,8278,3797,,,QuestTaskElapsedTime,"""operator"": "">="",
""seconds"": 17",SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""111""}",,,,,,,,,481,230,480001,1,,,,,8,1,1,10154,,,1071
,,2,9910000102301,101,211000,Scenario,,9920000102002,0,,,,,0,0,,,,0,0,,0,0,0,Teleport,"""worldInfoId"" : 211000,
""pos"" : ""9222,3110""",9222,3110,9222,3110,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,
,,3,9910000102301,101,211000,Scenario,,9920000102002,0,,,,,0,0,,,,0,0,,0,0,1,VisitNpc,"""npcSpawnInfoId"" : 11100027",9200,2985,9200,2985,,,QuestTaskStarted,,SetNpcVisible,"""npcSpawnInfoId"" : 11100027,
""visible"" : ""true""",,,,,,,,,0,,,,,,,,,,,,,10154,1072
1024,1023,1,9910000102401,101,211000,Scenario,,9920000102401,0,,11100027,211000,Resident_03,10010154,9940000102401,10008,101,,0,0,,0,0,1,ControlGadget,"""gadgetGroupId"" : 197,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""이동 마법석 사용"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",9517,3019,9517,3019,,,QuestTaskStarted,,SetGadgetVisible,"""gadgetGroupId"" : 197,
""visible"" : ""true""",QuestTaskStarted,,SpawnGadget,"{""weight"" : 1, ""gadgetGroupIdList"" :""111""}",,,,,309,220,911103,1,,,,,,,,10154,10151,,1073
,,2,9910000102401,101,211000,Scenario,,9920000102401,0,,,,,0,0,,,,0,0,,0,0,0,Teleport,"""worldInfoId"" : 1,
""pos"" : ""16541, 30033""",9517,3019,9517,3019,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1074
1025,1024,1,571000000004,101,101,Scenario,,9920000102501,0,,10008,101,Student_01_02,10010151,9940000102501,10008,101,,0,0,,0,0,0,Waiting,"""type"" : ""Effect""",17399,30161,17399,30161,,,,,,,,,,,,,,,256,210,440001,2,,,,,,,,10151,10151,,1075
,,2,571000000004,101,101,Scenario,,9920000102501,0,,,,,0,0,,,,0,0,,0,0,0,Tutorial,"""tutorialInfoId"" : 13",17399,30161,17399,30161,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1076
1026,1025,1,9910000102601,101,101,Scenario,,9920000102601,0,,10008,101,Student_01_02,10010151,9940000102601,,,SmeltingMerchant_01_03,9930000102701,9960000102601,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10015",20740,28587,20740,28587,,,,,,,,,,,,,,,304,200,911102,1,,,,,,,,10151,,10156,1077
1027,1026,1,9910000102701,101,101,Scenario,,9920000102701,0,,10015,101,SmeltingMerchant_01_03,9930000102701,9940000102701,10015,101,SmeltingMerchant_01_03,9930000102701,9960000102701,,0,0,0,KillMonster,"""npcInfoIdList"":""20101"",
""targetName"":""초원 흡혈 박쥐의 고기"",
""totalCount"":6,
""probability"":10000,
""minIncreaseCount"":1,
""maxIncreaseCount"":1",19729,30154,19729,30154,,,,,,,,,,,,,,,270,215,911103,1,,,,,,,,10156,10156,,1078
1028,1027,1,9910000102801,101,101,Scenario,,9920000102801,0,,10015,101,SmeltingMerchant_01_03,9930000102701,9940000102801,10014,101,,0,0,,0,0,0,ControlGadget,"""gadgetGroupId"" : 103,
""totalCount"" : 1,
""rewardList"" : [{""probability"" : 10000, ""targetName"" : ""박쥐 고기 굽기"", ""minIncreaseCount"" : 1, ""maxIncreaseCount"" : 1}]",19933,28009,19933,28009,,,,,,,,,,,,,,,383,215,440001,2,,,,,,,,10156,10157,,1079
1029,1028,1,9910000102901,101,101,Scenario,,9920000102901,0,,10014,101,Resident_05,9930000102901,9940000102901,10016,101,,0,0,,0,0,0,VisitNpc,"""npcSpawnInfoId"" : 10016",23303,25430,23303,25430,,,,,,,,,,,,,,,495,240,911103,1,,,,,,,,10157,10158,10158,1080
,,2,9910000102901,101,101,Scenario,,9920000102902,0,,,,CatTheCat_01,121000000186,9940000102902,,,,0,0,,0,0,0,Waiting,"""type"" : ""Dialog""",23303,25430,23303,25430,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,1081
