Id,GroupId,Voice
203,20,ItemMerchant_Merchant_QuestFinish_3
211,21,Aimel_Aimel_Interaction_1
212,21,Aimel_Aimel_Interaction_2
213,21,Aimel_Aimel_Interaction_3
214,21,Aimel_Aimel_QuestFinish_1
215,21,Aimel_Aimel_QuestFinish_2
216,21,Aimel_Aimel_QuestFinish_3
221,22,Aimel_Aimel_QuestStart_1
222,22,Aimel_Aimel_QuestStart_2
223,22,Aimel_Aimel_QuestStart_3
231,23,LittleGirl_01_Common_Interaction_1
232,23,LittleGirl_01_Common_Interaction_2
233,23,LittleGirl_01_Common_Interaction_3
234,23,LittleGirl_01_Common_QuestStart_1
235,23,LittleGirl_01_Common_QuestStart_2
236,23,LittleGirl_01_Common_QuestStart_3
241,24,LittleGirl_01_Common_QuestFinish_1
242,24,LittleGirl_01_Common_QuestFinish_2
243,24,LittleGirl_01_Common_QuestFinish_3
251,25,LittleGirl_01_Leah_Interaction_1
252,25,LittleGirl_01_Leah_Interaction_2
253,25,LittleGirl_01_Leah_Interaction_3
254,25,LittleGirl_01_Leah_QuestStart_1
255,25,LittleGirl_01_Leah_QuestStart_2
256,25,LittleGirl_01_Leah_QuestStart_3
261,26,LittleGirl_01_Leah_QuestFinish_1
262,26,LittleGirl_01_Leah_QuestFinish_2
263,26,LittleGirl_01_Leah_QuestFinish_3
271,27,Magician_Common_Interaction_1
272,27,Magician_Common_Interaction_2
273,27,Magician_Common_Interaction_3
274,27,Magician_Common_QuestStart_1
275,27,Magician_Common_QuestStart_2
276,27,Magician_Common_QuestStart_3
281,28,Magician_Common_QuestFinish_1
282,28,Magician_Common_QuestFinish_2
283,28,Magician_Common_QuestFinish_3
291,29,Magician_Witch_Interaction_1
292,29,Magician_Witch_Interaction_2
293,29,Magician_Witch_Interaction_3
294,29,Magician_Witch_QuestStart_1
295,29,Magician_Witch_QuestStart_2
296,29,Magician_Witch_QuestStart_3
301,30,Magician_Witch_QuestFinish_1
302,30,Magician_Witch_QuestFinish_2
303,30,Magician_Witch_QuestFinish_3
311,31,Magician_Molly_Interaction_1
312,31,Magician_Molly_Interaction_2
313,31,Magician_Molly_Interaction_3
314,31,Magician_Molly_QuestStart_1
315,31,Magician_Molly_QuestStart_2
316,31,Magician_Molly_QuestStart_3
321,32,Magician_Molly_QuestFinish_1
322,32,Magician_Molly_QuestFinish_2
323,32,Magician_Molly_QuestFinish_3
331,33,Noble_01_Common_Interaction_1
332,33,Noble_01_Common_Interaction_2
333,33,Noble_01_Common_Interaction_3
334,33,Noble_01_Common_QuestStart_1
335,33,Noble_01_Common_QuestStart_2
336,33,Noble_01_Common_QuestStart_3
341,34,Noble_01_Common_QuestFinish_1
342,34,Noble_01_Common_QuestFinish_2
343,34,Noble_01_Common_QuestFinish_3
351,35,Noble_01_Concierge_Interaction_1
352,35,Noble_01_Concierge_Interaction_2
353,35,Noble_01_Concierge_Interaction_3
354,35,Noble_01_Concierge_QuestStart_1
355,35,Noble_01_Concierge_QuestStart_2
356,35,Noble_01_Concierge_QuestStart_3
361,36,Noble_01_Concierge_QuestFinish_1
362,36,Noble_01_Concierge_QuestFinish_2
363,36,Noble_01_Concierge_QuestFinish_3
371,37,Noble_01_Scholar_Interaction_1
372,37,Noble_01_Scholar_Interaction_2
373,37,Noble_01_Scholar_Interaction_3
374,37,Noble_01_Scholar_QuestStart_1
375,37,Noble_01_Scholar_QuestStart_2
376,37,Noble_01_Scholar_QuestStart_3
381,38,Noble_01_Scholar_QuestFinish_1
382,38,Noble_01_Scholar_QuestFinish_2
383,38,Noble_01_Scholar_QuestFinish_3
391,39,Officer_Common_Interaction_1
392,39,Officer_Common_Interaction_2
393,39,Officer_Common_Interaction_3
394,39,Officer_Common_QuestStart_1
395,39,Officer_Common_QuestStart_2
396,39,Officer_Common_QuestStart_3
401,40,Officer_Common_QuestFinish_1
402,40,Officer_Common_QuestFinish_2
403,40,Officer_Common_QuestFinish_3
411,41,Officer_Commander_Interaction_1
412,41,Officer_Commander_Interaction_2
413,41,Officer_Commander_Interaction_3
414,41,Officer_Commander_QuestStart_1
415,41,Officer_Commander_QuestStart_2
416,41,Officer_Commander_QuestStart_3
421,42,Officer_Commander_QuestFinish_1
422,42,Officer_Commander_QuestFinish_2
423,42,Officer_Commander_QuestFinish_3
431,43,Officer_General_Interaction_1
432,43,Officer_General_Interaction_2
433,43,Officer_General_Interaction_3
434,43,Officer_General_QuestStart_1
435,43,Officer_General_QuestStart_2
436,43,Officer_General_QuestStart_3
441,44,Officer_General_QuestFinish_1
442,44,Officer_General_QuestFinish_2
443,44,Officer_General_QuestFinish_3
451,45,Resident_02_Common_Interaction_1
452,45,Resident_02_Common_Interaction_2
453,45,Resident_02_Common_Interaction_3
454,45,Resident_02_Common_QuestStart_1
455,45,Resident_02_Common_QuestStart_2
456,45,Resident_02_Common_QuestStart_3
461,46,Resident_02_Common_QuestFinish_1
462,46,Resident_02_Common_QuestFinish_2
463,46,Resident_02_Common_QuestFinish_3
471,47,Resident_03_Common_Interaction_1
472,47,Resident_03_Common_Interaction_2
473,47,Resident_03_Common_Interaction_3
474,47,Resident_03_Common_QuestStart_1
475,47,Resident_03_Common_QuestStart_2
476,47,Resident_03_Common_QuestStart_3
481,48,Resident_03_Common_QuestFinish_1
482,48,Resident_03_Common_QuestFinish_2
483,48,Resident_03_Common_QuestFinish_3
491,49,Resident_03_Fairy_Interaction_1
492,49,Resident_03_Fairy_Interaction_2
493,49,Resident_03_Fairy_Interaction_3
494,49,Resident_03_Fairy_QuestStart_1
495,49,Resident_03_Fairy_QuestStart_2
496,49,Resident_03_Fairy_QuestStart_3
501,50,Resident_03_Fairy_QuestFinish_1
502,50,Resident_03_Fairy_QuestFinish_2
503,50,Resident_03_Fairy_QuestFinish_3
511,51,SmeltingMerchant_Common_Interaction_1
512,51,SmeltingMerchant_Common_Interaction_2
513,51,SmeltingMerchant_Common_Interaction_3
514,51,SmeltingMerchant_Common_QuestStart_1
515,51,SmeltingMerchant_Common_QuestStart_2
516,51,SmeltingMerchant_Common_QuestStart_3
521,52,SmeltingMerchant_Common_QuestFinish_1
522,52,SmeltingMerchant_Common_QuestFinish_2
523,52,SmeltingMerchant_Common_QuestFinish_3
531,53,SmeltingMerchant_Explorers_Interaction_1
532,53,SmeltingMerchant_Explorers_Interaction_2
533,53,SmeltingMerchant_Explorers_Interaction_3
534,53,SmeltingMerchant_Explorers_QuestStart_1
535,53,SmeltingMerchant_Explorers_QuestStart_2
536,53,SmeltingMerchant_Explorers_QuestStart_3
541,54,SmeltingMerchant_Explorers_QuestFinish_1
542,54,SmeltingMerchant_Explorers_QuestFinish_2
543,54,SmeltingMerchant_Explorers_QuestFinish_3
551,55,SmeltingMerchant_Merchant_Interaction_1
552,55,SmeltingMerchant_Merchant_Interaction_2
553,55,SmeltingMerchant_Merchant_Interaction_3
554,55,SmeltingMerchant_Merchant_QuestStart_1
555,55,SmeltingMerchant_Merchant_QuestStart_2
556,55,SmeltingMerchant_Merchant_QuestStart_3
561,56,SmeltingMerchant_Merchant_QuestFinish_1
562,56,SmeltingMerchant_Merchant_QuestFinish_2
563,56,SmeltingMerchant_Merchant_QuestFinish_3
571,57,Student_Common_Interaction_1
572,57,Student_Common_Interaction_2
573,57,Student_Common_Interaction_3
574,57,Student_Common_QuestStart_1
575,57,Student_Common_QuestStart_2
576,57,Student_Common_QuestStart_3
581,58,Student_Common_QuestFinish_1
582,58,Student_Common_QuestFinish_2
583,58,Student_Common_QuestFinish_3
591,59,Student_Nia_Interaction_1
592,59,Student_Nia_Interaction_2
593,59,Student_Nia_Interaction_3
594,59,Student_Nia_QuestStart_1
595,59,Student_Nia_QuestStart_2
596,59,Student_Nia_QuestStart_3
601,60,Student_Nia_QuestFinish_1
602,60,Student_Nia_QuestFinish_2
603,60,Student_Nia_QuestFinish_3
611,61,Teleporter_01_Common_Interaction_1
612,61,Teleporter_01_Common_Interaction_2
613,61,Teleporter_01_Common_Interaction_3
614,61,Teleporter_01_Common_QuestStart_1
615,61,Teleporter_01_Common_QuestStart_2
616,61,Teleporter_01_Common_QuestStart_3
621,62,Teleporter_01_Common_QuestFinish_1
622,62,Teleporter_01_Common_QuestFinish_2
623,62,Teleporter_01_Common_QuestFinish_3
631,63,Teleporter_01_Witch_Interaction_1
632,63,Teleporter_01_Witch_Interaction_2
633,63,Teleporter_01_Witch_Interaction_3
634,63,Teleporter_01_Witch_QuestStart_1
635,63,Teleporter_01_Witch_QuestStart_2
636,63,Teleporter_01_Witch_QuestStart_3
641,64,Teleporter_01_Witch_QuestFinish_1
642,64,Teleporter_01_Witch_QuestFinish_2
643,64,Teleporter_01_Witch_QuestFinish_3
651,65,Teleporter_01_Teleprter_Interaction_1
652,65,Teleporter_01_Teleprter_Interaction_2
653,65,Teleporter_01_Teleprter_Interaction_3
654,65,Teleporter_01_Teleprter_QuestStart_1
655,65,Teleporter_01_Teleprter_QuestStart_2
656,65,Teleporter_01_Teleprter_QuestStart_3
661,66,Teleporter_01_Teleprter_QuestFinish_1
662,66,Teleporter_01_Teleprter_QuestFinish_2
663,66,Teleporter_01_Teleprter_QuestFinish_3
671,67,TemplePriest_01_Common_Interaction_1
672,67,TemplePriest_01_Common_Interaction_2
673,67,TemplePriest_01_Common_Interaction_3
674,67,TemplePriest_01_Common_QuestStart_1
675,67,TemplePriest_01_Common_QuestStart_2
676,67,TemplePriest_01_Common_QuestStart_3
681,68,TemplePriest_01_Common_QuestFinish_1
682,68,TemplePriest_01_Common_QuestFinish_2
683,68,TemplePriest_01_Common_QuestFinish_3
691,69,TemplePriest_01_Government_Interaction_1
692,69,TemplePriest_01_Government_Interaction_2
693,69,TemplePriest_01_Government_Interaction_3
694,69,TemplePriest_01_Government_QuestStart_1
695,69,TemplePriest_01_Government_QuestStart_2
696,69,TemplePriest_01_Government_QuestStart_3
701,70,TemplePriest_01_Government_QuestFinish_1
702,70,TemplePriest_01_Government_QuestFinish_2
703,70,TemplePriest_01_Government_QuestFinish_3
711,71,WarehouseKeeper_Common_Interaction_1
712,71,WarehouseKeeper_Common_Interaction_2
713,71,WarehouseKeeper_Common_Interaction_3
714,71,WarehouseKeeper_Common_QuestStart_1
715,71,WarehouseKeeper_Common_QuestStart_2
716,71,WarehouseKeeper_Common_QuestStart_3
721,72,WarehouseKeeper_Common_QuestFinish_1
722,72,WarehouseKeeper_Common_QuestFinish_2
723,72,WarehouseKeeper_Common_QuestFinish_3
731,73,WarehouseKeeper_Blacksmith_Interaction_1
732,73,WarehouseKeeper_Blacksmith_Interaction_2
733,73,WarehouseKeeper_Blacksmith_Interaction_3
734,73,WarehouseKeeper_Blacksmith_QuestStart_1
735,73,WarehouseKeeper_Blacksmith_QuestStart_2
736,73,WarehouseKeeper_Blacksmith_QuestStart_3
741,74,WarehouseKeeper_Blacksmith_QuestFinish_1
742,74,WarehouseKeeper_Blacksmith_QuestFinish_2
743,74,WarehouseKeeper_Blacksmith_QuestFinish_3
751,75,WarehouseKeeper_Keeper_Interaction_1
752,75,WarehouseKeeper_Keeper_Interaction_2
753,75,WarehouseKeeper_Keeper_Interaction_3
754,75,WarehouseKeeper_Keeper_QuestStart_1
755,75,WarehouseKeeper_Keeper_QuestStart_2
756,75,WarehouseKeeper_Keeper_QuestStart_3
761,76,WarehouseKeeper_Keeper_QuestFinish_1
762,76,WarehouseKeeper_Keeper_QuestFinish_2
763,76,WarehouseKeeper_Keeper_QuestFinish_3
771,77,Resident_01_Erzebet_Interaction_1
772,77,Resident_01_Erzebet_Interaction_2
773,77,Resident_01_Erzebet_Interaction_3
774,77,Resident_01_Erzebet_QuestStart_1
775,77,Resident_01_Erzebet_QuestStart_2
776,77,Resident_01_Erzebet_QuestStart_3
781,78,Resident_01_Erzebet_QuestFinish_1
782,78,Resident_01_Erzebet_QuestFinish_2
783,78,Resident_01_Erzebet_QuestFinish_3
791,79,HardinsFollower_Theodore_Interaction_1
792,79,HardinsFollower_Theodore_Interaction_2
793,79,HardinsFollower_Theodore_Interaction_3
794,79,HardinsFollower_Theodore_QuestStart_1
795,79,HardinsFollower_Theodore_QuestStart_2
796,79,HardinsFollower_Theodore_QuestStart_3
801,80,HardinsFollower_Theodore_QuestFinish_1
802,80,HardinsFollower_Theodore_QuestFinish_2
803,80,HardinsFollower_Theodore_QuestFinish_3
811,81,Hardin_Dasparion_Interaction_1
812,81,Hardin_Dasparion_Interaction_2
813,81,Hardin_Dasparion_Interaction_3
814,81,Hardin_Dasparion_QuestStart_1
815,81,Hardin_Dasparion_QuestStart_2
816,81,Hardin_Dasparion_QuestStart_3
821,82,Hardin_Dasparion_QuestFinish_1
822,82,Hardin_Dasparion_QuestFinish_2
823,82,Hardin_Dasparion_QuestFinish_3
831,83,Noble_02_Common_Interaction_1
832,83,Noble_02_Common_Interaction_2
833,83,Noble_02_Common_Interaction_3
834,83,Noble_02_Common_QuestStart_1
835,83,Noble_02_Common_QuestStart_2
836,83,Noble_02_Common_QuestStart_3
841,84,Noble_02_Common_QuestFinish_1
842,84,Noble_02_Common_QuestFinish_2
843,84,Noble_02_Common_QuestFinish_3
851,85,Noble_02_Noble_Interaction_1
852,85,Noble_02_Noble_Interaction_2
853,85,Noble_02_Noble_Interaction_3
854,85,Noble_02_Noble_QuestStart_1
855,85,Noble_02_Noble_QuestStart_2
856,85,Noble_02_Noble_QuestStart_3
861,86,Noble_02_Noble_QuestFinish_1
862,86,Noble_02_Noble_QuestFinish_2
863,86,Noble_02_Noble_QuestFinish_3
871,87,Noble_02_Teacher_Interaction_1
872,87,Noble_02_Teacher_Interaction_2
873,87,Noble_02_Teacher_Interaction_3
874,87,Noble_02_Teacher_QuestStart_1
875,87,Noble_02_Teacher_QuestStart_2
876,87,Noble_02_Teacher_QuestStart_3
881,88,Noble_02_Teacher_QuestFinish_1
882,88,Noble_02_Teacher_QuestFinish_2
883,88,Noble_02_Teacher_QuestFinish_3
891,89,Noble_02_Walther_Interaction_1
892,89,Noble_02_Walther_Interaction_2
893,89,Noble_02_Walther_Interaction_3
894,89,Noble_02_Walther_QuestStart_1
895,89,Noble_02_Walther_QuestStart_2
896,89,Noble_02_Walther_QuestStart_3
901,90,Noble_02_Walther_QuestFinish_1
902,90,Noble_02_Walther_QuestFinish_2
903,90,Noble_02_Walther_QuestFinish_3
911,91,Officer_02_Common_Interaction_1
912,91,Officer_02_Common_Interaction_2
913,91,Officer_02_Common_Interaction_3
914,91,Officer_02_Common_QuestStart_1
915,91,Officer_02_Common_QuestStart_2
916,91,Officer_02_Common_QuestStart_3
921,92,Officer_02_Common_QuestFinish_1
922,92,Officer_02_Common_QuestFinish_2
923,92,Officer_02_Common_QuestFinish_3
931,93,Noble_03_Common_Interaction_1
932,93,Noble_03_Common_Interaction_2
933,93,Noble_03_Common_Interaction_3
934,93,Noble_03_Common_QuestStart_1
935,93,Noble_03_Common_QuestStart_2
936,93,Noble_03_Common_QuestStart_3
941,94,Noble_03_Common_QuestFinish_1
942,94,Noble_03_Common_QuestFinish_2
943,94,Noble_03_Common_QuestFinish_3
951,95,Noble_03_Noble_Interaction_1
952,95,Noble_03_Noble_Interaction_2
953,95,Noble_03_Noble_Interaction_3
954,95,Noble_03_Noble_QuestStart_1
955,95,Noble_03_Noble_QuestStart_2
956,95,Noble_03_Noble_QuestStart_1
961,96,Noble_03_Noble_QuestFinish_1
962,96,Noble_03_Noble_QuestFinish_2
963,96,Noble_03_Noble_QuestFinish_3
971,97,Resident_05_Common_Interaction_1
972,97,Resident_05_Common_Interaction_2
973,97,Resident_05_Common_Interaction_3
974,97,Resident_05_Common_QuestStart_1
975,97,Resident_05_Common_QuestStart_2
976,97,Resident_05_Common_QuestStart_3
981,98,Resident_05_Common_QuestFinish_1
982,98,Resident_05_Common_QuestFinish_2
983,98,Resident_05_Common_QuestFinish_3
991,99,Resident_05_Merchant_Interaction_1
992,99,Resident_05_Merchant_Interaction_2
993,99,Resident_05_Merchant_Interaction_3
994,99,Resident_05_Merchant_QuestStart_1
995,99,Resident_05_Merchant_QuestStart_2
996,99,Resident_05_Merchant_QuestStart_3
1001,100,Resident_05_Merchant_QuestFinish_1
1002,100,Resident_05_Merchant_QuestFinish_2
1003,100,Resident_05_Merchant_QuestFinish_3
1011,101,UnKnown_Male_Common_Interaction_1
1012,101,UnKnown_Male_Common_Interaction_2
1013,101,UnKnown_Male_Common_Interaction_3
1014,101,UnKnown_Male_Common_QuestStart_1
1015,101,UnKnown_Male_Common_QuestStart_2
1016,101,UnKnown_Male_Common_QuestStart_3
1021,102,UnKnown_Male_Common_QuestFinish_1
1022,102,UnKnown_Male_Common_QuestFinish_2
1023,102,UnKnown_Male_Common_QuestFinish_3
1031,103,UnKnown_Male_Walther_Interaction_1
1032,103,UnKnown_Male_Walther_Interaction_2
1033,103,UnKnown_Male_Walther_Interaction_3
1034,103,UnKnown_Male_Walther_QuestStart_1
1035,103,UnKnown_Male_Walther_QuestStart_2
1036,103,UnKnown_Male_Walther_QuestStart_3
1041,104,UnKnown_Male_Walther_QuestFinish_1
1042,104,UnKnown_Male_Walther_QuestFinish_2
1043,104,UnKnown_Male_Walther_QuestFinish_3
1051,105,Fernel_Fernel_Interaction_1
1052,105,Fernel_Fernel_Interaction_2
1053,105,Fernel_Fernel_Interaction_3
1054,105,Fernel_Fernel_QuestStart_1
1055,105,Fernel_Fernel_QuestStart_2
1056,105,Fernel_Fernel_QuestStart_3
1061,106,Fernel_Fernel_QuestFinish_1
1062,106,Fernel_Fernel_QuestFinish_2
1063,106,Fernel_Fernel_QuestFinish_3
1071,107,Noble_03_Noble_QuestStart_3
1072,107,Noble_03_Common_Interaction_2
1073,107,Noble_03_Common_Interaction_3
1081,108,Noble_03_Noble_QuestFinish_1
1082,108,Noble_03_Noble_QuestFinish_2
1083,108,Noble_03_Noble_QuestFinish_3
1091,109,Resident_02_Common_Interaction_1
1092,109,Resident_02_Common_Interaction_2
1093,109,Resident_02_Common_QuestStart_3
1094,109,Resident_02_Common_QuestStart_1
1101,110,Resident_02_Common_QuestFinish_1
1102,110,Resident_02_Common_QuestFinish_2
1103,110,Resident_02_Common_QuestFinish_3
1111,111,CatTheCat_Broker_Interaction_1
1112,111,CatTheCat_Broker_Interaction_2
1113,111,CatTheCat_Broker_Interaction_3
1114,111,CatTheCat_Broker_QuestStart_1
1115,111,CatTheCat_Broker_QuestStart_2
1116,111,CatTheCat_Broker_QuestStart_3
1117,111,CatTheCat_Broker_QuestFinish_1
1118,111,CatTheCat_Broker_QuestFinish_2
1119,111,CatTheCat_Broker_QuestFinish_3
1341,134,Unknown_Male_BlackMarket_Interaction_1
1342,134,Unknown_Male_BlackMarket_Interaction_2
1343,134,Unknown_Male_BlackMarket_Interaction_3
1344,134,Unknown_Male_BlackMarket_QuestStart_1
1345,134,Unknown_Male_BlackMarket_QuestStart_2
1346,134,Unknown_Male_BlackMarket_QuestStart_3
1351,135,Unknown_Male_BlackMarket_QuestFinish_1
1352,135,Unknown_Male_BlackMarket_QuestFinish_2
1353,135,Unknown_Male_BlackMarket_QuestFinish_3
1361,136,ItemMerchant_01_Grace_Interaction_1
1362,136,ItemMerchant_01_Grace_Interaction_2
1363,136,ItemMerchant_01_Grace_Interaction_3
1364,136,ItemMerchant_01_Grace_QuestStart_1
1365,136,ItemMerchant_01_Grace_QuestStart_2
1366,136,ItemMerchant_01_Grace_QuestStart_3
1371,137,ItemMerchant_01_Grace_QuestFinish_1
1372,137,ItemMerchant_01_Grace_QuestFinish_2
1373,137,ItemMerchant_01_Grace_QuestFinish_3
