Id,KOValue,ENValue,TWValue,THValue
86,개걸레,b00b*,taobao.com,asshold
87,개넘,b00bs,tmd,asshole
88,개년,b17ch,TWD,assholes
89,개논,b1tch,ＴＷＤ,assinahole
90,개놈,ballsack,T幣,assjuice
91,개뇬,bassterds,uk,assk!sser
92,개뇽,bastardz,unionnet,asskick
93,개눔,basterds,USD,asskickboy
94,개늠,basterdz,ＵＳＤ,asskikr
95,개늠아,BDSM,vagina,asskisser
96,개병신,Be@n B@nd!t,vail,assl!ck
97,개보쥐,Be@n B@ndit,ＶＡＩＬ,asslessone
98,개보지,beaner,vip,asslick
99,개뵹신,beanlicker,www,asslip
100,개부랄,beastiality,YOUXIKA,asslord
101,개불랄,beavereater,ㄇㄉ  ,assman
102,개불알,bestiality,ㄊㄇㄉ,assmast
103,개붕알,bi+ch,ㄊㄋㄋㄉ,assmeat
104,개새,bi7ch,ㄍㄢˋ,assmilk
105,개새끼,biatch,ㄎㄠˋ,assmine
106,개색,bigfatasscow,ㄐ掰,assmite
107,개생퀴,bigtits,ㄐ一ㄢˋ,assmoankey
108,개샠,bigtitties,ㄐ巴,assmong
109,개샤끼,BIMBO,ㄐ八,assmonk
110,개세,binladen,ㄙㄞ你公,assmonkey
111,개세이,BINYA,ㄙㄞ你娘,assmunch
112,개섹,biotch,ㄙㄞ你老母,assowipo
113,개쇄,bitch,ㄙㄞ你老師,assowippo
114,개쇅,bitch*,ㄙㄞ你母,assown
115,개쉐,bitcher,ㄙㄞ你爸,asspack
116,개쉑,bitchers,可待因,asspeddle
117,개쉬바,bitches,可因,assphinct
118,개쉬발,bitchface,可卡葉,assphuck
119,개쉬벌,BitchFaces,可卡因,asspiece
120,개시끼,bitchin,瘸腿幫,asspirate
121,개시바,bitching,假幣,assplug
122,개시발,blackanese,腳本,asspoop
123,개시키,blackenstein,姦,assram
124,개십,blackie,幹,assrape
125,개십새,blacksabbath,硍,assream
126,개십세,blaxican,幹GM,assrip
127,개쌍넘,bloodyhell,幹x,assrob
128,개쌍년,blowjob,幹ㄉ你哇哇叫  ,asstab
129,개쌍놈,blowjob*,幹幹,asstang
130,개쌍뇬,blueball,幹幹叫,asstheif
131,개쌔,bollock,幹幹譙,asstink
132,개쌕기,bollock*,幹雞,asstomp
133,개썌끼,bollocks,幹機,assuck
134,개쎄끼야,bollok,干機掰,assw!pe
135,개쒜리,boner,幹女人猛射精  ,asswack
136,개쓉,boners,奸你,asswater
137,개쓰래기,boob,幹尼,assweed
138,개쓰레기,boob*,幹你,asswhipe
139,개쓰레기잡놈,BOOBIES,幹妳,asswhole
140,개씁,boobs,幹您,asswhop
141,개씨바,boofer,干你娘,asswhore
142,개씨발,booobs,干妳娘,asswip3
143,개씨블,boooobs,干您娘,asswipe
144,개씨뻘,booooobs,幹你娘,asswoop
145,개씨펄,booooooobs,幹妳娘,assylip
146,개씹,bootylicious,幹你娘雞巴毛  ,assynip
147,개씹세,bukake,幹你娘大懶巴,assyniple
148,개자석,bukakke,幹你娘大懶趴  ,asszila
149,개자쉭,bukkake,幹尼娘勒,azzez
150,개자슥,bullshirt,幹你娘臭雞掰,b i t c h
151,개자식,bumsnudel,干你良,b it ch
152,개자씩,burntheblks,干你老母,b itc h
153,개자쥐,burnthejews,干妳老母,b!tch
154,개자지,bustanut,幹你老母,b!tch!n
155,개잡년,bustydusty,幹妳老母,b!tcher
156,개잡놈,butplugg,干你馬,b!tchers
157,개잡지랄,buttbang,干你媽,b!tchez
158,개젓가튼넘,buttboy,干妳馬,b!tchin
159,개젗,buttfloss,干妳媽,b!tching
160,개졋,buttfucker,幹你媽,b0nehead
161,개졎,butthead,幹妳媽,b0ner
162,개조옷,butthhead,幹你媽b,b3eastiality
163,개좃,butthole,幹你媽逼,b3stial
164,개좆,buttlick,幹你祖宗,badass
165,개좇,buttman,幹到,balls
166,개죷,buttmonkey,幹啦,ballz
167,개지랄,buttmuch,幹拎娘,bandit
168,개호러,buttmunch,趕羚羊,bastard
169,걔잡년,Buttmuncher,幹勒,basterd
170,걔잡지랄,buttnugget,幹哩娘操機歪  ,bastid
171,거기나빨아랑,buttocks,幹林,beast!al
172,걸래가튼뇬,buttpirate,姦夫淫婦,beast!ality
173,걸래같은년,butt-pirate,幹死,beastial
174,걸래년,buttplug,干死CS,beastiality
175,게가튼,buttplugs,干死GM,beastility
176,게같은,buttslam,干死客服,beav3er
177,게넘,buttstain,干死你,best!al
178,게년,buttwipe,幹死你,bestial
179,게뇬,c()()n,奸殺,bestiality
180,게눔,c00n,幹我,bi t ch
181,게늠,c0ck,幹我要射了,biach
182,게늠아,c0ck*,幹汝,biatch
183,게보쥐,c0cks,奸淫,bicht
184,게보지,c0cksucker,姦淫  ,bigass
185,게부럴,c0k,奸一奸,bigassball
186,게새기,cabron,幹一干,bigasslip
187,게새끼,callgirl,幹入,bigbooty
188,게색,cameljockey,奸她,bigbutthole
189,게세,cameltoe,幹她,bigcock
190,게섹,candyandes,幹她媽,bigdick
191,게쉐리,cannabis,幹的你挖挖叫  ,bigdik
192,게쉐이,carpetmuncher,幹的你好爽,bigfatass
193,게쉑,CARPORNO,幹譙,bigfuk
194,게쉬키,CARSEX,干七八,biggay
195,게시끼,caucazoid,幹七八,biggaykill
196,게쎄기,cawk,奸他,biggayman
197,게쎄끼,cawks,幹他,biggaypeck
198,게자쉭,cazzo,幹它,biggusdikus
199,게자슥,ch!ngch0ng,幹牠,bigho
200,게자식,ch!nk,幹他媽,bighoe
201,게자쥐,cheapwhore,幹炮,bigjuicynut
202,게자지,cherry boy,奸暴,biglesbian
203,게젓,cherry_boy,幹爆,bignigger
204,게좆,cherryboy,幹呼你勇,bignut
205,게지뢀,Chigger,幹齁你爽,bignutsack
206,경상도,chinaman,強姦,bigoldick
207,계색갸,chinawhite,強姦你,bigschlong
208,계세키,chink,強姦犯,bigslut
209,고무현,chinko,強殲,bigtits
210,굿보지,chinks,江豬媳,bigwang
211,궤색,choad,僵賊,biotch
212,궤섹,chokeoncocks,強暴,bit.ch
213,궤시끼,christilake,強效失意藥,bitc h
214,궤자지,circlejerk,開苞,bitch
215,근친상간,circumcise,客服,bitchass
216,깨쌔끼,cl1t,去你媽,bitcher
217,꼴리다,clirotis,去妳媽,bitchers
218,ㄴㅁ,clit,去您媽,bitches
219,남창,clitoris,去你媽的,bitchfuck
220,내꺼빨아,clits,去你的,bitchin
221,내꺼핧아,clowjob,去妳的,bitching
222,내미랄,cnts,去死吧,bitchqueen
223,내버지,cntz,去祂媽,bitchslap
224,내씨발,cnut,去她媽,bitchwhore
225,내자지,cocaina,去他媽,bitemyass
226,내잠지,cocaine,去它媽,bitemyprick
227,내조지,coccaine,去牠媽,biyotch
228,너거애비,cock,乾爽,bl0wj0bs
229,너거어마이,cock*,激情小電影,bl0wjob
230,너그어미,cockface,激情電影,bl0wjobs
231,노무,cockhead,硬挺,bl0wme
232,노알라,cock-head,慶紅,blow job
233,뉘귀미,cockmunch,莖侯,blowj0b
234,뉘긔미,cockmuncher,雞奸,blowjob
235,뉘기뮈,cocks,雞姦,blowjobs
236,뉘기미,cocksuck*,雞雞,blowjobz
237,뉘김,cocksucked,雞雞在癢,blowm3
238,뉘뮈,cocksucker,雞雞好癢 ,bltch
239,뉘미,cock-sucker,雞賣  ,bonehead
240,뉘미랄,cocksucking,雞麥,boner
241,뉘미럴,cocksucks,雞麥  ,bonerz
242,뉘미룰,cocksuka,雞掰,br0wn3y3
243,뉘미쉬벌,cocksukka,雞歪,br0wneye
244,뉘이미,cocostarfish,系統,br0wntown
245,뉭기리,coitus,系統公告,brown eye
246,뉭기미,cojones,系統訊息,brown3y3
247,느그애미,cokmuncher,雞巴,browneye
248,느그애비,coksucka,雞芭,browntown
249,느그엄마,condom,雞吧,bucket cunt
250,느그에미,coochie,雞疤,budsob
251,느그에비,cootch,雞巴爛,budsop
252,늬귀미,cooter,雞巴濫,bull shit
253,늬긔믜,cooze,雞巴郎做雞巴代,bullsh!t
254,늬긔미,coprophagy,雞巴毛,bullshit
255,늬기뮈,copulate,雞巴在癢,bumfuck
256,늬기미,cornhole,雞八,bumhole
257,늬믜,cornholes,雞叭,bung hole
258,늬미,COSEX,尻,bungh0le
259,늬음마,cracka,睾,butch
260,닁기미,crackdealer,古柯鹼,butt
261,닁김,cracker,靠你媽,butt breath
262,니귀뮈,crackerass,高麗棒子,butt fucker
263,니귀미,crackhead,靠母,butt hair
264,니그으미,crackpipe,靠杯,buttbandit
265,니긔미,cracksmoker,靠背,buttbang
266,니기뮈,creamtits,靠北,buttblister
267,니기믜,Creem,靠妖,buttboink
268,니기미,crystalmeth,靠腰,buttboy
269,니매랄,cullons,靠么,buttbrain
270,니매럴,cumboy,靠妖  ,buttbreath
271,니머럴,cumbubble,高自聯,buttburgelor
272,니뭬랄,cumbucket,高潮,buttburglar
273,니뭬럴,cumcatcher,高治聯,buttburglor
274,니뮈,Cumdump,靠爸,buttbut
275,니뮈쒸발,cumdumpster,睾丸,buttcheek
276,니미,cumeater,哭媽逼,buttcheese
277,니미밑구녕,cumguz,哭夭,buttcrack
278,니미쉬벌,cummer,哭爸,buttcrap
279,니미쒸발,cumming,公告,buttcrust
280,니미쒸블,cumonmyface,共狗,buttfac3
281,니미좃,cums,贛你娘,buttface
282,니밀할,cumshooter,贛您娘,buttfart
283,니보지,cumshot,灨你娘,buttfloss
284,니보지구멍,cumslot,共匪,buttfuc
285,니뽕좃이다,cumstain,戈揚,buttfuck
286,니아범,cumtaster,管理員,buttfuck3r
287,니애미,cunilingus,管理者,buttfucker
288,니애비,cunillingus,官方,buttfugly
289,니어미,cunnilingus,關卓中,buttfuk
290,니어미배째,cunninlingus,狂幹,buttfuz
291,니엄마,Cunnnnt,廣聞,buttgoblin
292,니에미,cunnnt,狂操,buttgrease
293,니에비,cunnter,狂操你全家,buttguy
294,니이미,cunny,掛機,butth0le
295,니자지,cunt,姣西,butth3ad
296,니조개,cunt*,鳩,buttha1r
297,니조게,cuntlick,狗b,butthair
298,니조지다,cuntlicker,狗幹,butthead
299,니좃,cuntlicking,龜公,butthole
300,니좃대로,cunts,口交,buttholio
301,니죠때,cuntz,口交靠,butthymen
302,니할애비,cyberfuc,口交射臉上,buttitch
303,님이럴,cyberfuck,狗娘,buttjuice
304,닝기리,cyberfucked,狗娘養的,buttkice
305,닝기미,cyberfucker,龜頭,buttkick
306,닝기미씹,cyberfuckers,狗卵,buttkik
307,닝기미좃,cyberfucking,狗卵子,buttkiss
308,다무러라,d!ck,狗屁,buttknock
309,닥대가리,d!cksucker,龜孫子,buttlick
310,닥대갈,d1ck,狗屎,buttliquor
311,닥대구빡,d4mn,龜兒子,buttlord
312,닭대가리,dammit,狗養,buttlove
313,닭대갈,damn,狗養的,buttluv
314,닭데갈,damned,狗日靠,buttman
315,닭뒈가리,DAMOIMSEX,狗操,buttmonkey
316,닭쳐,dank,狗操賣逼,buttmunch
317,닳은년,dankhoe,群奸,buttnaked
318,대가뤼,danknugg,群交,buttnugget
319,대갈,darkwanker,軍妓,buttnut
320,대갈빡,darky,群射,buttp1cker
321,대갈통,deancoulter,窮逼,buttpick
322,대저라,debidiamond,捲毛捲雞掰,buttpick3r
323,대져,defecat,跪,buttpicker
324,대주까,derneger,叫雞,buttpirate
325,대줄께,dich,叫屁   ,buttplug
326,대줄년,dichwad,叫床,buttpoop
327,대질래,dick,叫小姐,buttrape
328,대질레,dick*,叫淫  ,buttsex
329,댁빠리,dickhead,叫春  ,buttslam
330,덜은새끼,Dickhole,妓,buttslut
331,덩쉰,dickholster,幾8  ,buttsmack
332,덩신,dike,機機歪歪,buttsniff
333,데가뤼,dike*,妓女,buttstain
334,데가리,dikes,騎女人狂射精,buttsuck
335,데갈,dild0,騎女人狂射精  ,buttwhore
336,데갈텅,dild0s,騎你,buttwipe
337,데갈통,dildo,機掰,c00ter
338,데구빡,DildoMonster,機歪,c0bia
339,데저라,dildos,妓院,c0ck
340,데져,dilld0,騎她,c0cks
341,데져라,dilld0s,起秋,c0cksuck
342,데질레,dimebag,騎他,c0cksucked
343,돈년,dink,機巴,c0cksucker
344,돈새끼,dirtaysanchez,機八,c0cksucking
345,돌겡이,dirttysanchez,機叭,c0cksucks
346,돌림빵,dirtyho,金吉擺,c1rclejerk
347,돌마니,dirtysanchez,金幣,cameljockey
348,돌은넘,ditavontease,捏爆你的奶,castrate
349,돌은년,dlck,娘的,ch1nk
350,돌은새끼,dog-fucker,奶娘,cherrypop
351,돼가리,doggystyle,奶奶的,chinesewhore
352,되질래,dollybuster,奶頭  ,chink
353,둇같은,dominatricks,內射,chinkill
354,뒈가리,dominatrics,奶西,chinkslope
355,뒈져,dominatrix,奶子,chinksrgay
356,뒈져라,donkeypunch,女乃,chinkssuck
357,뒈진다,donkeyribber,女昌,chr1st
358,뒈질,doosh,腦殘,christ
359,뒈질래,dopecheffe,嫩b,circle jerk
360,뒈질레,dumbass,你娘,cl1t
361,뒤싸질놈,dunecoon,你娘雞掰,clam
362,뒤여질놈,dyck,你娘咧,clit
363,뒤저라,dyckwad,你娘卡好,clit0ris
364,뒤져,dyke,妳娘的,clitlick
365,뒤짐,ejackulate,你大爺,clitoral
366,드러운뇬,ejaculate,妳老母的,clitorious
367,등쉰,ejaculated,你媽,clitoris
368,등시,ejaculates,你媽了妹,cobia
369,등신,ejaculating,你馬的,cock
370,듸랄,ejaculatings,你媽的,cockandball
371,듸져,ejaculation,妳馬的,cockbite
372,디랄,ejakulate,妳媽的,cockboy
373,디람,enema,你媽逼,cockface
374,디럴,erection,您母卡好,cockhead
375,디저라,erotic,您杯卡好,cocklick
376,디져,escroto,你是雞,cocknball
377,디져라,esperm,你是鴨,cocks
378,디진다,euthanasie,你她馬的,cocksmoke
379,디질껴,extasy,你他媽的,cocksniff
380,디질래,F U C K,你爸,cocksuck
381,디질레,f u c k y o u,蛋蛋,cocksucked
382,따먹어,f_u_c_k,大b,cocksucker
383,따무라,F0CK,大莖,cocksucking
384,따묵기,F0urskin,大雞掰,cocksucks
385,딸녀,f4nny,大雞巴,cocktease
386,딸따뤼,facial,大懶啪,coksuck
387,딸따리,facism,大懶巴,condomeat
388,딸순이,fack,大懶趴,condomlick
389,딸치냐,faen,代練,condommunch
390,떠라이,fag,大麻,condomsniff
391,떡걸,fag*,大麻樹脂,coochie
392,떡촌,fag1t,大麻油,coonfuck
393,떡치기,faget,臺灣狗,cooter
394,떨겡이,fagg1t,大變,crackwhore
395,떨마니,fagging,大比,crap
396,떨아이,faggit,大便,crazychink
397,띠부랄,faggitt,臺幣,crazyjap
398,띠불,faggot,大逼,creamycunt
399,룸섹스,faggs,大血比,creamyknick
400,리타,fagit,大花逼,creamypant
401,ㅁㅈㅎ,fagot,淘寶,crotchsniff
402,막간년,fagots,盜竊犯,crotchwatch
403,막대쑤셔줘,fags,東亞病夫,cuckmysock
404,막대핧아줘,fagz,杜冷丁,cumbubble
405,말버지,faig,懶8,cumbucket
406,말좆,faigs,懶教,cumburp
407,맛간년,fakeboobs,懶叫,cumgargle
408,맛없는년,fannyflaps,懶啪  ,cumguzzle
409,맛이간년,fannyfucker,懶趴,cumindabum
410,매춘,Fapchug,懶巴  ,cumlick
411,매친뇬,FapFapFap,喇叭,cumm!ng
412,멍청한년,FapFapFapFap,懶八,cumm3r
413,메갈,Fapper,爛B,cummbubble
414,메갈리아,Fappmachine,亂交,cummer
415,메친,FappMunch,亂倫,cumming
416,메틴넘,fatass,爛比,cumofsomeguy
417,몸파는,fawk,爛屄,cumonme
418,몸파라,fawker,爛鳥,cumonmytummy
419,뮈칀세끼,FCK,爛屌,cumonu
420,뮈칀세리,FCKER,爛逼,cumquat
421,뮈칀세이,FCKR,爛貨,cums
422,뮈칀섹끼,FCKU,濫交,cumsalot
423,뮈친세리,fcuk,覽叫,cumsh0t
424,뮈친세이,fcuker,拉K,cumshot
425,뮈친섹끼,fcuking,浪叫,cumslut
426,뮈친쉑이,FEALLATIO,來幹,cumstain
427,미씨촌,feces,來幹一炮,cumswallow
428,미이친뇬,feck,來插我,cumz
429,미췬,fecker,來爽我,cun1lingus
430,미췬세끼,felatio,老雞排,cun1llingus
431,미칀,felch,露兩點,cunalingus
432,미친개새끼,felcher,老母,cungalingus
433,미친개색기,felching,老毛子,cunilingus
434,미친개쉑,fellate,露三點,cunillingus
435,미친년,fellatio,老二,cunn1lingus
436,미친놈,feltch,露一點,cunnilingus
437,미친뇬,FEMSUB,老逼,cunningilus
438,미친싸앙년,fetish,輪奸,cunny
439,미친싸앙놈,FETISHWOMAN,輪姦,cunt
440,미친쌍농,fetus,輪幹,cuntface
441,미친쌍뇽,filthymuslim,輪流幹,cunthead
442,미친썅년,fingerbang,輪盤賭,cuntl1ck
443,미친썅놈,fingerfuck,淋病,cuntl1cker
444,미친쓰레기,fingerfucked,媽B,cuntl1cking
445,미친씨발,fingerfucker,媽個,cuntlick
446,미친씹쌔,fingerfuckers,媽個B,cuntlicker
447,미친씹쌔끼,fingerfucking,媽你個B ,cuntlicking
448,미친씹쎄끼,fingerfucks,媽你個逼 ,cuntlip
449,미친좃대가리,fistfuck,媽你的B,cunts
450,미칭논아,fistfucked,媽你的b ,cuntt
451,미튄,fistfucker,媽你的逼,cuntylip
452,미티넘,fistfuckers,媽媽的,cuntz
453,미틴,fistfucking,馬賣馬屁,cyb3erfucked
454,민주화,fistfuckings,媽賣媽屁,cyb3rfuc
455,밑구녕,fistfucks,媽批,cyb3rfuck
456,밑구멍,fisting,媽比,cyb3rfucker
457,바근가시네,fluffer,碼的,cyb3rfuckers
458,백보지,focker,馬的,cyb3rfucking
459,뱅신,fockerz,媽的,cyberfuc
460,뱅신시키,fook,媽的B,cyberfuck
461,버쥐,fooker,麻醉乙醚,cyberfucked
462,버즤,foreplay,媽逼,cyberfucker
463,버지물,foreskin,媽逼靠,cyberfuckers
464,버짓물,fornicat,網管,cyberfucking
465,벙섹,fostersmunch,網石,cyberfuckz
466,벵신,fu c k,網石棒辣椒,d0ng
467,벼엉시나,fu c k y o u,網愛,d0uchebag
468,벼엉시이,fu(*,賣B,d1ck
469,벼엉신,fuck,賣ID,d1inks
470,벼잉신,Fuck Head,賣QQ,d1ke
471,병닥,Fuck Off,賣橘子,d1ldo
472,병딱,fuck u,梅毒,d1ldos
473,병쉬,Fuck You,買賣槍支,d1nk
474,병쉰,fucka,賣比,d1pshit
475,병싀,fucked,賣軟體,dad u die
476,병싄아,fucker,賣淫,dad you dead
477,병시,fuckers,賣卡,dago
478,병신새,FUCKFACE,賣帳號,damn
479,병신쉐리,fuckhead,買點數,dasskick
480,병신쉐이,fuckheads,賣點數,dicckweed
481,병어신,fuckin,買點卡,dicface
482,병엉신,fucking,賣點卡,dichead
483,보뒤,Fucking Asshole,賣逼,dick
484,보랄,Fucking Bastard,賣號,dickbrain
485,보럴,fuckings,賣號靠,dickhead
486,보슬아치,fuckingshitmotherfucker,猛插,dicklick
487,보오지,fuckme,綿恒,dickwad
488,보쥐,FUCKR,摸咪咪,dickweed
489,보쥐털,fucks,沒屁眼,dicwad
490,보즤,FucktheHo,夢遺,dike
491,보지구녕,fucku,蒙塵藥,dildo
492,보지뇬,FUCKUP,無能,dildos
493,보짓년,fuckwhit,無恥,dink
494,보짓물,fuckwit,無恥之徒,dinks
495,보짖물,Fuckyou,迷奸,dipshit
496,보털,fuck-you,迷奸藥,dlldo
497,봇털,fudgepacker,美女視頻,doggystyle
498,봉신,fuk,迷殲藥,dong
499,뵝신,fuk*,迷藥,dorr
500,뵹신,fukah,迷魂藥,douche bag
501,부뢀,fukass,迷幻藥,douchebag
502,부카케,fuken,密穴,dumazz
503,불알,fuker,發q,dumbass
504,붕뛴,fukin,勃起,dumbazz
505,붕싄,fuking,發騷,dyke
506,붕신,fukk,幫我吹喇叭,e- doog
507,뷔웅신,fukkah,扒光,e hia
508,뷩세,fukken,白老鼠,e hoy
509,뷩쉬,fukker,白目,e na dan
510,뷩쉰,fukkin,白粉,e sud
511,뷩싄,fuks,白癡,e wain
512,뷩시,fukwhit,法克,e wane
513,뷩신,fukwit,變態,e wen
514,븅따,fusck,鴇,e.dog
515,븅딱,fux,保險套,e-dog
516,븅새끼,fux0r,棒辣椒,edok
517,븅쉰,g00c,仆街,ejaculate
518,븅시나,g00k,阝月,ejaculated
519,븅신,g0oc,北加,ejaculates
520,브라알,g0ok,北爛,ejaculati0n
521,브랄,GAGASEXY,北七,ejaculating
522,블알,gagepowers,噴尿,ejaculatings
523,븡딱,GAJASEX,噴你,ejaculation
524,븡신,gangbang,笨屄,F A C K
525,븡알,gangbanged,噴精,F U C K
526,븨융신,gangbangs,噴精在臉上,F U C K - Y O U
527,빙쉰,gangrape,笨逼,F u c k U
528,빙신쉐리,GANGSHAQ,妣,f u c k y o u
529,빙신쉐이,ganja,屄,F U C K YOU
530,빙신아,gay,屄毛,f u ck
531,빠구뤼,gayboy,肥西,f uck
532,빠구리,gaygirl,屁眼,f uu c k
533,빠꾸뤼,gaylord,賓周,f v c k
534,빠꾸리,gayoverlord,冰毒,f!stfucks
535,빡순이,gaysex,私/服,f*ck
536,빡촌,gayz,傻B,f*u*c*k
537,빡통,genital,死GM,f..u....c.....k
538,빨자좃,GENITALIA,死JB,f..u..c..k..
539,빽보지,genitals,駛你公,f..u.c.k
540,빽자지,genocide,駛你娘,F.U.C.K
541,뻐뀨,ginawild,駛你老母,f.u.c.k.
542,뻐르나,gingerhill,駛你老師,f.u.c.k.y.o.u.
543,뻐르너,gizzing,駛你母,f.uck
544,뻐르노,GLORY HOLE,駛你爸,F_U_C_K_U
545,뻐큐,gloryhole,師濤,f+u+c+k
546,뻐킹,go0c,死白  ,f1ngerfuck
547,뻑뀨,go0K,私服,f1ngerfucked
548,뻑유,Goatbanger,私-服,f1ngerfuckz
549,뻑큐,goatse,私—服,f1stficking
550,뻨유,god damn,伺服器,f1stfuck
551,뻨큐,GODAMMET,傻比,f1stfucked
552,뽀로노,GODAMMIT,傻屄,f1stfucker
553,뽀르나,GODDAMMET,傻子,f1stfuckers
554,뽀르너,GODDAMMIT,死全家,f1stfuckings
555,뽀르노,goddamn,射精,f1stfuckz
556,뽀쥐,goebbels,私處,fag0t
557,뽀쥐털,gofukyorself,死破麻,fag0ts
558,뽀즤,GOJASEX,傻逼,fag0tz
559,뽀지,goldenshower,三個代婊,fagg0t
560,뽁큐,gooc,三個呆婊,fagg1ng
561,뽈로노,gooch,三去車侖,fagg1t
562,뿌랄,goochgravy,三級片,fagg3t
563,뿌럴,gook,三陪,fagget
564,뿔알,gookenator,三陪女,fagging
565,뿡알,gspot,三唑,faggit
566,쁑신,gutterslut,三唑侖,faggot
567,삐꾸,h!tl3r,三八雞,faggs
568,삥신,h!tler,三八機,faggz
569,사kkasi,h00r,三浦愛佳,fagot
570,사까쉬,h0ar,插GM,fagots
571,사까시,h0m0,插你,fags
572,사까치,h0r,插妳,fagz
573,사앙녀,h0re,插你媽,fannybatter
574,사창가,h4x0r,插死你,fannycream
575,사카시,hach[ií]s,插插,fannyfart
576,사카씨,"Hair Pie,",插深些,fannyhair
577,삭바가지,hairyhorny,插我,fannyjuice
578,삭박아지,handjob,插她,fart
579,산업화,hardboob,插他,fart1ng
580,삿깟시,HARDCORE,上你,fart1ngs
581,상놈쉑,HARDCOREPORNO,上妳,fart3d
582,상뇬,hardcoresex,爽你,farted
583,상늠,heidifleiss,想上你,farting
584,상늠쉑,Heilhitler,商城幣,fartings
585,새꺄,hentai,塞你公,fartingz
586,새대가리,hentail,塞你娘,farts
587,새대갈,hero[ií]na,賽你娘,farty
588,새대구빡,Heroinuser,賽妳娘,fartz
589,새데가리,herpies,塞你娘卡好,fatass
590,새데갈,Hetero,塞你老母,fatazz
591,새데구빡,Heterosexual,賽你老母,father dead
592,새킈,himen,賽你老北,father die
593,새키,hitler,塞你老師,father ming daed ror
594,색긔,HitlerAdolph,賽你老師,father u dead
595,색뀌,holocaust,塞你母,father u die
596,색끼,holybijesis,賽你母,father u died
597,색녀,holywanker,賽妳阿母,father you dead
598,색수,homo,塞你爸,father you died
599,색스,homoerectus,賽你爸,father your dead
600,색쑤,homos,賽她娘,fatherdie
601,색쓰,Homosexual,賽他娘,fats0
