Index,Id,NameKey,Type,Operation,Parameter,StartAttack,FireOnFinish
400203852,40020385,0,Sequence,Teleport,Rear,0,0
400203853,40020385,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203861,40020386,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203862,40020386,0,Sequence,Teleport,Rear,0,0
400203863,40020386,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203871,40020387,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203872,40020387,0,Sequence,Teleport,Rear,0,0
400203873,40020387,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203881,40020388,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203882,40020388,0,Sequence,Teleport,Rear,0,0
400203883,40020388,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203891,40020389,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203892,40020389,0,Sequence,Teleport,Rear,0,0
400203893,40020389,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203901,40020390,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203902,40020390,0,Sequence,Teleport,Rear,0,0
400203903,40020390,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203911,40020391,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203912,40020391,0,Sequence,Teleport,Rear,0,0
400203913,40020391,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203921,40020392,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203922,40020392,0,Sequence,Teleport,Rear,0,0
400203923,40020392,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203931,40020393,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203932,40020393,0,Sequence,Teleport,Rear,0,0
400203933,40020393,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203941,40020394,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203942,40020394,0,Sequence,Teleport,Rear,0,0
400203943,40020394,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203951,40020395,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203952,40020395,0,Sequence,Teleport,Rear,0,0
400203953,40020395,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203961,40020396,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203962,40020396,0,Sequence,Teleport,Rear,0,0
400203963,40020396,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400203981,40020398,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400203982,40020398,0,Sequence,Teleport,Rear,0,0
400203983,40020398,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400204371,40020437,0,Group,Shift,"Dist:30, Duration:0.3",1,0
400204381,40020438,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204382,40020438,0,Sequence,Teleport,Rear,0,0
400204383,40020438,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204451,40020445,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204452,40020445,0,Sequence,Teleport,Rear,0,0
400204453,40020445,0,Sequence,Fade,"Type:In, Time:0.7",0,1
400204791,40020479,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204792,40020479,0,Sequence,Teleport,Rear,0,0
400204793,40020479,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204801,40020480,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204802,40020480,0,Sequence,Teleport,Rear,0,0
400204803,40020480,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204811,40020481,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204812,40020481,0,Sequence,Teleport,Rear,0,0
400204813,40020481,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204821,40020482,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204822,40020482,0,Sequence,Teleport,Rear,0,0
400204823,40020482,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204831,40020483,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204832,40020483,0,Sequence,Teleport,Rear,0,0
400204833,40020483,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204841,40020484,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204842,40020484,0,Sequence,Teleport,Rear,0,0
400204843,40020484,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204851,40020485,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204852,40020485,0,Sequence,Teleport,Rear,0,0
400204853,40020485,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204861,40020486,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204862,40020486,0,Sequence,Teleport,Rear,0,0
400204863,40020486,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204871,40020487,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204872,40020487,0,Sequence,Teleport,Rear,0,0
400204873,40020487,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204881,40020488,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204882,40020488,0,Sequence,Teleport,Rear,0,0
400204883,40020488,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204891,40020489,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204892,40020489,0,Sequence,Teleport,Rear,0,0
400204893,40020489,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204901,40020490,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204902,40020490,0,Sequence,Teleport,Rear,0,0
400204903,40020490,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204911,40020491,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204912,40020491,0,Sequence,Teleport,Rear,0,0
400204913,40020491,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204921,40020492,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204922,40020492,0,Sequence,Teleport,Rear,0,0
400204923,40020492,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204931,40020493,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204932,40020493,0,Sequence,Teleport,Rear,0,0
400204933,40020493,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204941,40020494,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204942,40020494,0,Sequence,Teleport,Rear,0,0
400204943,40020494,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204951,40020495,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204952,40020495,0,Sequence,Teleport,Rear,0,0
400204953,40020495,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204961,40020496,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204962,40020496,0,Sequence,Teleport,Rear,0,0
400204963,40020496,0,Sequence,Fade,"Type:In, Time:0.1",0,1
400204981,40020498,0,Sequence,Fade,"Type:Out, Time:0.1",1,0
400204982,40020498,0,Sequence,Teleport,Rear,0,0
400204983,40020498,0,Sequence,Fade,"Type:In, Time:0.7",0,1
78,73027,0,Sequence,Teleport,Rear,1,1
