Id,MssionGrade,NameKey,DescKey,TaskType,TaskCount,AutoCompleteTime,PassCost,RewardExp,RewardAdena,RewardIcon,MissionIcon
1018,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1019,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1020,4,501000001020,502000001020,Count_QuestScroll,1,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1021,4,501000000021,502000000021,Count_UseItem,500,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1022,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1023,5,501000000020,502000000020,Count_ItemLevelUp,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1024,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1025,5,501000000022,502000000022,If_AttackDamage,2000,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1026,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1027,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1028,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1029,5,501000000002,502000000002,If_MaxCombo,400,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1030,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1031,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1032,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1033,1,501000000004,502000000004,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1034,1,501000000017,502000000017,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1035,1,501000000005,502000000005,Count_AcquiredItem,30,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1036,2,501000000007,502000000032,Count_KillMonster_Region,70,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1037,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1038,2,501000001009,502000000003,Count_UseItem,20,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1039,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1040,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1041,3,501000001012,502000001012,Count_Combination,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1042,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1043,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1044,3,501000000003,502000000014,Count_UseItem,45,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1045,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1046,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1047,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1048,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1049,4,501000001020,502000001020,Count_QuestScroll,1,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1050,4,501000000021,502000000021,Count_UseItem,500,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1051,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1052,5,501000000020,502000000020,Count_ItemLevelUp,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1053,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1054,5,501000000022,502000000022,If_AttackDamage,2000,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1055,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1056,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1057,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1058,5,501000000002,502000000002,If_MaxCombo,400,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1059,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1060,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1061,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1062,1,501000000004,502000000004,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1063,1,501000000017,502000000017,Count_AcquiredItem,3,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1064,1,501000000005,502000000005,Count_AcquiredItem,30,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1065,2,501000000007,502000000048,Count_KillMonster_Region,70,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1066,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1067,2,501000001009,502000000003,Count_UseItem,20,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1068,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1069,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1070,3,501000001012,502000001012,Count_Combination,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1071,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1072,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1073,3,501000000003,502000000014,Count_UseItem,45,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1074,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1075,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1076,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1077,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1078,4,501000001020,502000001020,Count_QuestScroll,1,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1079,4,501000000021,502000000021,Count_UseItem,500,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1080,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1081,5,501000000020,502000000020,Count_ItemLevelUp,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1082,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1083,5,501000000022,502000000022,If_AttackDamage,2000,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1084,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1085,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1086,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1087,5,501000001087,502000001087,Count_GuildHelp,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1088,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1089,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1090,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1091,1,501000000004,502000000004,Count_AcquiredItem,5,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1092,1,501000000017,502000000017,Count_AcquiredItem,6,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1093,1,501000000005,502000000005,Count_AcquiredItem,40,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1094,2,501000000007,502000000048,Count_KillMonster_Region,70,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1095,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1096,2,501000001009,502000000003,Count_UseItem,30,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1097,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1098,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1099,3,501000001012,502000001012,Count_Combination,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1100,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1101,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1102,3,501000000003,502000000014,Count_UseItem,65,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1103,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1104,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1105,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1106,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1107,4,501000001020,502000001020,Count_QuestScroll,2,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1108,4,501000000021,502000000021,Count_UseItem,1000,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1109,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,0,0,UI_Icon_RankS_RE,DailyMissionRankS
1110,5,501000000020,502000000020,Count_ItemLevelUp,7,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1111,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1112,5,501000000007,502000000048,Count_KillMonster_Region,200,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1113,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1114,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1115,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1116,5,501000001087,502000001087,Count_GuildHelp,1,18000,25000,0,0,UI_Icon_RankR_RE,DailyMissionRankR
1117,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1118,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1119,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1120,1,501000000004,502000000004,Count_AcquiredItem,5,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1121,1,501000000017,502000000017,Count_AcquiredItem,6,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1122,1,501000000005,502000000005,Count_AcquiredItem,40,3600,5000,0,0,UI_Icon_RankC_RE,DailyMissionRankC
1123,2,501000000007,502000000058,Count_KillMonster_Region,70,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1124,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1125,2,501000001009,502000000003,Count_UseItem,30,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1126,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1127,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,0,0,UI_Icon_RankB_RE,DailyMissionRankB
1128,3,501000001012,502000001012,Count_Combination,1,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1129,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,0,0,UI_Icon_RankA_RE,DailyMissionRankA
1130,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1131,3,501000000003,502000000014,Count_UseItem,65,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1132,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1133,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1134,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1135,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1136,4,501000001020,502000001020,Count_QuestScroll,2,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1137,4,501000000021,502000000021,Count_UseItem,1000,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1138,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1139,5,501000000020,502000000020,Count_ItemLevelUp,7,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1140,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1141,5,501000000007,502000000058,Count_KillMonster_Region,200,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1142,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1143,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1144,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1145,5,501000001087,502000001087,Count_GuildHelp,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1146,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1147,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1148,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1149,1,501000000004,502000000004,Count_AcquiredItem,5,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1150,1,501000000017,502000000017,Count_AcquiredItem,6,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1151,1,501000000005,502000000005,Count_AcquiredItem,40,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1152,2,501000001152,502000001152,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1153,2,501000000007,502000000058,Count_KillMonster_Region,70,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1154,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1155,2,501000001009,502000000003,Count_UseItem,30,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1156,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1157,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1158,3,501000001012,502000001012,Count_Combination,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1159,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1160,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1161,3,501000000003,502000000014,Count_UseItem,65,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1162,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1163,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1164,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1165,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1166,4,501000001020,502000001020,Count_QuestScroll,3,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1167,4,501000000021,502000000021,Count_UseItem,1000,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1168,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1169,4,501000001152,502000001169,Count_PetItemLevelUp,7,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1170,5,501000000020,502000000020,Count_ItemLevelUp,7,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1171,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1172,5,501000000007,502000000058,Count_KillMonster_Region,200,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1173,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1174,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1175,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1176,5,501000001087,502000001087,Count_GuildHelp,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1177,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1178,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1179,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1180,1,501000000004,502000000004,Count_AcquiredItem,5,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1181,1,501000000017,502000000017,Count_AcquiredItem,6,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1182,1,501000000005,502000000005,Count_AcquiredItem,40,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1183,2,501000001152,502000001152,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1184,2,501000000007,502000000074,Count_KillMonster_Region,70,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1185,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1186,2,501000001009,502000000003,Count_UseItem,30,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1187,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1188,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1189,3,501000001012,502000001012,Count_Combination,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1190,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1191,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1192,3,501000000003,502000000014,Count_UseItem,65,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1193,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1194,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1195,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1196,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1197,4,501000001020,502000001020,Count_QuestScroll,3,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1198,4,501000000021,502000000021,Count_UseItem,1000,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1199,4,501000000002,502000000002,If_MaxCombo,350,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1200,4,501000001152,502000001169,Count_PetItemLevelUp,7,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1201,5,501000000020,502000000020,Count_ItemLevelUp,7,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1202,5,501000001024,502000001024,Count_AcquiredPoint,10,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1203,5,501000000007,502000000074,Count_KillMonster_Region,200,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1204,5,501000000015,502000000015,If_ArenaWinStreak,3,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1205,5,501000001027,502000001027,Count_AcquiredItem,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1206,5,501000000001,502000000001,Count_KillMonster,250,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1207,5,501000001087,502000001087,Count_GuildHelp,1,18000,25000,,,UI_Icon_RankR_RE,DailyMissionRankR
1208,1,501000000001,502000000001,Count_KillMonster,50,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1209,1,501000000010,502000000010,Count_PlayRegularDungeon,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1210,1,501000001003,502000001003,Count_PlayGuildAgit,1,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1211,1,501000000004,502000000004,Count_AcquiredItem,5,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1212,1,501000000017,502000000017,Count_AcquiredItem,6,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1213,1,501000000005,502000000005,Count_AcquiredItem,40,3600,5000,,,UI_Icon_RankC_RE,DailyMissionRankC
1214,2,501000001152,502000001152,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1215,2,501000000007,502000000084,Count_KillMonster_Region,70,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1216,2,501000000001,502000000001,Count_KillMonster,100,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1217,2,501000001009,502000000003,Count_UseItem,30,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1218,2,501000000009,502000000009,Count_AcquiredItem,3,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1219,2,501000000002,502000000002,If_MaxCombo,200,7200,10000,,,UI_Icon_RankB_RE,DailyMissionRankB
1220,3,501000001012,502000001012,Count_Combination,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1221,3,501000000001,502000000001,Count_KillMonster,150,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1222,3,501000001014,502000001014,Count_BuyShopItem,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1223,3,501000000003,502000000014,Count_UseItem,65,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1224,3,501000000002,502000000002,If_MaxCombo,300,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1225,3,501000001017,502000001017,Count_Decomposition,1,10800,15000,,,UI_Icon_RankA_RE,DailyMissionRankA
1226,4,501000000015,502000000015,If_ArenaWinStreak,2,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1227,4,501000000001,502000000001,Count_KillMonster,200,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1228,4,501000001020,502000001020,Count_QuestScroll,3,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
1229,4,501000000021,502000000021,Count_UseItem,1000,14400,20000,,,UI_Icon_RankS_RE,DailyMissionRankS
