Id,Type,NameKey,WorldMove,ActivateType,ActivateValue,BpName,ControlPath,QuestPanelControlBlock,ItemRecommendPopup,AccountLinked,BpName2,ControlPath2,HelpUpdateGuideId,ActivatePopup
101,Optional,4013,1,EssentialTutorialCompleted,,BP_FriendUI,,0,,0,,,,1
102,Optional,731000000327,1,EssentialTutorialCompleted,,BP_PartyMenuUI,,0,,0,,,,1
105,Optional,731000000037,1,EssentialTutorialCompleted,,BP_MainMenuUI,ButtonAuctionHouse,0,,1,,,,1
112,Optional,731000001032,1,EssentialTutorialCompleted,19,BP_TotalQuestMenuUI,CheckBoxDailyQuest,0,,0,,,,1
113,Optional,731000001043,1,EssentialTutorialCompleted,20,BP_TotalQuestMenuUI,CheckBoxWeeklyQuest,0,,0,,,,1
114,Optional,191000000114,1,GuildJoined,1,BP_MainMenuUI,ButtonGuildMain,0,,0,,,,1
115,Optional,731000000878,1,GuildNotJoined,20,BP_MainMenuUI,,0,,0,,,,1
116,Optional,251000000091,1,GuildJoined,2,BP_GuildUI,ButtonGuildQuest,0,,0,,,,1
117,Optional,2010,1,EssentialTutorialCompleted,,BP_SelectGuildDungeonUI,,0,,0,,,,1
118,Optional,191000000118,1,EssentialTutorialCompleted,,BP_TotalQuestMenuUI,,0,,0,,,,1
119,Optional,731000001712,1,EssentialTutorialCompleted,,BP_EquipmentEnhancementUI,CanvasPanelURCrafting,0,,0,,,,1
201,Optional,4014,1,PlayerLevel,31,BP_ClassTransferQuestUI,,0,,0,,,,1
202,Optional,2005,1,QuestTaskStarted,,,,0,,0,,,,0
203,Optional,2004,1,QuestTaskStarted,,,,0,,0,,,,0
205,Optional,731000003038,1,QuestTaskStarted,,,,0,,0,,,,0
206,Optional,191000000206,1,EssentialTutorialCompleted,,BP_CharacterTitleUI,,0,,0,,,,1
207,Optional,1112100000010,1,EssentialTutorialCompleted,,BP_CapeUI,,0,,0,,,,1
208,Optional,731000006713,1,EssentialTutorialCompleted,,BP_TalismanUI,,0,,0,,,,1
209,Optional,21000004000,1,PlayerLevel,180,BP_ShopUI,,0,,0,,,,1
301,Optional,731000005967,1,EssentialTutorialCompleted,,BP_BeautyShopLobbyUI,,0,,0,,,,1
302,Optional,191000000208,1,QuestTaskStarted,,,,0,,0,,,,0
2005105,Optional,9900200510501,1,QuestComplete,2005105,,,0,,0,,,,0
2006105,Optional,9900200510501,1,QuestComplete,2006105,,,0,,0,,,,0
2007105,Optional,9900200510501,1,QuestComplete,2007105,,,0,,0,,,,0
2008105,Optional,9900200510501,1,QuestComplete,2008105,,,0,,0,,,,0
2009105,Optional,9900200510501,1,QuestComplete,2009105,,,0,,0,,,,0
2010105,Optional,9900200510501,1,QuestComplete,2010105,,,0,,0,,,,0
2035105,Optional,9900200510501,1,QuestComplete,2035105,,,0,,0,,,,0
2036105,Optional,9900200510501,1,QuestComplete,2036105,,,0,,0,,,,0
2037105,Optional,9900200510501,1,QuestComplete,2037105,,,0,,0,,,,0
2038105,Optional,9900200510501,1,QuestComplete,2038105,,,0,,0,,,,0
2039105,Optional,9900200510501,1,QuestComplete,2039105,,,0,,0,,,,0
2040105,Optional,9900200510501,1,QuestComplete,2040105,,,0,,0,,,,0
2065105,Optional,9900200510501,1,QuestComplete,2065105,,,0,,0,,,,0
2066105,Optional,9900200510501,1,QuestComplete,2066105,,,0,,0,,,,0
2067105,Optional,9900200510501,1,QuestComplete,2067105,,,0,,0,,,,0
2068105,Optional,9900200510501,1,QuestComplete,2068105,,,0,,0,,,,0
2069105,Optional,9900200510501,1,QuestComplete,2069105,,,0,,0,,,,0
2070105,Optional,9900200510501,1,QuestComplete,2070105,,,0,,0,,,,0
2095105,Optional,9900200510501,1,QuestComplete,2095105,,,0,,0,,,,0
2096105,Optional,9900200510501,1,QuestComplete,2096105,,,0,,0,,,,0
2097105,Optional,9900200510501,1,QuestComplete,2097105,,,0,,0,,,,0
2098105,Optional,9900200510501,1,QuestComplete,2098105,,,0,,0,,,,0
2099105,Optional,9900200510501,1,QuestComplete,2099105,,,0,,0,,,,0
2100105,Optional,9900200510501,1,QuestComplete,2100105,,,0,,0,,,,0
