Id,EffectType,EffectParam,EffectGrowth1,EffectGrowth2,ExceptNpcGrade,ExceptPlayer,ApplyCastPlayer,PointCount
12233,AttackSpeedMul,"2000, 4000",1,1,,0,0,
12233,MoveSpeedMul,"3000, 4500",1,1,,0,0,
12233,HPStealRate,"10, 100",1,1,,0,0,3
12241,CriticalRate,"100, 2080",1,1,,0,0,
12242,DefensePowerPhyMul,"-500, -1500",1,1,,0,0,
122431,CriticalValue,"346, 26720",1.5,1,,0,0,
122441,MoveSpeedMul,"3500, 5000",1,1,,0,0,
122441,AttackSpeedMul,"1000, 3000",1,1,,0,0,
12251,MoveSpeedMul,"-4000, -7000",1,1,,0,0,
12252,MoveSpeedMul,"-4000, -7000",1,1,,0,0,
122614,MoveSpeedMul,"-1000, -1000",1,1,,0,0,
122615,DecreaseDamagePhyMul,"-3500, -5000",1,1,,0,0,
122615,DecreaseDamageMagMul,"-3500, -5000",1,1,,0,0,
12263,HitValue,"50, 3000",1.35,1,,0,0,
122631,SkillCoolTime,"3000, 6000",1,1,,0,0,
12264,DefensePowerPhyMul,"4000, 6000",1,1,,0,0,
12264,DefensePowerMagMul,"4000, 6000",1,1,,0,0,
13211,DefensePowerPhyMul,"-2000, -3000",1,1,,0,0,
13211,DefensePowerMagMul,"-2000, -3000",1,1,,0,0,
13211,TargetFix,,,,,1,0,
132125,Stun,,,,,0,0,
132126,TargetFix,,,,,1,0,
132126,PullingResistRate,"10000, 10000",1,1,,0,0,
13213,DefensePowerPhyMul,"2500, 2500",1,1,,0,0,
13213,DefensePowerMagMul,"2500, 2500",1,1,,0,0,
13213,DefensePowerPhy,"1187, 44293",1.5,1,,0,0,
13213,DefensePowerMag,"1187, 44293",1.5,1,,0,0,
13213,ConditionFire,132132,1.5,1,,0,0,
132132,MoveSpeedMul,"-5000, -5000",1,1,,0,0,
13222,MoveSpeedMul,"-4000, -5000",1,1,,0,0,
132231,AttackPowerPhy,"510, 28808",1.5,1,,0,0,
132241,AttackSpeedMul,"2000, 3000",1,1,,0,0,
13231,DotDamagePhy,"504, 1152, 3000, 4000",1.3,1,,0,1,
13232,DotDamagePhy,"11, 2306, 100, 100",1.35,1,,0,1,
132322,Stun,,,,,0,0,
132331,CriticalDamageMul,"10000, 20000",1,1,,0,0,
132332,CriticalRate,"10000, 10000",1,1,,0,0,
13242,Stun,,,,,0,0,
13243,AttackSpeedMul,"4000, 5000",1,1,,0,0,
13244,AttackPowerPhy,"955, 40341",1.5,1,,0,0,
13244,DodgeValueMul,"-3000, -3000",1,1,,0,0,
13251,MoveSpeedMul,"-1000, -3970",1,1,,0,0,
13252,DefensePowerPhyMul,"-2000, -3000",1.3,1,,0,0,
13252,DefensePowerMagMul,"-2000, -3000",1.3,1,,0,0,
13252,MoveSpeedMul,"-4000, -5000",1,1,,0,0,
132531,AttackPowerMag,"1276, 57616",1.5,1,,0,0,
132623,MoveSpeedMul,"-3500, -5000",1,1,,0,0,
132624,IncreaseDamagePhyMul,"100, 2100",1,1,,0,0,
132631,AttackPowerMag,"637, 28808",1,1,,0,0,
132632,TimerFire,"13264, 0",,,,0,0,
14211,DefensePowerPhyMul,"-2000, -3000",1,1,,0,0,
14211,DefensePowerMagMul,"-2000, -3000",1,1,,0,0,
14211,TargetFix,,,,,1,0,
14212,Stun,,,,,0,0,
14213,AttackPowerPhyMul,"-2000, -2000",,,,0,0,
14213,AttackPowerMagMul,"-2000, -2000",,,,0,0,
14222,Stun,,,,,0,0,
14223,AttackPowerPhy,"1114, 57616",1.5,1,,0,0,
14231,AntiCriticalRate,"-1500, -3000",1,1,,0,0,0
14223,DecreaseDamageMul,"1000, 3500",1,1,,0,0,
14232,MoveSpeedMul,"-2500, -4000",1,1,,0,0,
142321,Silence,,,,,0,0,
142331,AdenaGainRate,"2300, 4000",1,1,,0,0,
142331,MoveSpeedMul,"1000, 2000",1,1,,0,0,
142331,ConditionFire,24233,,,,0,0,
242331,DotDamagePhy,"2865, 25935",1.3,1,,0,0,
14241,DotDamagePhy,"477, 4322, 1000, 2000",1.3,1,,0,0,
14242,MoveSpeedMul,"-4000, -5000",1,1,,0,0,
142421,ConditionFire,142422,,,,0,0,
142422,IncreaseSkillRange,"200, 500",1,1,,0,0,
14251,Stun,,,,,0,0,
142531,AddAttackPowerNormalAttackMul,"1500, 3000",1,1,,0,0,
14261,DefensePowerPhy,"594, 9284",1.3,1,,0,0,
14261,DefensePowerMag,"594, 9284",1.3,1,,0,0,
14262,Stun,,,,,0,0,
142631,MaxHP,"1336, 70120",1.5,1,,0,0,
142631,MaxHPMul,"500, 1500",1,1,,0,0,
20211,DefensePowerPhy,"445, 13130",1.8,1,,0,0,
20211,DefensePowerMag,"445, 13130",1.8,1,,0,0,
20221,AttackPowerPhy,"383, 11411",1.8,1,,0,0,
20221,AttackPowerMag,"383, 11411",1.8,1,,0,0,
20231,MoveSpeedMul,"1000, 2500",1,1,,0,0,
20241,HitValue,"1137, 34992",1.5,1,,0,0,
20251,CriticalDamageMul,"3000, 10000",1,1,,0,0,
20261,MaxHP,"582, 17143",1.8,1,,0,0,
21221,AttackPowerPhy,"24, 1989",1.5,1,,0,0,
21231,SkillCoolTime,"1000, 3000",1,1,,0,0,
212311,AttackPowerPhy,"268, 7987",1.8,1,,0,0,
21241,MoveSpeedMul,"-2000, -4000",1,1,,0,0,
21251,DotDamageMag,"6, 1153, 10000, 10000",1.35,1,,0,0,
212611,DefensePowerMulPartyCount,"200, 1000",1,1,,0,0,
212621,ManaShieldRate,"500, 2500",1,1,,0,0,
212512,AttackPowerMag,"57, 5763",1,1,,0,0,
222121,DefensePowerPhy,"380, 7512",1,1,,0,0,
222122,DefensePowerMag,"380, 7512",1,1,,0,0,
22211,DodgeRate,"1500, 2500",1,1,,0,0,
22221,CriticalRate,"400, 1000",1,1,,0,0,
22232,ConditionFire,222321,1,1,,0,0,
22231,AttackSpeedMul,"100, 200",1,1,,0,0,3
22231,MoveSpeedMul,"100, 200",1,1,,0,0,3
22241,MoveSpeedMul,"2000, 3500",1,1,,0,0,
22261,DodgeRate,"1500, 2500",1,1,,0,0,
23211,HPStealRate,"300, 800",1,1,,0,0,
23221,CriticalDamageMul,"3000, 10000",1,1,,0,0,
23231,DefensePowerPhyMul,"-1000, -1500",1,1,,0,0,
23231,DefensePowerMagMul,"-1000, -1500",1,1,,0,0,
23231,AntiCriticalValueMul,"-500, -1000",1.6,1,,0,0,
23241,HitRate,"1000, 3000",1,1,,0,0,
23251,CriticalDamageMul,"3000, 10000",1,1,,0,0,
23261,HPStealRate,"10, 60",1,1,,0,0,3
24211,AttackPowerPhy,"28, 6052",1.35,1,,0,0,
242121,SkillCoolTimeReset,1,,,,0,0,
24221,AttackPowerPhy,"54, 3265",1.5,1,,0,0,
242231,AttackSpeedMul,"2000, 4000",1,1,,0,0,
24231,CriticalRate,"400, 1000",1,1,,0,0,
242321,CriticalValue,"173, 7987",1.5,1,,0,0,
24241,DodgeRate,"1200, 2000",1,1,,0,0,
24241,AttackSpeedMul,"500, 1000",1,1,,0,0,
242421,Stun,,,,,0,0,
2424211,AttackPowerPhyMul,"-300, -600",1,1,,0,0,
2424211,AttackPowerMagMul,"-300, -600",1,1,,0,0,
242422,Stun,,,,,0,0,
24251,AttackPowerMagMul,"500, 3500",1,1,,0,0,
24252,DefensePowerPhy,"362, 8943",1.4,1,,0,0,
24252,DefensePowerMag,"362, 8943",1.4,1,,0,0,
24261,IncreaseHealMul,"500, 2000",1,1,,0,0,
30001,DefensePowerPhyMul,"2500, 10000",1,1,,0,0,
30001,DefensePowerMagMul,"2500, 10000",1,1,,0,0,
30001,KnockBackResistRate,"3000, 3000",1,1,,0,0,
30001,StunResistRate,"3000, 3000",1,1,,0,0,
30002,MoveSpeedMul,"2000, 5000",1,1,,0,0,
30004,DotDamagePhy,"0, 0, 8000, 30000",1.5,1,,0,0,
30004,DotDamageMag,"0, 0, 8000, 30000",1.5,1,,0,0,
30012,DotDamagePhy,"0, 0, 8000, 30000",1.5,1,,0,0,
30012,DotDamageMag,"0, 0, 8000, 30000",1.5,1,,0,0,
30006,Stun,,,,,0,0,
30008,DefensePowerPhyMul,"500, 5000",1.5,1,,0,0,
30008,DefensePowerMagMul,"500, 5000",1.5,1,,0,0,
30008,ConditionFire,,,,,0,0,
30010,ManaShieldRate,"500, 5000",1,1,,0,0,
30013,SkillCoolTime,"1000, 5500",1,1,,0,0,
31001,MoveSpeedMul,"-2000, -5000",1,1,,0,0,
35001,AttackPowerPhy,"10, 10950",2.3,2.3,,0,0,
35002,DecreaseDamageMul,"200, 500",1,1,,0,0,
35003,AttackPowerPhy,"12, 25362",2.3,2.3,,0,0,
35004,DodgeRate,"200, 500",1,1,,0,0,
35005,AttackPowerMag,"11, 16945",2.3,2.3,,0,0,
35006,IncreaseDamageMul,"100, 700",1,1,,0,0,
35011,ParryingRate,"1500, 2500",1,1,,0,0,
35011,ParryingReduceDamageRate,"2000, 3000",1,1,,0,0,
35011,DefensePowerPhy,"311, 9191",1.8,1,,0,0,
35011,DefensePowerMag,"311, 9191",1.8,1,,0,0,
35021,AttackPowerPhyMul,"100, 600",1,1,,0,0,
35031,CriticalRate,"500, 1000",1,1,,0,0,
35031,CriticalDamageMul,"2500, 5000",1,1,,0,0,
35111,ParryingRate,"2000, 3000",1,1,,0,0,
35111,ParryingReduceDamageRate,"1500, 2500",1,1,,0,0,
35111,DefensePowerPhy,"311, 9191",1.8,1,,0,0,
35111,DefensePowerMag,"311, 9191",1.8,1,,0,0,
35121,CriticalRate,"400, 1000",1,1,,0,0,
35122,AttackPowerPhyMul,"100, 600",1,1,,0,0,
35131,CriticalValue,"52, 6174",1.5,1.5,,0,0,
35141,AddAttackPowerNormalAttackMul,"300, 1500",1,1,,0,0,
35151,SlowActorIncreaseDamageMul,"1000, 3000",1,1,,0,0,
35161,DodgeRate,"1500, 2500",1,1,,0,0,
35221,AttackPowerPhyMul,"100, 600",1,1,,0,0,
35231,CriticalDamageMul,"3000, 10000",1,1,,0,0,
35231,BleedingActorIncreaseDamageMul,"2000, 5000",1,1,,0,0,
35311,ParryingRate,"1750, 2750",1,1,,0,0,
35311,ParryingReduceDamageRate,"1750, 2750",1,1,,0,0,
35311,MaxHPMul,"500, 1500",1,1,,0,0,
35311,DefensePowerPhy,"311, 9191",1.8,1,,0,0,
35311,DefensePowerMag,"311, 9191",1.8,1,,0,0,
35321,AttackPowerPhyMul,"100, 600",1,1,,0,0,
35331,CriticalRate,"400, 1000",1,1,,0,0,
35332,CriticalValue,"173, 7987",1.5,1,,0,0,
35332,SlowActorIncreaseDamageMul,"1500, 3000",1,1,,0,0,
35341,DodgeRate,"1200, 2000",1,1,,0,0,
35341,AttackSpeedMul,"500, 1000",1,1,,0,0,
40004,AttackPowerPhy,"100, 5000",1,1,,0,0,
40005,AttackPowerMag,"100, 5000",1,1,,0,0,
40006,AttackPowerPhyMul,"100, 5000",1,1,,0,0,
40007,AttackPowerMagMul,"100, 5000",1,1,,0,0,
40008,AddAttackPowerNormalAttack,"100, 5000",1,1,,0,0,
40009,AttackPowerMulPartyCount,"100, 5000",1,1,,0,0,
40010,AttackSpeedMul,"1000, 5000",1,1,,0,0,
40011,CriticalDamageMul,"100, 5000",1,1,,0,0,
40012,CriticalRate,"100, 5000",1,1,,0,0,
40013,AntiCriticalRate,"100, 5000",1,1,,0,0,
40014,DamagePhy,"100, 5000",1,1,,0,0,
40015,DamageMag,"100, 5000",1,1,,0,0,
40016,DefenseIgnoreDamage,"100, 5000",1,1,,0,0,
40017,DecreaseTargetHP,"100, 5000",1,1,,0,0,
40018,DecreaseTargetHPMul,"100, 5000",1,1,,0,0,
40019,DefensePowerPhy,"100, 5000",1,1,,0,0,
40020,DefensePowerMag,"100, 5000",1,1,,0,0,
40021,DefensePowerPhyMul,"100, 5000",1,1,,0,0,
40022,DefensePowerMagMul,"100, 5000",1,1,,0,0,
40023,DodgeValue,"100, 5000",1,1,,0,0,
40024,DodgeValueMul,"100, 5000",1,1,,0,0,
40025,DodgeRate,"100, 5000",1,1,,0,0,
40026,HitValue,"100, 5000",1,1,,0,0,
40027,HitValueMul,"100, 5000",1,1,,0,0,
40028,HitRate,"100, 5000",1,1,,0,0,
40029,IncreaseDamageMul,"100, 5000",1,1,,0,0,
40030,IncreaseDamagePhyMul,"100, 5000",1,1,,0,0,
40031,IncreaseDamageMagMul,"100, 5000",1,1,,0,0,
40032,SlowActorIncreaseDamageMul,"100, 5000",1,1,,0,0,
40033,AddIgnoreDefenseDamage,"100, 5000",1,1,,0,0,
40034,DecreaseDamageMul,"100, 5000",1,1,,0,0,
40035,DecreaseDamagePhyMul,"100, 5000",1,1,,0,0,
40036,DecreaseDamageMagMul,"100, 5000",1,1,,0,0,
40037,AddDecreaseDamage,"100, 5000",1,1,,0,0,
40038,ParryingRate,"100, 5000",1,1,,0,0,
40039,ParryingReduceDamageRate,"100, 5000",1,1,,0,0,
40040,DotDamagePhy,"100, 5000",1,1,,0,0,
40041,DotDamageMag,"100, 5000",1,1,,0,0,
40042,HPHeal,"100, 5000",1,1,,0,0,
40043,DotHeal,"100, 5000",1,1,,0,0,
40044,AggroMul,"100, 5000",1,1,,0,0,
40045,HPRecovery,"100, 5000",1,1,,0,0,
40046,HPStealRate,"100, 5000",1,1,,0,0,
40047,HPSteal,"100, 5000",1,1,,0,0,
40048,VampiricTouch,"100, 5000",1,1,,0,0,
40049,MaxHP,"100, 5000",1,1,,0,0,
40050,MaxHPMul,"100, 5000",1,1,,0,0,
40051,MaxMP,"100, 5000",1,1,,0,0,
40052,MaxMPMul,"100, 5000",1,1,,0,0,
40053,MoveSpeedMul,"2000, 5000",1,1,,0,0,
40054,MPCostMul,"100, 5000",1,1,,0,0,
40055,MPCostReduce,"100, 5000",1,1,,0,0,
40056,MPRecovery,"100, 5000",1,1,,0,0,
40057,SkillCoolTime,"100, 5000",1,1,,0,0,
40058,Taunt,"100, 5000",1,1,,0,0,
40059,TargetFix,"100, 5000",1,1,,1,0,
40060,TargetTeleport,"100, 5000",1,1,,0,0,
40061,Pulling,"100, 5000",1,1,,0,0,
40062,PullingResistRate,"100, 5000",1,1,,0,0,
40063,KnockBackResistRate,"100, 5000",1,1,,0,0,
40064,ExpGainRate,"100, 5000",1,1,,0,0,
40065,AdenaGainRate,"100, 5000",1,1,,0,0,
40066,SlowResistRate,"100, 5000",1,1,,0,0,
40067,StunResistRate,"100, 5000",1,1,,0,0,
40068,CCResistRate,"100, 5000",1,1,,0,0,
40069,IncreaseSkillRange,"100, 5000",1,1,,0,0,
40070,IncreaseSkillHitCount,"100, 5000",1,1,,0,0,
40071,IncreaseComboExpireTime,"100, 5000",1,1,,0,0,
40072,Penetration,"100, 5000",1,1,,0,0,
40073,Resilience,"100, 5000",1,1,,0,0,
40074,CriticalValue,"100, 5000",1,1,,0,0,
40075,AntiCriticalValue,"100, 5000",1,1,,0,0,
40076,CriticalValueMul,"100, 5000",1,1,,0,0,
40077,AntiCriticalValueMul,"100, 5000",1,1,,0,0,
50001,DotDamagePhy,"100, 100, 15000, 15000",1.5,1.5,,0,0,
50002,AttackSpeedMul,"-3000, -3000",1.5,1.5,,0,0,
50002,MoveSpeedMul,"-3000, -3000",1.5,1.5,,0,0,
50003,HitRate,"-3000, -3000",1.5,1.5,,0,0,
50004,DotDamagePhy,"100, 100, 15000, 15000",1.5,1.5,,0,0,
50005,Stun,"0, 0",,,,0,0,
50006,DotDamagePhy,"100, 100, 15000, 15000",1.5,1.5,,0,0,
50007,DotDamagePhy,"100, 100, 15000, 15000",1.5,1.5,,0,0,
50008,DefensePowerPhyMul,"-3000, -3000",1.5,1.5,,0,0,
50008,AttackPowerPhyMul,"-3000, -3000",1.5,1.5,,0,0,
50010,Stun,"0, 0",,,,0,0,
60099,DotDamagePhy,"15, 15, 30000, 30000",1.5,1.5,,0,0,
60103,MoveSpeedMul,,,,,0,0,
60118,DefensePowerPhy,"100000,  100000",0,0,,0,0,
60118,DefensePowerMag,"100000,  100000",0,0,,0,0,
60136,Stun,"0, 0",,,,0,0,
60137,Stun,"0, 0",,,,0,0,
71023,MoveSpeedMul,"-4000, -4000",,,,0,0,
71452,DotDamagePhy,"0, 0, 30000, 30000",1.5,1.5,,0,0,
71462,DotDamagePhy,"0, 0, 20000, 20000",1.5,1.5,,0,0,
73013,AttackPowerPhyMul,"3000, 3000",,,,0,0,
73013,AttackPowerMagMul,"3000, 3000",,,,0,0,
73013,AttackSpeedMul,"2000, 2000",,,,0,0,
73022,AttackPowerPhyMul,"-1000, -1000",,,,0,0,
73022,AttackPowerMagMul,"-1000, -1000",,,,0,0,
73031,DefensePowerPhyMul,"-1000, -1000",,,,0,0,
73031,DefensePowerMagMul,"-1000, -1000",,,,0,0,
73033,AttackPowerPhyMul,"500, 500",,,,0,0,
73033,AttackSpeedMul,"1000, 1000",,,,0,0,
74011,Stun,"0, 0",,,,0,0,
74022,DotHealMaxHpMul,"100, 100",1.5,1.5,,0,0,
74032,DotDamageMaxHpMul,"2000, 2000",1.5,1.5,,0,0,
74042,DotDamageMag,"500, 500, 30000, 30000",,,,0,0,
74051,DotDamageMag,"500, 500, 52000, 52000",1.5,1.5,,0,0,
74051,MoveSpeedMul,"-3000, -3000",1.5,1.5,,0,0,
74062,MoveSpeedMul,"-6000, -6000",1.5,1.5,,0,0,
74071,DotDamageMag,"500, 500, 45000, 45000",1.5,1.5,,0,0,
74072,MoveSpeedMul,"-7500, -7500",1.5,1.5,,0,0,
74082,AttackPowerPhy,"5000, 5000",1.5,1.5,,0,0,
74083,MoveSpeedMul,"5000, 5000",1.5,1.5,,0,0,
74084,DefensePowerPhyMul,"-5000, -5000",1.5,1.5,,0,0,
74085,AttackPowerPhy,"5000, 5000",1.5,1.5,,0,0,
74086,MoveSpeedMul,"5000, 5000",1.5,1.5,,0,0,
74087,DefensePowerPhyMul,"-5000, -5000",1.5,1.5,,0,0,
74088,AttackPowerPhy,"5000, 5000",1.5,1.5,,0,0,
74089,MoveSpeedMul,"5000, 5000",1.5,1.5,,0,0,
74090,DefensePowerPhyMul,"-5000, -5000",1.5,1.5,,0,0,
74091,AttackPowerPhy,"3000, 3000",1.5,1.5,,0,0,
74092,MoveSpeedMul,"3000, 3000",1.5,1.5,,0,0,
74093,DefensePowerPhyMul,"-5000, -5000",1.5,1.5,,0,0,
74094,Stun,"10000, 10000",1.5,1.5,,0,0,
74095,DecreaseDamageMul,"-10000, -10000",1.5,1.5,,0,0,
74111,MoveSpeedMul,"-7500, -7500",1.5,1.5,,0,0,
74121,DecreaseDamageMul,"-10000, -10000",1.5,1.5,,0,0,
74122,DotDamagePhy,"500, 500, 15000, 15000",1.5,1.5,,0,0,
74131,DotDamagePhy,"500, 500, 15000, 15000",1.5,1.5,,0,0,
74132,Stun,"10000, 10000",1.5,1.5,,0,0,
74134,GroundObject,,,,,0,0,
741341,DotDamagePhy,"0, 0, 100000, 100000",,,,0,0,
741342,Stun,,,,,0,0,
741351,TimerFire,"74136, 0",,,,0,0,
7413511,None,,,,,0,0,
741352,Silence,,,,,0,0,
741353,DotDamagePhy,,1.5,1.5,,0,0,
77001,DotDamagePhy,"0, 0, 15000, 15000",1.5,1.5,,0,0,
77002,AttackSpeedMul,"-3000, -3000",1.5,1.5,,0,0,
77002,MoveSpeedMul,"-4500, -4500",1.5,1.5,,0,0,
77003,HitRate,"-3000, -3000",1.5,1.5,,0,0,
77004,DotDamagePhy,"0, 0, 15000, 15000",1.5,1.5,,0,0,
77004,DefensePowerPhyMul,"-2000, -2000",1.5,1.5,,0,0,
77005,Stun,"0, 0",,,,0,0,
77006,DotDamagePhy,"100, 100, 15000, 15000",1.5,1.5,,0,0,
77006,AttackPowerPhyMul,"-2000, -2000",1.5,1.5,,0,0,
77006,AttackPowerMagMul,"-2000, -2000",1.5,1.5,,0,0,
77007,DotDamagePhy,"0, 0, 15000, 15000",1.5,1.5,,0,0,
77007,MoveSpeedMul,"-3000, -3000",1.5,1.5,,0,0,
77008,DefensePowerMagMul,"-3000, -3000",1.5,1.5,,0,0,
77008,AttackPowerMagMul,"-3000, -3000",1.5,1.5,,0,0,
77008,DefensePowerPhyMul,"-3000, -3000",1.5,1.5,,0,0,
77008,AttackPowerPhyMul,"-3000, -3000",1.5,1.5,,0,0,
77085,AttackPowerPhyMul,"-1000, -1000",,,,0,0,
801011,AttackPowerPhyMul,"5000, 5000",1,1,,0,0,
801011,AttackPowerMagMul,"5000, 5000",1,1,,0,0,
801012,AttackPowerPhyMul,"3000, 3000",1,1,,0,0,
801013,AttackPowerMagMul,"3000, 3000",1,1,,0,0,
801021,AttackSpeedMul,"5000, 5000",1,1,,0,0,
801031,DefensePowerPhyMul,"30000, 30000",1,1,,0,0,
801031,DefensePowerMagMul,"30000, 30000",1,1,,0,0,
801032,DefensePowerPhyMul,"3500, 3500",1,1,,0,0,
801033,DefensePowerMagMul,"3500, 3500",1,1,,0,0,
801041,MoveSpeedMul,"3000, 3000",1,1,,0,0,
801042,MoveSpeedMul,"3000, 3000",1,1,,0,0,
80105,MaxHPMul,"4000, 4000",1,1,,0,0,
80106,MaxMPMul,"4000, 4000",1,1,,0,0,
90001,MaxHPMul,"300, 1200",1,1,,0,0,
90002,MaxMPMul,"300, 1200",1,1,,0,0,
90003,DefensePowerPhyMul,"300, 1200",1,1,,0,0,
90003,DefensePowerMagMul,"300, 1200",1,1,,0,0,
90004,AttackPowerPhyMul,"300, 1200",1,1,,0,0,
90004,AttackPowerMagMul,"300, 1200",1,1,,0,0,
90005,HitValueMul,"300, 1200",1,1,,0,0,
90006,DodgeValueMul,"300, 1200",1,1,,0,0,
90007,MoveSpeedMul,"300, 1200",1,1,,0,0,
90008,CriticalDamageMul,"300, 1200",1,1,,0,0,
90009,CriticalValueMul,"300, 1200",1,1,,0,0,
905001,AdenaGainRate,"100, 100",1,1,,0,0,
905001,ItemDropRate,"100, 100",1,1,,0,0,
905001,MonsterCoreDropRateAdd,"100, 100",1,1,,0,0,
905001,HpPotionRate,"100, 100",1,1,,0,0,
905001,MpPotionRate,"100, 100",1,1,,0,0,
905002,AdenaGainRate,"200, 200",1,1,,0,0,
905002,ItemDropRate,"200, 200",1,1,,0,0,
905002,MonsterCoreDropRateAdd,"100, 100",1,1,,0,0,
905002,HpPotionRate,"100, 100",1,1,,0,0,
905002,MpPotionRate,"100, 100",1,1,,0,0,
905002,GatheringSpeedMul,"100, 100",1,1,,0,0,
905002,IncreaseComboExpireTime,"100, 100",1,1,,0,0,
905003,AdenaGainRate,"300, 300",1,1,,0,0,
905003,ItemDropRate,"300, 300",1,1,,0,0,
905003,MonsterCoreDropRateAdd,"200, 200",1,1,,0,0,
905003,HpPotionRate,"200, 200",1,1,,0,0,
905003,MpPotionRate,"200, 200",1,1,,0,0,
905003,GatheringSpeedMul,"100, 100",1,1,,0,0,
905003,IncreaseComboExpireTime,"100, 100",1,1,,0,0,
905004,AdenaGainRate,"400, 400",1,1,,0,0,
905004,ItemDropRate,"400, 400",1,1,,0,0,
905004,MonsterCoreDropRateAdd,"200, 200",1,1,,0,0,
905004,HpPotionRate,"200, 200",1,1,,0,0,
905004,MpPotionRate,"200, 200",1,1,,0,0,
905004,GatheringSpeedMul,"200, 200",1,1,,0,0,
905004,IncreaseComboExpireTime,"200, 200",1,1,,0,0,
905005,AdenaGainRate,"500, 500",1,1,,0,0,
905005,ItemDropRate,"500, 500",1,1,,0,0,
905005,MonsterCoreDropRateAdd,"300, 300",1,1,,0,0,
905005,HpPotionRate,"300, 300",1,1,,0,0,
905005,MpPotionRate,"300, 300",1,1,,0,0,
905005,GatheringSpeedMul,"200, 200",1,1,,0,0,
905005,IncreaseComboExpireTime,"200, 200",1,1,,0,0,
905006,AdenaGainRate,"600, 600",1,1,,0,0,
905006,ItemDropRate,"600, 600",1,1,,0,0,
905006,MonsterCoreDropRateAdd,"300, 300",1,1,,0,0,
905006,HpPotionRate,"300, 300",1,1,,0,0,
905006,MpPotionRate,"300, 300",1,1,,0,0,
905006,GatheringSpeedMul,"300, 300",1,1,,0,0,
905006,IncreaseComboExpireTime,"300, 300",1,1,,0,0,
905007,AdenaGainRate,"700, 700",1,1,,0,0,
905007,ItemDropRate,"700, 700",1,1,,0,0,
905007,MonsterCoreDropRateAdd,"400, 400",1,1,,0,0,
905007,HpPotionRate,"400, 400",1,1,,0,0,
905007,MpPotionRate,"400, 400",1,1,,0,0,
905007,GatheringSpeedMul,"300, 300",1,1,,0,0,
905007,IncreaseComboExpireTime,"300, 300",1,1,,0,0,
905008,AdenaGainRate,"800, 800",1,1,,0,0,
905008,ItemDropRate,"800, 800",1,1,,0,0,
