SkillParamId,SkillInfold,AddEffectDescriptionKey,AddEffectDescriptionDisplayHide,AddEffectActiveSkillDisplayLevel,AddEffectGrowthLimitSkillRealLevel,SkillEffectId
1224302,12243,293900010011,0,40,100,12243102
1224401,12244,293900010001,1,47,73,12244101
1225101,12251,293900010001,1,47,73,12251101
1225102,12251,293900010002,0,30,100,12251102
1225201,12252,293900010001,1,47,73,12252101
1225202,12252,293900010002,0,30,100,12252102
1226101,12261,293900010001,1,47,73,12261101
1226102,12261,293900010002,0,30,100,12261102
1226201,12262,293900010001,1,47,73,12262101
1226202,12262,293900010006,0,30,100,12262102
1226203,12262,293900010006,0,40,100,12262103
1226204,12262,293900010006,0,50,100,12262104
1226301,12263,293900010001,1,47,73,12263101
1226401,12264,293900010001,1,47,73,12264101
1321101,13211,293900010001,1,47,73,13211101
1321102,13211,293900010002,0,30,100,13211102
1321201,13212,293900010001,1,47,73,13212101
1321202,13212,293900010002,0,40,100,13212102
1321301,13213,293900010001,1,47,73,13213101
1321302,13213,293900010004,0,30,100,13213102
1321303,13213,293900010004,0,40,100,13213103
1322101,13221,293900010001,1,47,73,13221101
1322102,13221,293900010002,0,30,100,13221102
1322201,13222,293900010001,1,47,73,13222101
1322301,13223,293900010001,1,47,73,13223101
1322302,13223,293900010012,0,40,100,13223102
1322401,13224,293900010001,1,47,73,13224101
1323101,13231,293900010001,1,47,73,13231101
1323102,13231,293900010002,0,30,100,13231102
1323201,13232,293900010001,1,47,73,13232101
1323301,13233,293900010001,1,47,73,13233101
1324101,13241,293900010001,1,47,73,13241101
1324102,13241,293900010013,0,40,100,13241102
1324201,13242,293900010001,1,47,73,13242101
1324202,13242,293900010002,0,30,100,13242102
1324301,13243,293900010001,1,47,73,13243101
1324302,13243,293900010014,0,40,100,13243102
1324401,13244,293900010001,1,47,73,13244101
1325101,13251,293900010001,1,47,73,13251101
1325201,13252,293900010001,1,47,73,13252101
1325301,13253,293900010001,1,47,73,13253101
1325302,13253,293900010004,0,30,100,13253102
1325303,13253,293900010004,0,40,100,13253103
1326101,13261,293900010001,1,47,73,13261101
1326102,13261,293900010002,0,30,100,13261102
1326103,13261,293900010002,0,40,100,13261103
1326201,13262,293900010001,1,47,73,13262101
1326301,13263,293900010001,1,47,73,13263101
1421101,14211,293900010001,1,47,73,14211101
1421102,14211,293900010002,0,30,100,14211102
1421201,14212,293900010001,1,47,73,14212101
1421202,14212,293900010002,0,30,100,14212102
1421203,14212,293900010015,0,40,100,14212103
1422101,14221,293900010001,1,47,73,14221101
1422102,14221,293900010016,0,30,100,14221102
1422103,14221,293900010016,0,40,100,14221103
1422201,14222,293900010001,1,47,73,14222101
1422202,14222,293900010002,0,30,100,14222102
1422301,14223,293900010001,1,47,73,14223101
1423101,14231,293900010001,1,47,73,14231101
1423102,14231,293900010002,0,30,100,14231102
1423201,14232,293900010001,1,47,73,14232101
1423202,14232,293900010002,0,30,100,14232102
1423203,14232,293900010017,0,40,100,14232103
1423301,14233,293900010001,1,47,73,14233101
1424101,14241,293900010001,1,47,73,14241101
1424102,14241,293900010002,0,30,100,14241102
1424201,14242,293900010001,1,47,73,14242101
1424202,14242,293900010018,0,30,100,14242102
1424203,14242,293900010018,0,40,100,14242103
1425101,14251,293900010001,1,47,73,14251101
1425102,14251,293900010002,0,30,100,14251102
1425201,14252,293900010001,1,47,73,14252101
1425202,14252,293900010002,0,30,100,14252102
1425301,14253,293900010001,1,47,73,14253101
1425302,14253,293900010019,0,30,100,14253102
1425303,14253,293900010020,0,40,100,14253103
1426101,14261,293900010001,1,47,73,14261101
1426102,14261,293900010006,0,30,100,14261102
1426103,14261,293900010006,0,40,100,14261103
1426104,14261,293900010006,0,50,100,14261104
1426201,14262,293900010001,1,47,73,14262101
1426202,14262,293900010021,0,30,100,14262102
1426301,14263,293900010001,1,47,73,14263101
1426302,14263,293900010022,0,40,100,14263102
2326101,23261,293900010023,0,30,100,23261101
2021201,20212,293900010024,0,30,100,20212101
