AssetMode,Title,AssetVisibledMode,ProbabilityInfo
Pvp,PVP_TITLE,1037,0
QuestMap,,0,0
WorldMap,WORLDMAP,0,0
Party,CHAT_TYPE_PARTY,13,0
Promote,PROMOTE,13,0
DiamondShop,DIAMONDSHOP,269,0
DiamondShopFlatRate,DIAMONDSHOP_FLATRATE,269,0
DiamondShopFlatRateAdena,DIAMONDSHOP_FLATRATE,269,0
DiamondShopFlatRateAdena2,DIAMONDSHOP_FLATRATE,269,0
DiamondShopAnnuityGrowup,DIAMONDSHOP_ANNUITYGROWUP,269,0
DiamondShopAnnuityAccept,DIAMONDSHOP_ANNUITYACCEPT,269,0
DiamondShopAnnuityAccept2,DIAMONDSHOP_ANNUITYACCEPT2,269,0
SlideShopAnnuitySR,SLIDESHOP_ANNUITYSR,269,0
SlideShopAnnuityScenario,SLIDESHOP_ANNUITYSCENARIO,269,0
PackShop,SUB_PACK_SHOP,269,0
DiamondShopChargeReward,DIAMONDSHOP_CHARGEREWARD,269,0
DiamondShopConsumeReward,DIAMONDSHOP_CONSUMEREWARD,269,0
Activity,COMMON_ACTIVITY,13,0
Ranking,RANKING_TITLE,13,0
EventSurprizeBox,EVENT_TITLE,13,0
EventItemEnchantGrade,EVENT_TITLE,13,0
EventCastleSiegeFestival,CASTLE_SIEGE_FESTIVAL,525,0
EquipmentLevelUp,EQUIPMENT_ENHANCEMENT,13,0
EquipmentUpgrade,EQUIPMENT_ENHANCEMENT,13,0
EquipmentComposition,EQUIPMENT_ENHANCEMENT,13,0
EquipmentEnchant,EQUIPMENT_ENHANCEMENT,13,0
EquipmentAbilityUp,EQUIPMENT_ENHANCEMENT,13,0
EquipmentOptionChange,EQUIPMENT_ENHANCEMENT,13,0
EquipmentLimitBreak,EQUIPMENT_ENHANCEMENT,13,0
EquipmentCompound,EQUIPMENT_ENHANCEMENT,13,0
EquipmentCrafting,EQUIPMENT_ENHANCEMENT,13,0
Mail,MAIL_BOX,13,0
MailGuild,MAIL_BOX,13,0
ClassTransferQuest,TRANSFER_QUEST_BUTTON,13,0
MainQuest,COMMON_QUESTPROGRESS,13,0
AgitPersonalQuest,AGIT_PLAYER_QUEST,13,0
AgitGuildQuest,AGIT_GUILD_QUEST,13,0
ClassHierarchy,TRANSFER_CLSSTREE_BUTTON,0,0
EventHotTime,EVENT_HOTTIME_NAME,13,0
EventCompound,EVENT_STRING_COMBINE_NAME,2061,0
CharacterTitle,CHARACTERTITLE,13,0
BattleField,BATTLEFIELD_TITLE,131085,0
BattleFieldOfBrave,BATTLEFIELD_OF_BRAVE_TITLE,13,0
BattleFieldShop,TITLE_BATTLEFIELD_SHOP,917504,0
BattleFieldShopOfBrave,TITLE_BATTLEFIELD_SHOP_OF_BRAVE,917504,0
BattleFieldShopOfBlood,TITLE_BATTLEFIELD_SHOP_OF_BLOOD,917504,0
Pet,COMMON_RIDING_PET,13,0
BattleDeckInfo,COMMON_BATTLEDECK_TITLE,13,0
GuildDungeonSupportBoard,GUILD_DUNGEON_SUPPORT_BOARD,13,0
JourneyEvent,GUIDE_QUEST_TITLE,13,0
Cape,CAPE_TITLE,13,0
Storage,COMMON_STORAGE,13,0
PartyDungeonTitle,PARTY_DUNGEON_TITLE,13,0
PartyDungeonHelpListTitle,PARTY_DUNGEON_HELPLIST_TITLE,13,0
PackageShop,PACKAGE_SHOP_TITLE,269,0
DailyBenefitShop,DAYILY_BANEFIT_TITLE,269,0
MasteryShop,SUB_MASTERY_SHOP,4194317,0
FreeFortressSiege,FREESIEGE_TITLE,13,0
FreeSiegeClassChange,FREESIEGE_SELECT_CLASS,13,0
TimeShop,TIME_SHOP,269,0
DiscountShop,SHOP_DISCOUNSHOP,13,0
BeautyShop,BEAUTYSHOP_TITLE,13,0
Costume,COSTUME_TITLE,13,0
AccountStorage,COMMON_ACCOUNTSTORAGE,13,0
PlayerStorage,COMMON_PLAYERSTORAGE,13,0
EventDropBox,PRESENT_EVENT_TEXT,13,0
ClassTransfer,COMMON_CLASSTRANSFER,13,0
DailyQuest,,13,0
WeeklyQuest,,13,0
InstantComplete,REWARD_COLLECT,13,0
DiceEvent,,2061,0
LuckyBoardEvent,,2061,0
ChargeEventShop,,13,0
EventTarget,EVENT_TARGET_TITLE,13,0
