Lv,ExpToNextLv,StandardCombatPower,LimitedElixirCount1,LimitedElixirCount2,LimitedElixirCount3,LimitedElixirCount4,LimitedElixirCount5,LimitedElixirCount6,LimitedElixirCount7,LimitedElixirCount8,LimitedElixirCount9
123,4090085,308100,40,60,80,0,0,0,0,0,0
124,4134968,311700,40,60,80,0,0,0,0,0,0
125,4175951,315300,40,60,80,0,0,0,0,0,0
126,4213267,318900,40,60,80,0,0,0,0,0,0
127,4247141,322600,40,60,80,0,0,0,0,0,0
128,4277791,326200,40,60,80,0,0,0,0,0,0
129,4305431,329800,40,60,80,0,0,0,0,0,0
130,4330261,333500,40,60,80,0,0,0,0,0,0
131,4352482,337100,40,60,80,0,0,0,0,0,0
132,4372280,340900,40,60,80,0,0,0,0,0,0
133,4389840,344800,40,60,80,0,0,0,0,0,0
134,4405337,348700,40,60,80,0,0,0,0,0,0
135,4418939,352500,40,60,80,0,0,0,0,0,0
136,4430808,356400,40,60,80,0,0,0,0,0,0
137,4441097,360600,40,60,80,0,0,0,0,0,0
138,4449953,364700,40,60,80,0,0,0,0,0,0
139,4457515,368800,40,60,80,0,0,0,0,0,0
140,4463918,373000,40,60,80,0,0,0,0,0,0
141,4469285,376400,40,60,80,0,0,0,0,0,0
142,4473733,379900,40,60,80,0,0,0,0,0,0
143,4477376,383300,40,60,80,0,0,0,0,0,0
144,4480318,386700,40,60,80,0,0,0,0,0,0
145,4482653,390200,40,60,80,0,0,0,0,0,0
146,4484471,393800,40,60,80,0,0,0,0,0,0
147,4485856,397300,40,60,80,0,0,0,0,0,0
148,4486883,400800,40,60,80,0,0,0,0,0,0
149,4487617,404200,40,60,80,0,0,0,0,0,0
150,4488124,407700,40,60,80,0,0,0,0,0,0
151,4488454,411400,40,60,80,0,0,0,0,0,0
152,4488654,415100,40,60,80,0,0,0,0,0,0
153,4488763,418800,40,60,80,0,0,0,0,0,0
154,4488816,422500,40,60,80,0,0,0,0,0,0
155,4488835,426200,40,60,80,0,0,0,0,0,0
156,4488840,429400,40,60,80,0,0,0,0,0,0
157,4488840,432600,40,60,80,0,0,0,0,0,0
158,4488840,435800,40,60,80,0,0,0,0,0,0
159,4488841,439000,40,60,80,0,0,0,0,0,0
160,4488848,442300,40,60,80,0,0,0,0,0,0
161,4488868,445500,40,60,80,0,0,0,0,0,0
162,4488908,448700,40,60,80,0,0,0,0,0,0
163,4488982,451800,40,60,80,0,0,0,0,0,0
164,4489103,455000,40,60,80,0,0,0,0,0,0
165,4489288,458200,40,60,80,0,0,0,0,0,0
166,4489556,461300,40,60,80,0,0,0,0,0,0
167,4489933,464500,40,60,80,0,0,0,0,0,0
168,4490440,467600,40,60,80,0,0,0,0,0,0
169,4491106,470600,40,60,80,0,0,0,0,0,0
170,4491961,473700,40,60,80,100,0,0,0,0,0
171,4493038,476700,40,60,80,100,0,0,0,0,0
172,4494372,479800,40,60,80,100,0,0,0,0,0
173,4496002,482800,40,60,80,100,0,0,0,0,0
174,4497967,485900,40,60,80,100,0,0,0,0,0
175,4500311,489100,40,60,80,100,0,0,0,0,0
176,4503080,492300,40,60,80,100,0,0,0,0,0
177,4506324,495400,40,60,80,100,0,0,0,0,0
178,4510092,498600,40,60,80,100,0,0,0,0,0
179,4514438,501700,40,60,80,100,0,0,0,0,0
180,6779130,504900,40,60,80,100,0,0,0,0,0
181,6787641,521100,40,60,80,100,0,0,0,0,0
182,6797288,537300,40,60,80,100,0,0,0,0,0
183,6808164,553600,40,60,80,100,0,0,0,0,0
184,6820370,569800,40,60,80,100,0,0,0,0,0
185,6834009,586000,40,60,80,100,0,0,0,0,0
186,6849192,602200,40,60,80,100,0,0,0,0,0
187,6866030,618400,40,60,80,100,0,0,0,0,0
188,6884637,634600,40,60,80,100,0,0,0,0,0
189,6905135,650900,40,60,80,100,0,0,0,0,0
190,6927648,667100,40,60,80,100,0,0,0,0,0
191,6952302,683300,40,60,80,100,0,0,0,0,0
192,6979232,687300,40,60,80,100,0,0,0,0,0
193,7008570,691200,40,60,80,100,0,0,0,0,0
194,7040459,695100,40,60,80,100,0,0,0,0,0
195,7075041,699100,40,60,80,100,0,0,0,0,0
196,7112463,703000,40,60,80,100,0,0,0,0,0
197,7152876,707100,40,60,80,100,0,0,0,0,0
198,7196438,710700,40,60,80,100,0,0,0,0,0
199,7243307,714400,40,60,80,100,0,0,0,0,0
200,7293645,718000,40,60,80,100,0,0,0,0,0
201,7347621,721700,40,60,80,100,0,0,0,0,0
202,7405406,725400,40,60,80,100,0,0,0,0,0
203,7467173,729000,40,60,80,100,0,0,0,0,0
204,7533102,732700,40,60,80,100,0,0,0,0,0
205,7603377,736400,40,60,80,100,0,0,0,0,0
206,7678185,740100,40,60,80,100,0,0,0,0,0
207,7757715,744300,40,60,80,100,0,0,0,0,0
208,7842162,748400,40,60,80,100,0,0,0,0,0
209,7931727,752500,40,60,80,100,0,0,0,0,0
210,8026611,756600,40,60,80,100,0,0,0,0,0
211,8127020,760800,40,60,80,100,0,0,0,0,0
212,8233164,764900,40,60,80,100,0,0,0,0,0
213,8345259,769000,40,60,80,100,0,0,0,0,0
214,8463522,773200,40,60,80,100,0,0,0,0,0
215,8588178,777500,40,60,80,100,0,0,0,0,0
216,8719451,781800,40,60,80,100,0,0,0,0,0
217,8857569,786100,40,60,80,100,0,0,0,0,0
218,9002771,790300,40,60,80,100,0,0,0,0,0
219,9155289,794600,40,60,80,100,0,0,0,0,0
220,9315371,798900,40,60,80,100,0,0,0,0,0
221,9483261,803100,40,60,80,100,0,0,0,0,0
222,9659205,807500,40,60,80,100,0,0,0,0,0
223,9843462,812500,40,60,80,100,0,0,0,0,0
224,10036287,817500,40,60,80,100,0,0,0,0,0
225,10237941,822500,40,60,80,100,0,0,0,0,0
226,10448691,827500,40,60,80,100,0,0,0,0,0
227,10668806,832400,40,60,80,100,0,0,0,0,0
228,10898559,837400,40,60,80,100,0,0,0,0,0
229,11138229,842500,40,60,80,100,0,0,0,0,0
230,11388095,847600,40,60,80,100,0,0,0,0,0
231,11648442,852700,40,60,80,100,0,0,0,0,0
232,11919563,857700,40,60,80,100,0,0,0,0,0
233,12201747,862800,40,60,80,100,0,0,0,0,0
234,12494828,867900,40,60,80,100,0,0,0,0,0
235,12783795,873000,40,60,80,100,0,0,0,0,0
236,13061517,878200,40,60,80,100,0,0,0,0,0
237,13328292,884200,40,60,80,100,0,0,0,0,0
238,13584414,890200,40,60,80,100,0,0,0,0,0
239,13830167,896200,40,60,80,100,0,0,0,0,0
240,14065838,902200,40,60,80,100,0,0,0,0,0
241,14291702,908200,40,60,80,100,0,0,0,0,0
242,14508038,914300,40,60,80,100,0,0,0,0,0
243,14715117,920400,40,60,80,100,0,0,0,0,0
244,14913209,926500,40,60,80,100,0,0,0,0,0
245,15102575,932600,40,60,80,100,0,0,0,0,0
246,15283476,938700,40,60,80,100,0,0,0,0,0
247,15456168,944800,40,60,80,100,0,0,0,0,0
248,15620904,951000,40,60,80,100,0,0,0,0,0
249,15777933,957500,40,60,80,100,0,0,0,0,0
250,15927495,964000,40,60,80,100,120,0,0,0,0
251,16069835,970600,40,60,80,100,120,0,0,0,0
252,16205187,977100,40,60,80,100,120,0,0,0,0
253,16333785,983600,40,60,80,100,120,0,0,0,0
254,16455858,990200,40,60,80,100,120,0,0,0,0
255,16571627,996000,40,60,80,100,120,0,0,0,0
256,16681317,1001800,40,60,80,100,120,0,0,0,0
257,16785141,1007500,40,60,80,100,120,0,0,0,0
258,16883315,1013300,40,60,80,100,120,0,0,0,0
259,16976045,1019100,40,60,80,100,120,0,0,0,0
260,17063540,1024900,40,60,80,100,120,0,0,0,0
261,17145998,1030700,40,60,80,100,120,0,0,0,0
262,17223615,1037500,40,60,80,100,120,0,0,0,0
263,17296587,1044300,40,60,80,100,120,0,0,0,0
264,17365101,1051100,40,60,80,100,120,0,0,0,0
265,17429345,1057900,40,60,80,100,120,0,0,0,0
266,17489496,1064700,40,60,80,100,120,0,0,0,0
267,17545737,1071600,40,60,80,100,120,0,0,0,0
268,17598237,1077600,40,60,80,100,120,0,0,0,0
269,17647167,1083600,40,60,80,100,120,0,0,0,0
270,17692695,1089600,40,60,80,100,120,0,0,0,0
271,17734977,1095600,40,60,80,100,120,0,0,0,0
272,17774178,1101700,40,60,80,100,120,0,0,0,0
273,17810444,1107700,40,60,80,100,120,0,0,0,0
274,17843931,1113800,40,60,80,100,120,0,0,0,0
275,17874783,1119400,40,60,80,100,120,0,0,0,0
276,17903142,1124900,40,60,80,100,120,0,0,0,0
277,17929145,1130500,40,60,80,100,120,0,0,0,0
278,17952927,1136100,40,60,80,100,120,0,0,0,0
279,17974619,1141700,40,60,80,100,120,0,0,0,0
280,17994347,1147300,40,60,80,100,120,0,0,0,0
281,18012231,1152800,40,60,80,100,120,0,0,0,0
282,18028394,1158500,40,60,80,100,120,0,0,0,0
283,18042945,1164900,40,60,80,100,120,0,0,0,0
284,18055998,1171200,40,60,80,100,120,0,0,0,0
285,18067661,1177600,40,60,80,100,120,0,0,0,0
286,18078032,1183900,40,60,80,100,120,0,0,0,0
287,18087213,1190300,40,60,80,100,120,0,0,0,0
288,18095300,1196600,40,60,80,100,120,0,0,0,0
289,18102381,1203100,40,60,80,100,120,0,0,0,0
290,18108542,1208900,40,60,80,100,120,0,0,0,0
291,18113870,1214700,40,60,80,100,120,0,0,0,0
292,18118442,1220600,40,60,80,100,120,0,0,0,0
293,18122331,1226400,40,60,80,100,120,0,0,0,0
294,18125613,1232200,40,60,80,100,120,0,0,0,0
295,18128352,1238100,40,60,80,100,120,0,0,0,0
296,18130611,1243900,40,60,80,100,120,0,0,0,0
297,18132453,1249800,40,60,80,100,120,0,0,0,0
298,18133929,1255800,40,60,80,100,120,0,0,0,0
299,18135092,1261800,40,60,80,100,120,0,0,0,0
300,18135990,1267800,40,60,80,100,120,0,0,0,0
301,18136668,1273800,40,60,80,100,120,0,0,0,0
302,18137163,1279800,40,60,80,100,120,0,0,0,0
303,18137513,1285800,40,60,80,100,120,0,0,0,0
304,18137748,1291800,40,60,80,100,120,0,0,0,0
305,18137898,1297800,40,60,80,100,120,0,0,0,0
306,18137987,1304000,40,60,80,100,120,0,0,0,0
307,18138033,1310200,40,60,80,100,120,0,0,0,0
308,18138053,1316400,40,60,80,100,120,0,0,0,0
309,18138059,1322700,40,60,80,100,120,0,0,0,0
310,18138060,1328900,40,60,80,100,120,0,0,0,0
311,18138060,1335100,40,60,80,100,120,0,0,0,0
312,18138060,1341300,40,60,80,100,120,0,0,0,0
313,18138062,1347600,40,60,80,100,120,0,0,0,0
314,18138068,1353300,40,60,80,100,120,0,0,0,0
315,18138081,1359000,40,60,80,100,120,0,0,0,0
316,18138111,1364800,40,60,80,100,120,0,0,0,0
317,18138161,1370500,40,60,80,100,120,0,0,0,0
318,18138240,1376200,40,60,80,100,120,0,0,0,0
319,18138359,1381900,40,60,80,100,120,0,0,0,0
320,18138528,1387700,40,60,80,100,120,0,0,0,0
321,18138762,1393400,40,60,80,100,120,0,0,0,0
322,18139074,1399200,40,60,80,100,120,0,0,0,0
323,18139479,1404600,40,60,80,100,120,0,0,0,0
324,18139995,1410000,40,60,80,100,120,0,0,0,0
325,18140642,1415400,40,60,80,100,120,0,0,0,0
326,18141437,1420800,40,60,80,100,120,0,0,0,0
327,18142401,1426100,40,60,80,100,120,0,0,0,0
328,18143562,1431500,40,60,80,100,120,0,0,0,0
329,18144939,1436900,40,60,80,100,120,0,0,0,0
330,18146564,1442300,40,60,80,100,120,0,0,0,0
331,18148457,1447700,40,60,80,100,120,0,0,0,0
332,18150650,1453100,40,60,80,100,120,0,0,0,0
333,18153173,1458600,40,60,80,100,120,0,0,0,0
334,18156059,1464000,40,60,80,100,120,0,0,0,0
335,18159336,1469400,40,60,80,100,120,0,0,0,0
336,18163046,1474800,40,60,80,100,120,0,0,0,0
337,18167219,1480200,40,60,80,100,120,0,0,0,0
338,18171893,1485600,40,60,80,100,120,0,0,0,0
339,18177110,1491000,40,60,80,100,120,0,0,0,0
340,18182907,1496400,40,60,80,100,120,0,0,0,0
341,18189327,1501800,40,60,80,100,120,0,0,0,0
342,18196413,1507300,40,60,80,100,120,0,0,0,0
343,18204210,1512500,40,60,80,100,120,0,0,0,0
344,18212762,1517600,40,60,80,100,120,0,0,0,0
345,18222119,1522800,40,60,80,100,120,0,0,0,0
346,18232326,1527900,40,60,80,100,120,0,0,0,0
347,18243438,1533100,40,60,80,100,120,0,0,0,0
348,18255504,1538300,40,60,80,100,120,0,0,0,0
349,18268578,1543400,40,60,80,100,120,0,0,0,0
350,18282714,1548600,40,60,80,100,120,140,0,0,0
351,18297969,1553800,40,60,80,100,120,140,0,0,0
352,18314397,1558900,40,60,80,100,120,140,0,0,0
353,18332063,1564200,40,60,80,100,120,140,0,0,0
354,18351021,1569500,40,60,80,100,120,140,0,0,0
355,18371340,1574900,40,60,80,100,120,140,0,0,0
356,18393077,1580200,40,60,80,100,120,140,0,0,0
357,18416298,1585500,40,60,80,100,120,140,0,0,0
358,18441071,1590900,40,60,80,100,120,140,0,0,0
359,18467462,1596200,40,60,80,100,120,140,0,0,0
360,18495540,1601500,40,60,80,100,120,140,0,0,0
361,18525377,1606800,40,60,80,100,120,140,0,0,0
362,18557043,1612200,40,60,80,100,120,140,0,0,0
363,18590613,1617500,40,60,80,100,120,140,0,0,0
364,18626160,1622900,40,60,80,100,120,140,0,0,0
365,18663762,1628000,40,60,80,100,120,140,0,0,0
366,18703496,1633000,40,60,80,100,120,140,0,0,0
367,18745440,1638000,40,60,80,100,120,140,0,0,0
368,18789677,1643100,40,60,80,100,120,140,0,0,0
369,18836286,1648100,40,60,80,100,120,140,0,0,0
370,18885351,1653200,40,60,80,100,120,140,0,0,0
371,18936960,1658200,40,60,80,100,120,140,0,0,0
372,18991196,1663200,40,60,80,100,120,140,0,0,0
373,19048146,1668300,40,60,80,100,120,140,0,0,0
374,19107902,1673300,40,60,80,100,120,140,0,0,0
375,19170555,1678300,40,60,80,100,120,140,0,0,0
376,19236194,1683400,40,60,80,100,120,140,0,0,0
377,19304913,1688500,40,60,80,100,120,140,0,0,0
378,19376810,1693700,40,60,80,100,120,140,0,0,0
379,19451979,1698800,40,60,80,100,120,140,0,0,0
380,19530519,1703900,40,60,80,100,120,140,0,0,0
381,19612527,1709000,40,60,80,100,120,140,0,0,0
382,19698104,1714100,40,60,80,100,120,140,0,0,0
383,19787355,1719200,40,60,80,100,120,140,0,0,0
384,19880382,1724300,40,60,80,100,120,140,0,0,0
385,19977290,1729400,40,60,80,100,120,140,0,0,0
386,20078184,1734500,40,60,80,100,120,140,0,0,0
387,20183175,1739700,40,60,80,100,120,140,0,0,0
388,20292369,1744900,40,60,80,100,120,140,0,0,0
389,20405879,1750100,40,60,80,100,120,140,0,0,0
390,20523816,1755300,40,60,80,100,120,140,0,0,0
391,20646296,1760600,40,60,80,100,120,140,0,0,0
392,20773431,1765800,40,60,80,100,120,140,0,0,0
393,20905338,1771000,40,60,80,100,120,140,0,0,0
394,21042138,1776300,40,60,80,100,120,140,0,0,0
395,21183948,1781500,40,60,80,100,120,140,0,0,0
396,21330890,1786800,40,60,80,100,120,140,0,0,0
397,21483083,1792000,40,60,80,100,120,140,0,0,0
398,21640655,1797200,40,60,80,100,120,140,0,0,0
399,21803727,1802500,40,60,80,100,120,140,0,0,0
400,21972431,1807800,40,60,80,100,120,140,0,0,0
401,22146893,1812700,40,60,80,100,120,140,160,0,0
402,22327239,1817700,40,60,80,100,120,140,160,0,0
403,22513602,1822600,40,60,80,100,120,140,160,0,0
404,22706118,1827500,40,60,80,100,120,140,160,0,0
405,22904918,1832400,40,60,80,100,120,140,160,0,0
406,23110134,1837300,40,60,80,100,120,140,160,0,0
407,23321907,1842200,40,60,80,100,120,140,160,0,0
408,23540375,1847100,40,60,80,100,120,140,160,0,0
409,23765678,1852100,40,60,80,100,120,140,160,0,0
410,23997953,1857000,40,60,80,100,120,140,160,0,0
411,24237345,1861900,40,60,80,100,120,140,160,0,0
412,24483999,1866900,40,60,80,100,120,140,160,0,0
413,24738060,1413000,40,60,80,100,120,140,160,0,0
414,24999675,1416600,40,60,80,100,120,140,160,0,0
415,25268988,1420200,40,60,80,100,120,140,160,0,0
416,25546155,1423800,40,60,80,100,120,140,160,0,0
417,25831323,1427400,40,60,80,100,120,140,160,0,0
418,26124648,1431000,40,60,80,100,120,140,160,0,0
419,26426279,1434600,40,60,80,100,120,140,160,0,0
420,26736375,1438200,40,60,80,100,120,140,160,0,0
421,27055095,1441800,40,60,80,100,120,140,160,0,0
422,27382590,1445400,40,60,80,100,120,140,160,0,0
