Id,OptionGroup,EffectType,EffectParam
176,10206,DodgeValue,36
177,10206,Penetration,66
178,10206,Resilience,66
181,10206,CriticalValue,66
182,10206,AntiCriticalValue,78
183,10207,AttackPowerPhy,63
184,10207,AttackPowerMag,63
185,10207,DefensePowerPhy,70
186,10207,DefensePowerMag,70
187,10207,MaxHP,91
188,10207,MaxMP,91
189,10207,HitValue,42
190,10207,DodgeValue,42
191,10207,Penetration,77
192,10207,Resilience,77
195,10207,CriticalValue,77
196,10207,AntiCriticalValue,91
197,10301,AttackPowerPhy,11
198,10301,AttackPowerMag,11
199,10301,DefensePowerPhy,13
200,10301,DefensePowerMag,13
201,10301,MaxHP,17
202,10301,MaxMP,17
203,10301,HitValue,7
204,10301,DodgeValue,7
205,10301,Penetration,14
206,10301,Resilience,14
207,10301,AddIgnoreDefenseDamage,1
208,10301,AddDecreaseDamage,1
209,10301,CriticalValue,13
210,10301,AntiCriticalValue,16
211,10302,AttackPowerPhy,22
212,10302,AttackPowerMag,22
213,10302,DefensePowerPhy,26
214,10302,DefensePowerMag,26
215,10302,MaxHP,34
216,10302,MaxMP,34
217,10302,HitValue,14
218,10302,DodgeValue,14
219,10302,Penetration,28
220,10302,Resilience,28
221,10302,AddIgnoreDefenseDamage,2
222,10302,AddDecreaseDamage,2
223,10302,CriticalValue,26
224,10302,AntiCriticalValue,32
225,10303,AttackPowerPhy,33
226,10303,AttackPowerMag,33
227,10303,DefensePowerPhy,39
228,10303,DefensePowerMag,39
229,10303,MaxHP,51
230,10303,MaxMP,51
231,10303,HitValue,21
232,10303,DodgeValue,21
233,10303,Penetration,42
234,10303,Resilience,42
235,10303,AddIgnoreDefenseDamage,3
236,10303,AddDecreaseDamage,3
237,10303,CriticalValue,39
238,10303,AntiCriticalValue,48
239,10304,AttackPowerPhy,44
240,10304,AttackPowerMag,44
241,10304,DefensePowerPhy,52
242,10304,DefensePowerMag,52
243,10304,MaxHP,68
244,10304,MaxMP,68
245,10304,HitValue,28
246,10304,DodgeValue,28
247,10304,Penetration,56
248,10304,Resilience,56
249,10304,AddIgnoreDefenseDamage,4
250,10304,AddDecreaseDamage,4
251,10304,CriticalValue,52
252,10304,AntiCriticalValue,64
253,10305,AttackPowerPhy,55
254,10305,AttackPowerMag,55
255,10305,DefensePowerPhy,65
256,10305,DefensePowerMag,65
257,10305,MaxHP,85
258,10305,MaxMP,85
259,10305,HitValue,35
260,10305,DodgeValue,35
261,10305,Penetration,70
262,10305,Resilience,70
263,10305,AddIgnoreDefenseDamage,5
264,10305,AddDecreaseDamage,5
265,10305,CriticalValue,65
266,10305,AntiCriticalValue,80
267,10306,AttackPowerPhy,66
268,10306,AttackPowerMag,66
269,10306,DefensePowerPhy,78
270,10306,DefensePowerMag,78
271,10306,MaxHP,102
272,10306,MaxMP,102
273,10306,HitValue,42
274,10306,DodgeValue,42
275,10306,Penetration,84
276,10306,Resilience,84
277,10306,AddIgnoreDefenseDamage,6
278,10306,AddDecreaseDamage,6
279,10306,CriticalValue,78
280,10306,AntiCriticalValue,96
281,10307,AttackPowerPhy,77
282,10307,AttackPowerMag,77
283,10307,DefensePowerPhy,91
284,10307,DefensePowerMag,91
285,10307,MaxHP,119
286,10307,MaxMP,119
287,10307,HitValue,49
288,10307,DodgeValue,49
289,10307,Penetration,98
290,10307,Resilience,98
291,10307,AddIgnoreDefenseDamage,7
292,10307,AddDecreaseDamage,7
293,10307,CriticalValue,91
294,10307,AntiCriticalValue,112
295,10401,AttackPowerPhy,14
296,10401,AttackPowerMag,14
297,10401,DefensePowerPhy,16
298,10401,DefensePowerMag,16
299,10401,MaxHP,21
300,10401,MaxMP,21
301,10401,HitValue,9
302,10401,DodgeValue,9
303,10401,Penetration,17
304,10401,Resilience,17
305,10401,AddIgnoreDefenseDamage,1
306,10401,AddDecreaseDamage,1
307,10401,CriticalValue,17
308,10401,AntiCriticalValue,21
309,10402,AttackPowerPhy,28
310,10402,AttackPowerMag,28
311,10402,DefensePowerPhy,32
312,10402,DefensePowerMag,32
313,10402,MaxHP,42
314,10402,MaxMP,42
315,10402,HitValue,18
316,10402,DodgeValue,18
317,10402,Penetration,34
318,10402,Resilience,34
319,10402,AddIgnoreDefenseDamage,2
320,10402,AddDecreaseDamage,2
321,10402,CriticalValue,34
322,10402,AntiCriticalValue,42
323,10403,AttackPowerPhy,42
324,10403,AttackPowerMag,42
325,10403,DefensePowerPhy,48
326,10403,DefensePowerMag,48
327,10403,MaxHP,63
328,10403,MaxMP,63
329,10403,HitValue,27
330,10403,DodgeValue,27
331,10403,Penetration,51
332,10403,Resilience,51
333,10403,AddIgnoreDefenseDamage,3
334,10403,AddDecreaseDamage,3
335,10403,CriticalValue,51
336,10403,AntiCriticalValue,63
337,10404,AttackPowerPhy,56
338,10404,AttackPowerMag,56
339,10404,DefensePowerPhy,64
340,10404,DefensePowerMag,64
341,10404,MaxHP,84
342,10404,MaxMP,84
343,10404,HitValue,36
344,10404,DodgeValue,36
345,10404,Penetration,68
346,10404,Resilience,68
347,10404,AddIgnoreDefenseDamage,4
348,10404,AddDecreaseDamage,4
349,10404,CriticalValue,68
350,10404,AntiCriticalValue,84
351,10405,AttackPowerPhy,70
352,10405,AttackPowerMag,70
353,10405,DefensePowerPhy,80
354,10405,DefensePowerMag,80
355,10405,MaxHP,105
356,10405,MaxMP,105
357,10405,HitValue,45
358,10405,DodgeValue,45
359,10405,Penetration,85
360,10405,Resilience,85
361,10405,AddIgnoreDefenseDamage,5
362,10405,AddDecreaseDamage,5
363,10405,CriticalValue,85
364,10405,AntiCriticalValue,105
365,10406,AttackPowerPhy,84
366,10406,AttackPowerMag,84
367,10406,DefensePowerPhy,96
368,10406,DefensePowerMag,96
369,10406,MaxHP,126
370,10406,MaxMP,126
371,10406,HitValue,54
372,10406,DodgeValue,54
373,10406,Penetration,102
374,10406,Resilience,102
375,10406,AddIgnoreDefenseDamage,6
376,10406,AddDecreaseDamage,6
377,10406,CriticalValue,102
378,10406,AntiCriticalValue,126
379,10407,AttackPowerPhy,98
380,10407,AttackPowerMag,98
381,10407,DefensePowerPhy,112
382,10407,DefensePowerMag,112
383,10407,MaxHP,147
384,10407,MaxMP,147
385,10407,HitValue,63
386,10407,DodgeValue,63
387,10407,Penetration,119
388,10407,Resilience,119
389,10407,AddIgnoreDefenseDamage,7
390,10407,AddDecreaseDamage,7
391,10407,CriticalValue,119
392,10407,AntiCriticalValue,147
393,10501,AttackPowerPhy,17
394,10501,AttackPowerMag,17
395,10501,DefensePowerPhy,19
396,10501,DefensePowerMag,19
397,10501,MaxHP,25
398,10501,MaxMP,25
399,10501,HitValue,11
400,10501,DodgeValue,11
401,10501,Penetration,21
402,10501,Resilience,21
403,10501,AddIgnoreDefenseDamage,1
404,10501,AddDecreaseDamage,1
405,10501,CriticalValue,21
406,10501,AntiCriticalValue,25
407,10502,AttackPowerPhy,34
408,10502,AttackPowerMag,34
409,10502,DefensePowerPhy,38
410,10502,DefensePowerMag,38
411,10502,MaxHP,50
412,10502,MaxMP,50
413,10502,HitValue,22
414,10502,DodgeValue,22
415,10502,Penetration,42
416,10502,Resilience,42
417,10502,AddIgnoreDefenseDamage,2
418,10502,AddDecreaseDamage,2
419,10502,CriticalValue,42
420,10502,AntiCriticalValue,50
421,10503,AttackPowerPhy,51
422,10503,AttackPowerMag,51
423,10503,DefensePowerPhy,57
424,10503,DefensePowerMag,57
425,10503,MaxHP,75
426,10503,MaxMP,75
427,10503,HitValue,33
428,10503,DodgeValue,33
429,10503,Penetration,63
430,10503,Resilience,63
431,10503,AddIgnoreDefenseDamage,3
432,10503,AddDecreaseDamage,3
433,10503,CriticalValue,63
434,10503,AntiCriticalValue,75
435,10504,AttackPowerPhy,68
436,10504,AttackPowerMag,68
437,10504,DefensePowerPhy,76
438,10504,DefensePowerMag,76
439,10504,MaxHP,100
440,10504,MaxMP,100
441,10504,HitValue,44
442,10504,DodgeValue,44
443,10504,Penetration,84
444,10504,Resilience,84
445,10504,AddIgnoreDefenseDamage,4
446,10504,AddDecreaseDamage,4
447,10504,CriticalValue,84
448,10504,AntiCriticalValue,100
449,10505,AttackPowerPhy,85
450,10505,AttackPowerMag,85
451,10505,DefensePowerPhy,95
452,10505,DefensePowerMag,95
453,10505,MaxHP,125
454,10505,MaxMP,125
455,10505,HitValue,55
456,10505,DodgeValue,55
457,10505,Penetration,105
458,10505,Resilience,105
459,10505,AddIgnoreDefenseDamage,5
460,10505,AddDecreaseDamage,5
461,10505,CriticalValue,105
462,10505,AntiCriticalValue,125
463,10506,AttackPowerPhy,102
464,10506,AttackPowerMag,102
465,10506,DefensePowerPhy,114
466,10506,DefensePowerMag,114
467,10506,MaxHP,150
468,10506,MaxMP,150
469,10506,HitValue,66
470,10506,DodgeValue,66
471,10506,Penetration,126
472,10506,Resilience,126
473,10506,AddIgnoreDefenseDamage,6
474,10506,AddDecreaseDamage,6
475,10506,CriticalValue,126
476,10506,AntiCriticalValue,150
477,10507,AttackPowerPhy,119
478,10507,AttackPowerMag,119
479,10507,DefensePowerPhy,133
480,10507,DefensePowerMag,133
481,10507,MaxHP,175
482,10507,MaxMP,175
483,10507,HitValue,77
484,10507,DodgeValue,77
485,10507,Penetration,147
486,10507,Resilience,147
487,10507,AddIgnoreDefenseDamage,7
488,10507,AddDecreaseDamage,7
489,10507,CriticalValue,147
490,10507,AntiCriticalValue,175
491,10601,AttackPowerPhy,19
492,10601,AttackPowerMag,19
493,10601,DefensePowerPhy,22
494,10601,DefensePowerMag,22
495,10601,MaxHP,29
496,10601,MaxMP,29
497,10601,HitValue,13
498,10601,DodgeValue,13
499,10601,Penetration,24
500,10601,Resilience,24
501,10601,AddIgnoreDefenseDamage,2
502,10601,AddDecreaseDamage,2
503,10601,CriticalValue,24
504,10601,AntiCriticalValue,29
505,10602,AttackPowerPhy,38
506,10602,AttackPowerMag,38
507,10602,DefensePowerPhy,44
508,10602,DefensePowerMag,44
509,10602,MaxHP,58
510,10602,MaxMP,58
511,10602,HitValue,26
512,10602,DodgeValue,26
513,10602,Penetration,48
514,10602,Resilience,48
515,10602,AddIgnoreDefenseDamage,4
516,10602,AddDecreaseDamage,4
517,10602,CriticalValue,48
518,10602,AntiCriticalValue,58
519,10603,AttackPowerPhy,57
520,10603,AttackPowerMag,57
521,10603,DefensePowerPhy,66
522,10603,DefensePowerMag,66
523,10603,MaxHP,87
524,10603,MaxMP,87
525,10603,HitValue,39
526,10603,DodgeValue,39
527,10603,Penetration,72
528,10603,Resilience,72
529,10603,AddIgnoreDefenseDamage,6
530,10603,AddDecreaseDamage,6
531,10603,CriticalValue,72
532,10603,AntiCriticalValue,87
533,10604,AttackPowerPhy,76
534,10604,AttackPowerMag,76
535,10604,DefensePowerPhy,88
536,10604,DefensePowerMag,88
537,10604,MaxHP,116
538,10604,MaxMP,116
539,10604,HitValue,52
540,10604,DodgeValue,52
541,10604,Penetration,96
542,10604,Resilience,96
543,10604,AddIgnoreDefenseDamage,8
544,10604,AddDecreaseDamage,8
545,10604,CriticalValue,96
546,10604,AntiCriticalValue,116
547,10605,AttackPowerPhy,95
548,10605,AttackPowerMag,95
549,10605,DefensePowerPhy,110
550,10605,DefensePowerMag,110
551,10605,MaxHP,145
552,10605,MaxMP,145
553,10605,HitValue,65
554,10605,DodgeValue,65
555,10605,Penetration,120
556,10605,Resilience,120
557,10605,AddIgnoreDefenseDamage,10
558,10605,AddDecreaseDamage,10
559,10605,CriticalValue,120
560,10605,AntiCriticalValue,145
561,10606,AttackPowerPhy,114
562,10606,AttackPowerMag,114
563,10606,DefensePowerPhy,132
564,10606,DefensePowerMag,132
565,10606,MaxHP,174
566,10606,MaxMP,174
567,10606,HitValue,78
568,10606,DodgeValue,78
569,10606,Penetration,144
570,10606,Resilience,144
571,10606,AddIgnoreDefenseDamage,12
572,10606,AddDecreaseDamage,12
573,10606,CriticalValue,144
574,10606,AntiCriticalValue,174
575,10607,AttackPowerPhy,133
576,10607,AttackPowerMag,133
577,10607,DefensePowerPhy,154
578,10607,DefensePowerMag,154
579,10607,MaxHP,203
580,10607,MaxMP,203
581,10607,HitValue,91
582,10607,DodgeValue,91
583,10607,Penetration,168
584,10607,Resilience,168
585,10607,AddIgnoreDefenseDamage,14
586,10607,AddDecreaseDamage,14
587,10607,CriticalValue,168
588,10607,AntiCriticalValue,203
589,10701,AttackPowerPhy,22
590,10701,AttackPowerMag,22
591,10701,DefensePowerPhy,25
592,10701,DefensePowerMag,25
593,10701,MaxHP,33
594,10701,MaxMP,33
595,10701,HitValue,15
596,10701,DodgeValue,15
597,10701,Penetration,28
598,10701,Resilience,28
599,10701,AddIgnoreDefenseDamage,2
600,10701,AddDecreaseDamage,2
601,10701,CriticalValue,27
602,10701,AntiCriticalValue,33
603,10702,AttackPowerPhy,44
604,10702,AttackPowerMag,44
605,10702,DefensePowerPhy,50
606,10702,DefensePowerMag,50
607,10702,MaxHP,66
608,10702,MaxMP,66
609,10702,HitValue,30
610,10702,DodgeValue,30
611,10702,Penetration,56
612,10702,Resilience,56
613,10702,AddIgnoreDefenseDamage,4
614,10702,AddDecreaseDamage,4
615,10702,CriticalValue,54
616,10702,AntiCriticalValue,66
617,10703,AttackPowerPhy,66
618,10703,AttackPowerMag,66
619,10703,DefensePowerPhy,75
620,10703,DefensePowerMag,75
621,10703,MaxHP,99
622,10703,MaxMP,99
623,10703,HitValue,45
624,10703,DodgeValue,45
625,10703,Penetration,84
626,10703,Resilience,84
627,10703,AddIgnoreDefenseDamage,6
628,10703,AddDecreaseDamage,6
629,10703,CriticalValue,81
630,10703,AntiCriticalValue,99
631,10704,AttackPowerPhy,88
632,10704,AttackPowerMag,88
633,10704,DefensePowerPhy,100
634,10704,DefensePowerMag,100
635,10704,MaxHP,132
636,10704,MaxMP,132
637,10704,HitValue,60
638,10704,DodgeValue,60
639,10704,Penetration,112
640,10704,Resilience,112
641,10704,AddIgnoreDefenseDamage,8
642,10704,AddDecreaseDamage,8
643,10704,CriticalValue,108
644,10704,AntiCriticalValue,132
645,10705,AttackPowerPhy,110
646,10705,AttackPowerMag,110
647,10705,DefensePowerPhy,125
648,10705,DefensePowerMag,125
649,10705,MaxHP,165
650,10705,MaxMP,165
651,10705,HitValue,75
652,10705,DodgeValue,75
653,10705,Penetration,140
654,10705,Resilience,140
655,10705,AddIgnoreDefenseDamage,10
656,10705,AddDecreaseDamage,10
657,10705,CriticalValue,135
658,10705,AntiCriticalValue,165
659,10706,AttackPowerPhy,132
660,10706,AttackPowerMag,132
661,10706,DefensePowerPhy,150
662,10706,DefensePowerMag,150
663,10706,MaxHP,198
664,10706,MaxMP,198
665,10706,HitValue,90
666,10706,DodgeValue,90
667,10706,Penetration,168
668,10706,Resilience,168
669,10706,AddIgnoreDefenseDamage,12
670,10706,AddDecreaseDamage,12
671,10706,CriticalValue,162
672,10706,AntiCriticalValue,198
673,10707,AttackPowerPhy,154
674,10707,AttackPowerMag,154
675,10707,DefensePowerPhy,175
676,10707,DefensePowerMag,175
677,10707,MaxHP,231
678,10707,MaxMP,231
679,10707,HitValue,105
680,10707,DodgeValue,105
681,10707,Penetration,196
682,10707,Resilience,196
683,10707,AddIgnoreDefenseDamage,14
684,10707,AddDecreaseDamage,14
685,10707,CriticalValue,189
686,10707,AntiCriticalValue,231
687,10801,AttackPowerPhy,24
688,10801,AttackPowerMag,24
689,10801,DefensePowerPhy,28
690,10801,DefensePowerMag,28
691,10801,MaxHP,37
692,10801,MaxMP,37
693,10801,HitValue,16
694,10801,DodgeValue,16
695,10801,Penetration,31
696,10801,Resilience,31
697,10801,AddIgnoreDefenseDamage,2
698,10801,AddDecreaseDamage,2
699,10801,CriticalValue,30
700,10801,AntiCriticalValue,37
701,10802,AttackPowerPhy,48
702,10802,AttackPowerMag,48
703,10802,DefensePowerPhy,56
704,10802,DefensePowerMag,56
705,10802,MaxHP,74
706,10802,MaxMP,74
707,10802,HitValue,32
708,10802,DodgeValue,32
709,10802,Penetration,62
710,10802,Resilience,62
711,10802,AddIgnoreDefenseDamage,4
712,10802,AddDecreaseDamage,4
713,10802,CriticalValue,60
714,10802,AntiCriticalValue,74
715,10803,AttackPowerPhy,72
716,10803,AttackPowerMag,72
717,10803,DefensePowerPhy,84
718,10803,DefensePowerMag,84
719,10803,MaxHP,111
720,10803,MaxMP,111
721,10803,HitValue,48
722,10803,DodgeValue,48
723,10803,Penetration,93
724,10803,Resilience,93
725,10803,AddIgnoreDefenseDamage,6
726,10803,AddDecreaseDamage,6
727,10803,CriticalValue,90
728,10803,AntiCriticalValue,111
729,10804,AttackPowerPhy,96
730,10804,AttackPowerMag,96
731,10804,DefensePowerPhy,112
732,10804,DefensePowerMag,112
733,10804,MaxHP,148
734,10804,MaxMP,148
735,10804,HitValue,64
736,10804,DodgeValue,64
737,10804,Penetration,124
738,10804,Resilience,124
739,10804,AddIgnoreDefenseDamage,8
740,10804,AddDecreaseDamage,8
741,10804,CriticalValue,120
742,10804,AntiCriticalValue,148
743,10805,AttackPowerPhy,120
744,10805,AttackPowerMag,120
745,10805,DefensePowerPhy,140
746,10805,DefensePowerMag,140
747,10805,MaxHP,185
748,10805,MaxMP,185
749,10805,HitValue,80
750,10805,DodgeValue,80
751,10805,Penetration,155
752,10805,Resilience,155
753,10805,AddIgnoreDefenseDamage,10
754,10805,AddDecreaseDamage,10
755,10805,CriticalValue,150
756,10805,AntiCriticalValue,185
757,10806,AttackPowerPhy,144
758,10806,AttackPowerMag,144
759,10806,DefensePowerPhy,168
760,10806,DefensePowerMag,168
761,10806,MaxHP,222
762,10806,MaxMP,222
763,10806,HitValue,96
764,10806,DodgeValue,96
765,10806,Penetration,186
766,10806,Resilience,186
767,10806,AddIgnoreDefenseDamage,12
768,10806,AddDecreaseDamage,12
769,10806,CriticalValue,180
770,10806,AntiCriticalValue,222
771,10807,AttackPowerPhy,168
772,10807,AttackPowerMag,168
773,10807,DefensePowerPhy,196
774,10807,DefensePowerMag,196
775,10807,MaxHP,259
776,10807,MaxMP,259
777,10807,HitValue,112
778,10807,DodgeValue,112
779,10807,Penetration,217
780,10807,Resilience,217
781,10807,AddIgnoreDefenseDamage,14
782,10807,AddDecreaseDamage,14
783,10807,CriticalValue,210
784,10807,AntiCriticalValue,259
785,10901,AttackPowerPhy,29
786,10901,AttackPowerMag,29
787,10901,DefensePowerPhy,34
788,10901,DefensePowerMag,34
789,10901,MaxHP,46
790,10901,MaxMP,46
791,10901,HitValue,21
792,10901,DodgeValue,21
793,10901,Penetration,39
794,10901,Resilience,39
795,10901,AddIgnoreDefenseDamage,3
796,10901,AddDecreaseDamage,3
797,10901,CriticalValue,38
798,10901,AntiCriticalValue,46
799,10902,AttackPowerPhy,58
800,10902,AttackPowerMag,58
801,10902,DefensePowerPhy,68
802,10902,DefensePowerMag,68
803,10902,MaxHP,92
804,10902,MaxMP,92
805,10902,HitValue,42
806,10902,DodgeValue,42
807,10902,Penetration,78
808,10902,Resilience,78
809,10902,AddIgnoreDefenseDamage,6
810,10902,AddDecreaseDamage,6
811,10902,CriticalValue,76
812,10902,AntiCriticalValue,92
813,10903,AttackPowerPhy,87
814,10903,AttackPowerMag,87
815,10903,DefensePowerPhy,102
816,10903,DefensePowerMag,102
817,10903,MaxHP,138
818,10903,MaxMP,138
819,10903,HitValue,63
820,10903,DodgeValue,63
821,10903,Penetration,117
822,10903,Resilience,117
823,10903,AddIgnoreDefenseDamage,9
824,10903,AddDecreaseDamage,9
825,10903,CriticalValue,114
826,10903,AntiCriticalValue,138
827,10904,AttackPowerPhy,116
828,10904,AttackPowerMag,116
829,10904,DefensePowerPhy,136
830,10904,DefensePowerMag,136
831,10904,MaxHP,184
832,10904,MaxMP,184
833,10904,HitValue,84
834,10904,DodgeValue,84
835,10904,Penetration,156
836,10904,Resilience,156
837,10904,AddIgnoreDefenseDamage,12
838,10904,AddDecreaseDamage,12
839,10904,CriticalValue,152
840,10904,AntiCriticalValue,184
841,10905,AttackPowerPhy,145
842,10905,AttackPowerMag,145
843,10905,DefensePowerPhy,170
844,10905,DefensePowerMag,170
845,10905,MaxHP,230
846,10905,MaxMP,230
847,10905,HitValue,105
848,10905,DodgeValue,105
849,10905,Penetration,195
850,10905,Resilience,195
851,10905,AddIgnoreDefenseDamage,15
852,10905,AddDecreaseDamage,15
853,10905,CriticalValue,190
854,10905,AntiCriticalValue,230
855,10906,AttackPowerPhy,174
856,10906,AttackPowerMag,174
857,10906,DefensePowerPhy,204
858,10906,DefensePowerMag,204
859,10906,MaxHP,276
860,10906,MaxMP,276
861,10906,HitValue,126
862,10906,DodgeValue,126
863,10906,Penetration,234
864,10906,Resilience,234
865,10906,AddIgnoreDefenseDamage,18
866,10906,AddDecreaseDamage,18
867,10906,CriticalValue,228
868,10906,AntiCriticalValue,276
869,10907,AttackPowerPhy,203
870,10907,AttackPowerMag,203
871,10907,DefensePowerPhy,238
872,10907,DefensePowerMag,238
873,10907,MaxHP,322
874,10907,MaxMP,322
875,10907,HitValue,147
876,10907,DodgeValue,147
877,10907,Penetration,273
878,10907,Resilience,273
879,10907,AddIgnoreDefenseDamage,21
880,10907,AddDecreaseDamage,21
881,10907,CriticalValue,266
882,10907,AntiCriticalValue,322
883,11001,AttackPowerPhy,37
884,11001,AttackPowerMag,37
885,11001,DefensePowerPhy,43
886,11001,DefensePowerMag,43
887,11001,MaxHP,56
888,11001,MaxMP,56
889,11001,HitValue,25
890,11001,DodgeValue,25
891,11001,Penetration,47
892,11001,Resilience,47
893,11001,AddIgnoreDefenseDamage,4
894,11001,AddDecreaseDamage,4
895,11001,CriticalValue,46
896,11001,AntiCriticalValue,56
897,11002,AttackPowerPhy,74
898,11002,AttackPowerMag,74
899,11002,DefensePowerPhy,86
900,11002,DefensePowerMag,86
901,11002,MaxHP,112
902,11002,MaxMP,112
903,11002,HitValue,50
904,11002,DodgeValue,50
905,11002,Penetration,94
906,11002,Resilience,94
907,11002,AddIgnoreDefenseDamage,8
908,11002,AddDecreaseDamage,8
909,11002,CriticalValue,92
910,11002,AntiCriticalValue,112
911,11003,AttackPowerPhy,111
912,11003,AttackPowerMag,111
913,11003,DefensePowerPhy,129
914,11003,DefensePowerMag,129
915,11003,MaxHP,168
916,11003,MaxMP,168
917,11003,HitValue,75
918,11003,DodgeValue,75
919,11003,Penetration,141
920,11003,Resilience,141
921,11003,AddIgnoreDefenseDamage,12
922,11003,AddDecreaseDamage,12
923,11003,CriticalValue,138
924,11003,AntiCriticalValue,168
925,11004,AttackPowerPhy,148
926,11004,AttackPowerMag,148
927,11004,DefensePowerPhy,172
928,11004,DefensePowerMag,172
929,11004,MaxHP,224
930,11004,MaxMP,224
931,11004,HitValue,100
932,11004,DodgeValue,100
933,11004,Penetration,188
934,11004,Resilience,188
935,11004,AddIgnoreDefenseDamage,16
936,11004,AddDecreaseDamage,16
937,11004,CriticalValue,184
938,11004,AntiCriticalValue,224
939,11005,AttackPowerPhy,185
940,11005,AttackPowerMag,185
941,11005,DefensePowerPhy,215
942,11005,DefensePowerMag,215
943,11005,MaxHP,280
944,11005,MaxMP,280
945,11005,HitValue,125
946,11005,DodgeValue,125
947,11005,Penetration,235
948,11005,Resilience,235
949,11005,AddIgnoreDefenseDamage,20
950,11005,AddDecreaseDamage,20
951,11005,CriticalValue,230
952,11005,AntiCriticalValue,280
953,11006,AttackPowerPhy,222
954,11006,AttackPowerMag,222
