ProjectileId,Id,Name,EffectType,EffectTypeName,EffectParam,EffectGrowth1,EffectGrowth2
601441,6014412,DarkAssociation_M_HighSkill_01,Buff,출혈,601441,,
10050005,100500051,몬스터:암흑마법,DecreaseTargetHPMul,공격력,"300, 300, 1",,
731271,7312711,방출 - 1단계,DamageMag,공격력,"0,0,30000,30000",,
731281,7312811,방출 - 2단계,DamageMag,공격력,"0,0,30000,30000",,
731291,7312911,방출 - 3단계,DamageMag,공격력,"0,0,30000,30000",,
731301,7313011,방출 - 4단계,DamageMag,공격력,"0,0,30000,30000",,
731311,7313111,방출 - 5단계,DamageMag,공격력,"0,0,30000,30000",,
731371,7313711,자켄 해적단 갑판원,DamagePhy,공격력,"0,0,25000,25000",,
730311,7303111,방출 - 본체,DamageMag,공격력,"0,0,40000,40000",,
1205,12051,스피릿 오브 문라이트-기본공격,DamagePhy,공격력,"9171,36255,6300,7700",1,1
1205,12052,스피릿 오브 문라이트-기본공격,DamagePhy,공격력,"9171,36255,6300,7700",1,1
1205,12053,스피릿 오브 문라이트-기본공격,DamagePhy,공격력,"9171,36255,6300,7700",1,1
50221,50221,GiantStatuePeltast,DamagePhy,공격력,"0,0,10000,10000",1,1
40020101,400201011,그물 던지기,Buff,그물,40020101,,
40020108,400201081,생명 강탈,DamageMag,공격력,"0,0,15000,15000",1,1
40020108,400201082,생명 강탈,Buff,증발하는 생명,40020108,1,1
40020130,400201301,원소의 기둥 : 불덩이,DamageMag,공격력,"0,0,25000,25000",1,1
40020177,400201771,해일,DamageMag,공격력,"0,0,200000,200000",1,1
40020201,400202011,그물 던지기,Buff,그물,40020201,,
40020208,400202081,생명 강탈,DamageMag,공격력,"0,0,15000,15000",1,1
40020208,400202082,생명 강탈,Buff,증발하는 생명,40020208,1,1
40020230,400202301,원소의 기둥 : 불덩이,DamageMag,공격력,"0,0,25000,25000",1,1
40020277,400202771,해일,DamageMag,공격력,"0,0,200000,200000",1,1
40020301,400203011,그물 던지기,Buff,그물,40020301,,
40020308,400203081,생명 강탈,DamageMag,공격력,"0,0,15000,15000",1,1
40020308,400203082,생명 강탈,Buff,증발하는 생명,40020308,1,1
40020330,400203301,원소의 기둥 : 불덩이,DamageMag,공격력,"0,0,25000,25000",1,1
40020377,400203771,해일,DamageMag,공격력,"0,0,250000,250000",1,1
40020401,400204011,그물 던지기,Buff,그물,40020401,,
40020408,400204081,생명 강탈,DamageMag,공격력,"0,0,15000,15000",1,1
40020408,400204082,생명 강탈,Buff,증발하는 생명,40020408,1,1
40020430,400204301,원소의 기둥 : 불덩이,DamageMag,공격력,"0,0,25000,25000",1,1
40020477,400204771,해일,DamageMag,공격력,"0,0,250000,250000",1,1
