Id,GuideQuestGroupId,Rank,RequiredId,RequiredLevel,TitleKey,RankTitleKey,DescKey,TaskType,ContentsLock,TaskCount,RewardType,RewardItemInfoId,RewardCount,ContentType,Dungeon,HelpURL
2011,1,2,2010,1,611000001021,613000002001,612000001021,If_TransferClass,CLASS_TRANSFER,1,Item,910204,1,ClassTransferQuest,,http://guide.netmarble.com/revolutionthm#cont/847
2012,1,2,2011,1,191000000016,613000002001,612000001002,Count_ItemLevelUp,FORGE,1,FreeDiamond,490003,300,ClassTransferQuest,,http://guide.netmarble.com/revolutionthm#cont/848
3001,1,3,2012,1,611000001016,613000003001,612000001016,Count_SoulCrystalLevelUp,SOUL_CRYSTAL,5,Adena,490002,50000,SoulCrystalLevelUp,,http://guide.netmarble.com/revolutionthm#cont/849
3002,1,3,3001,1,2005,613000003001,612000003002,Count_AdenaDungeonClear,ADENA_DUNGEON,1,Item,900009,3,AdenaDungeon,,http://guide.netmarble.com/revolutionthm#cont/850
3003,1,3,3002,1,731000001730,613000003001,612000003003,Count_ItemUpgrade,UPGRADE,1,Item,490007,2,BlackSmithUpgrade,,http://guide.netmarble.com/revolutionthm#cont/851
3004,1,3,3003,1,191000000205,613000003001,612000003004,Count_ExpDungeonClear,EXP_DUNGEON,1,Item,900005,1,ExpDungeon,,http://guide.netmarble.com/revolutionthm#cont/852
3005,1,3,3004,1,611000003005,613000003001,612000003005,Count_EquipmentMainTypeLevelUp,FORGE,1,Item,490005,1500,BlackSmithLevelUp,,http://guide.netmarble.com/revolutionthm#cont/853
3006,1,3,3005,1,611000003006,613000003001,612000003006,Count_SoulCrystalUpgrade,SOUL_CRYSTAL,1,FreeDiamond,490003,300,SoulCrystalLevelUp,,http://guide.netmarble.com/revolutionthm#cont/854
3007,1,3,3006,1,151000020301,613000003001,612000003007,Count_KillMonster_Region,ELITE_DUNGEON_4,80,Adena,490002,80000,EliteDungeon,203,http://guide.netmarble.com/revolutionthm#cont/855
3008,1,3,3007,1,2004,613000003001,612000003008,Count_EquipmentDungeonClear,EQUIP_DUNGEON,1,Item,910211,1,EquipDungeon,,http://guide.netmarble.com/revolutionthm#cont/856
3009,1,3,3008,1,611000002006,613000003001,612000001018,If_TowerFloorClear,INFINITY_DUNGEON,40,Adena,490002,100000,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/857
3010,1,3,3009,1,191000000022,613000003001,612000001009,Count_RuneLevelup_Success,RUNE,10,Item,900009,3,RuneCarve,,http://guide.netmarble.com/revolutionthm#cont/858
3011,1,3,3010,1,611000001007,613000003001,612000003011,Count_AcquiredEqItemGrade,,1,Item,910204,1,NormalShopEquipment,,http://guide.netmarble.com/revolutionthm#cont/859
3012,1,3,3011,1,731000001812,613000003001,612000004012,If_Level_Character,,50,FreeDiamond,490003,500,CharacterPromote,,http://guide.netmarble.com/revolutionthm#cont/860
4001,1,4,3012,1,611000004001,613000004001,612000004001,Count_AcquiredItem,RIDING_PET,1,Item,911002,5,RidingPet,,http://guide.netmarble.com/revolutionthm#cont/861
4002,1,4,4001,1,611000004002,613000004001,612000004002,Count_SummonStoneDungeonClear,SUMMON_STONE_DUNGEON,1,Item,400000,2,SummonStoneDungeon,,http://guide.netmarble.com/revolutionthm#cont/862
4003,1,4,4002,1,611000004003,613000004001,612000004003,If_Level_Skill,,10,Adena,490002,100000,Skill,,http://guide.netmarble.com/revolutionthm#cont/863
4004,1,4,4003,1,611000004004,613000004001,612000004004,Count_VehiclePetLevelUp,RIDING_PET,10,FreeDiamond,490003,200,RidingPet,,http://guide.netmarble.com/revolutionthm#cont/864
4005,1,4,4004,1,611000004005,613000004001,612000004005,Count_MissionWeeklyClear,REQUEST_WEEKLY,7,Item,1000201,1,ActivityWeeklyMission,,http://guide.netmarble.com/revolutionthm#cont/865
4006,1,4,4005,1,611000004006,613000004001,612000004006,Count_KillMonsterTypeByParty,,1,Item,470005,1,Friend,,http://guide.netmarble.com/revolutionthm#cont/866
4007,1,4,4006,1,611000004007,613000004001,612000004007,If_PetGradeComplete,RIDING_PET,1,Adena,490002,150000,RidingPet,,http://guide.netmarble.com/revolutionthm#cont/867
4008,1,4,4007,1,611000004008,613000004001,612000004008,If_MonsterBookGroupComplete,MONSTER_BOOK,60,Item,911006,20,MonsterBook,,http://guide.netmarble.com/revolutionthm#cont/868
4009,1,4,4008,1,611000004009,613000004001,612000004009,Count_AcquiredPetEqItemGrade,,1,Item,470005,5,RidingPet,,http://guide.netmarble.com/revolutionthm#cont/869
4010,1,4,4009,1,611000004010,613000004001,612000004010,Count_HeroScore,HEROIC,100600,FreeDiamond,490003,300,Heroic,,http://guide.netmarble.com/revolutionthm#cont/870
4011,1,4,4010,1,611000004011,613000004001,612000004011,If_PetGradeComplete,RIDING_PET,1,Item,900011,2,RidingPet,,http://guide.netmarble.com/revolutionthm#cont/871
4012,1,4,4011,1,611000004012,613000004001,612000004012,If_Level_Character,,60,FreeDiamond,490003,500,CharacterPromote,,http://guide.netmarble.com/revolutionthm#cont/872
5001,1,5,4012,1,611000005001,613000008001,612000005001,Count_ItemDisassemble,,4,Item,910226,3,ItemCraftingDisassemble,,http://guide.netmarble.com/revolutionthm#cont/1574
5002,1,5,5001,1,611000005002,613000008001,612000005002,Count_DailyDungeonClear,DAILY_DUNGEON,3,FreeDiamond,490003,300,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1575
5003,1,5,5002,1,611000005003,613000008001,612000005003,Count_AcquiredItemByAcquireId,,20,Item,510103,3,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1576
5004,1,5,5003,1,611000005004,613000008001,612000005004,Count_AcquiredItemByAcquireId,,500,Item,510103,2,ItemCraftingDisassemble,,http://guide.netmarble.com/revolutionthm#cont/1577
5005,1,5,5004,1,611000005005,613000008001,612000005005,Count_EquipmentDungeonClear,EQUIP_DUNGEON,4,FreeDiamond,490003,500,EquipDungeon,,http://guide.netmarble.com/revolutionthm#cont/1578
5006,1,5,5005,1,611000005006,613000008001,612000005006,Count_ItemEnchant,ENCHANT,3,Item,900011,2,BlackSmithEnchant,,http://guide.netmarble.com/revolutionthm#cont/1579
5007,1,5,5006,1,611000005007,613000008001,612000005007,Count_AcquiredItemByAcquireId,,2,Item,510103,2,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1580
5008,1,5,5007,1,611000005001,613000008001,612000005001,Count_ItemDisassemble,,10,Item,911141,2,ItemCraftingDisassemble,,http://guide.netmarble.com/revolutionthm#cont/1581
5009,1,5,5008,1,611000005002,613000008001,612000005002,Count_DailyDungeonClear,DAILY_DUNGEON,4,FreeDiamond,490003,500,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1582
5010,1,5,5009,1,611000005007,613000008001,612000005007,Count_AcquiredItemByAcquireId,,5,Adena,490002,300000,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1583
5011,1,5,5010,1,611000005004,613000008001,612000005004,Count_AcquiredItemByAcquireId,,1000,Item,510103,3,ItemCraftingDisassemble,,http://guide.netmarble.com/revolutionthm#cont/1584
5012,1,5,5011,1,611000005012,613000008001,612000005012,Count_AcquiredItem,,3,Item,911013,2,ItemCraftingDisassemble,,http://guide.netmarble.com/revolutionthm#cont/1585
6001,2,1,,1,613000001002,613000001002,612000006001,Count_TowerSweepClear,INFINITY_DUNGEON,1,Item,910237,1,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/1814
6002,2,1,6001,1,613000001002,613000001002,612000006002,Count_DailyDungeonClear,DAILY_DUNGEON,1,Item,10910701,1,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1815
6003,2,1,6002,1,613000001002,613000001002,612000006003,Count_MissionWeeklyClear,REQUEST_WEEKLY,5,Item,910220,1,ActivityWeeklyMission,,http://guide.netmarble.com/revolutionthm#cont/1816
6004,2,1,6003,1,613000001002,613000001002,612000006001,Count_TowerSweepClear,INFINITY_DUNGEON,1,Item,911058,1,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/1817
6005,2,1,6004,1,613000001002,613000001002,612000006005,Count_MissionDailyClear, ,4,Item,900011,1,ActivityDailyMission,,http://guide.netmarble.com/revolutionthm#cont/1818
6006,2,1,6005,1,613000001002,613000001002,612000006006,Count_PartyDungeonClear,,1,Item,400000,1,PartyDungeonStatus,,http://guide.netmarble.com/revolutionthm#cont/1819
6007,2,1,6006,1,613000001002,613000001002,612000006001,Count_TowerSweepClear,INFINITY_DUNGEON,1,Item,910237,1,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/1820
6008,2,1,6007,1,613000001002,613000001002,612000006002,Count_DailyDungeonClear,DAILY_DUNGEON,1,Item,10910701,1,DailyDungeon,,http://guide.netmarble.com/revolutionthm#cont/1821
6009,2,1,6008,1,613000001002,613000001002,612000006003,Count_MissionWeeklyClear,REQUEST_WEEKLY,10,Item,910220,1,ActivityWeeklyMission,,http://guide.netmarble.com/revolutionthm#cont/1822
6010,2,1,6009,1,613000001002,613000001002,612000006001,Count_TowerSweepClear,INFINITY_DUNGEON,1,Item,911058,1,InfinityDungeon,,http://guide.netmarble.com/revolutionthm#cont/1823
6011,2,1,6010,1,613000001002,613000001002,612000006005,Count_MissionDailyClear, ,8,Item,900011,1,ActivityDailyMission,,http://guide.netmarble.com/revolutionthm#cont/1824
6012,2,1,6011,1,613000001002,613000001002,612000006006,Count_PartyDungeonClear,,2,Item,400000,1,PartyDungeonStatus,,http://guide.netmarble.com/revolutionthm#cont/1825
