ShopId,ShopServerType,NewServer,ProductType,ProductValue,ItemType,Grade,ItemInfoId,ProductItemType,BuffInfoId,ProductItemTypeValue,InstantMail,ByMail,ItemNotBind,RateRevisionGrade,RateRevisionValue,FirstGachaId,GachaId,EventItemPeriodId
4014,All,All,Item,10,Megaphone,Max,490000,Base,,,,0,0,,,,,
4018,All,All,Item,1,Megaphone,Max,490000,Base,,,,0,0,,,,,
4019,All,All,Item,10,Megaphone,Max,490000,Base,,,,0,0,,,,,
10040001,All,All,Item,1,ShopCoupon,Max,110990009,Base,,,,1,0,,,,,
10040001,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
10040002,All,All,Item,1,ShopCoupon,Max,110990010,Base,,,,1,0,,,,,
4020,All,All,Item,1,,A,500302,Base,,,,0,0,,,,,
4021,All,All,Item,1,,A,500402,Base,,,,0,0,,,,,
4022,All,All,Item,1,,A,500502,Base,,,,0,0,,,,,
4023,All,All,Item,1,,A,500602,Base,,,,0,0,,,,,
4024,All,All,Item,1,,A,500702,Base,,,,0,0,,,,,
4025,All,All,Item,1,,A,500802,Base,,,,0,0,,,,,
4026,All,All,Item,1,,A,500902,Base,,,,0,0,,,,,
4027,All,All,Item,1,,A,501002,Base,,,,0,0,,,,,
4028,All,All,Item,1,,S,500301,Base,,,,0,0,,,,,
4029,All,All,Item,1,,S,500401,Base,,,,0,0,,,,,
4030,All,All,Item,1,,S,500501,Base,,,,0,0,,,,,
4031,All,All,Item,1,,S,500601,Base,,,,0,0,,,,,
4032,All,All,Item,1,,S,500701,Base,,,,0,0,,,,,
4033,All,All,Item,1,,S,500801,Base,,,,0,0,,,,,
4034,All,All,Item,1,,S,500901,Base,,,,0,0,,,,,
4035,All,All,Item,1,,S,501001,Base,,,,0,0,,,,,
4036,All,All,Item,1,,A,501102,Base,,,,0,0,,,,,
4037,All,All,Item,1,,A,501202,Base,,,,0,0,,,,,
4038,All,All,Item,1,,S,501101,Base,,,,0,0,,,,,
4039,All,All,Item,1,,S,501201,Base,,,,0,0,,,,,
4040,All,All,Item,1,,A,501302,Base,,,,0,0,,,,,
4041,All,All,Item,1,,A,501402,Base,,,,0,0,,,,,
4042,All,All,Item,1,,S,501301,Base,,,,0,0,,,,,
4043,All,All,Item,1,,S,501401,Base,,,,0,0,,,,,
5002,All,All,RandomAdvancedEquip,1,0,,900008,Base,,,,1,0,,,7001,5002,
5002,All,All,Mileage,0,,,,Bonus,,,,0,0,,,,,
5003,All,All,RandomAdvancedEquip,11,0,,900008,Base,,,,1,0,S,1,,5003,
5003,All,All,Mileage,0,,,,Bonus,,,,0,0,,,,,
5011,All,All,RandomAdvancedMaterial,11,SupriseBox,,911045,Base,,,,1,0,,,,9,
5011,All,All,Mileage,77,,,,Bonus,,,,0,0,,,,,
5012,All,All,RandomAdvancedMaterial,11,SupriseBox,,911045,Base,,,,1,0,,,,9,
5012,All,All,Mileage,0,,,,Bonus,,,,0,0,,,,,
5014,All,All,RandomAdvancedEquip,1,SupriseBox,,900008,Base,,,,1,0,,,,5014,
5014,All,All,Mileage,7,,,,Bonus,,,,0,0,,,,,
5015,All,All,RandomAdvancedEquip,11,SupriseBox,,900008,Base,,,,1,0,S,1,,5015,
5015,All,All,Mileage,77,,,,Bonus,,,,0,0,,,,,
5101,All,All,RandomSpecialEquip,1,SupriseBox,,10900008,Base,,,,1,0,,,,10002,
5112,All,All,RandomAdvancedEquip,11,SupriseBox,,110900031,Base,,,,1,0,Rank3,1,,5112,
5113,All,All,RandomAdvancedEquip,1,SupriseBox,,110900031,Base,,,,1,0,,,,5112,
5114,All,All,RandomAdvancedEquip,1,SupriseBox,,110900031,Base,,,,1,0,,,,5112,
6002,All,All,Item,1,,R,420001,Base,,,,0,0,,,,,
6003,All,All,Item,1,,R,420002,Base,,,,0,0,,,,,
6004,All,All,Item,1,,R,420003,Base,,,,0,0,,,,,
6005,All,All,Item,1,,R,410001,Base,,,,0,0,,,,,
6006,All,All,Item,1,,R,410002,Base,,,,0,0,,,,,
6007,All,All,Item,1,,R,410003,Base,,,,0,0,,,,,
6008,All,All,Item,1,,R,400000,Base,,,,0,0,,,,,
6020,All,All,RandomSpecialEquip,1,SupriseBox,,900023,Base,,,,1,0,,,,6020,
6021,All,All,RandomSpecialEquip,1,SupriseBox,,900024,Base,,,,1,0,,,,6021,
7001,All,All,FreeDiamond,1500,,,,Base,,,,1,0,,,,,
7001,All,All,FreeDiamond,180,,,,FlatRate,,,,1,0,,,,,
8001,All,All,FreeDiamond,1500,,,,Base,,,,1,0,,,,,
8001,All,All,Item,1,0,,911122,Base,,,,1,0,,,,,
8001,All,All,FreeDiamond,500,,,,Level,,10,,1,0,,,,,
8001,All,All,Item,1,0,,491010,Level,,10,,1,0,,,,,
8001,All,All,FreeDiamond,500,,,,Level,,20,,1,0,,,,,
8001,All,All,Item,1,0,,491020,Level,,20,,1,0,,,,,
8001,All,All,FreeDiamond,1000,,,,Level,,30,,1,0,,,,,
8001,All,All,Item,1,0,,491030,Level,,30,,1,0,,,,,
8001,All,All,FreeDiamond,1500,,,,Level,,45,,1,0,,,,,
8001,All,All,Item,1,0,,491045,Level,,45,,1,0,,,,,
8001,All,All,FreeDiamond,1500,,,,Level,,70,,1,0,,,,,
8001,All,All,Item,1,0,,491070,Level,,70,,1,0,,,,,
8001,All,All,FreeDiamond,2000,,,,Level,,120,,1,0,,,,,
8001,All,All,Item,1,0,,491120,Level,,120,,1,0,,,,,
8002,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,1,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,1,,1,0,,,,,
8002,All,All,Item,1,0,,910007,Accept,,1,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,2,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,2,,1,0,,,,,
8002,All,All,Item,2,0,,910007,Accept,,2,,1,0,,,,,
8002,All,All,Item,1,,,410002,Accept,,2,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,3,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,3,,1,0,,,,,
8002,All,All,Item,3,0,,910007,Accept,,3,,1,0,,,,,
8002,All,All,Item,1,,,410003,Accept,,3,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,4,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,4,,1,0,,,,,
8002,All,All,Item,4,0,,910007,Accept,,4,,1,0,,,,,
8002,All,All,Item,1,,,410001,Accept,,4,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,5,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,5,,1,0,,,,,
8002,All,All,Item,6,0,,910007,Accept,,5,,1,0,,,,,
8002,All,All,Item,1,,,410002,Accept,,5,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,6,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,6,,1,0,,,,,
8002,All,All,Item,8,0,,910007,Accept,,6,,1,0,,,,,
8002,All,All,Item,1,,,410003,Accept,,6,,1,0,,,,,
8002,All,All,FreeDiamond,100,,,,Accept,,7,,1,0,,,,,
8002,All,All,Item,1,,,490019,Accept,,7,,1,0,,,,,
8002,All,All,Item,10,0,,910007,Accept,,7,,1,0,,,,,
8002,All,All,Item,1,,,410001,Accept,,7,,1,0,,,,,
10008002,All,All,Adena,20000,,,,Base,,,,1,0,,,,,
10008002,All,All,Adena,30000,,,,Accept,,1,,1,0,,,,,
10008002,All,All,Adena,50000,,,,Accept,,2,,1,0,,,,,
10008002,All,All,Adena,50000,,,,Accept,,3,,1,0,,,,,
10008002,All,All,Adena,100000,,,,Accept,,4,,1,0,,,,,
10008002,All,All,Adena,100000,,,,Accept,,5,,1,0,,,,,
10008002,All,All,Adena,200000,,,,Accept,,6,,1,0,,,,,
10008002,All,All,Adena,250000,,,,Accept,,7,,1,0,,,,,
8003,All,All,FreeDiamond,1000,,,,Base,,,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8003,All,All,FreeDiamond,500,,,,SR,,1,,1,0,,,,,
8004,All,All,FreeDiamond,1000,,,,Base,,,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8004,All,All,FreeDiamond,500,,,,Scenario,,1,,1,0,,,,,
8011,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
8014,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
8101,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
8102,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
8111,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
8112,All,All,FreeDiamond,1,,,,Base,,1,,1,0,,,,,
9001,All,All,FreeDiamond,4000,,,,Base,,,,1,0,,,,,
9001,All,All,Item,3,,,910259,Bonus,,,,1,0,,,,,
9001,All,All,Item,1000,,,440001,Bonus,,,,1,0,,,,,
9001,All,All,Item,1000,,,440011,Bonus,,,,1,0,,,,,
9001,All,All,BagSlot,120,,,,Bonus,,,,0,0,,,,,
9008,All,All,FreeDiamond,2000,,,,Base,,,,1,0,,,,,
9008,All,All,Item,1,,,910254,Bonus,,,,1,0,,,,,
9008,All,All,Item,1,,,910255,Bonus,,,,1,0,,,,,
9009,All,All,FreeDiamond,4000,,,,Base,,,,1,0,,,,,
9009,All,All,Item,2,,,910212,Bonus,,,,1,0,,,,,
9009,All,All,Item,10,,,420001,Bonus,,,,0,0,,,,,
9009,All,All,Item,10,,,420002,Bonus,,,,0,0,,,,,
9009,All,All,Item,10,,,420003,Bonus,,,,1,0,,,,,
9010,All,All,FreeDiamond,4000,,,,Base,,,,1,0,,,,,
9010,All,All,Item,1,,,910213,Bonus,,,,1,0,,,,,
9010,All,All,Item,1,,,490026,Bonus,,,,1,0,,,,,
9010,All,All,Item,1,,,490037,Bonus,,,,1,0,,,,,
9019,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
9019,All,All,Item,1,,,490050,Base,,,,1,0,,,,,
9020,All,All,PayDiamond,1000,,,,Base,,,,1,0,,,,,
9020,All,All,FreeDiamond,500,,,,Base,,,,1,0,,,,,
9020,All,All,Item,10,,,910207,Bonus,,,,1,0,,,,,
9020,All,All,Item,3,,,10910207,Bonus,,,,1,0,,,,,
9020,All,All,Adena,100000,,,,Base,,,,1,0,,,,,
9021,All,All,PayDiamond,1500,,,,Base,,,,1,0,,,,,
9021,All,All,FreeDiamond,750,,,,Base,,,,1,0,,,,,
9021,All,All,Item,15,0,,910207,Bonus,,,,1,0,,,,,
9021,All,All,Item,5,0,,10910207,Bonus,,,,1,0,,,,,
9021,All,All,Adena,150000,,,,Base,,,,1,0,,,,,
9022,All,All,PayDiamond,3000,,,,Base,,,,1,0,,,,,
9022,All,All,FreeDiamond,1500,,,,Base,,,,1,0,,,,,
9022,All,All,Adena,300000,,,,Base,,,,1,0,,,,,
9022,All,All,Item,30,0,,910207,Bonus,,,,1,0,,,,,
9022,All,All,Item,1,0,,10910217,Bonus,,,,1,0,,,,,
9030,All,All,Adena,100000,,,,Base,,,,1,0,,,,,
9030,All,All,Item,10,0,,910011,Bonus,,,,1,0,,,,,
9030,All,All,Item,100,0,,490005,Base,,,,1,0,,,,,
9031,All,All,Adena,200000,,,,Base,,,,1,0,,,,,
9031,All,All,Item,20,0,,910011,Bonus,,,,1,0,,,,,
9031,All,All,Item,200,0,,490005,Base,,,,1,0,,,,,
9032,All,All,Adena,300000,,,,Base,,,,1,0,,,,,
9032,All,All,Item,30,0,,910011,Bonus,,,,1,0,,,,,
9032,All,All,Item,300,0,,490005,Bonus,,,,1,0,,,,,
9035,All,All,Item,5,0,,910308,Base,,,,1,0,,,,,
9035,All,All,Item,20,0,,910007,Bonus,,,,1,0,,,,,
9036,All,All,Item,10,0,,910308,Base,,,,1,0,,,,,
9036,All,All,Item,30,0,,910007,Bonus,,,,1,0,,,,,
9037,All,All,Item,15,0,,910308,Base,,,,1,0,,,,,
9037,All,All,Item,40,0,,910007,Bonus,,,,1,0,,,,,
9051,All,All,FreeDiamond,3000,,,,Base,,,,1,0,,,,,
9051,All,All,Item,50,,,910221,Bonus,,,,1,0,,,,,
9051,All,All,Adena,200000,,,,Bonus,,,,1,0,,,,,
9052,All,All,FreeDiamond,2000,,,,Base,,,,1,0,,,,,
9052,All,All,Topaz,100,,,,Bonus,,,,1,0,,,,,
9052,All,All,Item,10,,,910237,Bonus,,,,1,0,,,,,
9052,All,All,Item,10,,,910220,Bonus,,,,1,0,,,,,
10010030,All,All,PayDiamond,2000,,,,Base,,,,1,0,,,,,
10010030,All,All,Adena,200000,,,,Bonus,,,,1,0,,,,,
10010030,All,All,Item,10,,,910005,Bonus,,,,1,0,,,,,
9053,All,All,FreeDiamond,3000,,,,Base,,,,1,0,,,,,
9053,All,All,Item,3,,,400000,Bonus,,,,1,0,,,,,
9053,All,All,Item,1,,,490038,Bonus,,,,1,0,,,,,
9053,All,All,Item,1,,,490037,Bonus,,,,1,0,,,,,
9054,All,All,FreeDiamond,1200,,,,Base,,,,1,0,,,,,
9054,All,All,PayDiamond,1200,,,,Bonus,,,,1,0,,,,,
9054,All,All,Item,5,0,,480046,Bonus,,,,1,0,,,,,
9054,All,All,BagSlot,100,,,,Bonus,,,,0,0,,,,,
9101,All,All,Item,1,,,10900001,Base,,,,1,0,,,,,
9102,All,All,Item,1,,,10900002,Base,,,,1,0,,,,,
9103,All,All,Item,1,,,10900003,Base,,,,1,0,,,,,
9201,All,All,FreeDiamond,200,,,,Base,,,,1,0,,,,,
9201,All,All,Adena,50000,,,,Bonus,,,,1,0,,,,,
9201,All,All,Item,1,0,,910237,Bonus,,,,1,0,,,,,
9201,All,All,Item,5,0,,910220,Bonus,,,,1,0,,,,,
9211,All,All,Item,9,,,10900003,Base,,,,1,0,,,,,
9212,All,All,FreeDiamond,360,,,,Base,,,,1,0,,,,,
9212,All,All,Item,1,SupriseBox,,910253,Bonus,,,,1,0,,,,,
9212,All,All,Item,200,HPPotion,,440001,Bonus,,,,1,0,,,,,
9212,All,All,Item,200,MPPotion,,440011,Bonus,,,,1,0,,,,,
9212,All,All,BagSlot,20,,,,Bonus,,,,0,0,,,,,
9301,All,All,Item,1,,,400101,Base,,,,1,0,,,,,
9301,All,All,Adena,100000,,,,Bonus,,,,1,0,,,,,
9401,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
9401,All,All,Adena,30000,,,,Bonus,,,,1,0,,,,,
9401,All,All,Item,2,SupriseBox,,900008,Bonus,,,,1,0,,,,,
9411,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
9411,All,All,Item,5000,SoulShot,,400001,Bonus,,,,1,0,,,,,
9411,All,All,Item,200,HPPotion,,440001,Bonus,,,,1,0,,,,,
9411,All,All,Item,200,MPPotion,,440011,Bonus,,,,1,0,,,,,
9501,All,All,FreeDiamond,1200,,,,Base,,,,1,0,,,,,
9501,All,All,Item,3,0,,480044,Bonus,,,,1,0,,,,,
9501,All,All,Item,3,0,,480045,Bonus,,,,1,0,,,,,
9501,All,All,Item,3,0,,480046,Bonus,,,,1,0,,,,,
9501,All,All,Adena,300000,,,,Bonus,,,,1,0,,,,,
9502,All,All,FreeDiamond,1000,,,,Bonus,,,,1,0,,,,,
9502,All,All,Item,3,,,910237,Base,,,,1,0,,,,,
9502,All,All,Item,8,,,400000,Bonus,,,,1,0,,,,,
9502,All,All,Topaz,50,,,,Bonus,,,,1,0,,,,,
9503,All,All,FreeDiamond,2500,,,,Bonus,,,,1,0,,,,,
9503,All,All,Item,1,,,910213,Base,,,,1,0,,,,,
9503,All,All,Adena,150000,,,,Bonus,,,,1,0,,,,,
9503,All,All,Topaz,50,,,,Bonus,,,,1,0,,,,,
9601,All,All,FreeDiamond,1500,,,,Base,,,,1,0,,,,,
9601,All,All,Item,10,SupriseBox,,910207,Bonus,,,,1,0,,,,,
9601,All,All,Adena,100000,,,,Base,,,,1,0,,,,,
9602,All,All,Adena,200000,,,,Base,,,,1,0,,,,,
9602,All,All,Item,20,SupriseBox,,910011,Bonus,,,,1,0,,,,,
9602,All,All,Item,200,RunePiece,,490005,Base,,,,1,0,,,,,
9603,All,All,Item,15,SupriseBox,,910308,Base,,,,1,0,,,,,
9603,All,All,Item,40,SupriseBox,,910307,Bonus,,,,1,0,,,,,
9604,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
9604,All,All,Item,1,SkillPoint,,490050,Base,,,,1,0,,,,,
9605,All,All,PayDiamond,3000,,,,Base,,,,1,0,,,,,
9605,All,All,FreeDiamond,1500,,,,Base,,,,1,0,,,,,
9605,All,All,Adena,300000,,,,Bonus,,,,1,0,,,,,
9605,All,All,Item,5,SupriseBox,,911008,Bonus,,,,1,0,,,,,
9610,All,All,PayDiamond,1500,,,,Base,,,,1,0,,,,,
9610,All,All,FreeDiamond,750,,,,Base,,,,1,0,,,,,
9610,All,All,Adena,150000,,,,Base,,,,1,0,,,,,
9610,All,All,Item,300,PetItem,,470001,Bonus,,,,1,0,,,,,
9611,All,All,FreeDiamond,3000,,,,Base,,,,1,0,,,,,
9611,All,All,Item,1,StoneForAbility,,490038,Base,,,,1,0,,,,,
9611,All,All,Item,2,StoneForAbility,,490037,Base,,,,1,0,,,,,
9611,All,All,Item,1,StoneForLimitBreak,,490026,Base,,,,1,0,,,,,
9611,All,All,Adena,300000,,,,Base,,,,1,0,,,,,
9622,All,All,Item,1,NicknameChange,,490076,Base,,,,1,0,,,,,
9637,All,All,Item,2,SupriseBox,,917001,Base,,,,1,0,,,,,
9637,All,All,Adena,300000,,,,Base,,,,1,0,,,,,
9637,All,All,PayDiamond,3000,,,,Base,,,,1,0,,,,,
9637,All,All,PayDiamond,100,,,,HongbaoGuild,,,,1,0,,,,,
9637,All,All,Adena,10000,,,,HongbaoGuild,,,,1,0,,,,,
9638,All,All,Adena,60000,,,,Base,,,,1,0,,,,,
9638,All,All,FreeDiamond,300,,,,Base,,,,1,0,,,,,
9638,All,All,Item,2,SkillPoint,,490030,Base,,,,1,0,,,,,
9638,All,All,FreeDiamond,10,,,,HongbaoGuild,,,,1,0,,,,,
9638,All,All,Item,30,SkillPoint,,490033,HongbaoGuild,,,,1,0,,,,,
9638,All,All,Adena,2000,,,,HongbaoGuild,,,,1,0,,,,,
9901,All,All,Adena,70000,,,,Base,,,,1,0,,,,,
9901,All,All,Item,400,RedStarStone,,490049,Bonus,,,,1,0,,,,,
9901,All,All,Item,800,BloodCrystal,,400002,Bonus,,,,1,0,,,,,
9901,All,All,Item,10,RedStarStone,,490049,HongbaoGuild,,,,1,0,,,,,
9910,All,All,FreeDiamond,1000,,,,Base,,,,1,0,,,,,
9910,All,All,Item,1,,,400000,Bonus,,,,1,0,,,,,
9910,All,All,Item,5,,,910253,Bonus,,,,1,0,,,,,
9911,All,All,FreeDiamond,1000,,,,Base,,,,1,0,,,,,
9911,All,All,Item,1,,,400000,Bonus,,,,1,0,,,,,
9911,All,All,Item,5,,,900008,Bonus,,,,1,0,,,,,
9912,All,All,PayDiamond,600,,,,Base,,,,1,0,,,,,
9912,All,All,Item,1,,,10904011,Base,,,,1,0,,,,,
9912,All,All,PayDiamond,20,,,,HongbaoGuild,,,,1,0,,,,,
9912,All,All,Item,1,,,10904006,HongbaoGuild,,,,1,0,,,,,
9917,All,All,PayDiamond,888,,,,Base,,,,1,0,,,,,
9918,All,All,PayDiamond,400,,,,Base,,,,1,0,,,,,
9918,All,All,Adena,50000,,,,Base,,,,1,0,,,,,
9918,All,All,Item,10,,,10911083,Bonus,,,,1,0,,,,,
9913,All,All,FreeDiamond,500,,,,Base,,,,1,0,,,,,
9913,All,All,Adena,100000,,,,Base,,,,1,0,,,,,
9913,All,All,Item,1,,,10900301,Bonus,,,,1,0,,,,,
9914,All,All,Adena,500,,,,Base,,,,1,0,,,,,
9916,All,All,Adena,700,,,,Base,,,,1,0,,,,,
9919,All,All,Item,1,,,11910151,Base,,,,1,0,,,,,
9920,All,All,Adena,1100,,,,Base,,,,1,0,,,,,
9921,All,All,Adena,1200,,,,Base,,,,1,0,,,,,
5121,th_TH,All,Item,1,SupriseBox,,10910141,Base,,,,1,0,,,,,
5121,"en,zh_TW",All,Item,1,SupriseBox,,10910111,Base,,,,1,0,,,,,
10001,All,All,Item,10,,Max,440001,Base,,,,0,0,,,,,
10002,All,All,Item,10,,Max,440011,Base,,,,0,0,,,,,
10003,All,All,Item,250,,Max,400001,Base,,,,0,0,,,,,
10004,All,All,Item,1,,Max,500304,Base,,,,0,0,,,,,
10005,All,All,Item,1,,Max,500404,Base,,,,0,0,,,,,
10006,All,All,Item,1,,Max,500504,Base,,,,0,0,,,,,
10007,All,All,Item,1,,Max,500604,Base,,,,0,0,,,,,
10008,All,All,Item,1,,Max,500704,Base,,,,0,0,,,,,
10009,All,All,Item,1,,Max,500804,Base,,,,0,0,,,,,
10010,All,All,Item,1,,Max,500904,Base,,,,0,0,,,,,
10011,All,All,Item,1,,Max,501004,Base,,,,0,0,,,,,
10018,All,All,Item,1,,Max,501104,Base,,,,0,0,,,,,
10019,All,All,Item,1,,Max,501204,Base,,,,0,0,,,,,
10021,All,All,Item,1,,Max,501304,Base,,,,0,0,,,,,
10022,All,All,Item,1,,Max,501404,Base,,,,0,0,,,,,
10017,All,All,RandomNormalEquip,1,0,,900001,Base,,,,1,0,,,,5001,
11001,All,All,FreeDiamond,100,,,,Base,,,,1,0,,,,,
11001,All,All,Adena,50000,,,,FlatRateAdena,,,,0,0,,,,,
10009002,All,All,Item,30,,,910221,Base,,,,1,0,,,,,
10009002,All,All,Item,30,,,420002,Base,,,,1,0,,,,,
10009002,All,All,Item,30,,,420003,Base,,,,1,0,,,,,
10007001,All,All,PayDiamond,340,,,,Base,,,,1,0,,,,,
10007001,All,All,PayDiamond,40,,,,FlatRatePayDia,,,,0,0,,,,,
10002204,All,All,FreeDiamond,340,,,,Base,,,UserMail,1,0,,,,,
10002206,All,All,PayDiamond,1900,,,,Base,,,UserMail,1,0,,,,,
