Group,Type,Day,RewardType,RewardItemInfoId,RewardCount,RewardIcon
102,Returner,4,Item,911178,5,Icon_Box_EquipLevelMaterial
102,Returner,5,Item,30910225,2,Icon_GachaItem_EquipmentA
102,Returner,6,Item,911179,5,Icon_Box_EquipLevelMaterial
102,Returner,7,Item,910005,2,Icon_Box_BlessedScroll_01
103,Beginner,1,Item,911012,1,Icon_Shop_Gacha_Weapon_01
103,Beginner,2,Item,910234,1,Icon_Box_Adena_03
103,Beginner,3,Item,900009,10,Icon_GachaItem_Transcendence
103,Beginner,4,Item,911060,3,Icon_Box_QuestScroll_01
103,Beginner,5,Item,911005,10,Item_Box_SummonStone_01
103,Beginner,6,Item,910004,3,Icon_Box_Scroll_01
103,Beginner,7,Item,911058,1,Icon_Box_Combine_EnchantScroll_01
103,Normal,1,Item,911012,1,Icon_Shop_Gacha_Weapon_01
103,Normal,2,Item,910234,1,Icon_Box_Adena_03
103,Normal,3,Item,900009,10,Icon_GachaItem_Transcendence
103,Normal,4,Item,911060,3,Icon_Box_QuestScroll_01
103,Normal,5,Item,911005,10,Item_Box_SummonStone_01
103,Normal,6,Item,910004,3,Icon_Box_Scroll_01
103,Normal,7,Item,911058,1,Icon_Box_Combine_EnchantScroll_01
103,Returner,1,Item,911012,1,Icon_Shop_Gacha_Weapon_01
103,Returner,2,Item,910234,1,Icon_Box_Adena_03
103,Returner,3,Item,900009,10,Icon_GachaItem_Transcendence
103,Returner,4,Item,911060,3,Icon_Box_QuestScroll_01
103,Returner,5,Item,911005,10,Item_Box_SummonStone_01
103,Returner,6,Item,910004,3,Icon_Box_Scroll_01
103,Returner,7,Item,911058,1,Icon_Box_Combine_EnchantScroll_01
104,Beginner,1,Item,10910811,1,Icon_Box_Legion5
104,Beginner,2,Item,490012,1,Icon_Box_Adena_03
104,Beginner,3,Item,910221,5,Icon_GachaItem_Transcendence
104,Beginner,4,Item,911059,5,Icon_Box_QuestScroll_02
104,Beginner,5,Item,490012,1,Icon_Box_Adena_03
104,Beginner,6,Item,490030,3,Icon_Box_SP_03
104,Beginner,7,Item,910005,2,Icon_Box_BlessedScroll_01
104,Normal,1,Item,910205,1,Icon_GachaItem_Soulcrystal
104,Normal,2,Item,490012,1,Icon_Box_Adena_03
104,Normal,3,Item,911003,3,Item_Box_GrowStone_03
104,Normal,4,Item,911059,5,Icon_Box_QuestScroll_02
104,Normal,5,Item,490012,1,Icon_Box_Adena_03
104,Normal,6,Item,490030,3,Icon_Box_SP_03
104,Normal,7,Item,910005,1,Icon_Box_BlessedScroll_01
104,Returner,1,Item,10910811,1,Icon_Box_Legion5
104,Returner,2,Item,490012,1,Icon_Box_Adena_03
104,Returner,3,Item,910221,5,Icon_GachaItem_Transcendence
104,Returner,4,Item,911059,5,Icon_Box_QuestScroll_02
104,Returner,5,Item,490012,1,Icon_Box_Adena_03
104,Returner,6,Item,490030,3,Icon_Box_SP_03
104,Returner,7,Item,910005,2,Icon_Box_BlessedScroll_01
105,Beginner,1,FreeDiamond,,500,Icon_Asset_Diamond_02
105,Beginner,2,Item,900011,1,Icon_Gacha_EnchantScroll
105,Beginner,3,Item,490012,1,Icon_Box_Adena_03
105,Beginner,4,Item,911179,5,Icon_Box_EquipLevelMaterial
105,Beginner,5,Item,900009,5,Icon_GachaItem_Transcendence
105,Beginner,6,Item,490012,1,Icon_Box_Adena_03
105,Beginner,7,Item,10330005,1,Acc_Earring_Halloween_01
105,Normal,1,FreeDiamond,,500,Icon_Asset_Diamond_02
105,Normal,2,Item,900011,1,Icon_Gacha_EnchantScroll
105,Normal,3,Item,490012,1,Icon_Box_Adena_03
105,Normal,4,Item,911179,5,Icon_Box_EquipLevelMaterial
105,Normal,5,Item,900009,5,Icon_GachaItem_Transcendence
105,Normal,6,Item,490012,1,Icon_Box_Adena_03
105,Normal,7,Item,10330005,1,Acc_Earring_Halloween_01
105,Returner,1,FreeDiamond,,500,Icon_Asset_Diamond_02
105,Returner,2,Item,900011,1,Icon_Gacha_EnchantScroll
105,Returner,3,Item,490012,1,Icon_Box_Adena_03
105,Returner,4,Item,911179,5,Icon_Box_EquipLevelMaterial
105,Returner,5,Item,900009,5,Icon_GachaItem_Transcendence
105,Returner,6,Item,490012,1,Icon_Box_Adena_03
105,Returner,7,Item,10330005,1,Acc_Earring_Halloween_01
106,Beginner,1,Item,910141,1,Icon_GachaItem_EquipmentR
106,Beginner,2,Item,910221,5,Icon_GachaItem_Transcendence
106,Beginner,3,Item,490011,5,Icon_Asset_Adena_01
106,Beginner,4,FreeDiamond,,500,Icon_Asset_Diamond_02
106,Beginner,5,Item,910221,10,Icon_GachaItem_Transcendence
106,Beginner,6,Item,490012,1,Icon_Asset_Adena_01
106,Beginner,7,FreeDiamond,,1000,Icon_Asset_Diamond_02
106,Normal,1,Item,911058,1,Icon_Box_Combine_EnchantScroll_01
106,Normal,2,Item,910219,1,Icon_Box_EquipLevelMaterial
106,Normal,3,Item,490011,5,Icon_Asset_Adena_01
106,Normal,4,Item,910237,5,Icon_Gacha_EnchantScroll
106,Normal,5,Item,910219,1,Icon_Box_EquipLevelMaterial
106,Normal,6,Item,490011,5,Icon_Asset_Adena_01
106,Normal,7,Item,400000,3,Icon_Asset_Protector_01
106,Returner,1,Item,910141,1,Icon_GachaItem_EquipmentR
106,Returner,2,Item,910221,5,Icon_GachaItem_Transcendence
106,Returner,3,Item,490011,5,Icon_Asset_Adena_01
106,Returner,4,FreeDiamond,,500,Icon_Asset_Diamond_02
106,Returner,5,Item,910221,10,Icon_GachaItem_Transcendence
106,Returner,6,Item,490012,1,Icon_Asset_Adena_01
106,Returner,7,FreeDiamond,,1000,Icon_Asset_Diamond_02
107,Beginner,1,Item,910142,1,Icon_GachaItem_WeaponR
107,Beginner,2,Adena,,50000,Icon_Asset_Adena_01
107,Beginner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
107,Beginner,4,Item,910141,1,Icon_GachaItem_EquipmentR
107,Beginner,5,Adena,,50000,Icon_Asset_Adena_01
107,Beginner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
107,Beginner,7,Item,910144,1,Icon_GachaItem_AccR
107,Normal,1,Item,910142,1,Icon_GachaItem_WeaponR
107,Normal,2,Item,910141,1,Icon_GachaItem_EquipmentR
107,Normal,3,Item,919052,1,Icon_Gacha_CraftMaterial
107,Normal,4,Item,510103,5,Icon_Combine_Unidentifiy_Material01
107,Normal,5,Item,910142,1,Icon_GachaItem_WeaponR
107,Normal,6,Item,910141,1,Icon_GachaItem_EquipmentR
107,Normal,7,Item,911013,1,Icon_Combine_Unidentifiy_Material02
107,Returner,1,Item,910142,1,Icon_GachaItem_WeaponR
107,Returner,2,Adena,,50000,Icon_Asset_Adena_01
107,Returner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
107,Returner,4,Item,910141,1,Icon_GachaItem_EquipmentR
107,Returner,5,Adena,,50000,Icon_Asset_Adena_01
107,Returner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
107,Returner,7,Item,910144,1,Icon_GachaItem_AccR
108,Beginner,1,Item,910134,1,Icon_GachaItem_AccS
108,Beginner,2,Adena,,100000,Icon_Asset_Adena_01
108,Beginner,3,Item,900011,3,Icon_Gacha_EnchantScroll
108,Beginner,4,Adena,,100000,Icon_Asset_Adena_01
108,Beginner,5,Item,910006,5,Icon_GachaItem_Transcendence
108,Beginner,6,FreeDiamond,,1000,Icon_Asset_Adena_01
108,Beginner,7,Item,911151,1,Icon_GachaItem_EquipmentSR
108,Normal,1,Item,10919052,1,Icon_Gacha_CraftMaterial
108,Normal,2,Item,510103,3,Icon_Combine_Unidentifiy_Material01
108,Normal,3,FreeDiamond,,500,Icon_Asset_Diamond_02
108,Normal,4,Item,410004,3,Icon_PetEnchantScroll_01
108,Normal,5,FreeDiamond,,500,Icon_Asset_Diamond_02
108,Normal,6,Item,911024,1000,Icon_Combine_Unidentifiy_UpgradeCrystal
108,Normal,7,Item,400000,2,Icon_Asset_Protector_01
108,Returner,1,Item,910134,1,Icon_GachaItem_AccS
108,Returner,2,Adena,,100000,Icon_Asset_Adena_01
108,Returner,3,Item,900011,3,Icon_Gacha_EnchantScroll
108,Returner,4,Adena,,100000,Icon_Asset_Adena_01
108,Returner,5,Item,910006,5,Icon_GachaItem_Transcendence
108,Returner,6,FreeDiamond,,1000,Icon_Asset_Adena_01
108,Returner,7,Item,911151,1,Icon_GachaItem_EquipmentSR
109,Beginner,1,Item,430006,1,Icon_SoulCrystal_6
109,Beginner,2,Item,490012,1,Icon_Box_Adena_03
109,Beginner,3,Item,910004,5,Icon_Box_Scroll_01
109,Beginner,4,Item,490012,1,Icon_Box_Adena_03
109,Beginner,5,Item,910006,5,Icon_GachaItem_Transcendence
109,Beginner,6,FreeDiamond,,1000,Icon_Asset_Diamond_02
109,Beginner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
109,Normal,1,Item,430006,1,Icon_SoulCrystal_6
109,Normal,2,Item,490012,1,Icon_Box_Adena_03
109,Normal,3,Item,910004,5,Icon_Box_Scroll_01
109,Normal,4,Item,490012,1,Icon_Box_Adena_03
109,Normal,5,Item,910006,5,Icon_GachaItem_Transcendence
109,Normal,6,Item,490012,1,Icon_Box_Adena_03
109,Normal,7,Item,911057,1,Icon_GachaItem_EquipmentSR
109,Returner,1,Item,430006,1,Icon_SoulCrystal_6
109,Returner,2,Item,490012,1,Icon_Box_Adena_03
109,Returner,3,Item,910004,5,Icon_Box_Scroll_01
109,Returner,4,Item,490012,1,Icon_Box_Adena_03
109,Returner,5,Item,910006,5,Icon_GachaItem_Transcendence
109,Returner,6,Item,490012,1,Icon_Box_Adena_03
109,Returner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
110,Beginner,1,Item,911142,1,Icon_GachaItem_WeaponR
110,Beginner,2,Adena,,50000,Icon_Asset_Adena_01
110,Beginner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
110,Beginner,4,Item,911141,1,Icon_GachaItem_EquipmentR
110,Beginner,5,Adena,,50000,Icon_Asset_Adena_01
110,Beginner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
110,Beginner,7,Item,910144,1,Icon_GachaItem_AccR
110,Normal,1,Item,911142,1,Icon_GachaItem_WeaponR
110,Normal,2,Item,911141,1,Icon_GachaItem_EquipmentR
110,Normal,3,Item,10919052,5,Icon_Gacha_CraftMaterial
110,Normal,4,Item,510103,5,Icon_Combine_Unidentifiy_Material01
110,Normal,5,Item,911142,1,Icon_GachaItem_WeaponR
110,Normal,6,Item,911141,1,Icon_GachaItem_EquipmentR
110,Normal,7,Item,911013,1,Icon_Combine_Unidentifiy_Material02
110,Returner,1,Item,911142,1,Icon_GachaItem_WeaponR
110,Returner,2,Adena,,50000,Icon_Asset_Adena_01
110,Returner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
110,Returner,4,Item,911141,1,Icon_GachaItem_EquipmentR
110,Returner,5,Adena,,50000,Icon_Asset_Adena_01
110,Returner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
110,Returner,7,Item,910144,1,Icon_GachaItem_AccR
111,Beginner,1,Item,911142,1,Icon_GachaItem_WeaponR
111,Beginner,2,Adena,,50000,Icon_Asset_Adena_01
111,Beginner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Beginner,4,Item,911141,1,Icon_GachaItem_EquipmentR
111,Beginner,5,Adena,,50000,Icon_Asset_Adena_01
111,Beginner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Beginner,7,Item,910144,1,Icon_GachaItem_AccR
111,Normal,1,Item,490027,1,Icon_Transcendence_02
111,Normal,2,Adena,,50000,Icon_Asset_Adena_01
111,Normal,3,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Normal,4,Item,510008,1,Icon_Combine_AbilityStone_R
111,Normal,5,Adena,,50000,Icon_Asset_Adena_01
111,Normal,6,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Normal,7,Item,490037,1,Icon_Transcendence_03
111,Returner,1,Item,911142,1,Icon_GachaItem_WeaponR
111,Returner,2,Adena,,50000,Icon_Asset_Adena_01
111,Returner,3,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Returner,4,Item,911141,1,Icon_GachaItem_EquipmentR
111,Returner,5,Adena,,50000,Icon_Asset_Adena_01
111,Returner,6,FreeDiamond,,200,Icon_Asset_Diamond_02
111,Returner,7,Item,910144,1,Icon_GachaItem_AccR
112,Beginner,1,Item,911142,1,Icon_GachaItem_WeaponR
112,Beginner,2,Item,910006,5,Icon_GachaItem_Transcendence
112,Beginner,3,FreeDiamond,,500,Icon_Asset_Diamond_02
112,Beginner,4,Item,910227,1,Icon_GachaItem_EquipmentR
112,Beginner,5,Item,910252,2,Icon_Box_Adena_03
112,Beginner,6,Item,910004,5,Icon_Box_Scroll_01
112,Beginner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
112,Normal,1,Item,911142,1,Icon_GachaItem_WeaponR
112,Normal,2,Item,911143,1,Icon_GachaItem_ArmorR
112,Normal,3,Item,910144,1,Icon_GachaItem_AccR
112,Normal,4,Item,400000,2,Icon_Asset_Protector_01
112,Normal,5,Item,910237,3,Icon_Gacha_EnchantScroll
112,Normal,6,FreeDiamond,,500,Icon_Asset_Diamond_02
112,Normal,7,Item,911057,1,Icon_GachaItem_EquipmentSR
112,Returner,1,Item,911142,1,Icon_GachaItem_WeaponR
112,Returner,2,Item,910006,5,Icon_GachaItem_Transcendence
112,Returner,3,FreeDiamond,,500,Icon_Asset_Diamond_02
112,Returner,4,Item,910227,1,Icon_GachaItem_EquipmentR
112,Returner,5,Item,910252,2,Icon_Box_Adena_03
112,Returner,6,Item,910004,5,Icon_Box_Scroll_01
112,Returner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
113,Beginner,1,Item,911142,1,Icon_GachaItem_WeaponR
113,Beginner,2,Item,910006,5,Icon_GachaItem_Transcendence
113,Beginner,3,FreeDiamond,,500,Icon_Asset_Diamond_02
113,Beginner,4,Item,910227,1,Icon_GachaItem_EquipmentR
113,Beginner,5,Item,910252,2,Icon_Box_Adena_03
113,Beginner,6,Item,910004,5,Icon_Box_Scroll_01
113,Beginner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
113,Normal,1,Item,910220,5,Icon_Gacha_EnchantScroll
113,Normal,2,Item,910252,1,Icon_Box_Adena_03
113,Normal,3,Item,910237,3,Icon_Gacha_EnchantScroll
113,Normal,4,Item,400000,2,Icon_Asset_Protector_01
113,Normal,5,Item,910004,3,Icon_Box_Scroll_01
113,Normal,6,FreeDiamond,,500,Icon_Asset_Diamond_02
113,Normal,7,Item,911057,1,Icon_GachaItem_EquipmentSR
113,Returner,1,Item,911142,1,Icon_GachaItem_WeaponR
113,Returner,2,Item,910006,5,Icon_GachaItem_Transcendence
113,Returner,3,FreeDiamond,,500,Icon_Asset_Diamond_02
113,Returner,4,Item,910227,1,Icon_GachaItem_EquipmentR
113,Returner,5,Item,910252,2,Icon_Box_Adena_03
113,Returner,6,Item,910004,5,Icon_Box_Scroll_01
113,Returner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
114,Beginner,1,Item,430006,1,Icon_SoulCrystal_6
114,Beginner,2,Item,490012,1,Icon_Box_Adena_03
114,Beginner,3,Item,910004,5,Icon_Box_Scroll_01
114,Beginner,4,Item,490012,1,Icon_Box_Adena_03
114,Beginner,5,Item,910006,3,Icon_GachaItem_Transcendence
114,Beginner,6,FreeDiamond,,1000,Icon_Asset_Diamond_02
114,Beginner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
114,Normal,1,Item,430006,1,Icon_SoulCrystal_6
114,Normal,2,Item,490012,1,Icon_Box_Adena_03
114,Normal,3,Item,910004,5,Icon_Box_Scroll_01
114,Normal,4,Item,490012,1,Icon_Box_Adena_03
114,Normal,5,Item,910006,3,Icon_GachaItem_Transcendence
114,Normal,6,FreeDiamond,,1000,Icon_Asset_Diamond_02
114,Normal,7,Item,911057,1,Icon_GachaItem_EquipmentSR
114,Returner,1,Item,430006,1,Icon_SoulCrystal_6
114,Returner,2,Item,490012,1,Icon_Box_Adena_03
114,Returner,3,Item,910004,5,Icon_Box_Scroll_01
114,Returner,4,Item,490012,1,Icon_Box_Adena_03
114,Returner,5,Item,910006,3,Icon_GachaItem_Transcendence
114,Returner,6,FreeDiamond,,1000,Icon_Asset_Diamond_02
114,Returner,7,Item,911057,1,Icon_GachaItem_EquipmentSR
115,Beginner,1,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Beginner,2,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Beginner,3,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Beginner,4,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Beginner,5,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Beginner,6,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Beginner,7,Item,400000,3,Icon_Asset_Protector_01
115,Normal,1,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Normal,2,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Normal,3,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Normal,4,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Normal,5,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Normal,6,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Normal,7,Item,400000,3,Icon_Asset_Protector_01
115,Returner,1,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Returner,2,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Returner,3,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Returner,4,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Returner,5,Item,490090,3,Icon_DailyDungeonSweepTicket
115,Returner,6,FreeDiamond,,100,Icon_Asset_Diamond_02
115,Returner,7,Item,400000,3,Icon_Asset_Protector_01
116,Beginner,1,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Beginner,2,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Beginner,3,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Beginner,4,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Beginner,5,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Beginner,6,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Beginner,7,Item,400000,3,Icon_Asset_Protector_01
116,Normal,1,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Normal,2,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Normal,3,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Normal,4,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Normal,5,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Normal,6,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Normal,7,Item,400000,3,Icon_Asset_Protector_01
116,Returner,1,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Returner,2,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Returner,3,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Returner,4,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Returner,5,Item,490090,3,Icon_DailyDungeonSweepTicket
116,Returner,6,FreeDiamond,,100,Icon_Asset_Diamond_02
116,Returner,7,Item,400000,3,Icon_Asset_Protector_01
