ItemGrade,EquipmentType,Level,RewardType1,MinRewardCount1
C,Earring1,11,Crystal,17
C,Earring1,12,Crystal,19
C,Earring1,13,Crystal,21
C,Earring1,14,Crystal,24
C,Earring1,15,Crystal,27
C,Earring1,16,Crystal,30
C,Earring1,17,Crystal,33
C,Earring1,18,Crystal,37
C,Earring1,19,Crystal,41
C,Earring1,20,Crystal,46
C,Necklace,0,Crystal,3
C,Necklace,1,Crystal,4
C,Necklace,2,Crystal,5
C,Necklace,3,Crystal,6
C,Necklace,4,Crystal,7
C,Necklace,5,Crystal,8
C,Necklace,6,Crystal,9
C,Necklace,7,Crystal,10
C,Necklace,8,Crystal,11
C,Necklace,9,Crystal,13
C,Necklace,10,Crystal,15
C,Necklace,11,Crystal,17
C,Necklace,12,Crystal,19
C,Necklace,13,Crystal,21
C,Necklace,14,Crystal,24
C,Necklace,15,Crystal,27
C,Necklace,16,Crystal,30
C,Necklace,17,Crystal,33
C,Necklace,18,Crystal,37
C,Necklace,19,Crystal,41
C,Necklace,20,Crystal,46
B,Weapon,0,Crystal,5
B,Weapon,1,Crystal,6
B,Weapon,2,Crystal,7
B,Weapon,3,Crystal,8
B,Weapon,4,Crystal,9
B,Weapon,5,Crystal,10
B,Weapon,6,Crystal,11
B,Weapon,7,Crystal,13
B,Weapon,8,Crystal,15
B,Weapon,9,Crystal,17
B,Weapon,10,Crystal,19
B,Weapon,11,Crystal,21
B,Weapon,12,Crystal,24
B,Weapon,13,Crystal,27
B,Weapon,14,Crystal,30
B,Weapon,15,Crystal,33
B,Weapon,16,Crystal,37
B,Weapon,17,Crystal,41
B,Weapon,18,Crystal,46
B,Weapon,19,Crystal,51
B,Weapon,20,Crystal,57
B,Armor,0,Crystal,5
B,Armor,1,Crystal,6
B,Armor,2,Crystal,7
B,Armor,3,Crystal,8
B,Armor,4,Crystal,9
B,Armor,5,Crystal,10
B,Armor,6,Crystal,11
B,Armor,7,Crystal,13
B,Armor,8,Crystal,15
B,Armor,9,Crystal,17
B,Armor,10,Crystal,19
B,Armor,11,Crystal,21
B,Armor,12,Crystal,24
B,Armor,13,Crystal,27
B,Armor,14,Crystal,30
B,Armor,15,Crystal,33
B,Armor,16,Crystal,37
B,Armor,17,Crystal,41
B,Armor,18,Crystal,46
B,Armor,19,Crystal,51
B,Armor,20,Crystal,57
B,Gloves,0,Crystal,2
B,Gloves,1,Crystal,3
B,Gloves,2,Crystal,4
B,Gloves,3,Crystal,5
B,Gloves,4,Crystal,6
B,Gloves,5,Crystal,7
B,Gloves,6,Crystal,8
B,Gloves,7,Crystal,9
B,Gloves,8,Crystal,10
B,Gloves,9,Crystal,11
B,Gloves,10,Crystal,13
B,Gloves,11,Crystal,15
B,Gloves,12,Crystal,17
B,Gloves,13,Crystal,19
B,Gloves,14,Crystal,21
B,Gloves,15,Crystal,24
B,Gloves,16,Crystal,27
B,Gloves,17,Crystal,30
B,Gloves,18,Crystal,33
B,Gloves,19,Crystal,37
B,Gloves,20,Crystal,41
B,Boots,0,Crystal,2
B,Boots,1,Crystal,3
B,Boots,2,Crystal,4
B,Boots,3,Crystal,5
B,Boots,4,Crystal,6
B,Boots,5,Crystal,7
B,Boots,6,Crystal,8
B,Boots,7,Crystal,9
B,Boots,8,Crystal,10
B,Boots,9,Crystal,11
B,Boots,10,Crystal,13
B,Boots,11,Crystal,15
B,Boots,12,Crystal,17
B,Boots,13,Crystal,19
B,Boots,14,Crystal,21
B,Boots,15,Crystal,24
B,Boots,16,Crystal,27
B,Boots,17,Crystal,30
B,Boots,18,Crystal,33
B,Boots,19,Crystal,37
B,Boots,20,Crystal,41
B,Helmet,0,Crystal,3
B,Helmet,1,Crystal,4
B,Helmet,2,Crystal,5
B,Helmet,3,Crystal,6
B,Helmet,4,Crystal,7
B,Helmet,5,Crystal,8
B,Helmet,6,Crystal,9
B,Helmet,7,Crystal,10
B,Helmet,8,Crystal,11
B,Helmet,9,Crystal,13
B,Helmet,10,Crystal,15
B,Helmet,11,Crystal,17
B,Helmet,12,Crystal,19
B,Helmet,13,Crystal,21
B,Helmet,14,Crystal,24
B,Helmet,15,Crystal,27
B,Helmet,16,Crystal,30
B,Helmet,17,Crystal,33
B,Helmet,18,Crystal,37
B,Helmet,19,Crystal,41
B,Helmet,20,Crystal,46
B,Ring1,0,Crystal,5
B,Ring1,1,Crystal,6
B,Ring1,2,Crystal,7
B,Ring1,3,Crystal,8
B,Ring1,4,Crystal,9
B,Ring1,5,Crystal,10
B,Ring1,6,Crystal,11
B,Ring1,7,Crystal,13
B,Ring1,8,Crystal,15
B,Ring1,9,Crystal,17
B,Ring1,10,Crystal,19
B,Ring1,11,Crystal,21
B,Ring1,12,Crystal,24
B,Ring1,13,Crystal,27
B,Ring1,14,Crystal,30
B,Ring1,15,Crystal,33
B,Ring1,16,Crystal,37
B,Ring1,17,Crystal,41
B,Ring1,18,Crystal,46
B,Ring1,19,Crystal,51
B,Ring1,20,Crystal,57
B,Earring1,0,Crystal,5
B,Earring1,1,Crystal,6
B,Earring1,2,Crystal,7
B,Earring1,3,Crystal,8
B,Earring1,4,Crystal,9
B,Earring1,5,Crystal,10
B,Earring1,6,Crystal,11
B,Earring1,7,Crystal,13
B,Earring1,8,Crystal,15
B,Earring1,9,Crystal,17
B,Earring1,10,Crystal,19
B,Earring1,11,Crystal,21
B,Earring1,12,Crystal,24
B,Earring1,13,Crystal,27
B,Earring1,14,Crystal,30
B,Earring1,15,Crystal,33
B,Earring1,16,Crystal,37
B,Earring1,17,Crystal,41
B,Earring1,18,Crystal,46
B,Earring1,19,Crystal,51
B,Earring1,20,Crystal,57
B,Necklace,0,Crystal,5
B,Necklace,1,Crystal,6
B,Necklace,2,Crystal,7
B,Necklace,3,Crystal,8
B,Necklace,4,Crystal,9
B,Necklace,5,Crystal,10
B,Necklace,6,Crystal,11
B,Necklace,7,Crystal,13
B,Necklace,8,Crystal,15
B,Necklace,9,Crystal,17
B,Necklace,10,Crystal,19
B,Necklace,11,Crystal,21
B,Necklace,12,Crystal,24
B,Necklace,13,Crystal,27
B,Necklace,14,Crystal,30
B,Necklace,15,Crystal,33
B,Necklace,16,Crystal,37
B,Necklace,17,Crystal,41
B,Necklace,18,Crystal,46
B,Necklace,19,Crystal,51
B,Necklace,20,Crystal,57
A,Weapon,0,Crystal,8
A,Weapon,1,Crystal,9
A,Weapon,2,Crystal,10
A,Weapon,3,Crystal,11
A,Weapon,4,Crystal,13
A,Weapon,5,Crystal,15
A,Weapon,6,Crystal,17
A,Weapon,7,Crystal,19
A,Weapon,8,Crystal,21
A,Weapon,9,Crystal,24
A,Weapon,10,Crystal,27
A,Weapon,11,Crystal,30
A,Weapon,12,Crystal,33
A,Weapon,13,Crystal,37
A,Weapon,14,Crystal,41
A,Weapon,15,Crystal,46
A,Weapon,16,Crystal,51
A,Weapon,17,Crystal,57
A,Weapon,18,Crystal,63
A,Weapon,19,Crystal,70
A,Weapon,20,Crystal,77
A,Armor,0,Crystal,8
A,Armor,1,Crystal,9
A,Armor,2,Crystal,10
A,Armor,3,Crystal,11
A,Armor,4,Crystal,13
A,Armor,5,Crystal,15
A,Armor,6,Crystal,17
A,Armor,7,Crystal,19
A,Armor,8,Crystal,21
A,Armor,9,Crystal,24
A,Armor,10,Crystal,27
A,Armor,11,Crystal,30
A,Armor,12,Crystal,33
A,Armor,13,Crystal,37
A,Armor,14,Crystal,41
A,Armor,15,Crystal,46
A,Armor,16,Crystal,51
A,Armor,17,Crystal,57
A,Armor,18,Crystal,63
A,Armor,19,Crystal,70
A,Armor,20,Crystal,77
A,Gloves,0,Crystal,3
A,Gloves,1,Crystal,4
A,Gloves,2,Crystal,5
A,Gloves,3,Crystal,6
A,Gloves,4,Crystal,7
A,Gloves,5,Crystal,8
A,Gloves,6,Crystal,9
A,Gloves,7,Crystal,10
A,Gloves,8,Crystal,11
A,Gloves,9,Crystal,13
A,Gloves,10,Crystal,15
A,Gloves,11,Crystal,17
A,Gloves,12,Crystal,19
A,Gloves,13,Crystal,21
A,Gloves,14,Crystal,24
A,Gloves,15,Crystal,27
A,Gloves,16,Crystal,30
A,Gloves,17,Crystal,33
A,Gloves,18,Crystal,37
A,Gloves,19,Crystal,41
A,Gloves,20,Crystal,46
A,Boots,0,Crystal,3
A,Boots,1,Crystal,4
A,Boots,2,Crystal,5
A,Boots,3,Crystal,6
A,Boots,4,Crystal,7
A,Boots,5,Crystal,8
A,Boots,6,Crystal,9
A,Boots,7,Crystal,10
A,Boots,8,Crystal,11
A,Boots,9,Crystal,13
A,Boots,10,Crystal,15
A,Boots,11,Crystal,17
A,Boots,12,Crystal,19
A,Boots,13,Crystal,21
A,Boots,14,Crystal,24
A,Boots,15,Crystal,27
A,Boots,16,Crystal,30
A,Boots,17,Crystal,33
A,Boots,18,Crystal,37
A,Boots,19,Crystal,41
A,Boots,20,Crystal,46
A,Helmet,0,Crystal,5
A,Helmet,1,Crystal,6
A,Helmet,2,Crystal,7
A,Helmet,3,Crystal,8
A,Helmet,4,Crystal,9
A,Helmet,5,Crystal,10
A,Helmet,6,Crystal,11
A,Helmet,7,Crystal,13
A,Helmet,8,Crystal,15
A,Helmet,9,Crystal,17
A,Helmet,10,Crystal,19
A,Helmet,11,Crystal,21
A,Helmet,12,Crystal,24
A,Helmet,13,Crystal,27
A,Helmet,14,Crystal,30
A,Helmet,15,Crystal,33
A,Helmet,16,Crystal,37
A,Helmet,17,Crystal,41
A,Helmet,18,Crystal,46
A,Helmet,19,Crystal,51
A,Helmet,20,Crystal,57
A,Ring1,0,Crystal,8
A,Ring1,1,Crystal,9
A,Ring1,2,Crystal,10
A,Ring1,3,Crystal,11
A,Ring1,4,Crystal,13
A,Ring1,5,Crystal,15
A,Ring1,6,Crystal,17
A,Ring1,7,Crystal,19
A,Ring1,8,Crystal,21
A,Ring1,9,Crystal,24
A,Ring1,10,Crystal,27
A,Ring1,11,Crystal,30
A,Ring1,12,Crystal,33
A,Ring1,13,Crystal,37
A,Ring1,14,Crystal,41
A,Ring1,15,Crystal,46
A,Ring1,16,Crystal,51
A,Ring1,17,Crystal,57
A,Ring1,18,Crystal,63
A,Ring1,19,Crystal,70
A,Ring1,20,Crystal,77
A,Earring1,0,Crystal,8
A,Earring1,1,Crystal,9
A,Earring1,2,Crystal,10
A,Earring1,3,Crystal,11
A,Earring1,4,Crystal,13
A,Earring1,5,Crystal,15
A,Earring1,6,Crystal,17
A,Earring1,7,Crystal,19
A,Earring1,8,Crystal,21
A,Earring1,9,Crystal,24
A,Earring1,10,Crystal,27
A,Earring1,11,Crystal,30
A,Earring1,12,Crystal,33
A,Earring1,13,Crystal,37
A,Earring1,14,Crystal,41
A,Earring1,15,Crystal,46
A,Earring1,16,Crystal,51
A,Earring1,17,Crystal,57
A,Earring1,18,Crystal,63
A,Earring1,19,Crystal,70
A,Earring1,20,Crystal,77
A,Necklace,0,Crystal,8
A,Necklace,1,Crystal,9
A,Necklace,2,Crystal,10
A,Necklace,3,Crystal,11
A,Necklace,4,Crystal,13
A,Necklace,5,Crystal,15
A,Necklace,6,Crystal,17
A,Necklace,7,Crystal,19
A,Necklace,8,Crystal,21
A,Necklace,9,Crystal,24
A,Necklace,10,Crystal,27
A,Necklace,11,Crystal,30
A,Necklace,12,Crystal,33
A,Necklace,13,Crystal,37
A,Necklace,14,Crystal,41
A,Necklace,15,Crystal,46
A,Necklace,16,Crystal,51
A,Necklace,17,Crystal,57
A,Necklace,18,Crystal,63
A,Necklace,19,Crystal,70
A,Necklace,20,Crystal,77
S,Weapon,0,Crystal,12
S,Weapon,1,Crystal,14
S,Weapon,2,Crystal,16
S,Weapon,3,Crystal,18
S,Weapon,4,Crystal,20
S,Weapon,5,Crystal,22
S,Weapon,6,Crystal,25
S,Weapon,7,Crystal,28
S,Weapon,8,Crystal,31
S,Weapon,9,Crystal,35
S,Weapon,10,Crystal,39
S,Weapon,11,Crystal,43
S,Weapon,12,Crystal,48
S,Weapon,13,Crystal,53
S,Weapon,14,Crystal,59
S,Weapon,15,Crystal,65
S,Weapon,16,Crystal,72
S,Weapon,17,Crystal,80
S,Weapon,18,Crystal,88
S,Weapon,19,Crystal,97
S,Weapon,20,Crystal,107
S,Armor,0,Crystal,12
S,Armor,1,Crystal,14
S,Armor,2,Crystal,16
S,Armor,3,Crystal,18
S,Armor,4,Crystal,20
S,Armor,5,Crystal,22
S,Armor,6,Crystal,25
S,Armor,7,Crystal,28
S,Armor,8,Crystal,31
S,Armor,9,Crystal,35
S,Armor,10,Crystal,39
S,Armor,11,Crystal,43
S,Armor,12,Crystal,48
S,Armor,13,Crystal,53
S,Armor,14,Crystal,59
S,Armor,15,Crystal,65
S,Armor,16,Crystal,72
S,Armor,17,Crystal,80
S,Armor,18,Crystal,88
S,Armor,19,Crystal,97
S,Armor,20,Crystal,107
S,Gloves,0,Crystal,5
S,Gloves,1,Crystal,6
S,Gloves,2,Crystal,7
S,Gloves,3,Crystal,8
S,Gloves,4,Crystal,9
S,Gloves,5,Crystal,10
S,Gloves,6,Crystal,11
S,Gloves,7,Crystal,13
S,Gloves,8,Crystal,15
S,Gloves,9,Crystal,17
S,Gloves,10,Crystal,19
S,Gloves,11,Crystal,21
S,Gloves,12,Crystal,24
S,Gloves,13,Crystal,27
S,Gloves,14,Crystal,30
S,Gloves,15,Crystal,33
S,Gloves,16,Crystal,37
S,Gloves,17,Crystal,41
S,Gloves,18,Crystal,46
S,Gloves,19,Crystal,51
S,Gloves,20,Crystal,57
S,Boots,0,Crystal,5
S,Boots,1,Crystal,6
S,Boots,2,Crystal,7
S,Boots,3,Crystal,8
S,Boots,4,Crystal,9
S,Boots,5,Crystal,10
S,Boots,6,Crystal,11
S,Boots,7,Crystal,13
S,Boots,8,Crystal,15
S,Boots,9,Crystal,17
S,Boots,10,Crystal,19
S,Boots,11,Crystal,21
S,Boots,12,Crystal,24
S,Boots,13,Crystal,27
S,Boots,14,Crystal,30
S,Boots,15,Crystal,33
S,Boots,16,Crystal,37
S,Boots,17,Crystal,41
S,Boots,18,Crystal,46
S,Boots,19,Crystal,51
S,Boots,20,Crystal,57
S,Helmet,0,Crystal,8
S,Helmet,1,Crystal,9
S,Helmet,2,Crystal,10
S,Helmet,3,Crystal,11
S,Helmet,4,Crystal,13
S,Helmet,5,Crystal,15
S,Helmet,6,Crystal,17
S,Helmet,7,Crystal,19
S,Helmet,8,Crystal,21
S,Helmet,9,Crystal,24
S,Helmet,10,Crystal,27
S,Helmet,11,Crystal,30
S,Helmet,12,Crystal,33
S,Helmet,13,Crystal,37
S,Helmet,14,Crystal,41
S,Helmet,15,Crystal,46
S,Helmet,16,Crystal,51
S,Helmet,17,Crystal,57
S,Helmet,18,Crystal,63
S,Helmet,19,Crystal,70
S,Helmet,20,Crystal,77
S,Ring1,0,Crystal,12
S,Ring1,1,Crystal,14
S,Ring1,2,Crystal,16
S,Ring1,3,Crystal,18
S,Ring1,4,Crystal,20
S,Ring1,5,Crystal,22
S,Ring1,6,Crystal,25
S,Ring1,7,Crystal,28
S,Ring1,8,Crystal,31
S,Ring1,9,Crystal,35
S,Ring1,10,Crystal,39
S,Ring1,11,Crystal,43
S,Ring1,12,Crystal,48
S,Ring1,13,Crystal,53
S,Ring1,14,Crystal,59
S,Ring1,15,Crystal,65
S,Ring1,16,Crystal,72
S,Ring1,17,Crystal,80
S,Ring1,18,Crystal,88
S,Ring1,19,Crystal,97
S,Ring1,20,Crystal,107
S,Earring1,0,Crystal,12
S,Earring1,1,Crystal,14
S,Earring1,2,Crystal,16
S,Earring1,3,Crystal,18
S,Earring1,4,Crystal,20
S,Earring1,5,Crystal,22
S,Earring1,6,Crystal,25
S,Earring1,7,Crystal,28
S,Earring1,8,Crystal,31
S,Earring1,9,Crystal,35
S,Earring1,10,Crystal,39
S,Earring1,11,Crystal,43
S,Earring1,12,Crystal,48
S,Earring1,13,Crystal,53
S,Earring1,14,Crystal,59
S,Earring1,15,Crystal,65
S,Earring1,16,Crystal,72
S,Earring1,17,Crystal,80
S,Earring1,18,Crystal,88
S,Earring1,19,Crystal,97
S,Earring1,20,Crystal,107
S,Necklace,0,Crystal,12
S,Necklace,1,Crystal,14
S,Necklace,2,Crystal,16
S,Necklace,3,Crystal,18
S,Necklace,4,Crystal,20
S,Necklace,5,Crystal,22
S,Necklace,6,Crystal,25
S,Necklace,7,Crystal,28
S,Necklace,8,Crystal,31
S,Necklace,9,Crystal,35
S,Necklace,10,Crystal,39
S,Necklace,11,Crystal,43
S,Necklace,12,Crystal,48
S,Necklace,13,Crystal,53
S,Necklace,14,Crystal,59
S,Necklace,15,Crystal,65
S,Necklace,16,Crystal,72
S,Necklace,17,Crystal,80
S,Necklace,18,Crystal,88
S,Necklace,19,Crystal,97
S,Necklace,20,Crystal,107
R,Weapon,0,Crystal,18
R,Weapon,1,Crystal,20
R,Weapon,2,Crystal,22
R,Weapon,3,Crystal,25
R,Weapon,4,Crystal,28
R,Weapon,5,Crystal,31
R,Weapon,6,Crystal,35
R,Weapon,7,Crystal,39
R,Weapon,8,Crystal,43
R,Weapon,9,Crystal,48
R,Weapon,10,Crystal,53
R,Weapon,11,Crystal,59
R,Weapon,12,Crystal,65
R,Weapon,13,Crystal,72
R,Weapon,14,Crystal,80
R,Weapon,15,Crystal,88
R,Weapon,16,Crystal,97
R,Weapon,17,Crystal,107
R,Weapon,18,Crystal,118
R,Weapon,19,Crystal,130
R,Weapon,20,Crystal,143
R,Armor,0,Crystal,18
R,Armor,1,Crystal,20
R,Armor,2,Crystal,22
R,Armor,3,Crystal,25
R,Armor,4,Crystal,28
R,Armor,5,Crystal,31
R,Armor,6,Crystal,35
R,Armor,7,Crystal,39
R,Armor,8,Crystal,43
R,Armor,9,Crystal,48
R,Armor,10,Crystal,53
R,Armor,11,Crystal,59
R,Armor,12,Crystal,65
R,Armor,13,Crystal,72
R,Armor,14,Crystal,80
R,Armor,15,Crystal,88
R,Armor,16,Crystal,97
R,Armor,17,Crystal,107
R,Armor,18,Crystal,118
R,Armor,19,Crystal,130
R,Armor,20,Crystal,143
R,Gloves,0,Crystal,8
R,Gloves,1,Crystal,9
R,Gloves,2,Crystal,10
R,Gloves,3,Crystal,11
R,Gloves,4,Crystal,13
R,Gloves,5,Crystal,15
R,Gloves,6,Crystal,17
R,Gloves,7,Crystal,19
R,Gloves,8,Crystal,21
R,Gloves,9,Crystal,24
R,Gloves,10,Crystal,27
R,Gloves,11,Crystal,30
R,Gloves,12,Crystal,33
R,Gloves,13,Crystal,37
R,Gloves,14,Crystal,41
R,Gloves,15,Crystal,46
R,Gloves,16,Crystal,51
R,Gloves,17,Crystal,57
R,Gloves,18,Crystal,63
R,Gloves,19,Crystal,70
R,Gloves,20,Crystal,77
R,Boots,0,Crystal,8
R,Boots,1,Crystal,9
R,Boots,2,Crystal,10
R,Boots,3,Crystal,11
R,Boots,4,Crystal,13
R,Boots,5,Crystal,15
R,Boots,6,Crystal,17
R,Boots,7,Crystal,19
R,Boots,8,Crystal,21
R,Boots,9,Crystal,24
R,Boots,10,Crystal,27
R,Boots,11,Crystal,30
R,Boots,12,Crystal,33
R,Boots,13,Crystal,37
R,Boots,14,Crystal,41
R,Boots,15,Crystal,46
R,Boots,16,Crystal,51
R,Boots,17,Crystal,57
R,Boots,18,Crystal,63
R,Boots,19,Crystal,70
R,Boots,20,Crystal,77
R,Helmet,0,Crystal,12
R,Helmet,1,Crystal,14
R,Helmet,2,Crystal,16
R,Helmet,3,Crystal,18
R,Helmet,4,Crystal,20
R,Helmet,5,Crystal,22
R,Helmet,6,Crystal,25
R,Helmet,7,Crystal,28
R,Helmet,8,Crystal,31
R,Helmet,9,Crystal,35
R,Helmet,10,Crystal,39
R,Helmet,11,Crystal,43
R,Helmet,12,Crystal,48
R,Helmet,13,Crystal,53
R,Helmet,14,Crystal,59
R,Helmet,15,Crystal,65
R,Helmet,16,Crystal,72
R,Helmet,17,Crystal,80
R,Helmet,18,Crystal,88
R,Helmet,19,Crystal,97
R,Helmet,20,Crystal,107
R,Ring1,0,Crystal,18
R,Ring1,1,Crystal,20
R,Ring1,2,Crystal,22
R,Ring1,3,Crystal,25
R,Ring1,4,Crystal,28
R,Ring1,5,Crystal,31
R,Ring1,6,Crystal,35
R,Ring1,7,Crystal,39
R,Ring1,8,Crystal,43
R,Ring1,9,Crystal,48
R,Ring1,10,Crystal,53
R,Ring1,11,Crystal,59
R,Ring1,12,Crystal,65
R,Ring1,13,Crystal,72
R,Ring1,14,Crystal,80
R,Ring1,15,Crystal,88
R,Ring1,16,Crystal,97
R,Ring1,17,Crystal,107
R,Ring1,18,Crystal,118
R,Ring1,19,Crystal,130
R,Ring1,20,Crystal,143
R,Earring1,0,Crystal,18
R,Earring1,1,Crystal,20
R,Earring1,2,Crystal,22
R,Earring1,3,Crystal,25
R,Earring1,4,Crystal,28
R,Earring1,5,Crystal,31
R,Earring1,6,Crystal,35
R,Earring1,7,Crystal,39
R,Earring1,8,Crystal,43
R,Earring1,9,Crystal,48
R,Earring1,10,Crystal,53
R,Earring1,11,Crystal,59
R,Earring1,12,Crystal,65
R,Earring1,13,Crystal,72
R,Earring1,14,Crystal,80
R,Earring1,15,Crystal,88
R,Earring1,16,Crystal,97
R,Earring1,17,Crystal,107
R,Earring1,18,Crystal,118
R,Earring1,19,Crystal,130
R,Earring1,20,Crystal,143
R,Necklace,0,Crystal,18
R,Necklace,1,Crystal,20
R,Necklace,2,Crystal,22
R,Necklace,3,Crystal,25
R,Necklace,4,Crystal,28
R,Necklace,5,Crystal,31
R,Necklace,6,Crystal,35
R,Necklace,7,Crystal,39
R,Necklace,8,Crystal,43
R,Necklace,9,Crystal,48
R,Necklace,10,Crystal,53
R,Necklace,11,Crystal,59
R,Necklace,12,Crystal,65
R,Necklace,13,Crystal,72
R,Necklace,14,Crystal,80
R,Necklace,15,Crystal,88
R,Necklace,16,Crystal,97
R,Necklace,17,Crystal,107
R,Necklace,18,Crystal,118
R,Necklace,19,Crystal,130
R,Necklace,20,Crystal,143
SR,Weapon,0,Crystal,36
SR,Weapon,1,Crystal,40
SR,Weapon,2,Crystal,44
SR,Weapon,3,Crystal,49
SR,Weapon,4,Crystal,54
SR,Weapon,5,Crystal,60
SR,Weapon,6,Crystal,66
SR,Weapon,7,Crystal,73
SR,Weapon,8,Crystal,81
SR,Weapon,9,Crystal,90
SR,Weapon,10,Crystal,99
SR,Weapon,11,Crystal,109
SR,Weapon,12,Crystal,120
SR,Weapon,13,Crystal,132
SR,Weapon,14,Crystal,146
SR,Weapon,15,Crystal,161
SR,Weapon,16,Crystal,178
SR,Weapon,17,Crystal,196
SR,Weapon,18,Crystal,216
SR,Weapon,19,Crystal,238
SR,Weapon,20,Crystal,262
SR,Armor,0,Crystal,36
SR,Armor,1,Crystal,40
SR,Armor,2,Crystal,44
SR,Armor,3,Crystal,49
SR,Armor,4,Crystal,54
SR,Armor,5,Crystal,60
SR,Armor,6,Crystal,66
SR,Armor,7,Crystal,73
SR,Armor,8,Crystal,81
SR,Armor,9,Crystal,90
SR,Armor,10,Crystal,99
SR,Armor,11,Crystal,109
SR,Armor,12,Crystal,120
SR,Armor,13,Crystal,132
SR,Armor,14,Crystal,146
SR,Armor,15,Crystal,161
SR,Armor,16,Crystal,178
SR,Armor,17,Crystal,196
SR,Armor,18,Crystal,216
SR,Armor,19,Crystal,238
SR,Armor,20,Crystal,262
