Level,ExpEazy,ExpNormal,ExpHard,ExpHell,ExpDifficulty5,ExpDifficulty6
257,7350,11288,17063,26250,31500,63000
258,7350,11288,17063,26250,31500,63000
259,7350,11288,17063,26250,31500,63000
260,7350,11288,17063,26250,31500,63000
261,7420,11395,17225,26500,31800,95400
262,7420,11395,17225,26500,31800,95400
263,7420,11395,17225,26500,31800,95400
264,7420,11395,17225,26500,31800,95400
265,7420,11395,17225,26500,31800,95400
266,7420,11395,17225,26500,31800,95400
267,7560,11610,17550,27000,32400,97200
268,7560,11610,17550,27000,32400,97200
269,7560,11610,17550,27000,32400,97200
270,7560,11610,17550,27000,32400,97200
271,7560,11610,17550,27000,32400,97200
272,7560,11610,17550,27000,32400,97200
273,7560,11610,17550,27000,32400,97200
274,7630,11718,17713,27250,32700,98100
275,7630,11718,17713,27250,32700,98100
276,7630,11718,17713,27250,32700,98100
277,7630,11718,17713,27250,32700,98100
278,7630,11718,17713,27250,32700,98100
279,7630,11718,17713,27250,32700,98100
280,7630,11718,17713,27250,32700,98100
281,7630,11718,17713,27250,32700,98100
282,7700,11825,17875,27500,33000,99000
283,7700,11825,17875,27500,33000,99000
284,7700,11825,17875,27500,33000,99000
285,7700,11825,17875,27500,33000,99000
286,7700,11825,17875,27500,33000,99000
287,7700,11825,17875,27500,33000,99000
288,7700,11825,17875,27500,33000,99000
289,7770,11933,18038,27750,33300,99900
290,7770,11933,18038,27750,33300,99900
291,7770,11933,18038,27750,33300,99900
292,7770,11933,18038,27750,33300,99900
293,7770,11933,18038,27750,33300,99900
294,7770,11933,18038,27750,33300,99900
295,7770,11933,18038,27750,33300,99900
296,7770,11933,18038,27750,33300,99900
297,7910,12148,18363,28250,33900,101700
298,7910,12148,18363,28250,33900,101700
299,7910,12148,18363,28250,33900,101700
300,7910,12148,18363,28250,33900,101700
301,7910,12148,18363,28250,33900,101700
302,7910,12148,18363,28250,33900,101700
303,7910,12148,18363,28250,33900,101700
304,7910,12148,18363,28250,33900,101700
305,7980,12255,18525,28500,34200,102600
306,7980,12255,18525,28500,34200,102600
307,7980,12255,18525,28500,34200,102600
308,7980,12255,18525,28500,34200,102600
309,7980,12255,18525,28500,34200,102600
310,7980,12255,18525,28500,34200,102600
311,7980,12255,18525,28500,34200,102600
312,7980,12255,18525,28500,34200,102600
313,7980,12255,18525,28500,34200,102600
314,7980,12255,18525,28500,34200,102600
315,7980,12255,18525,28500,34200,102600
316,7980,12255,18525,28500,34200,102600
317,7980,12255,18525,28500,34200,102600
318,7980,12255,18525,28500,34200,102600
319,7980,12255,18525,28500,34200,102600
320,7980,12255,18525,28500,34200,102600
321,7980,12255,18525,28500,34200,102600
322,7980,12255,18525,28500,34200,102600
323,7980,12255,18525,28500,34200,102600
324,7980,12255,18525,28500,34200,102600
325,7980,12255,18525,28500,34200,102600
326,7980,12255,18525,28500,34200,102600
327,7980,12255,18525,28500,34200,102600
328,7980,12255,18525,28500,34200,102600
329,7980,12255,18525,28500,34200,102600
330,7980,12255,18525,28500,34200,102600
331,7980,12255,18525,28500,34200,102600
332,8050,12363,18688,28750,34500,103500
333,8050,12363,18688,28750,34500,103500
334,8050,12363,18688,28750,34500,103500
335,8050,12363,18688,28750,34500,103500
336,8050,12363,18688,28750,34500,103500
337,8050,12363,18688,28750,34500,103500
338,8050,12363,18688,28750,34500,103500
339,8050,12363,18688,28750,34500,103500
340,8050,12363,18688,28750,34500,103500
341,8050,12363,18688,28750,34500,103500
342,8120,12470,18850,29000,34800,104400
343,8120,12470,18850,29000,34800,104400
344,8120,12470,18850,29000,34800,104400
345,8120,12470,18850,29000,34800,104400
346,8120,12470,18850,29000,34800,104400
347,8120,12470,18850,29000,34800,104400
348,8120,12470,18850,29000,34800,104400
349,8120,12470,18850,29000,34800,104400
350,8120,12470,18850,29000,34800,104400
351,8120,12470,18850,29000,34800,104400
352,8120,12470,18850,29000,34800,104400
353,8190,12578,19013,29250,35100,105300
354,8190,12578,19013,29250,35100,105300
355,8190,12578,19013,29250,35100,105300
356,8190,12578,19013,29250,35100,105300
357,8190,12578,19013,29250,35100,105300
358,8190,12578,19013,29250,35100,105300
359,8190,12578,19013,29250,35100,105300
360,8190,12578,19013,29250,35100,105300
361,8190,12578,19013,29250,35100,105300
362,8190,12578,19013,29250,35100,105300
363,8190,12578,19013,29250,35100,105300
364,8260,12685,19175,29500,35400,106200
365,8260,12685,19175,29500,35400,106200
366,8260,12685,19175,29500,35400,106200
367,8260,12685,19175,29500,35400,106200
368,8260,12685,19175,29500,35400,106200
369,8260,12685,19175,29500,35400,106200
370,8260,12685,19175,29500,35400,106200
371,8260,12685,19175,29500,35400,106200
372,8260,12685,19175,29500,35400,106200
373,8260,12685,19175,29500,35400,106200
374,8260,12685,19175,29500,35400,106200
375,8260,12685,19175,29500,35400,106200
376,8400,12900,19500,30000,36000,108000
377,8400,12900,19500,30000,36000,108000
378,8400,12900,19500,30000,36000,108000
379,8400,12900,19500,30000,36000,108000
380,8400,12900,19500,30000,36000,108000
381,8400,12900,19500,30000,36000,108000
382,8400,12900,19500,30000,36000,108000
383,8400,12900,19500,30000,36000,108000
384,8400,12900,19500,30000,36000,108000
385,8400,12900,19500,30000,36000,108000
386,8400,12900,19500,30000,36000,108000
387,8400,12900,19500,30000,36000,108000
388,8470,13008,19663,30250,36300,108900
389,8470,13008,19663,30250,36300,108900
390,8470,13008,19663,30250,36300,108900
391,8470,13008,19663,30250,36300,108900
392,8470,13008,19663,30250,36300,108900
393,8470,13008,19663,30250,36300,108900
394,8470,13008,19663,30250,36300,108900
395,8470,13008,19663,30250,36300,108900
396,8470,13008,19663,30250,36300,108900
397,8470,13008,19663,30250,36300,108900
398,8470,13008,19663,30250,36300,108900
399,8470,13008,19663,30250,36300,108900
400,8540,13115,19825,30500,36300,109800
401,8540,13115,19825,30500,36300,109800
402,8540,13115,19825,30500,36300,109800
403,8540,13115,19825,30500,36300,109800
404,8540,13115,19825,30500,36300,109800
405,8540,13115,19825,30500,36300,109800
406,8540,13115,19825,30500,36300,109800
407,8540,13115,19825,30500,36300,109800
408,8540,13115,19825,30500,36300,109800
409,8540,13115,19825,30500,36300,109800
410,8540,13115,19825,30500,36300,109800
411,8540,13115,19825,30500,36300,109800
412,8610,13223,19988,30750,36300,109800
413,8610,13223,19988,30750,36300,109800
414,8610,13223,19988,30750,36300,109800
415,8610,13223,19988,30750,36300,109800
416,8610,13223,19988,30750,36300,109800
417,8610,13223,19988,30750,36300,109800
418,8610,13223,19988,30750,36300,109800
419,8610,13223,19988,30750,36300,109800
420,8610,13223,19988,30750,36300,109800
421,8610,13223,19988,30750,36300,109800
422,8610,13223,19988,30750,36300,109800
