Leve,RewardExp,RewardAdena
374,113200,2500
375,113600,2500
376,114000,2500
377,114400,2500
378,114800,2500
379,115300,2500
380,115700,2500
381,116200,2500
382,116700,2500
383,117300,2500
384,117800,2500
385,118400,2500
386,119000,2500
387,119600,2500
388,120300,2500
389,120900,2500
390,121600,2500
391,122300,2500
392,123100,2500
393,123900,2500
394,124700,2500
395,125500,2500
396,126400,2500
397,127300,2500
398,128200,2500
399,129200,2500
400,130200,2500
401,131200,2500
402,132300,2500
403,133400,2500
404,134600,2500
405,135700,2500
406,136900,2500
407,138200,2500
408,139500,2500
409,140800,2500
410,142200,2500
411,143600,2500
412,145100,2500
413,146600,2500
414,148100,2500
415,149700,2500
416,151400,2500
417,153100,2500
418,154800,2500
419,156600,2500
420,158400,2500
421,160300,2500
422,162300,2500
