Id,RequiredId,Type,GroupType,Param1,NameKey,DescKey,TaskType,TaskCondition,CompleteNotifyType,AchievementGroupId,TaskCount,RewardPoint,RewardGem,RewardAdena,RewardItemInfoId,RewardCount,RewardCountDesc,RewardIcon,AchievementIcon
10508,10507,Hero,Battle,8,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,52980,690,,,440011,20,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10509,10508,Hero,Battle,9,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,110900,970,,8000,,,,,Icon_HeroicAchievement_01
10510,10509,Hero,Battle,10,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,180790,1320,,10500,,,,,Icon_HeroicAchievement_01
10511,10510,Hero,Battle,11,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,250130,1760,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10512,10511,Hero,Battle,12,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,309960,2170,,17000,,,,,Icon_HeroicAchievement_01
10513,10512,Hero,Battle,13,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,369800,2630,,20500,,,,,Icon_HeroicAchievement_01
10514,10513,Hero,Battle,14,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,429630,3150,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10515,10514,Hero,Battle,15,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,489460,3710,,28500,,,,,Icon_HeroicAchievement_01
10516,10515,Hero,Battle,16,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,549290,4330,,33500,,,,,Icon_HeroicAchievement_01
10517,10516,Hero,Battle,17,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,609120,5010,,38500,,,,,Icon_HeroicAchievement_01
10518,10517,Hero,Battle,18,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,668960,5740,,,440011,30,,Icon_MpPotion_01,Icon_HeroicAchievement_01
10519,10518,Hero,Battle,19,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,728790,6520,,49500,,,,,Icon_HeroicAchievement_01
10520,10519,Hero,Battle,20,821000010501,822000010501,Count_KillMonster,Elite,Immediately,105,788400,7360,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10601,,Hero,Battle,1,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,1,30,,,480002,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10602,10601,Hero,Battle,2,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,10,30,,,480001,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10603,10602,Hero,Battle,3,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,20,50,,,480003,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10604,10603,Hero,Battle,4,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,90,100,,1500,,,,,Icon_HeroicAchievement_01
10605,10604,Hero,Battle,5,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,170,180,,,480005,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10606,10605,Hero,Battle,6,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,520,300,,,480004,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10607,10606,Hero,Battle,7,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,1560,470,,,480006,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10608,10607,Hero,Battle,8,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,11770,690,,6000,,,,,Icon_HeroicAchievement_01
10609,10608,Hero,Battle,9,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,24640,970,,8000,,,,,Icon_HeroicAchievement_01
10610,10609,Hero,Battle,10,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,40170,1320,,,480008,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10611,10610,Hero,Battle,11,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,55580,1760,,,480007,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10612,10611,Hero,Battle,12,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,68880,2170,,,480009,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10613,10612,Hero,Battle,13,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,82170,2630,,20500,,,,,Icon_HeroicAchievement_01
10614,10613,Hero,Battle,14,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,95470,3150,,,480011,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10615,10614,Hero,Battle,15,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,108760,3710,,,480010,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10616,10615,Hero,Battle,16,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,122060,4330,,,480012,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10617,10616,Hero,Battle,17,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,135360,5010,,38500,,,,,Icon_HeroicAchievement_01
10618,10617,Hero,Battle,18,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,148650,5740,,,480014,1,,Icon_ArmorLevelMaterial_01,Icon_HeroicAchievement_01
10619,10618,Hero,Battle,19,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,161950,6520,,,480013,1,,Icon_WeaponLevelMaterial_01,Icon_HeroicAchievement_01
10620,10619,Hero,Battle,20,821000010601,822000010601,Count_KillMonster,Hero,Immediately,106,175200,7360,,,480015,1,,Icon_AccLevelMaterial_01,Icon_HeroicAchievement_01
10701,,Hero,Battle,1,821000010701,822000010701,If_AttackDamage,,Immediately,107,410,30,,,410002,1,,Icon_EnchantScroll_02,Icon_HeroicAchievement_01
10702,10701,Hero,Battle,2,821000010701,822000010701,If_AttackDamage,,Immediately,107,1440,30,,1000,,,,,Icon_HeroicAchievement_01
10703,10702,Hero,Battle,3,821000010701,822000010701,If_AttackDamage,,Immediately,107,2710,50,,,410003,1,,Icon_EnchantScroll_03,Icon_HeroicAchievement_01
10704,10703,Hero,Battle,4,821000010701,822000010701,If_AttackDamage,,Immediately,107,3430,100,,1500,,,,,Icon_HeroicAchievement_01
10705,10704,Hero,Battle,5,821000010701,822000010701,If_AttackDamage,,Immediately,107,5240,180,,,410001,1,,Icon_EnchantScroll_01,Icon_HeroicAchievement_01
10706,10705,Hero,Battle,6,821000010701,822000010701,If_AttackDamage,,Immediately,107,8160,300,,3000,,,,,Icon_HeroicAchievement_01
10707,10706,Hero,Battle,7,821000010701,822000010701,If_AttackDamage,,Immediately,107,13630,470,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10708,10707,Hero,Battle,8,821000010701,822000010701,If_AttackDamage,,Immediately,107,19620,690,,6000,,,,,Icon_HeroicAchievement_01
10709,10708,Hero,Battle,9,821000010701,822000010701,If_AttackDamage,,Immediately,107,27270,970,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10710,10709,Hero,Battle,10,821000010701,822000010701,If_AttackDamage,,Immediately,107,49790,1320,,10500,,,,,Icon_HeroicAchievement_01
10711,10710,Hero,Battle,11,821000010701,822000010701,If_AttackDamage,,Immediately,107,63780,1760,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10712,10711,Hero,Battle,12,821000010701,822000010701,If_AttackDamage,,Immediately,107,79740,2170,,17000,,,,,Icon_HeroicAchievement_01
10713,10712,Hero,Battle,13,821000010701,822000010701,If_AttackDamage,,Immediately,107,99300,2630,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10714,10713,Hero,Battle,14,821000010701,822000010701,If_AttackDamage,,Immediately,107,122400,3150,,24500,,,,,Icon_HeroicAchievement_01
10715,10714,Hero,Battle,15,821000010701,822000010701,If_AttackDamage,,Immediately,107,149240,3710,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10716,10715,Hero,Battle,16,821000010701,822000010701,If_AttackDamage,,Immediately,107,178570,4330,,33500,,,,,Icon_HeroicAchievement_01
10717,10716,Hero,Battle,17,821000010701,822000010701,If_AttackDamage,,Immediately,107,212540,5010,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10718,10717,Hero,Battle,18,821000010701,822000010701,If_AttackDamage,,Immediately,107,251940,5740,,44000,,,,,Icon_HeroicAchievement_01
10719,10718,Hero,Battle,19,821000010701,822000010701,If_AttackDamage,,Immediately,107,278410,6520,,,900010,1,,Icon_Gacha_EnchantScroll,Icon_HeroicAchievement_01
10720,10719,Hero,Battle,20,821000010701,822000010701,If_AttackDamage,,Immediately,107,296180,7360,,56000,,,,,Icon_HeroicAchievement_01
10801,,Hero,Battle,5,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,5,30,,1000,,,,,Icon_HeroicAchievement_01
10802,10801,Hero,Battle,10,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,10,30,,1000,,,,,Icon_HeroicAchievement_01
10803,10802,Hero,Battle,15,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,15,30,,1000,,,,,Icon_HeroicAchievement_01
10804,10803,Hero,Battle,20,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,20,30,,1000,,,,,Icon_HeroicAchievement_01
10805,10804,Hero,Battle,25,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,25,30,,1000,,,,,Icon_HeroicAchievement_01
10806,10805,Hero,Battle,30,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,30,40,,1000,,,,,Icon_HeroicAchievement_01
10807,10806,Hero,Battle,35,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,35,50,,1000,,,,,Icon_HeroicAchievement_01
10808,10807,Hero,Battle,40,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,40,70,,1500,,,,,Icon_HeroicAchievement_01
10809,10808,Hero,Battle,45,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,45,100,,1500,,,,,Icon_HeroicAchievement_01
10810,10809,Hero,Battle,50,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,50,140,,2000,,,,,Icon_HeroicAchievement_01
10811,10810,Hero,Battle,55,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,55,190,,2500,,,,,Icon_HeroicAchievement_01
10812,10811,Hero,Battle,60,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,60,270,,3000,,,,,Icon_HeroicAchievement_01
10813,10812,Hero,Battle,65,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,65,370,,3500,,,,,Icon_HeroicAchievement_01
10814,10813,Hero,Battle,70,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,70,500,,4500,,,,,Icon_HeroicAchievement_01
10815,10814,Hero,Battle,75,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,75,670,,6000,,,,,Icon_HeroicAchievement_01
10816,10815,Hero,Battle,80,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,80,890,,7500,,,,,Icon_HeroicAchievement_01
10817,10816,Hero,Battle,85,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,85,1150,,9500,,,,,Icon_HeroicAchievement_01
10818,10817,Hero,Battle,90,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,90,1470,,12000,,,,,Icon_HeroicAchievement_01
10819,10818,Hero,Battle,95,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,95,1860,,15000,,,,,Icon_HeroicAchievement_01
10820,10819,Hero,Battle,100,821000010801,822000010801,If_TowerFloorClear,,Immediately,108,100,2330,,18500,,,,,Icon_HeroicAchievement_01
10901,,Hero,Battle,1,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,1,30,,1000,,,,,Icon_HeroicAchievement_01
10902,10901,Hero,Battle,2,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,7,40,,1000,,,,,Icon_HeroicAchievement_01
10903,10902,Hero,Battle,3,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,10,50,,1000,,,,,Icon_HeroicAchievement_01
10904,10903,Hero,Battle,4,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,20,70,,,490011,1,,Icon_Box_Adena_02,Icon_HeroicAchievement_01
10905,10904,Hero,Battle,5,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,30,90,,1500,,,,,Icon_HeroicAchievement_01
10906,10905,Hero,Battle,6,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,50,130,,2000,,,,,Icon_HeroicAchievement_01
10907,10906,Hero,Battle,7,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,70,170,,,910121,1,,Icon_GachaItem_EquipmentB,Icon_HeroicAchievement_01
10908,10907,Hero,Battle,8,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,100,230,,2500,,,,,Icon_HeroicAchievement_01
10909,10908,Hero,Battle,9,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,150,330,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10910,10909,Hero,Battle,10,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,220,470,,4500,,,,,Icon_HeroicAchievement_01
10911,10910,Hero,Battle,11,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,340,710,,,910131,1,,Icon_GachaItem_EquipmentA,Icon_HeroicAchievement_01
10912,10911,Hero,Battle,12,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,400,830,,7000,,,,,Icon_HeroicAchievement_01
10913,10912,Hero,Battle,13,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,520,1070,,9000,,,,,Icon_HeroicAchievement_01
10914,10913,Hero,Battle,14,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,700,1420,,,910131,1,,Icon_GachaItem_EquipmentS,Icon_HeroicAchievement_01
10915,10914,Hero,Battle,15,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,900,1830,,14500,,,,,Icon_HeroicAchievement_01
10916,10915,Hero,Battle,16,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,1100,2250,,17500,,,,,Icon_HeroicAchievement_01
10917,10916,Hero,Battle,17,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,1600,3310,,,490013,1,,Icon_Box_Dia_04,Icon_HeroicAchievement_01
10918,10917,Hero,Battle,18,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,2200,4440,,34000,,,,,Icon_HeroicAchievement_01
10919,10918,Hero,Battle,19,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,3000,6040,,,910131,1,,Icon_GachaItem_EquipmentS,Icon_HeroicAchievement_01
10920,10919,Hero,Battle,20,821000010901,822000010901,Count_TowerSweepClear,,Immediately,109,3700,7330,,56000,,,,,Icon_HeroicAchievement_01
11001,,Hero,Battle,1,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,2,30,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11002,11001,Hero,Battle,2,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,10,50,,1000,,,,,Icon_HeroicAchievement_01
11003,11002,Hero,Battle,3,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,20,70,,1500,,,,,Icon_HeroicAchievement_01
11004,11003,Hero,Battle,4,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,30,110,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11005,11004,Hero,Battle,5,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,60,150,,2000,,,,,Icon_HeroicAchievement_01
11006,11005,Hero,Battle,6,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,120,190,,2000,,,,,Icon_HeroicAchievement_01
11007,11006,Hero,Battle,7,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,270,230,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11008,11007,Hero,Battle,8,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,590,270,,3000,,,,,Icon_HeroicAchievement_01
11009,11008,Hero,Battle,9,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,990,310,,3000,,,,,Icon_HeroicAchievement_01
11010,11009,Hero,Battle,10,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,1400,350,,,420001,1,,Icon_Asset_Upgrade_01,Icon_HeroicAchievement_01
11011,11010,Hero,Battle,11,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,1810,390,,3500,,,,,Icon_HeroicAchievement_01
11012,11011,Hero,Battle,12,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,2220,430,,4000,,,,,Icon_HeroicAchievement_01
11013,11012,Hero,Battle,13,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,2630,470,,4500,,,,,Icon_HeroicAchievement_01
11014,11013,Hero,Battle,14,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,3030,510,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11015,11014,Hero,Battle,15,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,3440,550,,5000,,,,,Icon_HeroicAchievement_01
11016,11015,Hero,Battle,16,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,3850,590,,5000,,,,,Icon_HeroicAchievement_01
11017,11016,Hero,Battle,17,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,4260,630,,5500,,,,,Icon_HeroicAchievement_01
11018,11017,Hero,Battle,18,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,4670,710,,,420003,1,,Icon_Asset_Upgrade_03,Icon_HeroicAchievement_01
11019,11018,Hero,Battle,19,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,5070,770,,6500,,,,,Icon_HeroicAchievement_01
11020,11019,Hero,Battle,20,821000011001,822000011001,Count_DailyDungeonClear,Easy,Immediately,110,5480,830,,7000,,,,,Icon_HeroicAchievement_01
11101,,Hero,Battle,1,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,4,830,,7000,,,,,Icon_HeroicAchievement_01
11102,11101,Hero,Battle,2,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,10,870,,7500,,,,,Icon_HeroicAchievement_01
11103,11102,Hero,Battle,3,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,20,910,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11104,11103,Hero,Battle,4,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,30,990,,8000,,,,,Icon_HeroicAchievement_01
11105,11104,Hero,Battle,5,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,60,1070,,9000,,,,,Icon_HeroicAchievement_01
11106,11105,Hero,Battle,6,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,120,1150,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11107,11106,Hero,Battle,7,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,270,1230,,10000,,,,,Icon_HeroicAchievement_01
11108,11107,Hero,Battle,8,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,590,1310,,,420002,1,,Icon_Asset_Upgrade_02,Icon_HeroicAchievement_01
11109,11108,Hero,Battle,9,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,990,1390,,11000,,,,,Icon_HeroicAchievement_01
11110,11109,Hero,Battle,10,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,1400,1470,,12000,,,,,Icon_HeroicAchievement_01
11111,11110,Hero,Battle,11,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,1810,1550,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11112,11111,Hero,Battle,12,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,2220,1630,,13000,,,,,Icon_HeroicAchievement_01
11113,11112,Hero,Battle,13,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,2630,1710,,13500,,,,,Icon_HeroicAchievement_01
11114,11113,Hero,Battle,14,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,3030,1790,,14000,,,,,Icon_HeroicAchievement_01
11115,11114,Hero,Battle,15,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,3440,1870,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11116,11115,Hero,Battle,16,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,3850,1950,,15500,,,,,Icon_HeroicAchievement_01
11117,11116,Hero,Battle,17,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,4260,2030,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11118,11117,Hero,Battle,18,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,4670,2190,,17000,,,,,Icon_HeroicAchievement_01
11119,11118,Hero,Battle,19,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,5070,2310,,18000,,,,,Icon_HeroicAchievement_01
11120,11119,Hero,Battle,20,821000011101,822000011101,Count_DailyDungeonClear,Normal,Immediately,111,5480,2430,,19000,,,,,Icon_HeroicAchievement_01
11201,,Hero,Battle,1,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,4,2430,,19000,,,,,Icon_HeroicAchievement_01
11202,11201,Hero,Battle,2,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,10,2470,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11203,11202,Hero,Battle,3,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,20,2510,,19500,,,,,Icon_HeroicAchievement_01
11204,11203,Hero,Battle,4,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,30,2590,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11205,11204,Hero,Battle,5,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,60,2670,,21000,,,,,Icon_HeroicAchievement_01
11206,11205,Hero,Battle,6,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,120,2750,,21500,,,,,Icon_HeroicAchievement_01
11207,11206,Hero,Battle,7,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,270,2830,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
11208,11207,Hero,Battle,8,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,590,2910,,22500,,,,,Icon_HeroicAchievement_01
11209,11208,Hero,Battle,9,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,990,2990,,23000,,,,,Icon_HeroicAchievement_01
11210,11209,Hero,Battle,10,821000011201,822000011201,Count_DailyDungeonClear,Hard,Immediately,112,1400,3070,,,900009,1,,Icon_GachaItem_Transcendence,Icon_HeroicAchievement_01
