Grade,OccupationPeriod,Day,RewardType,RewardItemInfo,RewardCount,UnBindType
SR,8,6,Item,10914022,1,1
SR,8,7,Item,490066,112,1
SR,9,1,Item,911191,8,0
SR,9,2,Item,10914016,1,1
SR,9,3,Item,490011,28,0
SR,9,4,Item,10914019,1,1
SR,9,5,Item,490011,28,0
SR,9,6,Item,10914022,1,1
SR,9,7,Item,490066,112,1
SR,10,1,Item,911191,8,0
SR,10,2,Item,10914016,1,1
SR,10,3,Item,490011,30,0
SR,10,4,Item,10914019,1,1
SR,10,5,Item,490011,30,0
SR,10,6,Item,10914022,1,1
SR,10,7,Item,490066,120,1
