EventCellUID,EventGroupUID,BoardGroupID,EventCellNum,CellType,RewardNum
214,20001,7,27,1,0
215,20001,7,28,0,101
216,20001,7,29,0,101
217,20001,7,30,1,0
218,20001,8,0,0,0
219,20001,8,1,0,105
220,20001,8,2,0,105
221,20001,8,3,0,105
222,20001,8,4,0,105
223,20001,8,5,0,105
224,20001,8,6,0,105
225,20001,8,7,0,105
226,20001,8,8,1,0
227,20001,8,9,0,104
228,20001,8,10,1,0
229,20001,8,11,0,104
230,20001,8,12,0,104
231,20001,8,13,1,0
232,20001,8,14,0,104
233,20001,8,15,0,104
234,20001,8,16,0,103
235,20001,8,17,1,0
236,20001,8,18,1,0
237,20001,8,19,0,103
238,20001,8,20,1,0
239,20001,8,21,0,103
240,20001,8,22,0,102
241,20001,8,23,0,102
242,20001,8,24,1,0
243,20001,8,25,0,102
244,20001,8,26,0,101
245,20001,8,27,1,0
246,20001,8,28,0,101
247,20001,8,29,0,101
248,20001,8,30,1,0
249,20001,9,0,0,0
250,20001,9,1,0,105
251,20001,9,2,0,105
252,20001,9,3,0,105
253,20001,9,4,0,105
254,20001,9,5,0,105
255,20001,9,6,0,105
256,20001,9,7,0,104
257,20001,9,8,1,0
258,20001,9,9,0,104
259,20001,9,10,0,104
260,20001,9,11,1,0
261,20001,9,12,0,104
262,20001,9,13,0,104
263,20001,9,14,0,103
264,20001,9,15,1,0
265,20001,9,16,1,0
266,20001,9,17,0,103
267,20001,9,18,0,103
268,20001,9,19,1,0
269,20001,9,20,0,102
270,20001,9,21,0,102
271,20001,9,22,1,0
272,20001,9,23,0,102
273,20001,9,24,0,102
274,20001,9,25,0,101
275,20001,9,26,1,0
276,20001,9,27,0,101
277,20001,9,28,1,0
278,20001,9,29,0,101
279,20001,9,30,1,0
