Id,Keyword,ConditionType,ConditionValue,ConditionSubValue,ShowInProgressBar,SortNum,ContentsDescKey,NameKey,ContentIcon,BadgeType,ClientString,EsportsBlock
30,AUTO_COMBAT,CompletedQuest,1025,0,1,4,721000000030,722000000030,UI_Btn_AutoCombat3,Max,,0
40,CHARACTER_TITLE,CompletedQuest,1036,,0,,731000005047,731000004677,UI_Btn_CharacterTitle,CharacterTitle,,1
101,DAILY_DUNGEON_NORMAL,CompletedQuest,1025,,0,,0,722000000101,UI_Btn_Dungeon,Max,,1
102,ELITE_DUNGEON_2,CharacterLevel,20,,0,,0,722000000102,UI_Btn_Dungeon,Max,,1
103,CLASS_TRANSFER,CharacterLevel,31,,0,,0,722000000103,UI_Btn_Class,Max,,1
104,DAILY_DUNGEON_HARD,CompletedQuest,1025,,0,,0,722000000104,UI_Btn_Dungeon,Max,,1
105,ELITE_DUNGEON_3,CharacterLevel,30,,0,,0,722000000105,UI_Btn_Dungeon,Max,,1
106,ELITE_DUNGEON_4,CharacterLevel,45,,0,,0,722000000106,UI_Btn_Dungeon,Max,,1
107,DAILY_DUNGEON_EXPERT,CompletedQuest,1025,,0,,0,722000000107,UI_Btn_Dungeon,Max,,1
108,ELITE_DUNGEON_5,CharacterLevel,65,,0,,0,722000000108,UI_Btn_Dungeon,Max,,1
109,ELITE_DUNGEON_6,CharacterLevel,90,,0,,0,722000000109,UI_Btn_Dungeon,Max,,1
110,ELITE_DUNGEON_7,CharacterLevel,128,,0,,0,722000000110,UI_Btn_Dungeon,Max,,1
111,ELITE_DUNGEON_8,CharacterLevel,140,,0,,0,722000000111,UI_Btn_Dungeon,Max,,1
112,EXP_DUNGEON,CompletedQuest,4312,0,1,22,721000000112,722000000112,UI_Btn_Dungeon,Max,,1
113,ADENA_DUNGEON,CompletedQuest,4298,0,1,21,721000000113,2005,UI_Btn_Dungeon,Max,,1
114,EQUIP_DUNGEON,CompletedQuest,3099,0,1,20,721000000114,2004,UI_Btn_Dungeon,Max,,1
115,SUMMON_STONE_DUNGEON,CompletedQuest,6121,,0,,0,731000003912,UI_Btn_Dungeon,Max,,1
116,GUILD_DUNGEON_1,GuildLevel,2,,0,,0,722000000116,UI_Btn_Dungeon,Max,,1
117,GUILD_DUNGEON_2,DungeonClear,90101,,0,,0,722000000117,UI_Btn_Dungeon,Max,,1
118,FORTRESS_SIEGE,CharacterLevel,10,,0,,0,722000000118,UI_Btn_BattleField,Max,,1
119,CASTLE_SIEGE,CharacterLevel,10,,0,,0,722000000119,UI_Btn_BattleField,Max,,1
120,SKILL_LEVELUP,CompletedQuest,1101,0,1,7,721000000120,722000000120,UI_Btn_Skill,Skill,,1
121,REFINEMENT_DUNGEON,READY,0,,0,,721000000121,2008,UI_Btn_Dungeon,Max,,1
122,NECKLACE_UNLOCK,CharacterGrade,2,,0,,0,722000000122,UI_Btn_Class,Max,NECKLACE_UNLOCK_CLICK,0
123,GUILD_DUNGEON_3,DungeonClear,90301,,0,,0,10302001,UI_Btn_Dungeon,Max,,1
126,AGIT,GuildLevel,5,,0,,0,722000000126,UI_Btn_Guild,Max,,1
127,ELITE_DUNGEON_9,CharacterLevel,162,,0,,0,722000000127,UI_Btn_Dungeon,Max,,1
128,MELEE,CharacterLevel,31,,0,,0,2012,UI_Btn_BattleField,Max,,1
129,RIDING_PET,CompletedUniqQuest,33,50,0,,0,731000003994,UI_Btn_Pet,Max,,0
132,ELITE_DUNGEON_10,CharacterLevel,180,,0,,0,161000000210,UI_Btn_Dungeon,Max,,1
133,ELITE_DUNGEON_11,CharacterLevel,182,,0,,0,161000000209,UI_Btn_Dungeon,Max,,1
134,ELITE_DUNGEON_12,CharacterLevel,230,,0,,0,161000000211,UI_Btn_Dungeon,Max,,1
135,ELITE_DUNGEON_13,CharacterLevel,260,,0,,0,161000000212,UI_Btn_Dungeon,Max,,1
136,ACCOUNT_STORAGE,CompletedUniqQuest,50,30,0,,0,731000005118,UI_Btn_TreasureBox,Max,,1
137,CAPE,CharacterLevel,75,,0,,0,731000000729,UI_Btn_Cape,Max,,0
138,FREE_FORTRESS_SIEGE,CharacterLevel,11,,0,,0,722000000138,UI_Btn_BattleField,Max,,1
139,CLASS_TRANSFER_2,CharacterGrade,2,250,0,,0,731000007086,UI_Btn_Class,Max,,1
140,TALISMAN,CharacterLevel,180,,0,,0,731000006225,UI_Btn_Talisman,Max,,1
141,ELITE_DUNGEON_14,CharacterLevel,268,,0,,0,731000006174,UI_Btn_Dungeon,Max,,1
142,ELITE_DUNGEON_15,CharacterLevel,290,,0,,0,731000006175,UI_Btn_Dungeon,Max,,1
143,ELITE_DUNGEON_16,CharacterLevel,320,,0,,0,731000006176,UI_Btn_Dungeon,Max,,1
302,EARRING_SLOT_2,CharacterLevel,60,,0,,0,722000000122,UI_icon_menutab_accessory,Max,EARRING_SLOT_2_UNLOCK_CLICK,0
304,RING_SLOT_2,CharacterLevel,40,,0,,0,722000000122,UI_icon_menutab_accessory,Max,RING_SLOT_2_UNLOCK_CLICK,0
401,MASTERY_SHOP,CharacterLevel,180,,0,,0,731000005705,UI_Btn_Shop,Max,,0
405,WorldBossRecipe_01,READY,,1101,0,,0,561000490072,Icon_MonsterCore_Guillotine,Max,,1
406,WorldBossRecipe_01,READY,,1102,0,,0,561001400003,Icon_MonsterCore_Zaken,Max,,1
10000,CHARACTER,CharacterLevel,1,,0,,0,0,UI_Btn_Character,Max,,1
10003,CLASS,CharacterLevel,1,,0,,0,0,UI_Btn_Class,Max,,1
10006,ITEMCRAFTING,CharacterLevel,1,,0,,0,0,UI_Btn_Atelier,Max,,0
10007,QUEST,CharacterLevel,1,,0,,0,0,UI_Btn_QuestProgress,Max,,1
10008,ACTIVITY,CharacterLevel,1,,0,,0,0,UI_Btn_Mission,Max,,1
10011,CHARACTERTITLE,CharacterLevel,1,,0,,0,0,UI_Btn_CharacterTitle,Max,,1
10012,EVENT,CharacterLevel,1,,0,,0,0,UI_Btn_Event,Max,,1
10013,RESTREWARD,CharacterLevel,1,,0,,0,0,UI_Btn_RestReward,Max,,1
10014,CONNECTREWARD,CharacterLevel,1,,0,,0,0,UI_Btn_ButtonConnectReward,Max,,1
10015,FESTIVAL,CharacterLevel,1,,0,,0,0,UI_Btn_CastleSiegeFestival,Max,,1
10017,NORMALSHOP,CharacterLevel,1,,0,,0,0,UI_Btn_Shop,Max,,1
10018,DIASHOP,CharacterLevel,1,,0,,0,0,UI_Btn_DiaShop,Max,,1
10019,PACKSHOP,CharacterLevel,1,,0,,0,0,UI_Btn_ShopPack,Max,,1
10021,BATTLEFIELD,CharacterLevel,1,,0,,0,0,UI_Btn_BattleField,Max,,1
10022,GUILDMAIN,CharacterLevel,1,,0,,0,0,UI_Btn_Guild,Max,,1
10023,GUILDDUNGEON,CharacterLevel,1,,0,,0,0,UI_Btn_Guild,Max,,1
10029,INVENTORY_SELL,CharacterLevel,1,,0,,0,0,UI_btn_Inventory,Max,,1
10030,INVENTORY_USE,CharacterLevel,1,,0,,0,0,UI_btn_Inventory,Max,,1
10031,INVENTORY_MOVE,CharacterLevel,1,,0,,0,0,UI_btn_Inventory,Max,,1
10032,SKILL_SKILLBOOK,CharacterLevel,1,,0,,0,0,UI_Btn_Skill,Max,,1
10034,RIDINGPET_EQUIPLEVELUP,CharacterLevel,1,,0,,0,0,UI_Btn_Vehicle,Max,,1
10035,RIDINGPET_SUMMON,CharacterLevel,1,,0,,0,0,UI_Btn_Vehicle,Max,,1
10036,RIDINGPET_LEVELUP,CharacterLevel,1,,0,,0,0,UI_Btn_Vehicle,Max,,1
10037,OPTION_INFO,CharacterLevel,1,,0,,0,0,UI_Btn_Setting,Max,,1
10038,OPTION_ACCOUNT,CharacterLevel,1,,0,,0,0,UI_Btn_Setting,Max,,1
10039,NETMARBLE_FORUM,CharacterLevel,1,,0,,0,0,UI_BtnForum,Max,,1
10041,JOURNEY,CharacterLevel,1,,0,,0,0,UI_Btn_Journey,Max,,1
10042,COSTUME,CharacterLevel,1,,0,,0,0,UI_Btn_Costume,Max,,0
20001,PARTY_DUNGEON_1,CharacterLevel,60,,0,,0,681000000014,UI_Btn_Party_Dungeon,Max,,1
20002,PARTY_DUNGEON_2,CharacterLevel,90,,0,,0,681000000015,UI_Btn_Party_Dungeon,Max,,1
20003,PARTY_DUNGEON_3,CharacterLevel,75,,0,,0,681000000016,UI_Btn_Party_Dungeon,Max,,1
21001,PARTY_DUNGEON_HARD_1,PartyDungeonClear,100004,,0,,0,681000000014,UI_Btn_Party_Dungeon,Max,,1
21002,PARTY_DUNGEON_HARD_2,PartyDungeonClear,100104,,0,,0,681000000015,UI_Btn_Party_Dungeon,Max,,1
