RaceType,ClassType,RequiredPcLv,PcLvIntervalToNextLv,SkillId,SkillTier
DarkElf,Dark_M1,1,5,23132,1
DarkElf,Dark_F21,31,5,13211,2
DarkElf,Dark_F21,31,5,13212,2
DarkElf,Dark_F21,31,5,13213,2
DarkElf,Dark_F21,31,5,20211,2
DarkElf,Dark_F21,31,5,20212,2
DarkElf,Dark_F21,31,5,23211,2
DarkElf,Dark_F22,31,5,13221,2
DarkElf,Dark_F22,31,5,13222,2
DarkElf,Dark_F22,31,5,13223,2
DarkElf,Dark_F22,31,5,13224,2
DarkElf,Dark_F22,31,5,20221,2
DarkElf,Dark_F22,31,5,23221,2
DarkElf,Dark_F22,31,5,23222,2
DarkElf,Dark_R21,31,5,13231,2
DarkElf,Dark_R21,31,5,13232,2
DarkElf,Dark_R21,31,5,13233,2
DarkElf,Dark_R21,31,5,20231,2
DarkElf,Dark_R21,31,5,23231,2
DarkElf,Dark_R21,31,5,23232,2
DarkElf,Dark_R22,31,5,13241,2
DarkElf,Dark_R22,31,5,13242,2
DarkElf,Dark_R22,31,5,13243,2
DarkElf,Dark_R22,31,5,13244,2
DarkElf,Dark_R22,31,5,20241,2
DarkElf,Dark_R22,31,5,23241,2
DarkElf,Dark_M21,31,5,13251,2
DarkElf,Dark_M21,31,5,13252,2
DarkElf,Dark_M21,31,5,13253,2
DarkElf,Dark_M21,31,5,20251,2
DarkElf,Dark_M21,31,5,23251,2
DarkElf,Dark_M21,31,5,23252,2
DarkElf,Dark_M22,31,5,13261,2
DarkElf,Dark_M22,31,5,13262,2
DarkElf,Dark_M22,31,5,13263,2
DarkElf,Dark_M22,31,5,20261,2
DarkElf,Dark_M22,31,5,23261,2
Dwarf,Dwarf_F1,1,5,14111,1
Dwarf,Dwarf_F1,1,5,14112,1
Dwarf,Dwarf_F1,1,5,14113,1
Dwarf,Dwarf_F1,1,5,24001,1
Dwarf,Dwarf_F1,1,5,24111,1
Dwarf,Dwarf_F1,1,5,24112,1
Dwarf,Dwarf_R1,1,5,14121,1
Dwarf,Dwarf_R1,1,5,14122,1
Dwarf,Dwarf_R1,1,5,14123,1
Dwarf,Dwarf_R1,1,5,14124,1
Dwarf,Dwarf_R1,1,5,14125,1
Dwarf,Dwarf_R1,1,5,24001,1
Dwarf,Dwarf_R1,1,5,24121,1
Dwarf,Dwarf_R1,1,5,24122,1
Dwarf,Dwarf_M1,1,5,14131,1
Dwarf,Dwarf_M1,1,5,14132,1
Dwarf,Dwarf_M1,1,5,14133,1
Dwarf,Dwarf_M1,1,5,24001,1
Dwarf,Dwarf_M1,1,5,24131,1
Dwarf,Dwarf_M1,1,5,24132,1
Dwarf,Dwarf_F21,31,5,14211,2
Dwarf,Dwarf_F21,31,5,14212,2
Dwarf,Dwarf_F21,31,5,20211,2
Dwarf,Dwarf_F21,31,5,20212,2
Dwarf,Dwarf_F21,31,5,24211,2
Dwarf,Dwarf_F21,31,5,24212,2
Dwarf,Dwarf_F22,31,5,14221,2
Dwarf,Dwarf_F22,31,5,14222,2
Dwarf,Dwarf_F22,31,5,14223,2
Dwarf,Dwarf_F22,31,5,20221,2
Dwarf,Dwarf_F22,31,5,24221,2
Dwarf,Dwarf_F22,31,5,24222,2
Dwarf,Dwarf_F22,31,5,24223,2
Dwarf,Dwarf_R21,31,5,14231,2
Dwarf,Dwarf_R21,31,5,14232,2
Dwarf,Dwarf_R21,31,5,14233,2
Dwarf,Dwarf_R21,31,5,20231,2
Dwarf,Dwarf_R21,31,5,24231,2
Dwarf,Dwarf_R21,31,5,24232,2
Dwarf,Dwarf_R22,31,5,14241,2
Dwarf,Dwarf_R22,31,5,14242,2
Dwarf,Dwarf_R22,31,5,20241,2
Dwarf,Dwarf_R22,31,5,24241,2
Dwarf,Dwarf_R22,31,5,24242,2
Dwarf,Dwarf_M21,31,5,14251,2
Dwarf,Dwarf_M21,31,5,14252,2
Dwarf,Dwarf_M21,31,5,14253,2
Dwarf,Dwarf_M21,31,5,20251,2
Dwarf,Dwarf_M21,31,5,24251,2
Dwarf,Dwarf_M21,31,5,24252,2
Dwarf,Dwarf_M22,31,5,14261,2
Dwarf,Dwarf_M22,31,5,14262,2
Dwarf,Dwarf_M22,31,5,14263,2
Dwarf,Dwarf_M22,31,5,20261,2
Dwarf,Dwarf_M22,31,5,24261,2
Dwarf,Dwarf_M22,31,5,24262,2
