Id,Grade,Type,NameKey,StartClass,RaceType,TransferRewardGroupId,RequiredClassInfoId,RequiredClassLv,BasicAttackSkillInfoId,Resource,IconTexture,StatusBarIconTexture,DescKey,UsableWeapon,UsableArmor,MainWeapon1,MainWeapon2,MainWeapon3,MainArmor,RepresentSkill1,RepresentSkill2,RepresentSkill3,RepresentSkill4,RepresentSkill5,LibraryPath
11,3,Human_F31,751000000011,0,Human,,5,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_01,CharacterSelect.Icon_Class_Human_01,752000000011,000001,001,1146,,,2210,11214,,,,,LIB_PreviewCharacter_Human_Human_F21
12,3,Human_F32,751000000012,0,Human,,6,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_02,CharacterSelect.Icon_Class_Human_02,752000000012,000110,001,1326,1236,,2210,11224,,,,,LIB_PreviewCharacter_Human_Human_F22
13,3,Human_R31,751000000013,0,Human,,7,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_03,CharacterSelect.Icon_Class_Human_03,752000000013,001000,010,1426,,,2220,11234,,,,,LIB_PreviewCharacter_Human_Human_R21
14,3,Human_R32,751000000014,0,Human,,8,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_04,CharacterSelect.Icon_Class_Human_04,752000000014,010000,010,1536,,,2220,11245,,,,,LIB_PreviewCharacter_Human_Human_R22
15,3,Human_M31,751000000015,0,Human,,9,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_05,CharacterSelect.Icon_Class_Human_05,752000000015,100000,100,1636,,,2230,11254,,,,,LIB_PreviewCharacter_Human_Human_M21
16,3,Human_M32,751000000016,0,Human,,10,271,1,BP_CharacterHuman,CharacterSelect.Icon_Class_Human_06,CharacterSelect.Icon_Class_Human_06,752000000016,100000,100,1626,,,2230,11263,,,,,LIB_PreviewCharacter_Human_Human_M22
31,0,ElvenExplorer,751000000001,1,Elf,,0,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,752000000001,,,,,,,,,,,,
32,1,Elf_F1,751000000002,1,Elf,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,752000000002,000111,001,1114,1314,1224,2210,11112,11113,21111,21112,,LIB_PreviewCharacter_Elf_Elf_F1
33,1,Elf_R1,751000000003,1,Elf,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,752000000003,011000,010,1414,1534,,2220,11122,11123,11124,11125,,LIB_PreviewCharacter_Elf_Elf_R1
34,1,Elf_M1,751000000004,1,Elf,,31,0,1,BP_CharacterElf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,752000000004,100000,100,1634,,,2230,11132,11133,21131,21132,,LIB_PreviewCharacter_Elf_Elf_M1
35,2,Elf_F21,751000000035,0,Elf,35,32,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_01,CharacterSelect.Icon_Class_Elf_01,752000000035,000001,001,1126,,,2210,12211,12212,12213,20211,,LIB_PreviewCharacter_Elf_Elf_F21
36,2,Elf_F22,751000000036,0,Elf,36,32,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_02,CharacterSelect.Icon_Class_Elf_02,752000000036,000110,001,1346,1236,,2210,12221,12222,12223,12224,,LIB_PreviewCharacter_Elf_Elf_F22
37,2,Elf_R21,751000000037,0,Elf,37,33,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_03,CharacterSelect.Icon_Class_Elf_03,752000000037,001000,010,1416,,,2220,12231,12232,12233,20231,,LIB_PreviewCharacter_Elf_Elf_R21
38,2,Elf_R22,751000000038,0,Elf,38,33,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_04,CharacterSelect.Icon_Class_Elf_04,752000000038,010000,010,1536,,,2220,12241,12242,12243,12244,,LIB_PreviewSilverRanger_Elf_Elf_R22
39,2,Elf_M21,751000000039,0,Elf,39,34,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_05,CharacterSelect.Icon_Class_Elf_05,752000000039,100000,100,1646,,,2230,12251,12252,22251,20251,,LIB_PreviewCharacter_Elf_Elf_M21
40,2,Elf_M22,751000000040,0,Elf,40,34,31,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_06,CharacterSelect.Icon_Class_Elf_06,752000000040,100000,100,1626,,,2230,12261,12262,12263,12264,,LIB_PreviewCharacter_Elf_Elf_M22
41,3,Elf_F31,751000000041,0,Elf,,35,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_01,CharacterSelect.Icon_Class_Elf_01,752000000041,000001,001,1136,,,2210,12214,,,,,LIB_PreviewCharacter_Elf_Elf_F21
42,3,Elf_F32,751000000042,0,Elf,,36,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_02,CharacterSelect.Icon_Class_Elf_02,752000000042,000110,001,1346,1236,,2210,12225,,,,,LIB_PreviewCharacter_Elf_Elf_F22
43,3,Elf_R31,751000000043,0,Elf,,37,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_03,CharacterSelect.Icon_Class_Elf_03,752000000043,001000,010,1416,,,2220,12234,,,,,LIB_PreviewCharacter_Elf_Elf_R21
44,3,Elf_R32,751000000044,0,Elf,,38,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_04,CharacterSelect.Icon_Class_Elf_04,752000000044,010000,010,1546,,,2220,12245,,,,,LIB_PreviewCharacter_Elf_Elf_R22
45,3,Elf_M31,751000000045,0,Elf,,39,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_05,CharacterSelect.Icon_Class_Elf_05,752000000045,100000,100,1646,,,2230,12253,,,,,LIB_PreviewCharacter_Elf_Elf_M21
46,3,Elf_M32,751000000046,0,Elf,,40,271,1,BP_CharacterElf,CharacterSelect.Icon_Class_Elf_06,CharacterSelect.Icon_Class_Elf_06,752000000046,100000,100,1626,,,2230,12265,,,,,LIB_PreviewCharacter_Elf_Elf_M22
61,0,DarkExplorer,751000000001,1,DarkElf,,0,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,752000000001,,,,,,,,,,,,
62,1,Dark_F1,751000000002,1,DarkElf,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,752000000002,000111,001,1124,1334,1224,2210,13112,13113,23001,23111,,LIB_PreviewCharacter_DarkElf_Dark_F1
63,1,Dark_R1,751000000003,1,DarkElf,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,752000000003,011000,010,1444,1544,,2220,13122,13123,13124,13125,,LIB_PreviewCharacter_DarkElf_Dark_R1
64,1,Dark_M1,751000000004,1,DarkElf,,61,0,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,752000000004,100000,100,1614,,,2230,13132,13133,23131,23001,,LIB_PreviewCharacter_DarkElf_Dark_M1
65,2,Dark_F21,751000000065,0,DarkElf,65,62,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_01,CharacterSelect.Icon_Class_DarkElf_01,752000000065,000001,001,1146,,,2210,13211,13212,13213,20211,,LIB_PreviewCharacter_DarkElf_Dark_F21
66,2,Dark_F22,751000000066,0,DarkElf,66,62,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_02,CharacterSelect.Icon_Class_DarkElf_02,752000000066,000110,001,1316,1226,,2210,13221,13222,13223,13224,,LIB_PreviewCharacter_DarkElf_Dark_F22
67,2,Dark_R21,751000000067,0,DarkElf,67,63,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_03,CharacterSelect.Icon_Class_DarkElf_03,752000000067,001000,010,1426,,,2220,13231,13232,23231,20231,,LIB_PreviewCharacter_DarkElf_Dark_R21
68,2,Dark_R22,751000000068,0,DarkElf,68,63,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_04,CharacterSelect.Icon_Class_DarkElf_04,752000000068,010000,010,1526,,,2220,13241,13242,13243,13244,,LIB_PreviewCharacter_DarkElf_Dark_R22
69,2,Dark_M21,751000000069,0,DarkElf,69,64,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_05,CharacterSelect.Icon_Class_DarkElf_05,752000000069,100000,100,1646,,,2230,13251,13252,13253,20251,,LIB_PreviewCharacter_DarkElf_Dark_M21
70,2,Dark_M22,751000000070,0,DarkElf,70,64,31,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_06,CharacterSelect.Icon_Class_DarkElf_06,752000000070,100000,100,1636,,,2230,13261,13262,13263,20261,,LIB_PreviewCharacter_DarkElf_Dark_M22
71,3,Dark_F31,751000000071,0,DarkElf,,65,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_01,CharacterSelect.Icon_Class_DarkElf_01,752000000071,000001,001,1146,,,2210,13214,,,,,LIB_PreviewCharacter_DarkElf_Dark_F21
72,3,Dark_F32,751000000072,0,DarkElf,,66,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_02,CharacterSelect.Icon_Class_DarkElf_02,752000000072,000110,001,1346,1226,,2210,13225,,,,,LIB_PreviewCharacter_DarkElf_Dark_F22
73,3,Dark_R31,751000000073,0,DarkElf,,67,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_03,CharacterSelect.Icon_Class_DarkElf_03,752000000073,001000,010,1426,,,2220,13234,,,,,LIB_PreviewCharacter_DarkElf_Dark_R21
74,3,Dark_R32,751000000074,0,DarkElf,,68,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_04,CharacterSelect.Icon_Class_DarkElf_04,752000000074,010000,010,1536,,,2220,13245,,,,,LIB_PreviewCharacter_DarkElf_Dark_R22
75,3,Dark_M31,751000000075,0,DarkElf,,69,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_05,CharacterSelect.Icon_Class_DarkElf_05,752000000075,100000,100,1646,,,2230,13254,,,,,LIB_PreviewCharacter_DarkElf_Dark_M21
76,3,Dark_M32,751000000076,0,DarkElf,,70,271,1,BP_CharacterDarkElf,CharacterSelect.Icon_Class_DarkElf_06,CharacterSelect.Icon_Class_DarkElf_06,752000000076,100000,100,1636,,,2230,13265,,,,,LIB_PreviewCharacter_DarkElf_Dark_M22
91,0,DwarfExplorer,751000000001,1,Dwarf,,0,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_01,CharacterSelect.Icon_Class_Common_01,752000000001,,,,,,,,,,,,
92,1,Dwarf_F1,751000000002,1,Dwarf,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_02,CharacterSelect.Icon_Class_Common_02,752000000002,000111,001,1144,1344,1214,2210,14112,14113,24001,24111,,LIB_PreviewCharacter_Dwarf_Dwarf_F1
93,1,Dwarf_R1,751000000003,1,Dwarf,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_03,CharacterSelect.Icon_Class_Common_03,752000000003,011000,010,1434,1524,,2220,14122,14123,14124,14125,,LIB_PreviewCharacter_Dwarf_Dwarf_R1
94,1,Dwarf_M1,751000000004,1,Dwarf,,91,0,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Common_04,CharacterSelect.Icon_Class_Common_04,752000000004,100000,100,1634,,,2230,14132,14133,24001,24131,,LIB_PreviewCharacter_Dwarf_Dwarf_M1
95,2,Dwarf_F21,751000000095,0,Dwarf,95,92,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_01,CharacterSelect.Icon_Class_Dwarf_01,752000000095,000001,001,1136,,,2210,14211,14212,24211,20211,,LIB_PreviewCharacter_Dwarf_Dwarf_F21
96,2,Dwarf_F22,751000000096,0,Dwarf,96,92,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_02,CharacterSelect.Icon_Class_Dwarf_02,752000000068,000110,001,1336,1246,,2210,14221,14222,14223,20221,,LIB_PreviewCharacter_Dwarf_Dwarf_F22
97,2,Dwarf_R21,751000000097,0,Dwarf,97,93,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_03,CharacterSelect.Icon_Class_Dwarf_03,752000000097,001000,010,1416,,,2220,14231,14232,14233,20231,,LIB_PreviewCharacter_Dwarf_Dwarf_R21
98,2,Dwarf_R22,751000000098,0,Dwarf,98,93,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_04,CharacterSelect.Icon_Class_Dwarf_04,752000000098,010000,010,1546,,,2220,14241,14242,24241,20241,,LIB_PreviewCharacter_Dwarf_Dwarf_R22
99,2,Dwarf_M21,751000000099,0,Dwarf,99,94,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_05,CharacterSelect.Icon_Class_Dwarf_05,752000000099,100000,100,1646,,,2230,14251,14252,14253,20251,,LIB_PreviewCharacter_Dwarf_Dwarf_M21
100,2,Dwarf_M22,751000000100,0,Dwarf,100,94,31,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_06,CharacterSelect.Icon_Class_Dwarf_06,752000000100,100000,100,1626,,,2230,14261,14262,14263,20261,,LIB_PreviewCharacter_Dwarf_Dwarf_M22
101,3,Dwarf_F31,751000000101,0,Dwarf,,95,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_01,CharacterSelect.Icon_Class_Dwarf_01,752000000101,000001,001,1136,,,2210,14214,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_F21
102,3,Dwarf_F32,751000000102,0,Dwarf,,96,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_02,CharacterSelect.Icon_Class_Dwarf_02,752000000102,000110,001,1336,1246,,2210,14224,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_F22
103,3,Dwarf_R31,751000000103,0,Dwarf,,97,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_03,CharacterSelect.Icon_Class_Dwarf_03,752000000103,001000,010,1416,,,2220,14234,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_R21
104,3,Dwarf_R32,751000000104,0,Dwarf,,98,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_04,CharacterSelect.Icon_Class_Dwarf_04,752000000104,010000,010,1546,,,2220,14243,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_R22
105,3,Dwarf_M31,751000000105,0,Dwarf,,99,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_05,CharacterSelect.Icon_Class_Dwarf_05,752000000105,100000,100,1646,,,2230,14254,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_M21
106,3,Dwarf_M32,751000000106,0,Dwarf,,100,271,1,BP_CharacterDwarf,CharacterSelect.Icon_Class_Dwarf_06,CharacterSelect.Icon_Class_Dwarf_06,752000000106,100000,100,1626,,,2230,14264,,,,,LIB_PreviewCharacter_Dwarf_Dwarf_M22
