Id,MainCoreId,NameKey,OrderNumber,Image,CostItemType,Cost,EffectType1,EffectParam1,EffectType2,EffectParam2,EffectType3,EffectParam3,EffectType4,EffectParam4
37,802,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
41,900,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
42,900,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
43,901,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
44,901,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
45,902,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
46,902,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
47,902,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
51,1000,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
52,1000,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
53,1001,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
54,1001,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
55,1002,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
56,1002,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
57,1002,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
101,3500,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
102,3500,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
103,3501,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
104,3501,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
105,3502,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
106,3502,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
107,3502,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
111,3600,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
112,3600,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
113,3601,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
114,3601,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
115,3602,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
116,3602,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
117,3602,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
121,3700,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
122,3700,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
123,3701,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
124,3701,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
125,3702,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
126,3702,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
127,3702,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
131,3800,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
132,3800,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
133,3801,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
134,3801,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
135,3802,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
136,3802,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
137,3802,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
141,3900,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
142,3900,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
143,3901,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
144,3901,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
145,3902,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
146,3902,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
147,3902,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
151,4000,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
152,4000,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
153,4001,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
154,4001,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
155,4002,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
156,4002,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
157,4002,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
201,6500,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
202,6500,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
203,6501,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
204,6501,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
205,6502,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
206,6502,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
207,6502,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
211,6600,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
212,6600,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
213,6601,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
214,6601,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
215,6602,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
216,6602,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
217,6602,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
221,6700,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
222,6700,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
223,6701,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
224,6701,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
225,6702,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
226,6702,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
227,6702,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
231,6800,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
232,6800,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
233,6801,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
234,6801,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
235,6802,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
236,6802,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
237,6802,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
241,6900,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
242,6900,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
243,6901,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
244,6901,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
245,6902,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
246,6902,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
247,6902,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
251,7000,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
252,7000,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
253,7001,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
254,7001,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
255,7002,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
256,7002,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
257,7002,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
301,9500,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
302,9500,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
303,9501,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
304,9501,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
305,9502,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
306,9502,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
307,9502,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
311,9600,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
312,9600,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
313,9601,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
314,9601,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
315,9602,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
316,9602,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
317,9602,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
321,9700,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
322,9700,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
323,9701,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
324,9701,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
325,9702,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
326,9702,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
327,9702,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
331,9800,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
332,9800,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
333,9801,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
334,9801,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
335,9802,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
336,9802,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
337,9802,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
341,9900,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
342,9900,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
343,9901,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
344,9901,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
345,9902,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
346,9902,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
347,9902,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
351,10000,741009700001,1,Icon_SubCore_Maphr,GiantEssence,100,MaxMP,533,CriticalValue,240,MPRecovery,235,,
352,10000,741009700002,2,Icon_SubCore_Eva,GiantEssence,100,DefensePowerPhy,214,DefensePowerMag,214,HitValue,511,,
353,10001,741009700003,1,Icon_SubCore_Giant,GiantEssence,150,MaxHP,672,AntiCriticalValue,165,HPRecovery,235,,
354,10001,741009700004,2,Icon_SubCore_Paagrio,GiantEssence,150,AttackPowerPhy,219,AttackPowerMag,219,DodgeValue,448,,
355,10002,741009700005,1,Icon_SubCore_Blood,GiantEssence,200,AntiCriticalValue,110,HitValue,768,DodgeValue,830,,
356,10002,741009700006,2,Icon_SubCore_Dark,GiantEssence,200,MaxMP,949,DefensePowerPhy,323,DefensePowerMag,323,,
357,10002,741009700007,3,Icon_SubCore_Sayha,GiantEssence,200,MaxHP,728,AttackPowerPhy,247,AttackPowerMag,247,,
